"major.label","major.label2"
"Neutrophils","Neutrophils"
"Monocytes","Monocytes"
"Tregs","Tregs"
"CD8+ Tem","CD8 T"
"Macrophages M1","Macrophages"
"Epithelial cells","other"
"DC","DC"
"Macrophages","Macrophages"
"NK cells","NK"
"CD4+ Tem","CD4 T"
"CD8+ Tcm","CD8 T"
"CD4+ T-cells","CD4 T"
"other","other"
"CLP","other"
"Eosinophils","Eosinophils"
"CD4+ Tcm","CD4 T"
"Class-switched memory B-cells","B"
"Plasma cells","Plasma cells"
"CD8+ T-cells","other"
"Adipocytes","other"
"naive B-cells","B"
"Megakaryocytes","Platelets"
"Memory B-cells","B"
"Erythrocytes","other"
