"","p_val","avg_log2FC","p_val_adj","sig","fc_thresh","test_status"
"ACER3",3.76864240180485e-08,0.115906561228257,0.000265613916479206,TRUE,FALSE,"sig."
"MYLPF",1.59089386830431e-07,0.0163613007527696,0.00056063099919044,TRUE,FALSE,"sig."
"SLC9A8",1.0733014693257e-06,-0.0532697546881924,0.00252154291860251,TRUE,FALSE,"sig."
"TATDN3",1.85260464899548e-06,-0.0156746075426252,0.00326428939153004,TRUE,FALSE,"sig."
"BIN3",3.18016150510764e-06,0.0261252340907737,0.00448275565759972,TRUE,FALSE,"sig."
"SLC35D1",1.53746799356674e-05,-0.0211952712608385,0.0180601240310973,TRUE,FALSE,"sig."
"ARSD",5.55599003503636e-05,-0.0132603601695862,0.0559408825241947,FALSE,FALSE,"NS"
"HSDL2",7.72535115243537e-05,-0.0103224414914478,0.0604980832470716,FALSE,FALSE,"NS"
"UBL3",6.97668020700898e-05,-0.0476060153630659,0.0604980832470716,FALSE,FALSE,"NS"
"TRMT61B",0.000151378133048145,-0.0473964867637505,0.106691308172333,FALSE,FALSE,"NS"
"TSPAN1",0.000208614170590249,-0.0320025100185777,0.12252605619334,FALSE,FALSE,"NS"
"ZNF841",0.000206420062078436,-0.0374202410393706,0.12252605619334,FALSE,FALSE,"NS"
"THADA",0.00024245774486995,-0.0349355458954872,0.131449398911031,FALSE,FALSE,"NS"
"MON1B",0.0004535987347591,-0.1259353612908,0.18805669897542,FALSE,FALSE,"NS"
"MT-CO1",0.000410761450928699,0.783640218685481,0.18805669897542,FALSE,TRUE,"NS"
"NAPRT",0.000396059187979798,-0.019253651893918,0.18805669897542,FALSE,FALSE,"NS"
"PDCD2L",0.000437182392805488,0.000128946499872475,0.18805669897542,FALSE,FALSE,"NS"
"PCBP1",0.000514799125120036,0.731552413708806,0.201572457435889,FALSE,TRUE,"NS"
"ALMS1",0.000706266782378165,-0.0278074321800514,0.209818637869803,FALSE,FALSE,"NS"
"DCAF16",0.000703830758599821,-0.0140122236737807,0.209818637869803,FALSE,FALSE,"NS"
"MGLL",0.000594197382332012,NA,0.209818637869803,FALSE,NA,"NS"
"NAGPA",0.000714478903075379,0.12073741841513,0.209818637869803,FALSE,FALSE,"NS"
"RAB24",0.00070429345385178,-0.433816995668722,0.209818637869803,FALSE,TRUE,"NS"
"TIMM8A",0.000703006885837182,0.203771218076317,0.209818637869803,FALSE,FALSE,"NS"
"VRK3",0.000818385506951006,-0.0320300324721289,0.230719242119628,FALSE,FALSE,"NS"
"ANKRD26",0.000987924247044787,NA,0.267803465121987,FALSE,NA,"NS"
"ACO2",0.00219709540186579,-0.298694740971483,0.336633225920655,FALSE,TRUE,"NS"
