"","p_val","avg_log2FC","p_val_adj","sig","fc_thresh","test_status"
"BCLAF1",2.54390899876103e-05,-0.230728597137566,0.0578247450039773,FALSE,FALSE,"NS"
"BNIP1",8.76534985831256e-05,-0.0207473892562657,0.0578247450039773,FALSE,FALSE,"NS"
"EIF2D",3.34041143748731e-05,-0.0250368168441404,0.0578247450039773,FALSE,FALSE,"NS"
"FKBP5",8.5859991380156e-05,0.391032021342331,0.0578247450039773,FALSE,TRUE,"NS"
"GALK1",2.82041192123992e-05,0.055787752816238,0.0578247450039773,FALSE,FALSE,"NS"
"MPC2",7.64608038428369e-05,-0.21960231008894,0.0578247450039773,FALSE,FALSE,"NS"
"NUFIP1",9.24386897507918e-05,-0.0252916586206272,0.0578247450039773,FALSE,FALSE,"NS"
"PRELID3B",9.87229854173134e-05,-0.116911052125899,0.0578247450039773,FALSE,FALSE,"NS"
"PTMA",7.83235318773939e-05,-0.239956955045267,0.0578247450039773,FALSE,FALSE,"NS"
"SLTM",7.13663671413632e-05,-0.147521227946865,0.0578247450039773,FALSE,FALSE,"NS"
"SLX1A",8.38423310870968e-05,0.0331113135599062,0.0578247450039773,FALSE,FALSE,"NS"
"AREG",0.000127442413783529,0.183559858120413,0.0609524514918571,FALSE,FALSE,"NS"
"HUS1",0.000113689851093663,-0.0683745915695517,0.0609524514918571,FALSE,FALSE,"NS"
"PPP1R35",0.000141903891413605,0.0248131306885958,0.0609524514918571,FALSE,FALSE,"NS"
"TXNIP",0.000137293582664971,0.658514204119756,0.0609524514918571,FALSE,TRUE,"NS"
"DELE1",0.000158903709833604,-0.0639407089662316,0.0626526862145164,FALSE,FALSE,"NS"
"EMC2",0.000165310517716402,0.0401746100384412,0.0626526862145164,FALSE,FALSE,"NS"
"PPP4R3A",0.000177621621782971,-0.0724025458780585,0.0635786727304267,FALSE,FALSE,"NS"
"ATP6V1G1",0.000231029418029119,-0.467510380625506,0.0647183713200703,FALSE,TRUE,"NS"
"G3BP2",0.000195662571727181,-0.382794931301431,0.0647183713200703,FALSE,TRUE,"NS"
"PPP6C",0.00020959420462854,-0.162088529100548,0.0647183713200703,FALSE,FALSE,"NS"
"ZDHHC16",0.000226182360524332,0.0236567003471722,0.0647183713200703,FALSE,FALSE,"NS"
"ZFAND1",0.000230965551754007,-0.0853813256913117,0.0647183713200703,FALSE,FALSE,"NS"
"CCNA2",0.000260265179571779,0.01466178437934,0.0698703563325404,FALSE,FALSE,"NS"
"FRA10AC1",0.00028331366678568,0.0382842638143787,0.0730155982040055,FALSE,FALSE,"NS"
"DUSP12",0.000345830558616458,-0.0588631410594227,0.0856994726602247,FALSE,FALSE,"NS"
"CLASP1",0.000379129535247736,0.0181766617130076,0.0904715405778208,FALSE,FALSE,"NS"
"DUSP2",0.000405597776301512,0.373000954209064,0.0933309454539516,FALSE,TRUE,"NS"
"TIMM22",0.000437815805209993,-0.0559207561447543,0.0972705942402754,FALSE,FALSE,"NS"
"CENPE",0.000482293797604923,0.0179804788037056,0.103580631265617,FALSE,FALSE,"NS"
"AZIN1",0.000525569758583203,-0.0580419436354447,0.104229204996969,FALSE,FALSE,"NS"
"B9D2",0.000529351440772904,-0.0849523690943602,0.104229204996969,FALSE,FALSE,"NS"
"RBM22",0.00053384506672357,-0.0878580764282326,0.104229204996969,FALSE,FALSE,"NS"
"B2M",0.000693686000229185,-0.420094674700713,0.109953426240542,FALSE,TRUE,"NS"
"CCDC14",0.000672952280279252,0.0404624994780412,0.109953426240542,FALSE,FALSE,"NS"
"ICMT",0.000678730177041861,0.0439931430627141,0.109953426240542,FALSE,FALSE,"NS"
"MRPL50",0.000733819234571366,-0.118891860714992,0.109953426240542,FALSE,FALSE,"NS"
"NAF1",0.000690781064684876,-0.0302069386326323,0.109953426240542,FALSE,FALSE,"NS"
"OGFOD1",0.000719695323256177,-0.0126048851816408,0.109953426240542,FALSE,FALSE,"NS"
"REEP4",0.000593319922280511,0.0346842461034387,0.109953426240542,FALSE,FALSE,"NS"
"SELENOT",0.000699870427337408,-0.211153410171483,0.109953426240542,FALSE,FALSE,"NS"
"TRAV8-2",0.000606971171846736,-0.037724772282965,0.109953426240542,FALSE,FALSE,"NS"
"TXNDC12",0.00072760461155854,-0.131418609076337,0.109953426240542,FALSE,FALSE,"NS"
"DYNC1LI1",0.000794965130589811,-0.0530129613852866,0.116408189463413,FALSE,FALSE,"NS"
"PMAIP1",0.000841503797685285,-0.215752308618686,0.12048464374414,FALSE,FALSE,"NS"
"FAM89B",0.000910565989983765,0.0379924136480349,0.127538623336204,FALSE,FALSE,"NS"
"FAF1",0.000946881973987408,0.0159134830229043,0.129803416136189,FALSE,FALSE,"NS"
"HNRNPUL1",0.00100016774090492,-0.129440051308299,0.13425168238855,FALSE,FALSE,"NS"
"C3orf38",0.00108931820422109,-0.0369942469937559,0.137617199799932,FALSE,FALSE,"NS"
"GET4",0.00106869924545274,0.0562599529883965,0.137617199799932,FALSE,FALSE,"NS"
"MAP2K2",0.00105763885393183,0.0490872926584517,0.137617199799932,FALSE,FALSE,"NS"
"HIST1H2AJ",0.00116289322357819,0.0266868778481347,0.144086943067582,FALSE,FALSE,"NS"
"CFAP20",0.00123963351244553,-0.0939029725643939,0.145329588955644,FALSE,FALSE,"NS"
"DHFR",0.00122787756378733,-0.0153207076613103,0.145329588955644,FALSE,FALSE,"NS"
"DNTTIP2",0.00129347605255383,-0.157723328024935,0.145329588955644,FALSE,FALSE,"NS"
"NDUFB8",0.00124931826269144,0.192506330950257,0.145329588955644,FALSE,FALSE,"NS"
