"","p_val","avg_log2FC","p_val_adj","sig","fc_thresh","test_status"
"JAZF1",4.81280221394133e-05,-0.111426989907453,0.122458224007963,FALSE,FALSE,"NS"
"NPC2",6.73587590802877e-05,-0.551677656824305,0.122458224007963,FALSE,TRUE,"NS"
"NIFK",0.000127461013286433,-0.00323924822748995,0.130289720102341,FALSE,FALSE,"NS"
"RPL23A",0.000143333025415117,0.413480896486124,0.130289720102341,FALSE,TRUE,"NS"
"AP2S1",0.00100353906295004,-0.299486508183232,0.154008866524532,FALSE,TRUE,"NS"
"CCL2",0.000275687714970361,0.187112966245587,0.154008866524532,FALSE,FALSE,"NS"
"CD37",0.000372062009240689,-0.162192086878847,0.154008866524532,FALSE,FALSE,"NS"
"CLIC3",0.000950471782746708,-0.000504156215685447,0.154008866524532,FALSE,FALSE,"NS"
"E2F4",0.000390367881075691,0.00561532978891408,0.154008866524532,FALSE,FALSE,"NS"
"HM13",0.000311651583039441,-0.054128805272081,0.154008866524532,FALSE,FALSE,"NS"
"LGALS1",0.000489127081089148,0.0345723410542251,0.154008866524532,FALSE,FALSE,"NS"
"MT-CO3",0.000618616446991326,0.954932292089323,0.154008866524532,FALSE,TRUE,"NS"
"MT-ND4L",0.000511915889668707,1.13428573170655,0.154008866524532,FALSE,TRUE,"NS"
"NUCB2",0.000880633765077879,-0.0255636808247402,0.154008866524532,FALSE,FALSE,"NS"
"PDCD10",0.000890544376975762,-0.131907722828109,0.154008866524532,FALSE,FALSE,"NS"
"PITPNC1",0.00074085860492076,-0.0128980814947075,0.154008866524532,FALSE,FALSE,"NS"
"POLE4",0.000741470630211166,-0.0249903567590743,0.154008866524532,FALSE,FALSE,"NS"
"RPS13",0.00046503476778841,-0.334652747081935,0.154008866524532,FALSE,TRUE,"NS"
"RPS9",0.000937677548505561,0.659092957435873,0.154008866524532,FALSE,TRUE,"NS"
"S100A6",0.000461172087216987,-0.125380514280049,0.154008866524532,FALSE,FALSE,"NS"
"SEC23B",0.00101656017507942,0.0562669132012598,0.154008866524532,FALSE,FALSE,"NS"
"SLAMF1",0.000731789336904957,0.115070011565441,0.154008866524532,FALSE,FALSE,"NS"
"SMARCB1",0.000610245876223912,0.0668861457258109,0.154008866524532,FALSE,FALSE,"NS"
"TMEM109",0.000950393282525675,-0.0638144264745311,0.154008866524532,FALSE,FALSE,"NS"
"ABCB7",0.00151871634266703,-0.0152065485483731,0.158358514109734,FALSE,FALSE,"NS"
"CCR7",0.00152435313361955,0.265679923956867,0.158358514109734,FALSE,TRUE,"NS"
"EXOSC1",0.001294110806099,-0.0480962326078599,0.158358514109734,FALSE,FALSE,"NS"
"IL16",0.0014773132159249,-0.0264118864537655,0.158358514109734,FALSE,FALSE,"NS"
"MT-CYB",0.00136822720244654,0.831319955788606,0.158358514109734,FALSE,TRUE,"NS"
"REL",0.00136819290394374,0.272002984954469,0.158358514109734,FALSE,TRUE,"NS"
"RPL39",0.00120901476223791,-0.561802946840923,0.158358514109734,FALSE,TRUE,"NS"
"RPS10",0.00117209904223326,0.420383193314591,0.158358514109734,FALSE,TRUE,"NS"
"SLC25A17",0.00129947170320651,-0.0031666086515578,0.158358514109734,FALSE,FALSE,"NS"
"SUCLG1",0.00140208897332186,-0.111291393664897,0.158358514109734,FALSE,FALSE,"NS"
"TMEM126B",0.00120840948764293,-0.0356269862436977,0.158358514109734,FALSE,FALSE,"NS"
"RAMP1",0.0017250475685573,-0.143506889383623,0.169279173736345,FALSE,FALSE,"NS"
"RPS6",0.00171172986208103,0.528989128804973,0.169279173736345,FALSE,TRUE,"NS"
