"","p_val","avg_log2FC","p_val_adj","sig","fc_thresh","test_status"
"MPC2",7.88599335400578e-09,-0.0423236220377449,2.91072014696354e-05,TRUE,FALSE,"sig."
"PTS",3.79368612215693e-06,-0.0224055442773083,0.00700124773844061,TRUE,FALSE,"sig."
"S100A9",1.06473215660189e-05,0.545248822780813,0.013099754633392,TRUE,TRUE,"sig."
"ALOX5AP",2.87622078992874e-05,-0.250656932281189,0.0132701636695337,TRUE,TRUE,"sig."
"FABP5",2.68541067544918e-05,-0.764733500994656,0.0132701636695337,TRUE,TRUE,"sig."
"OSTF1",1.96570583647343e-05,-0.0775208093445421,0.0132701636695337,TRUE,FALSE,"sig."
"STX11",1.73778550559091e-05,-0.0685446650078956,0.0132701636695337,TRUE,FALSE,"sig."
"YPEL5",2.44934552396305e-05,-0.0731153614230589,0.0132701636695337,TRUE,FALSE,"sig."
"COPS2",4.46974318760685e-05,-0.0381829312541951,0.0134728637005597,TRUE,FALSE,"sig."
"DYNLT3",3.86546859492446e-05,-0.0262403773172667,0.0134728637005597,TRUE,FALSE,"sig."
"HLA-A",3.67486866268513e-05,0.764047043381633,0.0134728637005597,TRUE,TRUE,"sig."
"MOB1A",5.21493617761322e-05,-0.089186037075134,0.0134728637005597,TRUE,FALSE,"sig."
"PLEKHO2",5.47529004357616e-05,0.0402786858612214,0.0134728637005597,TRUE,FALSE,"sig."
"VAPA",5.2375611542407e-05,-0.108147709712494,0.0134728637005597,TRUE,FALSE,"sig."
"VDAC2",4.65771148232425e-05,-0.110531265268622,0.0134728637005597,TRUE,FALSE,"sig."
"TMEM14C",6.19158282146723e-05,-0.081225459064587,0.0142832076212722,TRUE,FALSE,"sig."
"ATP1B1",8.21576070546525e-05,-0.0521602397755048,0.0158097803219754,TRUE,FALSE,"sig."
"ATRAID",8.24549048625444e-05,-0.0541079045407528,0.0158097803219754,TRUE,FALSE,"sig."
"FKBP5",8.56666503493655e-05,0.0928800059696006,0.0158097803219754,TRUE,FALSE,"sig."
"YIPF6",8.24868487485377e-05,-0.0209920398830201,0.0158097803219754,TRUE,FALSE,"sig."
"ETFA",9.75142796964991e-05,-0.0345269989238327,0.0163602366527172,TRUE,FALSE,"sig."
"RPS10",9.44764255402854e-05,0.303163018612332,0.0163602366527172,TRUE,TRUE,"sig."
"SLC11A1",0.000109004155378175,0.178311169544457,0.0167639307292018,TRUE,FALSE,"sig."
"ZYX",0.000107132581025154,0.104625813531271,0.0167639307292018,TRUE,FALSE,"sig."
"HPRT1",0.000134749334930362,-0.0350897991034169,0.0198943918091186,TRUE,FALSE,"sig."
"APMAP",0.00023352454483497,-0.021632318972938,0.0287677793311391,TRUE,FALSE,"sig."
"MATK",0.000214026211246159,-0.0275587449317168,0.0287677793311391,TRUE,FALSE,"sig."
"MIR155HG",0.000233821018676286,-0.031363470745897,0.0287677793311391,TRUE,FALSE,"sig."
"SARAF",0.000218971905100548,-0.0398323995329914,0.0287677793311391,TRUE,FALSE,"sig."
"TMED5",0.000219575198426392,-0.0835727962272625,0.0287677793311391,TRUE,FALSE,"sig."
"SLA",0.000245957229477531,0.0957723958472317,0.0292847785161796,TRUE,FALSE,"sig."
"GBP1",0.000270640030499376,0.204533540733232,0.0298855914788473,TRUE,FALSE,"sig."
"GFPT1",0.000275293988155191,-0.0152497852116546,0.0298855914788473,TRUE,FALSE,"sig."
"IAH1",0.000273080276937979,-0.0325400958403522,0.0298855914788473,TRUE,FALSE,"sig."
"ELOVL5",0.000308017868020026,-0.0287014861222012,0.0301281873686229,TRUE,FALSE,"sig."
"IFIT3",0.000342354005432443,0.132874547491784,0.0301281873686229,TRUE,FALSE,"sig."
"LMAN1",0.000305059629202833,-0.0515589410605917,0.0301281873686229,TRUE,FALSE,"sig."
"LMBRD1",0.000329540830734502,-0.0159166455539263,0.0301281873686229,TRUE,FALSE,"sig."
"NDUFB5",0.00032779857166048,-0.0786345291769226,0.0301281873686229,TRUE,FALSE,"sig."
"PRELID3B",0.000332479569558374,-0.0243541701526123,0.0301281873686229,TRUE,FALSE,"sig."
"PTAFR",0.000332378876667623,0.0952122821126559,0.0301281873686229,TRUE,FALSE,"sig."
"TCIRG1",0.000342829550117086,0.106541602897987,0.0301281873686229,TRUE,FALSE,"sig."
"ANKRD28",0.000364088074050447,-0.0568329383659299,0.0309131664187412,TRUE,FALSE,"sig."
"ANXA2",0.00036851241463685,0.403504664549726,0.0309131664187412,TRUE,TRUE,"sig."
"CCNG1",0.000390932300240068,-0.0162127584024282,0.0315267533575296,TRUE,FALSE,"sig."
"HACD3",0.000392909957855964,-0.0219353784443582,0.0315267533575296,TRUE,FALSE,"sig."
"PTDSS1",0.000402242671257604,-0.0229934013777149,0.0315888872257833,TRUE,FALSE,"sig."
"GRINA",0.00052795918519253,0.346094338798271,0.0379393963937323,TRUE,TRUE,"sig."
"IFIT2",0.00053214185972274,0.0968390304990224,0.0379393963937323,TRUE,FALSE,"sig."
"LAMTOR3",0.00049543545730619,-0.0294484515725002,0.0379393963937323,TRUE,FALSE,"sig."
"RABGGTB",0.00053450246883611,-0.0387501853122858,0.0379393963937323,TRUE,FALSE,"sig."
"SLC43A2",0.000520242480692837,0.0841770989366624,0.0379393963937323,TRUE,FALSE,"sig."
"RSL24D1",0.000561237106616912,-0.0498531236992241,0.0387939715360979,TRUE,FALSE,"sig."
"SH3BGRL",0.000567562845556566,-0.113623524620222,0.0387939715360979,TRUE,FALSE,"sig."
"ETF1",0.000578339217869302,-0.021707926008212,0.0388118191482835,TRUE,FALSE,"sig."
"TYMP",0.000591538265275677,0.363660786463882,0.0389887095916522,TRUE,TRUE,"sig."
"ACER3",0.000666547184820952,-0.0178710462025985,0.0396929714581779,TRUE,FALSE,"sig."
"BCL2A1",0.000689963512638543,-0.439192619309773,0.0396929714581779,TRUE,TRUE,"sig."
"CCL8",0.000685266354730714,0.18946045429505,0.0396929714581779,TRUE,FALSE,"sig."
"CREB5",0.000678204590397391,-0.0234202612328289,0.0396929714581779,TRUE,FALSE,"sig."
"FPR1",0.000721751070589723,0.16297932348951,0.0396929714581779,TRUE,FALSE,"sig."
"HUS1",0.00075252779423338,-0.0101289985978741,0.0396929714581779,TRUE,FALSE,"sig."
"IL1R2",0.000634417498555953,0.152602971980108,0.0396929714581779,TRUE,FALSE,"sig."
"NDUFA10",0.000752779193192212,-0.0378092622121482,0.0396929714581779,TRUE,FALSE,"sig."
"PDZD11",0.00066527746152585,-0.0142804171932851,0.0396929714581779,TRUE,FALSE,"sig."
"TIPARP",0.000721748133648189,-0.0415631818153588,0.0396929714581779,TRUE,FALSE,"sig."
"TMEM126A",0.000707464508381016,-0.0375060735450123,0.0396929714581779,TRUE,FALSE,"sig."
"TMEM230",0.000624143227683074,-0.0446782868391299,0.0396929714581779,TRUE,FALSE,"sig."
"TPST2",0.000749386886006925,-0.0206322830157374,0.0396929714581779,TRUE,FALSE,"sig."
"ZNFX1",0.000727132336179249,0.0464085507895348,0.0396929714581779,TRUE,FALSE,"sig."
"UBA2",0.000764865792848397,-0.0221927139579948,0.0397622484704709,TRUE,FALSE,"sig."
"EIF3M",0.000800322060632882,-0.0601532792460215,0.0399187665648104,TRUE,FALSE,"sig."
"FUNDC2",0.000790353940825961,-0.0455461973108098,0.0399187665648104,TRUE,FALSE,"sig."
"HLA-B",0.000792076941853968,0.567266287344747,0.0399187665648104,TRUE,TRUE,"sig."
"GPAT3",0.000814357546316174,-0.0382635580539799,0.0400772493793733,TRUE,FALSE,"sig."
"ERGIC2",0.00085284290260247,-0.00876859419661521,0.0414189888619173,TRUE,FALSE,"sig."
"CRIP1",0.000868324906791135,0.26893405602686,0.0416232107917673,TRUE,TRUE,"sig."
"MAFB",0.000882719617618844,0.236496896502923,0.0417707449824507,TRUE,FALSE,"sig."
"CA2",0.000897231757379765,-0.0390176926121074,0.0419200305884647,TRUE,FALSE,"sig."
"GDI2",0.000912885459311713,-0.0959531239955434,0.0421182528789942,TRUE,FALSE,"sig."
"COLGALT1",0.00095459447208764,0.0393332942390031,0.0432837751124662,TRUE,FALSE,"sig."
"SIGLEC10",0.000961601072669257,0.0652157124610979,0.0432837751124662,TRUE,FALSE,"sig."
"INSIG1",0.000976264624072662,-0.081925258322275,0.0434143702102674,TRUE,FALSE,"sig."
"PFDN2",0.000989377944832782,-0.0603925378237594,0.0434737380283071,TRUE,FALSE,"sig."
"PRCP",0.00104505873738296,-0.0369158183200422,0.043833088632733,TRUE,FALSE,"sig."
"RDH11",0.00101396410385959,-0.015242864621344,0.043833088632733,TRUE,FALSE,"sig."
"SLC25A5",0.00103543136389005,-0.276438184475781,0.043833088632733,TRUE,TRUE,"sig."
"TMEM18",0.00103259233673603,-0.0330972079626413,0.043833088632733,TRUE,FALSE,"sig."
"ABRACL",0.00112194341615076,-0.141679179131858,0.0461945587168301,TRUE,FALSE,"sig."
"C4orf3",0.00112639129897445,-0.0971697215683039,0.0461945587168301,TRUE,FALSE,"sig."
"PLTP",0.00114328033233005,0.111874322858059,0.0463719528201121,TRUE,FALSE,"sig."
"ENO1",0.0012375845634039,0.192412973089479,0.0480834170897241,TRUE,FALSE,"sig."
"ESD",0.00123200010714143,-0.0438386322448848,0.0480834170897241,TRUE,FALSE,"sig."
"PCMT1",0.00121872827592456,-0.0274051911097472,0.0480834170897241,TRUE,FALSE,"sig."
"PDHB",0.00122128688196098,-0.0126919386595908,0.0480834170897241,TRUE,FALSE,"sig."
"ATP6AP2",0.00128391483095381,-0.120198461864432,0.0491529240185146,TRUE,FALSE,"sig."
"ATP6V1D",0.00131837970139067,-0.0543202211314943,0.0491529240185146,TRUE,FALSE,"sig."
"CACYBP",0.00129689371018791,-0.0901868499589836,0.0491529240185146,TRUE,FALSE,"sig."
"SLC25A40",0.00131606316670331,-0.0178361448460344,0.0491529240185146,TRUE,FALSE,"sig."
"ADAMTS2",0.00143342218739076,0.0369410591040476,0.0498518284695069,TRUE,FALSE,"sig."
