"","p_val","avg_log2FC","p_val_adj","sig","fc_thresh","test_status"
"CAPG",6.89273146749939e-08,0.22058665528506,0.000152467220061087,TRUE,FALSE,"sig."
"SEC61A1",1.18546402092993e-06,0.0253606378246835,0.0013111232071485,TRUE,FALSE,"sig."
"BCL2A1",3.77170950662724e-06,-0.53052629960904,0.00189456900196145,TRUE,TRUE,"sig."
"H3F3A",4.28247966085319e-06,-0.686022297427703,0.00189456900196145,TRUE,TRUE,"sig."
"IL1R2",3.68919956231636e-06,0.187600644371748,0.00189456900196145,TRUE,FALSE,"sig."
"FKBP5",5.43389438264465e-06,0.0875432661560199,0.00200329572906833,TRUE,FALSE,"sig."
"TYMP",1.08201452934685e-05,0.321930524851627,0.00341916591273605,TRUE,TRUE,"sig."
"GRN",1.45759704722403e-05,0.196592644728154,0.00403025583557445,TRUE,FALSE,"sig."
"MT2A",3.00063395186282e-05,0.648960831897871,0.00686567949834034,TRUE,TRUE,"sig."
"SARAF",3.10383340792963e-05,-0.0519499079194015,0.00686567949834034,TRUE,FALSE,"sig."
"ALOX5AP",3.5458104900614e-05,-0.378111589808053,0.00713030254910529,TRUE,TRUE,"sig."
"YPEL5",4.9250756982182e-05,-0.0775655992095869,0.00907855620371554,TRUE,FALSE,"sig."
"ANXA2",5.59966620367079e-05,0.226803541380043,0.00952804741732292,TRUE,FALSE,"sig."
"IL10RA",9.18250991524904e-05,0.0304195392835384,0.0137903338766182,TRUE,FALSE,"sig."
"LYRM2",0.000102606055573614,-0.0154576362014421,0.0137903338766182,TRUE,FALSE,"sig."
"MRPL33",0.000105983578617771,-0.0375183607574848,0.0137903338766182,TRUE,FALSE,"sig."
"RPL38",0.000101065757871533,0.155987793669465,0.0137903338766182,TRUE,FALSE,"sig."
"IFI27",0.000142217568363937,0.429055863893764,0.0174769589567238,TRUE,TRUE,"sig."
"HMOX1",0.000181832437430693,0.193457414490158,0.021169123768247,TRUE,FALSE,"sig."
"CCL8",0.000257397481074761,0.0823366613134126,0.0237156652114037,TRUE,FALSE,"sig."
"CCNI",0.000261721155928616,-0.112659688175831,0.0237156652114037,TRUE,FALSE,"sig."
"MYO1G",0.000260819395634163,0.0685111274384765,0.0237156652114037,TRUE,FALSE,"sig."
"NKG7",0.000225825206885105,0.0789836473955895,0.0237156652114037,TRUE,FALSE,"sig."
"ODF3B",0.000268034190906461,0.0711302252827169,0.0237156652114037,TRUE,FALSE,"sig."
"S100A9",0.00022295750837722,0.647742656158232,0.0237156652114037,TRUE,TRUE,"sig."
"CD163",0.000303999884438713,0.306228359810251,0.0246273124309489,TRUE,TRUE,"sig."
"MAT2A",0.000309667570852628,0.0251395245046798,0.0246273124309489,TRUE,FALSE,"sig."
"TCIRG1",0.000311738132037328,0.0969447661341232,0.0246273124309489,TRUE,FALSE,"sig."
"SBDS",0.000392235465677971,-0.0125896770719203,0.0279878983896669,TRUE,FALSE,"sig."
"TOMM20",0.000372579208443953,-0.0167000193461269,0.0279878983896669,TRUE,FALSE,"sig."
"YWHAZ",0.000385478173506163,-0.0894721129382784,0.0279878983896669,TRUE,FALSE,"sig."
"VAPA",0.000408378934592508,-0.0508473179913758,0.0282291938537071,TRUE,FALSE,"sig."
"CNIH1",0.000426887979974639,-0.038418107560006,0.0282533385497439,TRUE,FALSE,"sig."
"H3F3B",0.00043427373901053,-0.394760823335318,0.0282533385497439,TRUE,TRUE,"sig."
"GLUL",0.000455250960915764,0.170496414111988,0.0287718607298763,TRUE,FALSE,"sig."
"TCN2",0.000527270256291907,0.0346181148356868,0.0323978279699361,TRUE,FALSE,"sig."
"ATP6V1G1",0.000581469265836942,-0.318155238557687,0.0347624328657112,TRUE,TRUE,"sig."
"DYNC1H1",0.000721046822510001,0.0324653672088306,0.0419725150366348,TRUE,FALSE,"sig."
