"","p_val","avg_log2FC","p_val_adj","sig","fc_thresh","test_status"
"APOBEC3G",5.85826557225876e-05,-0.181559804426638,0.0512710577805593,FALSE,FALSE,"NS"
"ARL6IP5",0.000169678013102042,-0.0699491338775088,0.0512710577805593,FALSE,FALSE,"NS"
"CD2",0.000211106465952879,0.010185911807208,0.0512710577805593,FALSE,FALSE,"NS"
"CD3G",0.000173772703550664,-0.0940595396005397,0.0512710577805593,FALSE,FALSE,"NS"
"EMC3",0.000184506920406439,-0.100564220211202,0.0512710577805593,FALSE,FALSE,"NS"
"EP400",0.000220224677715154,-0.0309138031883081,0.0512710577805593,FALSE,FALSE,"NS"
"GNLY",0.000210998041889045,-1.05872709979387,0.0512710577805593,FALSE,TRUE,"NS"
"H3F3A",0.000107649236889275,-0.445980692793201,0.0512710577805593,FALSE,TRUE,"NS"
"H3F3B",0.000186391096519971,-0.376235162335598,0.0512710577805593,FALSE,TRUE,"NS"
"IFI27",0.000140836181528125,0.253316155744593,0.0512710577805593,FALSE,TRUE,"NS"
"PIGT",0.000187406437616844,-0.053940460067883,0.0512710577805593,FALSE,FALSE,"NS"
"RPL3",6.09288638492606e-05,0.576484669509925,0.0512710577805593,FALSE,TRUE,"NS"
"TAP1",5.94109207410383e-05,0.123751930711448,0.0512710577805593,FALSE,FALSE,"NS"
"TXNIP",0.000206272170124,0.668115782945155,0.0512710577805593,FALSE,TRUE,"NS"
"UBL5",0.000194627087421122,-0.137720377261363,0.0512710577805593,FALSE,FALSE,"NS"
"ZYX",0.000115107835647327,0.152101989782838,0.0512710577805593,FALSE,FALSE,"NS"
"KLRC2",0.000240317086755455,-0.0505773791707408,0.0526577145978864,FALSE,FALSE,"NS"
"FKBP5",0.000303101232838248,0.218443053616744,0.0627251162401374,FALSE,FALSE,"NS"
"RPS11",0.00033358494110696,0.148589150046132,0.0654002055591276,FALSE,FALSE,"NS"
"POLR2J",0.000414339624549259,-0.115120492383908,0.0732546573087459,FALSE,FALSE,"NS"
"PTMA",0.000432644955917426,-0.328206127026878,0.0732546573087459,FALSE,TRUE,"NS"
"ZNFX1",0.00042011169145917,0.0787218726185879,0.0732546573087459,FALSE,FALSE,"NS"
"ATP5F1D",0.000482914315991358,0.288842707470273,0.0749523261278253,FALSE,TRUE,"NS"
"POP5",0.000481405080885325,-0.0567640633275051,0.0749523261278253,FALSE,FALSE,"NS"
"ATP6V1G1",0.000505368941783207,-0.300835813405163,0.0752999723256978,FALSE,TRUE,"NS"
"CCDC32",0.000575593565225065,-0.0653146714838501,0.0816008517735551,FALSE,FALSE,"NS"
"DUSP2",0.000641662000478167,0.274504972431181,0.0816008517735551,FALSE,TRUE,"NS"
"GIMAP7",0.000596884448975183,0.302162606834435,0.0816008517735551,FALSE,TRUE,"NS"
"GTPBP4",0.000615742559465237,-0.030021673899286,0.0816008517735551,FALSE,FALSE,"NS"
"RNMT",0.000657188067974941,-0.133950146205885,0.0816008517735551,FALSE,FALSE,"NS"
"B9D2",0.000808069274955959,-0.0422270278259427,0.0851733067005529,FALSE,FALSE,"NS"
"BHLHE40",0.000793013378268882,-0.185314627231171,0.0851733067005529,FALSE,FALSE,"NS"
"C12orf10",0.000828435831915444,-0.0205432787933474,0.0851733067005529,FALSE,FALSE,"NS"
"DDIT4",0.00078413904611136,0.224920120691784,0.0851733067005529,FALSE,FALSE,"NS"
"PFDN5",0.00091461268940191,-0.068835118526401,0.0851733067005529,FALSE,FALSE,"NS"
"SLFN5",0.000876267637291756,0.11622528159459,0.0851733067005529,FALSE,FALSE,"NS"
"SPTSSA",0.000899775718007592,-0.0308489831832251,0.0851733067005529,FALSE,FALSE,"NS"
"TAGLN2",0.000889918555499372,-0.494699828431554,0.0851733067005529,FALSE,TRUE,"NS"
"TRBC2",0.000722690020916268,-0.143766611775664,0.0851733067005529,FALSE,FALSE,"NS"
"UFD1",0.000901648939086409,-0.0687804606057421,0.0851733067005529,FALSE,FALSE,"NS"
"PSMD9",0.000949254350035533,-0.0226986473407941,0.0862432305824966,FALSE,FALSE,"NS"
"IPCEF1",0.00108773320624545,0.0553107356220856,0.0957675916887652,FALSE,FALSE,"NS"
"SRRM1",0.00110550508526628,-0.232872607169717,0.0957675916887652,FALSE,FALSE,"NS"
"BZW2",0.00124766841716643,-0.0142637612053772,0.101214406176076,FALSE,FALSE,"NS"
"MRPS15",0.00121714214812849,-0.0302492034314718,0.101214406176076,FALSE,FALSE,"NS"
"RNF10",0.00124989602257705,0.0727880324390188,0.101214406176076,FALSE,FALSE,"NS"
"COPS2",0.00130824265523727,-0.0420041324908643,0.101822833484759,FALSE,FALSE,"NS"
"HLA-A",0.00131207946503851,0.548969788790349,0.101822833484759,FALSE,TRUE,"NS"
"AP2A1",0.00162300224004751,0.0415355538247469,0.104235919727189,FALSE,FALSE,"NS"
"ATRAID",0.0015952415260986,-0.0235862309318745,0.104235919727189,FALSE,FALSE,"NS"
"BZW1",0.00162062212775648,-0.161711588356193,0.104235919727189,FALSE,FALSE,"NS"
"DLD",0.00140215076641589,-0.0248421385194987,0.104235919727189,FALSE,FALSE,"NS"
"GLIPR1",0.00157283838097045,-0.0300416646197449,0.104235919727189,FALSE,FALSE,"NS"
"LPCAT3",0.00141561782238465,-0.0255773655090379,0.104235919727189,FALSE,FALSE,"NS"
"POLR2E",0.00151002918829051,-0.00270077234593538,0.104235919727189,FALSE,FALSE,"NS"
"RPL4",0.00152082385441281,0.343427930281366,0.104235919727189,FALSE,TRUE,"NS"
"RPL8",0.00144771767935978,0.185564611366733,0.104235919727189,FALSE,FALSE,"NS"
"RPS9",0.00153309231811052,0.463569384998572,0.104235919727189,FALSE,TRUE,"NS"
"PARP8",0.00178213876666388,0.123418353278611,0.108839640930779,FALSE,FALSE,"NS"
"PTGES3",0.0017652871039369,-0.1263977663825,0.108839640930779,FALSE,FALSE,"NS"
"SUPT4H1",0.0017823404286651,-0.094315749538619,0.108839640930779,FALSE,FALSE,"NS"
"RPL23A",0.00184231438333354,0.47070792833182,0.109233279548078,FALSE,TRUE,"NS"
"TOX4",0.00184743533195407,-0.076257163448791,0.109233279548078,FALSE,FALSE,"NS"
"MRPL37",0.00194528937952201,-0.0122732360517941,0.113221920917492,FALSE,FALSE,"NS"
"MIR4435-2HG",0.00197976173636197,-0.0417714246754347,0.113455576429974,FALSE,FALSE,"NS"
"ABLIM1",0.00202188704434515,-0.050414243966717,0.113921725439134,FALSE,FALSE,"NS"
"TMEM126B",0.00204906190722738,-0.0443143737011414,0.113921725439134,FALSE,FALSE,"NS"
"ING3",0.00222186970416232,-0.0160080391756237,0.118235209257209,FALSE,FALSE,"NS"
"NSMCE4A",0.00220712626701457,0.0368060683871035,0.118235209257209,FALSE,FALSE,"NS"
"PRPS1",0.00216411548925915,-0.0505807969434997,0.118235209257209,FALSE,FALSE,"NS"
"COX7A2L",0.00226148296641919,-0.1268637735628,0.118648226055091,FALSE,FALSE,"NS"
"WARS",0.00231403722835998,0.01790408720188,0.119719287161679,FALSE,FALSE,"NS"
"IFIT1",0.002347281942434,0.0672817469132034,0.119775688158447,FALSE,FALSE,"NS"
"CCDC82",0.00241228788260073,-0.0325197384961926,0.121429356252537,FALSE,FALSE,"NS"
"PREP",0.00246272901453573,0.0388880071204302,0.122315541055275,FALSE,FALSE,"NS"
"PKM",0.00252254192546185,0.0979391776215823,0.123637745688755,FALSE,FALSE,"NS"
"RPN2",0.00257775985567792,-0.0515988956695916,0.12470331769351,FALSE,FALSE,"NS"
"RPS10",0.00271193136839171,0.531143537285226,0.126274304340739,FALSE,TRUE,"NS"
"SELL",0.00265939211143979,-0.0507154626277917,0.126274304340739,FALSE,FALSE,"NS"
"YBX1",0.0027086574740059,0.25545687534676,0.126274304340739,FALSE,TRUE,"NS"
"PFDN4",0.00280996498632633,-0.0716718182188043,0.127575171578246,FALSE,FALSE,"NS"
"PRPF31",0.00283173527887618,-0.0243073245327781,0.127575171578246,FALSE,FALSE,"NS"
"TOP2A",0.00284261456134079,0.00422172356644509,0.127575171578246,FALSE,FALSE,"NS"
"GBP1",0.00290314443067299,0.070645757517453,0.128740631003058,FALSE,FALSE,"NS"
"EIF1B",0.00294970644818037,-0.029159554176937,0.129266547287904,FALSE,FALSE,"NS"
"BUD23",0.0030171711436601,-0.0137452202954593,0.129374959723858,FALSE,FALSE,"NS"
"MAGOH",0.00302164335462433,-0.178055476394019,0.129374959723858,FALSE,FALSE,"NS"
"ARHGDIB",0.00328852100123109,-0.032861374554234,0.130332002933753,FALSE,FALSE,"NS"
"DBF4",0.00322420688613675,-0.0164038981419433,0.130332002933753,FALSE,FALSE,"NS"
"FLII",0.00320223564158786,-0.00155747570953443,0.130332002933753,FALSE,FALSE,"NS"
"MRPL13",0.00311813040516037,-0.041118244343774,0.130332002933753,FALSE,FALSE,"NS"
"PSMB8-AS1",0.00311228579499739,-0.0677309606276616,0.130332002933753,FALSE,FALSE,"NS"
"RBM25",0.00324679907858573,-0.0575517706105754,0.130332002933753,FALSE,FALSE,"NS"
"SHKBP1",0.00328891497336182,-0.0952589450295302,0.130332002933753,FALSE,FALSE,"NS"
"CD3D",0.0034398759340835,-0.152071459021891,0.130883476546086,FALSE,FALSE,"NS"
"CDC26",0.00344337736953461,-0.0446099213150794,0.130883476546086,FALSE,FALSE,"NS"
"SNAP23",0.00334702873274542,-0.0478892270030164,0.130883476546086,FALSE,FALSE,"NS"
"TYMS",0.00340942942372217,0.0224484469739365,0.130883476546086,FALSE,FALSE,"NS"
"ADGRE5",0.00431390591632938,0.0805186060288645,0.131143663387636,FALSE,FALSE,"NS"
"ARF4",0.00410769944142819,0.0533895313284027,0.131143663387636,FALSE,FALSE,"NS"
