"","p_val","avg_log2FC","p_val_adj","sig","fc_thresh","test_status"
"CXCL8",9.73282992696822e-07,-1.62034224888751,0.00129251981430138,TRUE,TRUE,"sig."
"H3F3A",1.02782167497844e-05,-0.754600809341851,0.00454982394790456,TRUE,TRUE,"sig."
"YPEL5",8.13016178027033e-06,-0.0953860005955757,0.00454982394790456,TRUE,FALSE,"sig."
"NBPF26",1.56982270715182e-05,0.193601683760335,0.00521181138774404,TRUE,FALSE,"sig."
"BIRC3",6.13445481586295e-05,0.0446615399869835,0.00960924580010946,TRUE,FALSE,"sig."
"HLA-A",4.71389259730342e-05,0.68382505455796,0.00960924580010946,TRUE,TRUE,"sig."
"IRAK3",6.51229007537539e-05,0.192003933771575,0.00960924580010946,TRUE,FALSE,"sig."
"S100A11",5.64923780736877e-05,-0.563176566299489,0.00960924580010946,TRUE,TRUE,"sig."
"SRGN",4.62402594339901e-05,-0.655100528196904,0.00960924580010946,TRUE,TRUE,"sig."
"AC084871.2",0.000102516032504737,0.0687923042648752,0.0124316037385023,TRUE,FALSE,"sig."
"NIPBL",0.000102972621327956,0.0239884027112548,0.0124316037385023,TRUE,FALSE,"sig."
"DDX60L",0.000125959629952717,0.193218453142089,0.0128672606597852,TRUE,FALSE,"sig."
"NCF1",0.000123299728944618,0.239832600221889,0.0128672606597852,TRUE,FALSE,"sig."
"ARAP1",0.000147970710872294,0.0575318943494902,0.0140360788598862,TRUE,FALSE,"sig."
"MT2A",0.000175701356878497,0.348042099654791,0.0145832126209153,TRUE,TRUE,"sig."
"NOP10",0.000165319556052228,-0.504438351719693,0.0145832126209153,TRUE,TRUE,"sig."
"RIPOR2",0.000223201497427475,0.178872538668858,0.0174359757990404,TRUE,FALSE,"sig."
"IL1R2",0.000290705072847391,0.249503522616149,0.0214475742634075,TRUE,FALSE,"sig."
"TNFRSF1B",0.000340899580371118,0.188457657635789,0.0238270864596234,TRUE,FALSE,"sig."
"H2AFZ",0.000470224468682464,-0.0740266045407425,0.0303959101546084,TRUE,FALSE,"sig."
"TCIRG1",0.000480658217806308,0.0776568549632109,0.0303959101546084,TRUE,FALSE,"sig."
"TNFAIP3",0.000573992052333466,0.316953072652772,0.0346482475226747,TRUE,TRUE,"sig."
"ARHGAP30",0.000617296709875318,0.0340861212655642,0.0356421752484531,TRUE,FALSE,"sig."
"TNIP1",0.000649753737556589,0.159987942386808,0.0359530401447979,TRUE,FALSE,"sig."
"FKBP5",0.000745401384995207,0.0566152770914532,0.0380728092028321,TRUE,FALSE,"sig."
"RILPL2",0.000741572912348647,0.233250480344899,0.0380728092028321,TRUE,FALSE,"sig."
"CEBPB",0.000800917022309929,-0.339344627534059,0.0390684310066977,TRUE,TRUE,"sig."
"HIST2H2AA3",0.000853150978308911,0.0506905483861451,0.0390684310066977,TRUE,FALSE,"sig."
"PRKCD",0.000828995550870124,0.0411307936294433,0.0390684310066977,TRUE,FALSE,"sig."
"NFKB2",0.000920910426115039,0.10874281157323,0.0407656348626924,TRUE,FALSE,"sig."
"ACSL5",0.00104984360695773,0.0584840231612127,0.0418049064501393,TRUE,FALSE,"sig."
"CHD2",0.00107541994965753,0.0541517543166801,0.0418049064501393,TRUE,FALSE,"sig."
"ECE1",0.00100988183352864,0.0636291147572271,0.0418049064501393,TRUE,FALSE,"sig."
"PLEKHO2",0.00102770147020991,0.0636059425985367,0.0418049064501393,TRUE,FALSE,"sig."
"RNF144B",0.00110178593806843,0.0821475657190355,0.0418049064501393,TRUE,FALSE,"sig."
"FAU",0.00115994011059428,-0.270025062572904,0.0427889018574779,TRUE,TRUE,"sig."
"NADK",0.00121077724650287,0.080617544748686,0.0434570860366436,TRUE,FALSE,"sig."
"GBP2",0.00136656187222595,0.113419106097255,0.0455896529414483,TRUE,FALSE,"sig."
"H3F3B",0.00132988674623459,-0.379987415239361,0.0455896529414483,TRUE,TRUE,"sig."
"OGA",0.00144184143338918,0.0483286230261423,0.0455896529414483,TRUE,FALSE,"sig."
"PTPN6",0.00140103848691034,0.0701694035544663,0.0455896529414483,TRUE,FALSE,"sig."
"SMAP2",0.00143685105945686,0.0855965519071906,0.0455896529414483,TRUE,FALSE,"sig."
"TFE3",0.00152151094004133,0.0219728796180896,0.0469899192645322,TRUE,FALSE,"sig."
"CD22",0.00157132401497569,0.0607454263785754,0.0470410505757761,TRUE,FALSE,"sig."
"ELOC",0.00159401150294422,-0.0799389504674515,0.0470410505757761,TRUE,FALSE,"sig."
"CAMKK2",0.0017169530669547,0.0540468944154619,0.0495676885416488,TRUE,FALSE,"sig."
"GABARAP",0.00175447859871538,-0.438261824680817,0.0495733527466815,TRUE,TRUE,"sig."
"PHC2",0.00188650759610442,0.0524876566641876,0.0521933768255555,FALSE,FALSE,"NS"
"ALPK1",0.00197087646320947,0.0315970883978743,0.0525357433198085,FALSE,FALSE,"NS"
"KCNJ2",0.00197800238402894,0.044872408570135,0.0525357433198085,FALSE,FALSE,"NS"
"CLEC4A",0.00208482023133889,-0.0789495123623919,0.0532431012926547,FALSE,FALSE,"NS"
"GBP1",0.00205566445090214,0.260613935907641,0.0532431012926547,FALSE,TRUE,"NS"
"AL391832.3",0.00232694429617222,0.0376192872104819,0.0537178785737048,FALSE,FALSE,"NS"
"CLEC4E",0.00223395875520724,0.215778478101691,0.0537178785737048,FALSE,FALSE,"NS"
"EHD1",0.00231725133481813,0.0896931490682136,0.0537178785737048,FALSE,FALSE,"NS"
"MYL12B",0.0022320075411202,-0.107912563851428,0.0537178785737048,FALSE,FALSE,"NS"
"RELB",0.00226113710344033,0.0540962772894182,0.0537178785737048,FALSE,FALSE,"NS"
"VAV1",0.00234611216662265,0.0401302014505088,0.0537178785737048,FALSE,FALSE,"NS"
"SH3BGRL3",0.00243316562438976,-0.370939765109337,0.0547668465964339,FALSE,TRUE,"NS"
"ALOX5AP",0.00251692007098241,-0.48463696782773,0.0557078309044107,FALSE,TRUE,"NS"
"N4BP2L2",0.00258023856457779,0.0610967383938358,0.0561730625206442,FALSE,FALSE,"NS"
"COL6A3",0.00262934750275785,NA,0.0563189271558455,FALSE,NA,"NS"
"RAB2A",0.00273504228642068,-0.028397468606518,0.0570936259123836,FALSE,FALSE,"NS"
"RNF213",0.00275150004397029,0.375817461517165,0.0570936259123836,FALSE,TRUE,"NS"
"BNIP2",0.00309418305959373,-0.0279198961920716,0.0622587136839467,FALSE,FALSE,"NS"
"TOM1",0.00307287469310989,0.122713065733137,0.0622587136839467,FALSE,FALSE,"NS"
"B2M",0.00325060708544439,-0.685218487364166,0.0634824442569139,FALSE,TRUE,"NS"
"LIMK2",0.00320522263471674,0.120464997715188,0.0634824442569139,FALSE,FALSE,"NS"
"KPNB1",0.00341136049029972,0.0373048716865673,0.0656563294364931,FALSE,FALSE,"NS"
"ZFP36L2",0.00349730017542947,0.0357593528327009,0.0663487804710049,FALSE,FALSE,"NS"
"CD82",0.00357985012158018,0.134342128871773,0.0667073598993388,FALSE,FALSE,"NS"
"TRIM56",0.00361666409092801,0.0408797826297645,0.0667073598993388,FALSE,FALSE,"NS"
"FCER1G",0.00377323302334096,-0.456410093035543,0.067792378432308,FALSE,TRUE,"NS"
"MYO1F",0.0037775873524027,0.0824243231908593,0.067792378432308,FALSE,FALSE,"NS"
"FGR",0.00403656065735992,0.128480061300066,0.070063442834175,FALSE,FALSE,"NS"
"SLC9A8",0.00405212466803876,0.0254150835975709,0.070063442834175,FALSE,FALSE,"NS"
"UQCRQ",0.00406241347758394,-0.0284658960842848,0.070063442834175,FALSE,FALSE,"NS"
"SAMSN1",0.00412084012425301,0.196823904288121,0.0701599446795898,FALSE,FALSE,"NS"
"CDC42EP3",0.00418170307650385,-0.125931857376262,0.0702949580455331,FALSE,FALSE,"NS"
"NBPF14",0.00433093597573296,0.040620913254694,0.0718935371971672,FALSE,FALSE,"NS"
"CFLAR",0.00456903905408621,0.120291548919577,0.0730098328909666,FALSE,FALSE,"NS"
"DPH3",0.00456823401369722,-0.0416320140260668,0.0730098328909666,FALSE,FALSE,"NS"
"RAP1A",0.00458662578254693,-0.074744071925794,0.0730098328909666,FALSE,FALSE,"NS"
"TXNIP",0.00461809183948885,0.321009637024803,0.0730098328909666,FALSE,TRUE,"NS"
"HLA-B",0.00476781357423588,0.486237243599844,0.0731023860769305,FALSE,TRUE,"NS"
"HLA-F",0.00478908703967843,0.0994327390037432,0.0731023860769305,FALSE,FALSE,"NS"
"MAP3K11",0.00474956571361409,0.0297480008506242,0.0731023860769305,FALSE,FALSE,"NS"
"S100A6",0.00499148784195498,-0.394226272039604,0.0753260892513207,FALSE,TRUE,"NS"
"FMNL1",0.00526261948335686,0.0836341502764441,0.0762048544787877,FALSE,FALSE,"NS"
"HIST1H2AC",0.00524609159341694,0.0417365911375651,0.0762048544787877,FALSE,FALSE,"NS"
"WDR83OS",0.00527925196690397,-0.0251001632517856,0.0762048544787877,FALSE,FALSE,"NS"
"ZNFX1",0.00514557051433816,0.0563606932224632,0.0762048544787877,FALSE,FALSE,"NS"
"CCNI",0.00543993233842842,-0.0357631294461183,0.0768535121854568,FALSE,FALSE,"NS"
"TMEM167A",0.00541098979304031,-0.0204809489075035,0.0768535121854568,FALSE,FALSE,"NS"
"GRAMD1A",0.00550407897804724,0.0882489613721736,0.0769412303457551,FALSE,FALSE,"NS"
"PSTPIP2",0.00563727548658039,0.0726389403165046,0.0772604214286323,FALSE,FALSE,"NS"
"XRN1",0.00564326873386848,0.0402858152939002,0.0772604214286323,FALSE,FALSE,"NS"
"ADAR",0.0059420941024013,0.0984348986138494,0.0805214384488666,FALSE,FALSE,"NS"
"CASP5",0.00604739222212509,0.0275824948636853,0.0811205744543648,FALSE,FALSE,"NS"
"FCGR3B",0.00626821223324256,0.103909384696977,0.0826410710231611,FALSE,FALSE,"NS"
"GAS7",0.00634743165991147,0.0332359907872406,0.0826410710231611,FALSE,FALSE,"NS"
"SAMD9L",0.00634003652624167,0.054817708062296,0.0826410710231611,FALSE,FALSE,"NS"
"TMBIM6",0.00643892685455278,-0.090835407421492,0.0830183967266611,FALSE,FALSE,"NS"
"S100A9",0.00695352563826796,0.637181472523357,0.0887911735348063,FALSE,TRUE,"NS"
"ARGLU1",0.00704956264968266,0.0388271249730135,0.0891601828455102,FALSE,FALSE,"NS"
"CCDC88B",0.00733984423169506,0.0292462947354558,0.0907225699473005,FALSE,FALSE,"NS"
"FLNA",0.00743398621627921,0.0789440206111064,0.0907225699473005,FALSE,FALSE,"NS"
"S100A4",0.00738178149072958,-0.36229365414937,0.0907225699473005,FALSE,TRUE,"NS"
"TNFAIP2",0.00744635551525283,0.199243753091276,0.0907225699473005,FALSE,FALSE,"NS"
"ARHGAP25",0.00772279112208013,0.0259100401023304,0.0926622216857679,FALSE,FALSE,"NS"
"EP300",0.00777459289565146,0.0238159766106184,0.0926622216857679,FALSE,FALSE,"NS"
"YWHAZ",0.00781488616626958,-0.0861350550616862,0.0926622216857679,FALSE,FALSE,"NS"
"ST20",0.00794487485829945,-0.0406505947382842,0.0933698567417847,FALSE,FALSE,"NS"
