"","p_val","avg_log2FC","p_val_adj","sig","fc_thresh","test_status"
"C12orf57",4.35611759675726e-05,-0.249103044013256,0.0198084243114723,TRUE,FALSE,"sig."
"ELAVL1",9.8911178759111e-06,0.634733644772243,0.0198084243114723,TRUE,TRUE,"sig."
"GAPDH",2.8791616969723e-05,1.25451168265579,0.0198084243114723,TRUE,TRUE,"sig."
"IGHV7-4-1",2.14265005452737e-05,NA,0.0198084243114723,TRUE,NA,"sig."
"PPIA",2.78092419234256e-05,1.46488947190959,0.0198084243114723,TRUE,TRUE,"sig."
"RAC1",3.24323015274674e-05,1.05783550924854,0.0198084243114723,TRUE,TRUE,"sig."
"RGS16",3.56735910017179e-05,-0.23331248649811,0.0198084243114723,TRUE,FALSE,"sig."
"RNF145",4.37298753223998e-05,0.198239606254394,0.0198084243114723,TRUE,FALSE,"sig."
"RPL11",1.20460030030182e-05,0.641119489848297,0.0198084243114723,TRUE,TRUE,"sig."
"RPL13",3.60069304390403e-05,1.25969477635694,0.0198084243114723,TRUE,TRUE,"sig."
"RPL35",2.15016163060811e-05,1.0203392677507,0.0198084243114723,TRUE,TRUE,"sig."
"RPS10",4.45571192160208e-05,2.15520893381498,0.0198084243114723,TRUE,TRUE,"sig."
"RPS18",3.86891185226816e-05,1.51599608850652,0.0198084243114723,TRUE,TRUE,"sig."
"RPS28",3.38491987385968e-05,1.10468465448656,0.0198084243114723,TRUE,TRUE,"sig."
"SRSF9",4.01256464619224e-05,1.02623904642958,0.0198084243114723,TRUE,TRUE,"sig."
"TAF10",1.19172104248248e-05,0.178700585495064,0.0198084243114723,TRUE,FALSE,"sig."
"RPL36A",6.82153930754724e-05,1.65305014150938,0.0271955495720935,TRUE,TRUE,"sig."
"RPS29",6.88204544211562e-05,2.01043686898493,0.0271955495720935,TRUE,TRUE,"sig."
"RPS4X",0.00010820355344199,0.936056835376966,0.040507993454362,TRUE,TRUE,"sig."
"NENF",0.000113958707183314,0.302225515825186,0.0405294142097455,TRUE,TRUE,"sig."
"CLPTM1L",0.000154957408068029,0.456772207496297,0.0468983227194435,TRUE,TRUE,"sig."
"CYTOR",0.000186097470726537,0.0230507328461178,0.0468983227194435,TRUE,FALSE,"sig."
