"","p_val","avg_log2FC","p_val_adj","sig","fc_thresh","test_status"
"ZC3H7A",9.13306970032656e-07,0.197801781979748,0.00681600991735371,TRUE,FALSE,"sig."
"TRIM38",4.80902039403473e-06,0.172366692667022,0.0179448596003406,TRUE,FALSE,"sig."
"ARMC8",0.000178202528968307,-0.0149766892279193,0.0287119928174167,TRUE,FALSE,"sig."
"ATP6V1G1",0.000121055532877734,-0.51436357095282,0.0287119928174167,TRUE,TRUE,"sig."
"BOP1",0.000163596072849326,0.101063340734862,0.0287119928174167,TRUE,FALSE,"sig."
"C2orf49",3.87602370784146e-05,0.0907673659135522,0.0287119928174167,TRUE,FALSE,"sig."
"CAB39",0.00019236227266124,0.0812094315695515,0.0287119928174167,TRUE,FALSE,"sig."
"CCNI",0.000112635416385463,-0.484133631696092,0.0287119928174167,TRUE,TRUE,"sig."
"CLSPN",0.000188568565843845,-0.0075617384958693,0.0287119928174167,TRUE,FALSE,"sig."
"CRK",6.64412151578024e-05,0.0568557537334958,0.0287119928174167,TRUE,FALSE,"sig."
"CTSD",6.29103713454857e-05,0.344003719792913,0.0287119928174167,TRUE,TRUE,"sig."
"CYC1",0.000191684215573383,0.355384939131114,0.0287119928174167,TRUE,TRUE,"sig."
"DAZAP1",0.000147192064357789,0.123546278890012,0.0287119928174167,TRUE,FALSE,"sig."
"DAZAP2",2.70338451718363e-05,-0.715856888574489,0.0287119928174167,TRUE,TRUE,"sig."
"DDX59",0.000106655782381843,0.0767087471796842,0.0287119928174167,TRUE,FALSE,"sig."
"DHX38",9.60958821443492e-05,-0.218007579551705,0.0287119928174167,TRUE,FALSE,"sig."
"DIS3",4.88939475669006e-05,-0.029294063178269,0.0287119928174167,TRUE,FALSE,"sig."
"EEPD1",3.74342248016717e-05,-0.0745691428570203,0.0287119928174167,TRUE,FALSE,"sig."
"ELP1",0.000122954692551405,-0.0322639260782684,0.0287119928174167,TRUE,FALSE,"sig."
"FAM204A",0.00015916238474609,-0.271537660829217,0.0287119928174167,TRUE,TRUE,"sig."
"G3BP2",0.000110942704194815,-0.422760443020094,0.0287119928174167,TRUE,TRUE,"sig."
"GYS1",0.000147200780095526,-0.0357686597129821,0.0287119928174167,TRUE,FALSE,"sig."
"HIST1H2AC",0.000163771475631879,0.0255282843205572,0.0287119928174167,TRUE,FALSE,"sig."
"IL10",0.000190412704028847,0.113578453029475,0.0287119928174167,TRUE,FALSE,"sig."
"JAKMIP1",0.00014340208206324,0.123535133073333,0.0287119928174167,TRUE,FALSE,"sig."
"LYRM1",0.00017820859873449,-0.0362714928308112,0.0287119928174167,TRUE,FALSE,"sig."
"MAPKAPK5-AS1",6.97838898219602e-05,-0.264948765640429,0.0287119928174167,TRUE,TRUE,"sig."
"MED1",0.000188059191935964,-0.0511061115698795,0.0287119928174167,TRUE,FALSE,"sig."
"MTMR6",0.000177032201196647,-0.0438318426689631,0.0287119928174167,TRUE,FALSE,"sig."
"NABP1",0.000137219959372757,0.115020044639605,0.0287119928174167,TRUE,FALSE,"sig."
"NAPA-AS1",5.44018725821147e-05,-0.0312405669942167,0.0287119928174167,TRUE,FALSE,"sig."
"PMAIP1",0.00011447767405439,-0.434621251075293,0.0287119928174167,TRUE,TRUE,"sig."
"RAD50",0.000105721848131049,0.0652328891406262,0.0287119928174167,TRUE,FALSE,"sig."
"RBM18",3.32640823953435e-05,-0.110906835648218,0.0287119928174167,TRUE,FALSE,"sig."
"RBSN",8.20102357321891e-05,-0.0206726421756287,0.0287119928174167,TRUE,FALSE,"sig."
"RCN2",1.83624608777113e-05,0.276631226055667,0.0287119928174167,TRUE,TRUE,"sig."
"RGS16",9.14700673801525e-05,-0.0810015226119914,0.0287119928174167,TRUE,FALSE,"sig."
"RIOK3",0.000152145771022581,-0.312853255765854,0.0287119928174167,TRUE,TRUE,"sig."
"RNF5",0.000173101289002232,-0.0469012038937142,0.0287119928174167,TRUE,FALSE,"sig."
"RSRC2",6.34274894733738e-05,-0.540632903123215,0.0287119928174167,TRUE,TRUE,"sig."
"SCNM1",7.40516892539699e-05,-0.0909926027192932,0.0287119928174167,TRUE,FALSE,"sig."
"SERPINB8",0.000184817640696537,-0.0316771159019007,0.0287119928174167,TRUE,FALSE,"sig."
"SH3GL1",2.84510591757068e-05,0.0554083149532883,0.0287119928174167,TRUE,FALSE,"sig."
"SHISAL2A",0.000163569763593916,0.0590723934850405,0.0287119928174167,TRUE,FALSE,"sig."
"SLC25A26",0.000140133495809843,-0.070004020944955,0.0287119928174167,TRUE,FALSE,"sig."
"SNRNP35",0.00013549403857031,-0.0377921042905565,0.0287119928174167,TRUE,FALSE,"sig."
"SSBP4",2.52111846961813e-05,0.163383734434785,0.0287119928174167,TRUE,FALSE,"sig."
"SUN1",0.000167582873334551,-0.0133174790741333,0.0287119928174167,TRUE,FALSE,"sig."
"TAF10",4.39430280468427e-05,0.243642476739384,0.0287119928174167,TRUE,FALSE,"sig."
"UBL4A",0.000104912564266625,0.102735684803829,0.0287119928174167,TRUE,FALSE,"sig."
"ZNF836",0.000196780055223942,-0.0215195264191623,0.0287954814144369,TRUE,FALSE,"sig."
"CUX1",0.000202659799542767,-0.0235596835298073,0.0288286089597903,TRUE,FALSE,"sig."
"NEK1",0.00020684319875414,-0.0489144506890546,0.0288286089597903,TRUE,FALSE,"sig."
