"","p_val","avg_log2FC","p_val_adj","sig","fc_thresh","test_status"
"HLA-A",1.91584594211567e-05,0.705110472112034,0.157252634928854,FALSE,TRUE,"NS"
"CD163",7.07568822469452e-05,0.162180169364565,0.173526154728681,FALSE,FALSE,"NS"
"CUTA",8.45644028892207e-05,-0.487471899381164,0.173526154728681,FALSE,TRUE,"NS"
"SOD1",5.68246827912205e-05,-0.850352885309764,0.173526154728681,FALSE,TRUE,"NS"
"SLC15A3",0.000136567158541756,0.0602343906000411,0.224188647462147,FALSE,FALSE,"NS"
"FKBP5",0.000175630322872958,0.105939736077536,0.240262281690207,FALSE,FALSE,"NS"
"AKAP14",0.000339294228442736,-0.0917844068296921,0.297810727248514,FALSE,FALSE,"NS"
"DDX39B",0.000296022879358534,0.121680722589913,0.297810727248514,FALSE,FALSE,"NS"
"HLA-B",0.000424049710069204,0.751628437282884,0.297810727248514,FALSE,TRUE,"NS"
"LXN",0.000435395800070927,-0.123897294893445,0.297810727248514,FALSE,FALSE,"NS"
"MRPL53",0.000373267035563928,0.0782551941129914,0.297810727248514,FALSE,FALSE,"NS"
"SCP2",0.00032899294615834,-0.222320614661776,0.297810727248514,FALSE,FALSE,"NS"
"C4orf3",0.000510652197592032,-0.51989618930519,0.29901459578231,FALSE,TRUE,"NS"
"HMGCS1",0.00049663321244016,-0.120563226591186,0.29901459578231,FALSE,FALSE,"NS"
"ZNF295-AS1",0.000546444802233754,-0.054654341204525,0.29901459578231,FALSE,FALSE,"NS"
"SPCS1",0.000690269072075497,-0.611633933869177,0.35410803397473,FALSE,TRUE,"NS"
"IFIH1",0.000748626343565508,0.0666459991036272,0.361454413410923,FALSE,FALSE,"NS"
"MT-ND4L",0.000821270641382865,0.856004742626829,0.374499412470586,FALSE,TRUE,"NS"
"CDK2AP2",0.000895348472035234,-0.171697852159888,0.384066796540314,FALSE,FALSE,"NS"
"HSPA8",0.000935835274221039,-0.627927468369131,0.384066796540314,FALSE,TRUE,"NS"
"REXO2",0.00101907723018128,-0.24332803327167,0.398313614539426,FALSE,FALSE,"NS"
"C1orf189",0.00139378031973773,-0.0735599976660252,0.435511069169918,FALSE,FALSE,"NS"
"CCDC71",0.00124810535104607,0.0025791951540793,0.435511069169918,FALSE,FALSE,"NS"
"CIB1",0.00128936247191891,-0.949638890246362,0.435511069169918,FALSE,TRUE,"NS"
"GABARAPL2",0.00148566154200264,-0.389984982613846,0.435511069169918,FALSE,TRUE,"NS"
"MT-ND1",0.00146694488515044,0.64447589814802,0.435511069169918,FALSE,TRUE,"NS"
"NDUFA7",0.0013525570453538,0.180683005443864,0.435511069169918,FALSE,FALSE,"NS"
"SDHC",0.00119775660238352,-0.289032687087873,0.435511069169918,FALSE,TRUE,"NS"
"TMEM14C",0.00154340458601864,-0.273426283761074,0.436836718691069,FALSE,TRUE,"NS"
"NBDY",0.00164796351193259,-0.255811335710463,0.450882816864755,FALSE,TRUE,"NS"
"MPV17",0.00188943959409156,-0.0686250796456676,0.484641255884484,FALSE,FALSE,"NS"
"RPL37A",0.0018651791184243,0.586990071574025,0.484641255884484,FALSE,TRUE,"NS"
"AC013264.1",0.00219856204051752,-0.0837036266677643,0.487724249420751,FALSE,FALSE,"NS"
"CBWD5",0.00209398402850258,0.132284176090685,0.487724249420751,FALSE,FALSE,"NS"
"GTPBP8",0.00216996122501871,-0.0688592509933208,0.487724249420751,FALSE,FALSE,"NS"
"NUPR2",0.00205817242281968,-0.0181950820961473,0.487724249420751,FALSE,FALSE,"NS"
"RPS10",0.00204325569078141,1.13870007942268,0.487724249420751,FALSE,TRUE,"NS"
"ZC3H7A",0.00230402985454976,0.0376541589105968,0.497670448582749,FALSE,FALSE,"NS"
"GON7",0.00237495727820297,-0.144343310735757,0.499837162551025,FALSE,FALSE,"NS"
