"","p_val","avg_log2FC","p_val_adj","sig","fc_thresh","test_status"
"EEF1G",4.19868659456235e-06,1.63179644194276,0.0147727493751941,TRUE,TRUE,"sig."
"MATR3.1",4.98427788632532e-06,0.429087612928373,0.0147727493751941,TRUE,TRUE,"sig."
"MOB2",5.57322033772413e-06,-0.177952734305279,0.0147727493751941,TRUE,FALSE,"sig."
"RPS21P4",9.43279693437623e-06,NA,0.0187524003055399,TRUE,NA,"sig."
"DNAJC25-GNG10",2.44359860240372e-05,-0.0469308228158246,0.0388629921726288,TRUE,FALSE,"sig."
"RAC1",3.39677819171754e-05,-0.314470519204591,0.0450186336342299,TRUE,TRUE,"sig."
"ABCC4",9.89696400456963e-05,-0.0332811230639488,0.0500262274274138,FALSE,FALSE,"NS"
"ARL6IP4",0.000181227117308427,0.340155673587967,0.0500262274274138,FALSE,TRUE,"NS"
"CDC42BPB",0.000141753781484122,-0.0478828508768013,0.0500262274274138,FALSE,FALSE,"NS"
"MTND2P28",0.000105308049951776,-0.121133806864952,0.0500262274274138,FALSE,FALSE,"NS"
"NBPF26",0.000160434027548884,0.405629913385832,0.0500262274274138,FALSE,TRUE,"NS"
"NBPF8",6.98097510782773e-05,0.0994699696761588,0.0500262274274138,FALSE,FALSE,"NS"
"NCF1C",0.000182439712700578,0.358735001714799,0.0500262274274138,FALSE,TRUE,"NS"
"NDUFA13",0.000147427448101554,0.429643341577915,0.0500262274274138,FALSE,TRUE,"NS"
"NDUFA7",0.000108646248266921,0.169269461933398,0.0500262274274138,FALSE,FALSE,"NS"
"PRR13",0.000123498474105975,0.449087412670164,0.0500262274274138,FALSE,TRUE,"NS"
"PSMA3",0.000119475348158452,-0.0678686529710782,0.0500262274274138,FALSE,FALSE,"NS"
"RN7SK",4.80667632580893e-05,1.56140754093193,0.0500262274274138,FALSE,TRUE,"NS"
"RNF187",0.000174134435664389,-0.152642535429496,0.0500262274274138,FALSE,FALSE,"NS"
"RP11-148O21.4",0.000129395323416916,NA,0.0500262274274138,FALSE,NA,"NS"
"RP11-273G15.2",0.000155666592515849,NA,0.0500262274274138,FALSE,NA,"NS"
"RP11-756P10.3",0.000176815719134921,-0.0818870023946955,0.0500262274274138,FALSE,FALSE,"NS"
"RPL36A",0.000135241980376328,0.823235464421903,0.0500262274274138,FALSE,TRUE,"NS"
"RPL41P2",0.00014646800740805,-0.175526753233356,0.0500262274274138,FALSE,FALSE,"NS"
"RPL6P27",5.44268040489051e-05,NA,0.0500262274274138,FALSE,NA,"NS"
"RPS3AP26",8.52718502585267e-05,NA,0.0500262274274138,FALSE,NA,"NS"
"S100A8",0.000166766111826697,-1.03935895335373,0.0500262274274138,FALSE,TRUE,"NS"
"S100A9",6.42976896771455e-05,-0.428970526683562,0.0500262274274138,FALSE,TRUE,"NS"
"TRAPPC5",0.000116433348402087,0.451110220722588,0.0500262274274138,FALSE,TRUE,"NS"
"PABPC1",0.00019246281137758,0.401428540292039,0.0510154758691506,FALSE,TRUE,"NS"
"WASH3P",0.000215000528330072,0.306439617667693,0.0551511032671203,FALSE,TRUE,"NS"
"FKBP5",0.000249361287046673,0.265560674468674,0.0599555101020469,FALSE,TRUE,"NS"
"HLA-DRA",0.000256349012005734,-0.398542097620338,0.0599555101020469,FALSE,TRUE,"NS"
"IL7R",0.000253718199486521,0.0414188553072902,0.0599555101020469,FALSE,FALSE,"NS"
"CIRBP",0.000279555273739563,0.495626685995912,0.0623291832688607,FALSE,TRUE,"NS"
"CSNK2B",0.000286906200546879,0.474354882589303,0.0623291832688607,FALSE,TRUE,"NS"
"GPX1P1",0.000290012547905916,0.834361457001765,0.0623291832688607,FALSE,TRUE,"NS"
"RP11-40C6.2",0.000300729448615252,NA,0.0629315940891707,FALSE,NA,"NS"
"DNMT3A",0.00036823015019849,-0.0676287938723489,0.0638177089590393,FALSE,FALSE,"NS"
"HSD17B7P2",0.000369166827479352,-0.067043334795878,0.0638177089590393,FALSE,FALSE,"NS"
"MT-RNR1",0.000347921161023643,-1.10014721807843,0.0638177089590393,FALSE,TRUE,"NS"
"NDUFB8",0.000364039513073062,0.138766948544445,0.0638177089590393,FALSE,FALSE,"NS"
"PHF23",0.000359898521585523,-0.053126504519086,0.0638177089590393,FALSE,FALSE,"NS"
"RCC1",0.000330850466538164,-0.025184866527394,0.0638177089590393,FALSE,FALSE,"NS"
"RP11-796E2.4",0.000347497278629018,0.262454176735655,0.0638177089590393,FALSE,TRUE,"NS"
"WAS",0.00034159680661021,0.29640904713032,0.0638177089590393,FALSE,TRUE,"NS"
"RP11-343H5.4",0.000389239808128152,NA,0.0658560628560651,FALSE,NA,"NS"
"PATJ",0.000415942687907384,0.0610988266546863,0.06890783862999,FALSE,FALSE,"NS"
"RBMX",0.000438773950260384,0.439809923804028,0.0696155701427242,FALSE,TRUE,"NS"
"RP11-543P15.1",0.000455232601536929,0.0995116058504129,0.0696155701427242,FALSE,FALSE,"NS"
"RPL21P75",0.000437214734114254,NA,0.0696155701427242,FALSE,NA,"NS"
"RPL26P19",0.000449859988841921,-0.680104999013851,0.0696155701427242,FALSE,TRUE,"NS"
"DYNC1LI1",0.000477880070766079,-0.113149113730997,0.0717000438251295,FALSE,FALSE,"NS"
"CYB5R3",0.000498332912973871,0.202908756981651,0.072049878617604,FALSE,FALSE,"NS"
"IFITM3",0.000495800893786405,-0.728555970762092,0.072049878617604,FALSE,TRUE,"NS"
"ELAVL1",0.000543783116161068,-0.22115227572355,0.0758625147318037,FALSE,FALSE,"NS"
"NAA10",0.000542633451748245,0.150718114076892,0.0758625147318037,FALSE,FALSE,"NS"
"RNASEK",0.000564529316587611,0.875042008815809,0.0770800559238428,FALSE,TRUE,"NS"
"RP11-572P18.1",0.000571896793197526,NA,0.0770800559238428,FALSE,NA,"NS"
"C18orf8",0.000592322306227741,-0.118200841945022,0.0785024496520499,FALSE,FALSE,"NS"
"CKLF",0.000621589443805766,0.249434544663447,0.0796544399065442,FALSE,FALSE,"NS"
"CTD-2192J16.15",0.000641082011320275,0.440467824441567,0.0796544399065442,FALSE,TRUE,"NS"
"RAB5C",0.000635948931352291,0.205673695874927,0.0796544399065442,FALSE,FALSE,"NS"
"SP110",0.000618932602796618,0.251506441544434,0.0796544399065442,FALSE,TRUE,"NS"
"MT-ATP8",0.000721663360427816,-1.21758829990725,0.0882871852634153,FALSE,TRUE,"NS"
"PSMB2",0.000749237124704521,-0.0830124189084265,0.0902717214492478,FALSE,FALSE,"NS"
"RP11-464D20.2",0.000782645477813059,-0.0655276954303285,0.0928895050682006,FALSE,FALSE,"NS"
"AC002480.5",0.000840181146242923,NA,0.0969309908798944,FALSE,NA,"NS"
"C11orf98",0.000877644786638883,0.213430391108002,0.0969309908798944,FALSE,FALSE,"NS"
"CTD-2192J16.22",0.000849645641425235,NA,0.0969309908798944,FALSE,NA,"NS"
"HIGD1A",0.000863589189329048,0.0963921320292987,0.0969309908798944,FALSE,FALSE,"NS"
"HLA-DRB5",0.000871417615176008,-1.93737623611519,0.0969309908798944,FALSE,TRUE,"NS"
"AGK",0.000902768527451819,-0.054999297624489,0.0982575099243812,FALSE,FALSE,"NS"
"SUGT1",0.00091436817585566,-0.10128808759928,0.0982575099243812,FALSE,FALSE,"NS"
"MYLK",0.000942717327631082,0.029303840546358,0.0999531758576315,FALSE,FALSE,"NS"
"PCMTD1",0.000999807458174693,0.155142105403536,0.104611432992173,FALSE,FALSE,"NS"
"TCEA1",0.00102390356902786,0.410397052865647,0.105741314037786,FALSE,TRUE,"NS"
"AC241585.1",0.00107069741218128,0.251721001605699,0.107774504071715,FALSE,TRUE,"NS"
"YWHAB",0.00106798696515975,-0.152963262402748,0.107774504071715,FALSE,FALSE,"NS"
"SRP19",0.00108577992581849,0.103498443037798,0.107926524626358,FALSE,FALSE,"NS"
"GLO1",0.0011421384098154,0.511919075533699,0.112126970800643,FALSE,TRUE,"NS"
"HIST2H2AA4",0.00120864301377387,0.210672109700138,0.117208893238169,FALSE,FALSE,"NS"
"GBP1",0.00122352210739463,-0.0662249614679081,0.117222262626531,FALSE,FALSE,"NS"
"PTPN1",0.0013252738315173,0.296437185319541,0.119985055538166,FALSE,TRUE,"NS"
"RNF6",0.00129303827536973,-0.0786865049933782,0.119985055538166,FALSE,FALSE,"NS"
"RPL26",0.0013173863949771,0.577406501792594,0.119985055538166,FALSE,TRUE,"NS"
"RPL39P3",0.00132780242547267,-0.312581869260723,0.119985055538166,FALSE,TRUE,"NS"
"RPL9P7",0.00129463343620841,NA,0.119985055538166,FALSE,NA,"NS"
"FAM134C",0.00142203677053438,-0.0479730685522125,0.126065470751052,FALSE,FALSE,"NS"
"RELA",0.00142679732992891,0.175187132980805,0.126065470751052,FALSE,FALSE,"NS"
"UQCRHL",0.00146027034049517,-0.064909158892156,0.127605162061732,FALSE,FALSE,"NS"
"HLA-L",0.00155579874135611,-0.0605138465483693,0.134342653148564,FALSE,FALSE,"NS"
"PRICKLE4",0.00157116030468014,0.134021279717832,0.134342653148564,FALSE,FALSE,"NS"
"MLH3",0.00165335795400976,-0.0517673576627251,0.138394762634585,FALSE,FALSE,"NS"
"TICAM1",0.00164314654911337,0.122063949585389,0.138394762634585,FALSE,FALSE,"NS"
"ABHD12",0.00167121484322918,-0.0396798395360027,0.138432296180817,FALSE,FALSE,"NS"
"FAM234A",0.00170866942746223,0.0707002323268356,0.140075662754429,FALSE,FALSE,"NS"
"PTGER4",0.00175111694432648,0.13620201366222,0.14209063205392,FALSE,FALSE,"NS"
"RAB11FIP4",0.00194093948580911,-0.0648391065721017,0.15590253324398,FALSE,FALSE,"NS"
"RPL7AP6",0.00198978456539764,0.106185309556386,0.15822766864042,FALSE,FALSE,"NS"
"PACSIN2",0.00201660804105886,-0.144120850948784,0.158748448206204,FALSE,FALSE,"NS"
"TMEM126B",0.00203626027628682,-0.0676413446669463,0.158748448206204,FALSE,FALSE,"NS"
"PRDM2",0.00210586565238197,-0.118487657152108,0.159991233117349,FALSE,FALSE,"NS"
"RPL41",0.00210496001806459,-1.97661069991646,0.159991233117349,FALSE,TRUE,"NS"
"SEPHS2",0.00211256029644387,-0.165266250797495,0.159991233117349,FALSE,FALSE,"NS"
"BRD7",0.00222278445597405,-0.0827559042766531,0.16201056067093,FALSE,FALSE,"NS"
"CPNE1",0.00224966226425492,0.144273127853405,0.16201056067093,FALSE,FALSE,"NS"
"EVI2B",0.00226146532123657,0.447234383602042,0.16201056067093,FALSE,TRUE,"NS"
"GSN",0.00223728064175156,-0.0364960083533962,0.16201056067093,FALSE,FALSE,"NS"
"NME3",0.00219436593600496,0.158467783828139,0.16201056067093,FALSE,FALSE,"NS"
"RP11-449H3.3",0.00216302198730766,0.0544726705281831,0.16201056067093,FALSE,FALSE,"NS"
"CDK2AP2",0.00239232706884499,-0.142369202507624,0.164081007796988,FALSE,FALSE,"NS"
"EEF1A1P5",0.00257610315543271,0.396857994775883,0.164081007796988,FALSE,TRUE,"NS"
"FH",0.0023865673806499,-0.0548694098149941,0.164081007796988,FALSE,FALSE,"NS"
"IRF2BPL",0.00264001516055015,-0.048415278956485,0.164081007796988,FALSE,FALSE,"NS"
"MANBA",0.00262663703455257,-0.0611504175148609,0.164081007796988,FALSE,FALSE,"NS"
"RBM18",0.00241815053879069,-0.0731315749047616,0.164081007796988,FALSE,FALSE,"NS"
"RCSD1",0.00242045188277143,0.797271648859011,0.164081007796988,FALSE,TRUE,"NS"
"RN7SL2",0.00264114298264769,0.181507713132149,0.164081007796988,FALSE,FALSE,"NS"
"RNVU1-15",0.00245996278084656,NA,0.164081007796988,FALSE,NA,"NS"
"RP11-182L21.6",0.00253627383877537,-0.0564226564526994,0.164081007796988,FALSE,FALSE,"NS"
"RP11-574K11.24",0.00235214022144953,0.138820765929527,0.164081007796988,FALSE,FALSE,"NS"
"RPS20",0.00255387761402283,-1.22207556463244,0.164081007796988,FALSE,TRUE,"NS"
"SDHAP1",0.00249409795136933,0.0787942710584245,0.164081007796988,FALSE,FALSE,"NS"
"SESN1",0.00249266133128404,0.511162865124375,0.164081007796988,FALSE,TRUE,"NS"
"SSU72",0.00253338209908845,-0.205325531282502,0.164081007796988,FALSE,FALSE,"NS"
"TAGAP",0.00240629858915132,0.365403070945229,0.164081007796988,FALSE,TRUE,"NS"
"ZFP36L2",0.00261644136512871,0.697305229196328,0.164081007796988,FALSE,TRUE,"NS"
"CDC73",0.00268020469004385,-0.0499861965234465,0.165216958877742,FALSE,FALSE,"NS"
"RBBP7",0.00274154501896897,-0.0870088514873771,0.167698199929548,FALSE,FALSE,"NS"
"SNHG25",0.00277159019376327,0.0678597340281376,0.168241871914546,FALSE,FALSE,"NS"
"RP11-80H18.3",0.0027997355871645,-0.0307062989654008,0.168662859008577,FALSE,FALSE,"NS"
"MRPL38",0.00285608699519315,0.152839498262045,0.169489580490865,FALSE,FALSE,"NS"
"RPS10P2",0.00283618861783078,NA,0.169489580490865,FALSE,NA,"NS"
"PCBP1",0.00296680094629513,-1.47739605676745,0.173470596506903,FALSE,TRUE,"NS"
"RSAD1",0.00294618884977809,-0.0348124383757502,0.173470596506903,FALSE,FALSE,"NS"
"EIF4A2",0.00303203877612798,-0.401237234917698,0.173795864923534,FALSE,TRUE,"NS"
"SMG9",0.00303793073747124,-0.0323869899262588,0.173795864923534,FALSE,FALSE,"NS"
"TSTD1",0.0029979832533521,0.369310513395173,0.173795864923534,FALSE,TRUE,"NS"
"PF4V1",0.00307908115738391,-0.0709678346228414,0.174891809739406,FALSE,FALSE,"NS"
"AC004057.1",0.00315614767215257,NA,0.175508295726974,FALSE,NA,"NS"
"S100A12",0.00312959791454691,-0.189882177646514,0.175508295726974,FALSE,FALSE,"NS"
"SECISBP2L",0.00314866113082204,0.221383921043942,0.175508295726974,FALSE,FALSE,"NS"
"IGKV1-39",0.00332278463771626,0.15054447531628,0.179334337131655,FALSE,FALSE,"NS"
"ISY1",0.00330349220378503,0.134565054120508,0.179334337131655,FALSE,FALSE,"NS"
"MRPL36",0.00336026361074152,0.0732200203485418,0.179334337131655,FALSE,FALSE,"NS"
"PEX3",0.00335482697617119,0.0784352577515498,0.179334337131655,FALSE,FALSE,"NS"
"RPS15AP24",0.00328087260854893,-0.049113345981577,0.179334337131655,FALSE,FALSE,"NS"
"SLC25A1",0.00334428108877883,-0.0804255560176313,0.179334337131655,FALSE,FALSE,"NS"
"MYO18A",0.00341324501637049,-0.0537478313671074,0.179778495780924,FALSE,FALSE,"NS"
"SNRPN",0.00344793211832926,0.336261272866759,0.179778495780924,FALSE,TRUE,"NS"
"WHSC1L1",0.00342744445268585,0.392187246653531,0.179778495780924,FALSE,TRUE,"NS"
"ZNF287",0.00345901783884323,-0.0246192349964594,0.179778495780924,FALSE,FALSE,"NS"
"RP11-466H18.1",0.00352970457398983,-0.841224472129758,0.182261108911475,FALSE,TRUE,"NS"
"PLD3",0.00359437007236071,-0.0975147148317768,0.184402779454273,FALSE,FALSE,"NS"
"ZNF721",0.00362632394222119,0.131820585798077,0.184849538388096,FALSE,FALSE,"NS"
"CYB5A",0.00368616697153466,-0.219042454036859,0.186703183169704,FALSE,FALSE,"NS"
"EEF1A1P6",0.00372486428625272,0.0469680326102403,0.187469119014441,FALSE,FALSE,"NS"
"COX6A1P2",0.00386424419459017,-0.0721590540459834,0.193260816574724,FALSE,FALSE,"NS"
"ELK1",0.00389294796601721,0.0740669349961465,0.193479513911055,FALSE,FALSE,"NS"
"RPL27A",0.0039610924370431,-0.998860188145326,0.195327411211859,FALSE,TRUE,"NS"
"TESK2",0.00397925561070437,-0.0428297302990337,0.195327411211859,FALSE,FALSE,"NS"
"SMURF2P1",0.00404898538173129,-0.0932790926331509,0.197530869665811,FALSE,FALSE,"NS"
"CH17-431G21.1",0.00411391884678416,0.0440100940911896,0.198265955573501,FALSE,FALSE,"NS"
"MTRF1L",0.00411000273200799,0.0684890305982438,0.198265955573501,FALSE,FALSE,"NS"
"CDK2",0.00413900739345805,-0.0399108069722698,0.198273414414328,FALSE,FALSE,"NS"
"ZCCHC9",0.0041918707842646,-0.0906664116641658,0.199603332194443,FALSE,FALSE,"NS"
"COPS9",0.00431977504710838,-0.0630804507739063,0.204113144079178,FALSE,FALSE,"NS"
"EEF1E1",0.00433791767472096,0.0983331929462569,0.204113144079178,FALSE,FALSE,"NS"
"RDH11",0.00438747011611317,-0.120562607055202,0.205230366843129,FALSE,FALSE,"NS"
"SNRPGP10",0.00465399251684986,-0.0451459184850192,0.216424260198772,FALSE,FALSE,"NS"
"ALDH16A1",0.00480950437704696,-0.0970518916927849,0.217656967512499,FALSE,FALSE,"NS"
"BORCS7",0.0049102760901478,0.160191153723295,0.217656967512499,FALSE,FALSE,"NS"
"CECR5",0.0048884476131255,-0.0797913765657136,0.217656967512499,FALSE,FALSE,"NS"
"DDT",0.00500967624758904,0.336056947611186,0.217656967512499,FALSE,TRUE,"NS"
"EAF2",0.00490731950871964,-0.424555327554778,0.217656967512499,FALSE,TRUE,"NS"
"EAPP",0.00508063519491831,0.123017849224828,0.217656967512499,FALSE,FALSE,"NS"
"FAM58A",0.00514581361825326,0.132669999084724,0.217656967512499,FALSE,FALSE,"NS"
"FAM65A",0.00491559586331064,0.199913079877144,0.217656967512499,FALSE,FALSE,"NS"
"FAU",0.00514437466701046,0.189314584498967,0.217656967512499,FALSE,FALSE,"NS"
"LCLAT1",0.00486402609229986,-0.021421900562305,0.217656967512499,FALSE,FALSE,"NS"
"MEMO1",0.00504772270611262,0.000770012702139292,0.217656967512499,FALSE,FALSE,"NS"
"NDUFB7",0.00479914255328155,0.00328879894549383,0.217656967512499,FALSE,FALSE,"NS"
"POLD2",0.00505706317053299,-0.0764248201598828,0.217656967512499,FALSE,FALSE,"NS"
"SRM",0.00503286258445563,-0.0940608189995795,0.217656967512499,FALSE,FALSE,"NS"
"SRPRA",0.00497306386583503,0.29680400351588,0.217656967512499,FALSE,TRUE,"NS"
"TLR10",0.00493424841855114,-0.0768460675242497,0.217656967512499,FALSE,FALSE,"NS"
"ZNF271P",0.00512651546763217,-0.130381956394894,0.217656967512499,FALSE,FALSE,"NS"
"PTMS",0.00525663192790662,0.0026516921145108,0.21885202665295,FALSE,FALSE,"NS"
"RNU5A-1",0.0052377356715699,0.134362251230747,0.21885202665295,FALSE,FALSE,"NS"
"XPA",0.00525186373897529,0.14582206891488,0.21885202665295,FALSE,FALSE,"NS"
"SLC41A3",0.00529859651719883,-0.00877562072366565,0.219450205753985,FALSE,FALSE,"NS"
"ZFP36",0.0053320731936133,0.631694930379421,0.219692466505767,FALSE,TRUE,"NS"
"PP7080",0.00539821689044278,0.0746182177817415,0.221271240787634,FALSE,FALSE,"NS"
"C2CD3",0.00551638580578577,-0.0283495467443026,0.221993198100812,FALSE,FALSE,"NS"
"KXD1",0.00552729322650063,0.191921827959948,0.221993198100812,FALSE,FALSE,"NS"
"MTFP1",0.00554762265933273,-0.010713285255576,0.221993198100812,FALSE,FALSE,"NS"
"NDUFV2",0.00551001382538894,0.299382222651992,0.221993198100812,FALSE,TRUE,"NS"
