"","p_val","avg_log2FC","p_val_adj","sig","fc_thresh","test_status"
"WAS",1.40500971332394e-11,0.613896748021918,1.14325640373169e-07,TRUE,TRUE,"sig."
"SF3B2",3.37865025659254e-08,0.392269756154436,0.000137460385689468,TRUE,TRUE,"sig."
"CSNK2B",8.1165574212449e-08,0.434734331777035,0.000210061838187571,TRUE,TRUE,"sig."
"PPIA",1.03262547959971e-07,-0.385546737076738,0.000210061838187571,TRUE,TRUE,"sig."
"CBLL1",1.68471257543987e-07,0.207410374982852,0.000242169647237287,TRUE,FALSE,"sig."
"EEF1G",2.3475133632931e-07,1.41620291957134,0.000242169647237287,TRUE,TRUE,"sig."
"NDUFA7",2.38092316320302e-07,0.200037608780099,0.000242169647237287,TRUE,FALSE,"sig."
"SMAP2",2.05985204413874e-07,0.30721757765112,0.000242169647237287,TRUE,TRUE,"sig."
"RBM25",3.4935561977905e-07,0.276253969512596,0.000315856297571347,TRUE,TRUE,"sig."
"UBE2V1",7.93355380698292e-07,0.378176202142987,0.0006455532732742,TRUE,TRUE,"sig."
"RNASEK",9.45896184337458e-07,0.85301730097979,0.000699705204723082,TRUE,TRUE,"sig."
"MATR3.1",1.13555013454083e-06,0.489554501374468,0.00076999762039656,TRUE,TRUE,"sig."
"PRR13",1.58515985881522e-06,0.391294695574826,0.000992188136244572,TRUE,TRUE,"sig."
"CPSF7",2.15260885413852e-06,0.187418347841982,0.00116771854974168,TRUE,FALSE,"sig."
"WASH3P",2.06142074520848e-06,0.309897221136656,0.00116771854974168,TRUE,TRUE,"sig."
"KXD1",2.3821698721691e-06,0.132993248244552,0.001211482265615,TRUE,FALSE,"sig."
"CRIP1P4",3.07838405137104e-06,-0.0457695332503181,0.00147345947211801,TRUE,FALSE,"sig."
"NBPF26",3.37517248023459e-06,0.29885895370333,0.00152576547064827,TRUE,TRUE,"sig."
"CPSF6",4.37680692556732e-06,0.180986067882607,0.00178070389766706,TRUE,FALSE,"sig."
"ZNF721",4.24138807137955e-06,0.200750680835267,0.00178070389766706,TRUE,FALSE,"sig."
"TARSL2",4.63787558778114e-06,0.203019114874326,0.00179706636465596,TRUE,FALSE,"sig."
"RNF44",5.14409028193639e-06,0.259268192950313,0.00190261193745984,TRUE,TRUE,"sig."
"CKLF",6.631584038277e-06,0.280895332187298,0.00205521981023659,TRUE,TRUE,"sig."
"ERICH1",6.81958152591714e-06,0.172420657394777,0.00205521981023659,TRUE,FALSE,"sig."
"FCMR",6.56575337136032e-06,0.540611720402643,0.00205521981023659,TRUE,TRUE,"sig."
"RPS11",5.83042117553734e-06,-0.549613771703918,0.00205521981023659,TRUE,TRUE,"sig."
"SNRPGP10",6.2238805068159e-06,-0.0973705402639948,0.00205521981023659,TRUE,FALSE,"sig."
"CARD19",7.83938818714896e-06,-0.0229955280973484,0.0021470085941607,TRUE,FALSE,"sig."
"CCNK",7.73077828707018e-06,0.163767483747011,0.0021470085941607,TRUE,FALSE,"sig."
"DDX24",8.70729797312316e-06,0.441521963975581,0.0021470085941607,TRUE,TRUE,"sig."
"NBPF8",8.27181152316074e-06,0.0673760582317911,0.0021470085941607,TRUE,FALSE,"sig."
"PMVK",8.68636157237478e-06,-0.0584973411791677,0.0021470085941607,TRUE,FALSE,"sig."
"TRAF5",8.64044747553052e-06,0.120860813235726,0.0021470085941607,TRUE,FALSE,"sig."
"MOB2",9.97876364607584e-06,-0.125868531076144,0.00238815293494468,TRUE,FALSE,"sig."
"NDUFA13",1.09647113191771e-05,0.507810069822617,0.00254913874297554,TRUE,TRUE,"sig."
"YARS",1.18847076773469e-05,-0.0800990944784335,0.00268627406584921,TRUE,FALSE,"sig."
"CLINT1",1.25191078288462e-05,0.153974715155744,0.00273364953039732,TRUE,FALSE,"sig."
"CNST",1.31021668533237e-05,0.206021405838065,0.00273364953039732,TRUE,FALSE,"sig."
"LLPH",1.29367920199115e-05,0.100659762429352,0.00273364953039732,TRUE,FALSE,"sig."
"AHSA1",1.49519211535428e-05,-0.142778838160083,0.00286664538262384,TRUE,FALSE,"sig."
"DDX19B",1.51487958034687e-05,0.0829430833007186,0.00286664538262384,TRUE,FALSE,"sig."
"HEXA",1.45687108622611e-05,0.215417199866645,0.00286664538262384,TRUE,FALSE,"sig."
"SF3A1",1.45634700323741e-05,0.246193477129709,0.00286664538262384,TRUE,FALSE,"sig."
"SIGMAR1",1.60817994797631e-05,-0.0521180573899556,0.00297403641742801,TRUE,FALSE,"sig."
