"","p_val","avg_log2FC","p_val_adj","sig","fc_thresh","test_status"
"ATP6V0E1",6.51203174768647e-08,-0.767349306536085,0.000469322128055764,TRUE,TRUE,"sig."
"RPL36A",5.07104969315801e-07,1.09777583789844,0.0013037737477085,TRUE,TRUE,"sig."
"TXN",5.42711425437144e-07,-0.532336296049629,0.0013037737477085,TRUE,TRUE,"sig."
"NBPF26",1.20883712856975e-06,0.420697857803699,0.00174527148696036,TRUE,TRUE,"sig."
"NDUFA7",1.93730704810363e-06,0.204441372193534,0.00174527148696036,TRUE,FALSE,"sig."
"RN7SK",1.45781501510707e-06,0.93284983946714,0.00174527148696036,TRUE,TRUE,"sig."
"TPST1",1.81849399600352e-06,0.148123727847752,0.00174527148696036,TRUE,FALSE,"sig."
"WDR83OS",1.47510263593058e-06,-0.419687694020736,0.00174527148696036,TRUE,TRUE,"sig."
"GNG10",2.62075064550287e-06,-0.190414873182605,0.00202616318008772,TRUE,FALSE,"sig."
"HMGB2",2.88863034522591e-06,0.5771422705396,0.00202616318008772,TRUE,TRUE,"sig."
"RPL41P2",3.09252046357221e-06,-0.0454644990876811,0.00202616318008772,TRUE,FALSE,"sig."
"RPL17",4.59891987069055e-06,1.13676627314923,0.00276203462567223,TRUE,TRUE,"sig."
"MCL1",5.50381956735783e-06,0.579621288108132,0.00305123289399599,TRUE,TRUE,"sig."
"GABARAP",6.60042628285478e-06,-0.431904752435166,0.0030843529539901,TRUE,TRUE,"sig."
"H3F3B",6.73684827747867e-06,-0.346650198754184,0.0030843529539901,TRUE,TRUE,"sig."
"SAMSN1",6.84746042234517e-06,0.344396207201136,0.0030843529539901,TRUE,TRUE,"sig."
"CSGALNACT2",9.8616416060997e-06,0.248692943988773,0.00394849172528669,TRUE,FALSE,"sig."
"GAS7",9.78272114215594e-06,0.329918459121267,0.00394849172528669,TRUE,TRUE,"sig."
"UBE2D1",1.33306664612055e-05,-0.36165839779412,0.00505653227294254,TRUE,TRUE,"sig."
"CXCR2",1.47362464002132e-05,-0.10609325509502,0.00531020639031682,TRUE,FALSE,"sig."
"IRAK3",1.57462003407917e-05,0.451501750009591,0.00540394599314694,TRUE,TRUE,"sig."
"AGFG1",2.42600750414932e-05,0.341985263241107,0.00578393550708296,TRUE,TRUE,"sig."
"EEF1G",2.48512309910805e-05,0.40526367456599,0.00578393550708296,TRUE,TRUE,"sig."
"FCER1G",1.8812043008763e-05,-0.813578105503362,0.00578393550708296,TRUE,TRUE,"sig."
"FKBP1A",2.41787886261704e-05,-0.406728747171665,0.00578393550708296,TRUE,TRUE,"sig."
"FKBP5",2.19139676672257e-05,0.729980516130721,0.00578393550708296,TRUE,TRUE,"sig."
"HNRNPD",2.3043271571292e-05,0.177920557622044,0.00578393550708296,TRUE,FALSE,"sig."
"ODF3B",1.97077941776496e-05,0.343025363219841,0.00578393550708296,TRUE,TRUE,"sig."
"RP11-572P18.1",2.09240968189295e-05,NA,0.00578393550708296,TRUE,NA,"sig."
"RPL41",2.48788678672917e-05,-1.29634885633759,0.00578393550708296,TRUE,TRUE,"sig."
"STEAP4",1.95043068903752e-05,-0.10340050080331,0.00578393550708296,TRUE,FALSE,"sig."
"RPL23A",2.71067060397549e-05,0.559025175238373,0.00597024655642928,TRUE,TRUE,"sig."
"SAP30",2.73370523605059e-05,0.225632431810007,0.00597024655642928,TRUE,FALSE,"sig."
"CSNK2B",2.90961712712445e-05,0.443130766120623,0.00616327309138551,TRUE,TRUE,"sig."
"RPL21P75",2.99312554736358e-05,NA,0.00616327309138551,TRUE,NA,"sig."
"ATP6V0C",3.17139243438125e-05,-0.60654893502322,0.00634895146516268,TRUE,TRUE,"sig."
