"","p_val","avg_log2FC","p_val_adj","sig","fc_thresh","test_status"
"IFITM3",4.93440936975995e-08,-1.62966482470706,0.000412171214656049,TRUE,TRUE,"sig."
"RPL36A",2.80708491898973e-07,0.987133732150352,0.00117237901641606,TRUE,TRUE,"sig."
"PRR13",2.04676885097488e-06,0.578312646181434,0.0053118479467321,TRUE,TRUE,"sig."
"PTPRC",2.54368392037931e-06,0.684606075337502,0.0053118479467321,TRUE,TRUE,"sig."
"ARL6IP1",1.62207263020589e-05,0.433467386222646,0.0225819544668497,TRUE,TRUE,"sig."
"CSNK2B",1.44593434855619e-05,0.501375829601673,0.0225819544668497,TRUE,TRUE,"sig."
"PCBP1",2.19909451398574e-05,-1.4903068572853,0.0229612955941536,TRUE,TRUE,"sig."
"WAS",1.96573639862983e-05,0.547724593666828,0.0229612955941536,TRUE,TRUE,"sig."
"CLEC2B",3.14302708367419e-05,-0.430966236358389,0.0238670047544822,TRUE,TRUE,"sig."
"MT-ATP8",2.87079651408526e-05,-1.2518677841928,0.0238670047544822,TRUE,TRUE,"sig."
"UBE2V1",3.11629952202826e-05,0.517378554511101,0.0238670047544822,TRUE,TRUE,"sig."
"CRIP1",4.92283669525191e-05,0.498456731040936,0.034267045762866,TRUE,TRUE,"sig."
"RNASEK",5.34149074040452e-05,0.749215272293113,0.0343211324266146,TRUE,TRUE,"sig."
"EWSR1",6.05059979567331e-05,0.42061679557931,0.0361004714951851,TRUE,TRUE,"sig."
"EEF1G",8.70493397220133e-05,0.903653813681045,0.0415551650977561,TRUE,TRUE,"sig."
"RN7SK",8.954782374711e-05,1.34031980071608,0.0415551650977561,TRUE,TRUE,"sig."
"RP11-343H5.4",8.1691477614488e-05,NA,0.0415551650977561,TRUE,NA,"sig."
"TMBIM4",7.89574070080109e-05,0.334109648736325,0.0415551650977561,TRUE,TRUE,"sig."
"NDUFA13",0.000104612468699209,0.483221212681958,0.0459909447918154,TRUE,TRUE,"sig."
"CH17-431G21.1",0.000126630748439253,0.0512456771066482,0.052887332085654,FALSE,FALSE,"NS"
"LPCAT1",0.000156506395144631,-0.354183042998578,0.0622522818401476,FALSE,TRUE,"NS"
"DDX19B",0.000180615054192707,0.0571409567012433,0.0655946759857253,FALSE,FALSE,"NS"
"PPIA",0.00017539363569287,-0.331370331657644,0.0655946759857253,FALSE,TRUE,"NS"
"LINC01278",0.000208543134846639,0.201983784101963,0.0725817002239158,FALSE,FALSE,"NS"
"ZNF586",0.000242277198014332,NA,0.0809496574005487,FALSE,NA,"NS"
"RP11-705C15.5",0.000278929700251898,-0.26859727021509,0.0896115302386194,FALSE,TRUE,"NS"
"CCNG1",0.000345848446091833,-0.257521819500057,0.106530862418362,FALSE,TRUE,"NS"
"SF3B2",0.000357100939508456,0.417388261867308,0.106530862418362,FALSE,TRUE,"NS"
"SP100",0.000369991546187695,0.392189266792571,0.106570323631235,FALSE,TRUE,"NS"
"AC007969.5",0.00038891471364882,NA,0.10828682010362,FALSE,NA,"NS"
"AC093838.4",0.000419278728399731,0.0924079081494717,0.112975329623321,FALSE,FALSE,"NS"
"C11orf98",0.000493380828372078,0.328882837813261,0.114882307807532,FALSE,TRUE,"NS"
"LINC01138",0.000488986573884821,0.236773308848163,0.114882307807532,FALSE,FALSE,"NS"
"NCL",0.000495123079261479,0.420729954971385,0.114882307807532,FALSE,TRUE,"NS"
"RPL41",0.000480195334302874,-2.00837741351948,0.114882307807532,FALSE,TRUE,"NS"
"RPS15AP1",0.000486841723468393,NA,0.114882307807532,FALSE,NA,"NS"
"UQCRHL",0.000532562469535641,-0.119920101226439,0.120229575892735,FALSE,FALSE,"NS"
"SNURF",0.000646702622110848,-0.0384618253221948,0.142155447433998,FALSE,FALSE,"NS"
"RPAP1",0.000684143379710988,0.0306789706093682,0.146529478223741,FALSE,FALSE,"NS"
"CASP6",0.000742044076100329,-0.0596097237164511,0.15117790652844,FALSE,FALSE,"NS"
"RPS10",0.000729263296154057,1.13198677772906,0.15117790652844,FALSE,TRUE,"NS"
"H1FX",0.00093480732285803,0.281106366937107,0.180551029026177,FALSE,TRUE,"NS"
"PRDM1",0.000928158921777557,0.404039329972943,0.180551029026177,FALSE,TRUE,"NS"
"RP11-144G6.12",0.000972680031866149,0.0981077109495428,0.180551029026177,FALSE,FALSE,"NS"
"RPL39P3",0.000963735118543157,-0.125081149745234,0.180551029026177,FALSE,FALSE,"NS"
"WASH3P",0.00106247362881703,0.29519788776183,0.192931352641493,FALSE,TRUE,"NS"
"RP3-375P9.2",0.00110417085864791,-0.0468347398588671,0.196237003878425,FALSE,FALSE,"NS"
"NDUFV2",0.00117802394561464,0.251415853772365,0.200817020769778,FALSE,TRUE,"NS"
"PLCB2",0.00115536790405339,0.152688026319407,0.200817020769778,FALSE,FALSE,"NS"
"RP11-543P15.1",0.00121155531208592,0.103284283215977,0.202402430437074,FALSE,FALSE,"NS"
"RPL41P2",0.00126016445560921,NA,0.206395170543211,FALSE,NA,"NS"
"RPL21P75",0.00128869684049834,NA,0.20700932132082,FALSE,NA,"NS"
"MT-ND1",0.00131909622949683,-0.630429499202981,0.207894543490322,FALSE,TRUE,"NS"
"S100A8",0.00150981013444536,-0.864213666450746,0.23354526024115,FALSE,TRUE,"NS"
"RN7SL2",0.00154434686688208,0.320196334098633,0.234544170528472,FALSE,TRUE,"NS"
"NMUR1",0.00160998402666509,0.174386838148878,0.240146367405955,FALSE,FALSE,"NS"
"PXMP2",0.00167876429262063,-0.0677982994970451,0.245139947128701,FALSE,FALSE,"NS"
"RP11-572P18.1",0.00173150447510994,NA,0.245139947128701,FALSE,NA,"NS"
"SYTL3",0.001710486804668,0.461141885419922,0.245139947128701,FALSE,TRUE,"NS"
"SGK223",0.00180490860469695,-0.0544782976057308,0.251273359583894,FALSE,FALSE,"NS"
"C11orf68",0.00189002975470606,-0.0800144032492906,0.254635782920318,FALSE,FALSE,"NS"
"NBPF26",0.00187746706852996,0.281802234562737,0.254635782920318,FALSE,TRUE,"NS"
"EEF1E1",0.00200958033279716,0.148361079957732,0.26228163312273,FALSE,FALSE,"NS"
"THRA",0.0019909150099043,0.101528797889165,0.26228163312273,FALSE,FALSE,"NS"
"GSTM4",0.00208648213628677,0.0793815964056636,0.26261733971029,FALSE,FALSE,"NS"
"RBMX",0.00207368666944408,0.420081900922788,0.26261733971029,FALSE,TRUE,"NS"
"RPS14P8",0.00214024582958172,NA,0.26261733971029,FALSE,NA,"NS"
"SF3B4",0.00216106707502001,0.281080938067575,0.26261733971029,FALSE,TRUE,"NS"
"SMAP2",0.00220079178495395,0.14129720962268,0.26261733971029,FALSE,FALSE,"NS"
"UBC",0.00219609967856926,0.499429284966094,0.26261733971029,FALSE,TRUE,"NS"
"NDUFB8",0.00233817788693183,0.237383857144879,0.265803692013173,FALSE,FALSE,"NS"
"SF3A1",0.00229507501211055,0.228709911928227,0.265803692013173,FALSE,FALSE,"NS"
"TMEM42",0.00229920270261282,-0.0982494686556534,0.265803692013173,FALSE,FALSE,"NS"
"TRAPPC5",0.00235477950544413,0.272113178441312,0.265803692013173,FALSE,TRUE,"NS"
"FAM114A2",0.00242045220080827,0.0581692401490774,0.26957382977802,FALSE,FALSE,"NS"
"RP11-756P10.3",0.00254872331137839,-0.0658510899414028,0.277641339133603,FALSE,FALSE,"NS"
"TOR1A",0.00255936587014096,-0.0535301845552513,0.277641339133603,FALSE,FALSE,"NS"
"ARPC1B",0.00279951886010641,0.346769138020203,0.299135724390529,FALSE,TRUE,"NS"
"CNOT7",0.00307043486434367,-0.0837999863003074,0.299135724390529,FALSE,FALSE,"NS"
"CNR2",0.00292046214668317,-0.0476187428142276,0.299135724390529,FALSE,FALSE,"NS"
"FLOT2",0.00311562408978523,-0.0223045213049368,0.299135724390529,FALSE,FALSE,"NS"
"HNRNPK",0.00295818707157587,0.408565032770392,0.299135724390529,FALSE,TRUE,"NS"
"KLF9",0.00299141467341548,0.107961147673615,0.299135724390529,FALSE,FALSE,"NS"
"KXD1",0.0030943741455678,0.25497149133248,0.299135724390529,FALSE,TRUE,"NS"
"RITA1",0.0028730783117992,-0.0831717260807652,0.299135724390529,FALSE,FALSE,"NS"
"RP4-728D4.2",0.00293902832425021,0.173133308112987,0.299135724390529,FALSE,FALSE,"NS"
"SLC25A17",0.00311050711403978,0.0587022138984045,0.299135724390529,FALSE,FALSE,"NS"
"MRPL15",0.00338391335515682,-0.0850003564363704,0.321202593813919,FALSE,FALSE,"NS"
"MYO1G",0.00345131615277512,0.399354667215274,0.323919593529557,FALSE,TRUE,"NS"
"TPRG1L",0.00355135025300582,-0.0113154590446176,0.329604762926196,FALSE,FALSE,"NS"
"RPL26P19",0.00362587109020839,-0.309120175232423,0.332823090291327,FALSE,TRUE,"NS"
"BCL11B",0.00373940843843404,-0.140310734508562,0.335863211679995,FALSE,FALSE,"NS"
"LUZP1",0.00371788671598285,-0.0824166780106739,0.335863211679995,FALSE,FALSE,"NS"
"CTD-2192J16.15",0.00384766168607528,0.218090595734722,0.338310716460914,FALSE,FALSE,"NS"
"RAB3GAP1",0.00383453027224011,NA,0.338310716460914,FALSE,NA,"NS"
"MT-ND3",0.00411226436719691,-0.811015210048295,0.35412107483707,FALSE,TRUE,"NS"
"NDUFC2",0.00410031219703156,0.378611938388227,0.35412107483707,FALSE,TRUE,"NS"
"CD300A",0.00429910204186933,-0.348833110049776,0.366432646487087,FALSE,TRUE,"NS"
"GOT2P3",0.00436305686814941,NA,0.36812741433992,FALSE,NA,"NS"
"ISCU",0.00440815078120173,-0.249039957775161,0.36821283475378,FALSE,FALSE,"NS"
"DHDDS",0.00445383950178786,-0.0471761747450978,0.368345756024099,FALSE,FALSE,"NS"
"DDIT4",0.00464487945923142,0.656958115535471,0.37306421272077,FALSE,TRUE,"NS"
"FRA10AC1",0.0046036855637847,0.115213990354923,0.37306421272077,FALSE,FALSE,"NS"
"NAMPT",0.00457487952207723,-0.0475415903232495,0.37306421272077,FALSE,FALSE,"NS"
"IPCEF1",0.00469938847090715,-0.0594109361331924,0.373847541880833,FALSE,FALSE,"NS"
"STX16",0.00474882380006276,0.127034010951698,0.374216275489851,FALSE,FALSE,"NS"
"ANKRD20A11P",0.00485856529176537,NA,0.376974711000005,FALSE,NA,"NS"
"RPL9P7",0.00487408940356764,NA,0.376974711000005,FALSE,NA,"NS"
"LLNLR-245B6.1",0.00495078853073897,-0.138407608274124,0.377209503741123,FALSE,FALSE,"NS"
"RIN3",0.00496744228558883,0.22845676734581,0.377209503741123,FALSE,FALSE,"NS"
"RPL17",0.00513968256779227,1.02429765554669,0.386772689088007,FALSE,TRUE,"NS"
"AC004057.1",0.0060417874996269,0.113138847316119,0.388713846398453,FALSE,FALSE,"NS"
"ACP1",0.00550782683985138,-0.212465692975982,0.388713846398453,FALSE,FALSE,"NS"
"C12orf75",0.00597006919955465,-0.353112159961367,0.388713846398453,FALSE,TRUE,"NS"
