"","p_val","avg_log2FC","p_val_adj","sig","fc_thresh","test_status"
"IFITM3",4.81052384391739e-09,-2.48366594356551,6.67219657151343e-06,TRUE,TRUE,"sig."
"MBNL1",1.00146617593085e-08,0.35035106455912,6.94516793008044e-06,TRUE,TRUE,"sig."
"IRAK3",2.67287666597014e-08,0.427172021708022,1.23575997856686e-05,TRUE,TRUE,"sig."
"SYNE1",6.48949180027439e-08,0.518434742691427,2.25023128174515e-05,TRUE,TRUE,"sig."
"DGKD",8.46698897256894e-07,0.133399193743562,0.000234874274099062,TRUE,FALSE,"sig."
"DDX17",2.7688028452013e-06,0.255753054795025,0.000447867308739836,TRUE,TRUE,"sig."
"FKBP5",3.68711810240237e-06,0.476289672584372,0.000447867308739836,TRUE,TRUE,"sig."
"KDM7A",3.30191609928465e-06,0.0916015053825565,0.000447867308739836,TRUE,FALSE,"sig."
"MMP25",3.87484333444703e-06,0.329437764935129,0.000447867308739836,TRUE,TRUE,"sig."
"RNF144B",3.01198310709506e-06,0.253617778012034,0.000447867308739836,TRUE,TRUE,"sig."
"SF1",3.12610719568445e-06,0.276788159521346,0.000447867308739836,TRUE,TRUE,"sig."
"SLA",3.50967029902261e-06,0.208994860791794,0.000447867308739836,TRUE,FALSE,"sig."
"ENTPD1",4.87595498876913e-06,0.185752539306091,0.000520226889955599,TRUE,FALSE,"sig."
"C20orf24",7.46863119157889e-06,-0.172879698129594,0.000714293243455273,TRUE,FALSE,"sig."
"STK17B",7.72487285640165e-06,0.370502547495114,0.000714293243455273,TRUE,TRUE,"sig."
"FAM65B",8.47555642441106e-06,0.572141534500225,0.000727123603909501,TRUE,TRUE,"sig."
"IL1R2",8.91211338605733e-06,0.838082144250069,0.000727123603909501,TRUE,TRUE,"sig."
"PCNX1",1.31816571991361e-05,0.232275035938925,0.00101571991862232,TRUE,FALSE,"sig."
"B2M",1.97941583827591e-05,-1.44058429848589,0.00101948341984398,TRUE,TRUE,"sig."
"CBL",2.03603116631191e-05,0.115391574881377,0.00101948341984398,TRUE,FALSE,"sig."
"CKAP4",1.80732495402091e-05,0.137550027039174,0.00101948341984398,TRUE,FALSE,"sig."
"COX7B",2.07916218937714e-05,-0.0802689708008895,0.00101948341984398,TRUE,FALSE,"sig."
"IL18R1",1.93766004417869e-05,0.291043844321257,0.00101948341984398,TRUE,TRUE,"sig."
"MGAM",1.44199296583524e-05,0.194318403642904,0.00101948341984398,TRUE,FALSE,"sig."
"NRDC",1.99069840051821e-05,0.128955246133887,0.00101948341984398,TRUE,FALSE,"sig."
"S100A11",2.13158032988288e-05,-1.41730347164996,0.00101948341984398,TRUE,TRUE,"sig."
"SLC2A3",1.82936122805502e-05,0.353643082887367,0.00101948341984398,TRUE,TRUE,"sig."
"SSH2",1.47986737144326e-05,0.276607985700983,0.00101948341984398,TRUE,TRUE,"sig."
"TCF25",1.68993840127609e-05,0.174536453287679,0.00101948341984398,TRUE,FALSE,"sig."
"PAFAH1B2",2.21363723596169e-05,0.0923013512682759,0.00102343828209296,TRUE,FALSE,"sig."
"TNFAIP3",2.62994130950764e-05,0.307074688457833,0.00117668664396358,TRUE,TRUE,"sig."
"PDZD8",2.72175527132561e-05,0.0976083206584273,0.00117971080041519,TRUE,FALSE,"sig."
"COX5B",3.04654687122622e-05,-0.13373310635075,0.0012804728819366,TRUE,FALSE,"sig."
"GRB2",3.47173540136134e-05,0.241515641889296,0.00132493948636294,TRUE,FALSE,"sig."
"KIAA1109",3.35022547224783e-05,0.180755429807116,0.00132493948636294,TRUE,FALSE,"sig."
"LINC00936",3.53444563773819e-05,-0.0831861019180539,0.00132493948636294,TRUE,FALSE,"sig."
"USP15",3.3618800656767e-05,0.468339154815252,0.00132493948636294,TRUE,TRUE,"sig."
"ACTR3",3.7971785111035e-05,-0.0932552783275313,0.00138597015655278,TRUE,FALSE,"sig."
"SLC8A1",3.95564467471629e-05,0.175305534039823,0.00140678952918756,TRUE,FALSE,"sig."
"H3F3B",4.65950712124447e-05,-0.784945407625361,0.00156485533835568,TRUE,TRUE,"sig."
