"","p_val","avg_log2FC","p_val_adj","sig","fc_thresh","test_status"
"HIST2H2AA4",2.86938356223556e-06,0.845087390356299,0.00188643849924311,TRUE,TRUE,"sig."
"STXBP2",2.21960035154598e-06,0.254494243121709,0.00188643849924311,TRUE,TRUE,"sig."
"TRAPPC5",3.53928423873004e-06,0.204291078444238,0.00188643849924311,TRUE,FALSE,"sig."
"HIST2H4B",1.37274142237779e-05,0.10534165439171,0.00390192745819098,TRUE,FALSE,"sig."
"MT-RNR1",1.32444786863169e-05,-1.04698694873615,0.00390192745819098,TRUE,TRUE,"sig."
"PGAM1",2.04526485522544e-05,0.0352774061367923,0.00390192745819098,TRUE,FALSE,"sig."
"RP11-466H18.1",2.19620682449774e-05,-0.0707134948851692,0.00390192745819098,TRUE,FALSE,"sig."
"WASF2",1.71563513029056e-05,0.0620420189898244,0.00390192745819098,TRUE,FALSE,"sig."
"WBP2",1.73037881043723e-05,0.329148084234102,0.00390192745819098,TRUE,TRUE,"sig."
"CD68",2.80764138898507e-05,0.329175268605599,0.0040812896190792,TRUE,TRUE,"sig."
"COPE",2.5710653966174e-05,-0.0412328094053911,0.0040812896190792,TRUE,FALSE,"sig."
"F11R",3.25487775075327e-05,0.162109915906759,0.00433712460287874,TRUE,FALSE,"sig."
"DMTN",3.61636928138684e-05,0.179304484118385,0.00444813421610582,TRUE,FALSE,"sig."
"PDE5A",4.58160484660272e-05,0.0882493888554552,0.00488022125815767,TRUE,FALSE,"sig."
"PGRMC1",4.57854529688391e-05,0.384875965788178,0.00488022125815767,TRUE,TRUE,"sig."
"TSC22D3",4.88327330397265e-05,0.347794525722139,0.00488022125815767,TRUE,TRUE,"sig."
"C1GALT1",5.83248882435393e-05,0.0288460208163988,0.00490849980533786,TRUE,FALSE,"sig."
"ELOVL7",5.69033819366821e-05,0.0888571322247062,0.00490849980533786,TRUE,FALSE,"sig."
"S100A11",5.65848768994726e-05,-0.138363582734367,0.00490849980533786,TRUE,FALSE,"sig."
"FAXDC2",7.06233658069679e-05,0.21786657341213,0.00563345800192938,TRUE,FALSE,"sig."
"RIOK3",7.39853771360332e-05,0.292683044447753,0.00563345800192938,TRUE,TRUE,"sig."
"S100A8",7.76654167763936e-05,-1.01035821407436,0.00564486370115697,TRUE,TRUE,"sig."
"HIST1H2AM",8.6077255886904e-05,0.0507443246240985,0.00598424052883302,TRUE,FALSE,"sig."
"HIGD1A",0.000111639326500078,0.117217808403346,0.00743797012806769,TRUE,FALSE,"sig."
"ANAPC11",0.00012593356273452,-0.0476665199620425,0.00776319315365799,TRUE,FALSE,"sig."
"HSBP1",0.000126230782986309,-0.0430937417737106,0.00776319315365799,TRUE,FALSE,"sig."
"HIST1H3H",0.000131964605012185,0.582367200867137,0.00781523716349942,TRUE,TRUE,"sig."
"GRN",0.000149142971469054,-0.0304395561142984,0.00822343487513852,TRUE,FALSE,"sig."
"TRIM58",0.000149096934350413,0.272764881206908,0.00822343487513852,TRUE,TRUE,"sig."
"ANO6",0.000170226503155032,0.133474672543078,0.00834316697405902,TRUE,FALSE,"sig."
"CMIP",0.000181538104246043,0.19495524918066,0.00834316697405902,TRUE,FALSE,"sig."
"HSP90AA1",0.000181225067193817,-0.0473817563041935,0.00834316697405902,TRUE,FALSE,"sig."
"RP11-632K20.7",0.00018262091562981,0.0883068788833134,0.00834316697405902,TRUE,FALSE,"sig."
"TYROBP",0.000167319215140727,-0.0624053210798937,0.00834316697405902,TRUE,FALSE,"sig."
"UBE2V1",0.000162978791420796,0.0670279662810739,0.00834316697405902,TRUE,FALSE,"sig."
"PPIA",0.000192473100228482,-0.29630816337013,0.00854901353514839,TRUE,TRUE,"sig."
"UBE2F",0.000209843117144494,0.152636748633663,0.00906862552200124,TRUE,FALSE,"sig."
