"","p_val","avg_log2FC","p_val_adj","sig","fc_thresh","test_status"
"ARHGEF11",7.33812743781924e-06,-0.0148774057456446,0.00955948344363909,TRUE,FALSE,"sig."
"CSNK2B",6.50411989646523e-06,1.04594411507399,0.00955948344363909,TRUE,TRUE,"sig."
"EEF1A1P5",3.35193352182552e-06,NA,0.00955948344363909,TRUE,NA,"sig."
"PCBP1",6.46520820778933e-06,-2.06620715048922,0.00955948344363909,TRUE,TRUE,"sig."
"RPS6",5.27118168902753e-06,-1.0178066882677,0.00955948344363909,TRUE,TRUE,"sig."
"SGK1",5.07231207687283e-06,-0.016542498850488,0.00955948344363909,TRUE,FALSE,"sig."
"SMAP2",4.7131806834616e-06,0.763673739961691,0.00955948344363909,TRUE,TRUE,"sig."
"WAS",8.81316429076852e-06,0.822276513544012,0.0100459056459398,TRUE,TRUE,"sig."
"RPS15AP1",1.59038495914771e-05,NA,0.0161141338249644,TRUE,NA,"sig."
"EARS2",1.85801380754808e-05,-0.0103598796253,0.016154694126607,TRUE,FALSE,"sig."
"PRRG3",2.12585074590727e-05,NA,0.016154694126607,TRUE,NA,"sig."
"RNASEK",2.03720516732388e-05,0.97204280254072,0.016154694126607,TRUE,TRUE,"sig."
"EEF1G",2.36999678460357e-05,1.58606347826891,0.0166246159067692,TRUE,TRUE,"sig."
"MT-ATP8",3.65019350432263e-05,-1.41765851763168,0.0237757961185129,TRUE,TRUE,"sig."
"SPIN4",4.03408008864321e-05,-0.026368404233595,0.0238454806057372,TRUE,FALSE,"sig."
"ZMYM4",4.18387640850746e-05,-0.0268180915079712,0.0238454806057372,TRUE,FALSE,"sig."
"RPL26P19",4.47583050152185e-05,-0.786823499000365,0.0239747755051745,TRUE,TRUE,"sig."
"SARDH",4.7323824881362e-05,-0.0771999511415967,0.0239747755051745,TRUE,FALSE,"sig."
"HBA2",5.0685252493426e-05,-0.0315874972615796,0.0243262535519764,TRUE,FALSE,"sig."
"MT-RNR1",5.48588388779689e-05,-0.918213588687366,0.0250128875864099,TRUE,TRUE,"sig."
"MTX3",5.82275621277965e-05,-0.0080701181006789,0.0251359996729071,TRUE,FALSE,"sig."
"SELPLG",6.0641736243443e-05,0.743114686686055,0.0251359996729071,TRUE,TRUE,"sig."
"WASH6P",7.00802528150834e-05,-0.101691533256282,0.0277852967574237,TRUE,FALSE,"sig."
"BCL6",8.29944795688636e-05,-0.042161300576752,0.0302730663675387,TRUE,FALSE,"sig."
"SBK1",8.02866963613619e-05,-0.0338440764060497,0.0302730663675387,TRUE,FALSE,"sig."
"ARL6IP1",8.82911889781485e-05,0.692141856942745,0.0309664366266052,TRUE,TRUE,"sig."
"DCUN1D4",9.63942982671534e-05,-0.042527553370777,0.0325562816999323,TRUE,FALSE,"sig."
"DLG3",0.000114559186813378,0.00260163950742295,0.0366423318005157,TRUE,FALSE,"sig."
"EPSTI1",0.000116528963945055,0.515756034158874,0.0366423318005157,TRUE,TRUE,"sig."
"RPL21P75",0.000131760481173786,NA,0.0400507942607918,TRUE,NA,"sig."
"IFITM3",0.000138990342050088,-1.01943782288534,0.0408855783598306,TRUE,TRUE,"sig."
"EEF2KMT",0.000149214865514731,-0.0698950368663391,0.0415396782798744,TRUE,FALSE,"sig."
"PER1",0.000150324529360221,0.0256082091744444,0.0415396782798744,TRUE,FALSE,"sig."
"NBPF26",0.000167541047500201,0.25783414069452,0.0449354944751274,TRUE,TRUE,"sig."
"AAED1",0.000207571092709626,NA,0.0466078892213552,TRUE,NA,"sig."
"APOBEC3H",0.000216103784769945,-0.014902846356107,0.0466078892213552,TRUE,FALSE,"sig."
"CTD-2192J16.15",0.000212968304824156,0.43936339549064,0.0466078892213552,TRUE,TRUE,"sig."
"POMK",0.000214724166237345,-0.0167493172645419,0.0466078892213552,TRUE,FALSE,"sig."
"RP11-466H18.1",0.00019852662395326,-1.27037022754597,0.0466078892213552,TRUE,TRUE,"sig."
"RPL27A",0.000190637467637794,-0.980916124874366,0.0466078892213552,TRUE,TRUE,"sig."
"RPS16",0.000206971116933245,-0.860647275120556,0.0466078892213552,TRUE,TRUE,"sig."
"SDCCAG3",0.000219776207535725,-0.0389793546699798,0.0466078892213552,TRUE,FALSE,"sig."
"UQCRHL",0.000188022553386522,NA,0.0466078892213552,TRUE,NA,"sig."
"TCEA1",0.000255625154790039,0.656005413776377,0.0526668559281651,FALSE,TRUE,"NS"
"U2AF1L5",0.000259897852480253,0.359633600885755,0.0526668559281651,FALSE,TRUE,"NS"
"HLA-DOA",0.000265731666391164,-0.029702306375226,0.0526784144743702,FALSE,FALSE,"NS"
"RPS3AP26",0.000272536335487272,NA,0.0528778477299667,FALSE,NA,"NS"
"TSPAN18",0.000281878577587,-0.00158433607869786,0.0535510572711636,FALSE,FALSE,"NS"
"ACIN1",0.000308220168170398,0.436496405881693,0.0557975673616257,FALSE,TRUE,"NS"
"EVL",0.000332182774348863,0.515995954732599,0.0557975673616257,FALSE,TRUE,"NS"
"FCMR",0.000348085948746966,0.887726300487039,0.0557975673616257,FALSE,TRUE,"NS"
"NDUFB9",0.000338769039539569,0.479502448842016,0.0557975673616257,FALSE,TRUE,"NS"
"PTPRCAP",0.000306579408360094,0.741085854148348,0.0557975673616257,FALSE,TRUE,"NS"
"RP11-641D5.1",0.000318181467726421,-0.167041525192375,0.0557975673616257,FALSE,FALSE,"NS"
"RPL41",0.000354891863907697,-2.23564903399153,0.0557975673616257,FALSE,TRUE,"NS"
"RPS17",0.000353357945018556,-0.709279258291761,0.0557975673616257,FALSE,TRUE,"NS"
"UAP1L1",0.000332299792552191,NA,0.0557975673616257,FALSE,NA,"NS"
"UBE2V1",0.000341867600012399,0.50106528590866,0.0557975673616257,FALSE,TRUE,"NS"
"EWSR1",0.000378039770822212,0.811473592247152,0.0577404032969514,FALSE,TRUE,"NS"
"HMGA1",0.000383455919787462,0.429632022934286,0.0577404032969514,FALSE,TRUE,"NS"
"RP11-673C5.1",0.000386244610276789,NA,0.0577404032969514,FALSE,NA,"NS"
"RP11-343H5.4",0.000412584695445776,NA,0.0606832231898392,FALSE,NA,"NS"
"C11orf84",0.00042086040278425,-0.00715943471966406,0.0609178732220568,FALSE,FALSE,"NS"
"CFL1",0.00044957205179648,0.1708991066013,0.0637947431792021,FALSE,FALSE,"NS"
"PUS10",0.000454727306354659,-0.0358373123246174,0.0637947431792021,FALSE,FALSE,"NS"
"GAPDH",0.000485555528223019,0.723986969915262,0.0670875888161472,FALSE,TRUE,"NS"
"GIMAP1",0.000502863297621187,0.687051552938763,0.0680624745268477,FALSE,TRUE,"NS"
"RP4-765C7.2",0.000507539013907845,NA,0.0680624745268477,FALSE,NA,"NS"
"RECQL5",0.000530270523987515,0.0437114077143598,0.0700802450469877,FALSE,FALSE,"NS"
"SRPK2",0.000545014431267971,0.519351178950751,0.0709998085533232,FALSE,TRUE,"NS"
"CISH",0.000576872739150685,-0.697847618011063,0.0730625348377096,FALSE,TRUE,"NS"
