"","p_val","avg_log2FC","p_val_adj","sig","fc_thresh","test_status"
"S100A8",1.7878575051056e-08,-4.32934276816267,9.56682550982005e-05,TRUE,TRUE,"sig."
"RN7SK",4.54675306473417e-07,0.479409245600848,0.00121648378246963,TRUE,TRUE,"sig."
"RPL17",8.09776068528459e-07,1.43856049564286,0.0014443705808986,TRUE,TRUE,"sig."
"RPL41P2",1.61079385603219e-06,-0.0348130621769345,0.00215483948090706,TRUE,FALSE,"sig."
"RPS3AP26",2.24881795975443e-06,NA,0.00240668498052919,TRUE,NA,"sig."
"CHI3L1",7.51891521072481e-06,NA,0.00488445899704271,TRUE,NA,"sig."
"CTD-2192J16.15",8.18735008507329e-06,0.289351814922876,0.00488445899704271,TRUE,TRUE,"sig."
"RPL21P75",5.76613325745243e-06,NA,0.00488445899704271,TRUE,NA,"sig."
"S100A9",8.21531133870014e-06,-2.21531890390712,0.00488445899704271,TRUE,TRUE,"sig."
"CMTM2",9.30357456473511e-06,NA,0.00497834274958976,TRUE,NA,"sig."
"EEF1G",1.35952574826738e-05,0.926556823496985,0.00642617236581359,TRUE,TRUE,"sig."
"LINC01272",1.56120801262524e-05,-0.107227775909728,0.00642617236581359,TRUE,FALSE,"sig."
"SRGN",1.44633183007162e-05,-0.860363914537394,0.00642617236581359,TRUE,TRUE,"sig."
"RN7SL2",1.78058657468203e-05,NA,0.00680565625794537,TRUE,NA,"sig."
"SNRPGP10",1.9556883992647e-05,-0.0456912347680945,0.00697659241631026,TRUE,FALSE,"sig."
"CDA",2.1159246723681e-05,-0.299622885078882,0.00707644557615107,TRUE,TRUE,"sig."
"PI3",2.54000306453721e-05,NA,0.00799503317549329,TRUE,NA,"sig."
"RPL41",2.78985193681666e-05,-1.66681886927434,0.00829360984105886,TRUE,TRUE,"sig."
"CYSTM1",3.43762639419517e-05,-0.293705758725769,0.00875939944539922,TRUE,TRUE,"sig."
"IFITM2",3.35109781666872e-05,-1.22925467613459,0.00875939944539922,TRUE,TRUE,"sig."
"S100P",3.23438135683731e-05,-0.25441036530871,0.00875939944539922,TRUE,TRUE,"sig."
"NBPF26",4.43437986132152e-05,0.0878798480824296,0.0103166811469267,TRUE,FALSE,"sig."
"TYROBP",4.42340022771907e-05,-0.95602583097156,0.0103166811469267,TRUE,TRUE,"sig."
"DEFA3",4.95069968511012e-05,-0.33483320425633,0.0110379975062601,TRUE,TRUE,"sig."
"RPL36A",5.28680848573603e-05,1.00073998925932,0.0113158848828694,TRUE,TRUE,"sig."
"RP11-69L16.5",5.55855122629999e-05,-0.015392739795305,0.0114399260045889,TRUE,FALSE,"sig."
"CAMP",5.88503614484097e-05,-0.409146906543681,0.0116632697818682,TRUE,TRUE,"sig."
