"","p_val","avg_log2FC","p_val_adj","sig","fc_thresh","test_status"
"MT-ATP6",4.9682620036069e-15,-2.73669634195587,3.68794088527741e-11,TRUE,TRUE,"sig."
"EEF1G",3.57948431154502e-13,1.46719682970845,1.32852560222993e-09,TRUE,TRUE,"sig."
"STAG3",3.81007149488487e-12,0.539806748014239,9.42738690217679e-09,TRUE,TRUE,"sig."
"MT-RNR1",6.97174685689335e-12,-1.37797466945982,1.29378192296798e-08,TRUE,TRUE,"sig."
"RP11-796E2.4",3.23858981537936e-11,0.315447693041682,4.8080104399122e-08,TRUE,TRUE,"sig."
"AC090498.1",4.00817900185947e-11,3.69348888586635,4.9587854551338e-08,TRUE,TRUE,"sig."
"RPL41",2.17995097534012e-10,-2.24765984403836,2.31168229856424e-07,TRUE,TRUE,"sig."
"RN7SK",2.6677886273042e-10,1.2778134631876,2.47537437255989e-07,TRUE,TRUE,"sig."
"MT-ND5",3.79723642509467e-10,-1.07794613754405,3.13187622038641e-07,TRUE,TRUE,"sig."
"RPS10P2",4.28124970776928e-10,NA,3.17797165807714e-07,TRUE,NA,"sig."
"CSNK2B",7.67364955259708e-10,0.474424974910068,5.17831823899347e-07,TRUE,TRUE,"sig."
"PTPRCAP",1.47678434833603e-09,0.938902944707652,9.13514184808196e-07,TRUE,TRUE,"sig."
"GLO1",1.89513673770206e-09,0.507138939110719,1.08212307722788e-06,TRUE,TRUE,"sig."
"RCSD1",4.143339257189e-09,0.889680246676529,2.19685766472242e-06,TRUE,TRUE,"sig."
"RNASEK",4.67744287319881e-09,0.765136089139203,2.21673947419695e-06,TRUE,TRUE,"sig."
"RP11-641D5.1",4.77809936510188e-09,-0.253637448090508,2.21673947419695e-06,TRUE,TRUE,"sig."
"IFITM1",5.31181896548772e-09,0.673851136592589,2.31939012828325e-06,TRUE,TRUE,"sig."
"IGKV1-39",6.1497935294401e-09,0.175514790367445,2.53610652050188e-06,TRUE,FALSE,"sig."
"TRAPPC5",7.16156257143521e-09,0.386917774362813,2.79790941935598e-06,TRUE,TRUE,"sig."
"PRKCB",1.20213894901095e-08,-0.347125547015428,4.29611319663621e-06,TRUE,TRUE,"sig."
"SESN1",1.21538969593642e-08,0.502054699349898,4.29611319663621e-06,TRUE,TRUE,"sig."
"HIST2H2AA4",1.31711825179566e-08,0.194104109023584,4.29833568875687e-06,TRUE,FALSE,"sig."
"RP11-425L10.1",1.33182972977782e-08,-2.12331516817332,4.29833568875687e-06,TRUE,TRUE,"sig."
