"","p_val","avg_log2FC","p_val_adj","sig","fc_thresh","test_status"
"MT-ATP6",1.57551845937577e-20,-3.42082571237298,1.16367793409494e-16,TRUE,TRUE,"sig."
"MT-ND1",8.42402505544886e-17,-1.32832086236868,3.11099245297726e-13,TRUE,TRUE,"sig."
"PCBP1",3.00400246934467e-15,-1.44487410504795,7.39585407952657e-12,TRUE,TRUE,"sig."
"RPL41",1.58685242154304e-14,-2.35696610763354,2.93012299637922e-11,TRUE,TRUE,"sig."
"NDUFV2P1",5.44183777933904e-14,-0.227334189416892,8.03868276763963e-11,TRUE,FALSE,"sig."
"PTPRCAP",1.36193281733947e-13,1.12286440968165,1.67653929814489e-10,TRUE,TRUE,"sig."
"EEF1G",7.48555975246107e-13,1.05420845984667,7.89833490452535e-10,TRUE,TRUE,"sig."
"MT-ND4",8.63325735109493e-13,-1.32599977546573,7.9706548493984e-10,TRUE,TRUE,"sig."
"CSNK2B",1.89617837160275e-12,0.443129929970769,1.29389394601886e-09,TRUE,TRUE,"sig."
"RN7SL2",1.92700154430103e-12,0.281713883576449,1.29389394601886e-09,TRUE,TRUE,"sig."
"RPL3",1.77490752458754e-12,-0.708878182996169,1.29389394601886e-09,TRUE,TRUE,"sig."
"AC090498.1",2.32333019665861e-12,3.72136248105853,1.33684555344235e-09,TRUE,TRUE,"sig."
"MT-ND2",2.35296401228684e-12,-0.886474801586912,1.33684555344235e-09,TRUE,TRUE,"sig."
"MT-ND3",4.06430932978205e-12,-1.51031698988535,2.00126591398468e-09,TRUE,TRUE,"sig."
"RPS6",3.87364745830456e-12,-0.763932646533497,2.00126591398468e-09,TRUE,TRUE,"sig."
"RPL9",4.38534033002026e-12,-0.660995806999625,2.0243827298456e-09,TRUE,TRUE,"sig."
"RNASEK",6.23853080366305e-12,0.658468437788815,2.71045814799149e-09,TRUE,TRUE,"sig."
"RPL15",6.94990881425578e-12,-0.518030513211035,2.85177925011629e-09,TRUE,TRUE,"sig."
"RP11-572P18.1",2.13416886505547e-11,NA,7.50617677966652e-09,TRUE,NA,"sig."
"TPT1",2.10520679037256e-11,-0.814363788749795,7.50617677966652e-09,TRUE,TRUE,"sig."
"UBE2V1",1.94462957083892e-11,0.48951064993736,7.50617677966652e-09,TRUE,TRUE,"sig."
"RP11-641D5.1",3.5037716801035e-11,-0.160406333308613,1.1763117104202e-08,TRUE,FALSE,"sig."
"RPL21",4.95486115278912e-11,-1.07985378173476,1.59115671628263e-08,TRUE,TRUE,"sig."
"RP11-65N13.6",6.20834016582094e-11,NA,1.91061668603139e-08,TRUE,NA,"sig."
"CD52",8.45106396436606e-11,-1.01724594866311,2.44414270502292e-08,TRUE,TRUE,"sig."
"RN7SK",8.60380589366315e-11,0.963468252063717,2.44414270502292e-08,TRUE,TRUE,"sig."
"PRDM1",2.05125763727692e-10,0.482003155319431,5.61132922552863e-08,TRUE,TRUE,"sig."
"MT-ND4L",3.15225243068403e-10,-1.1187590624773,8.31519159036867e-08,TRUE,TRUE,"sig."
"MTATP6P1",4.24432403864531e-10,-0.616624051043577,1.08098542584256e-07,TRUE,TRUE,"sig."
"RP11-425L10.1",5.92694836250679e-10,-1.88205000374354,1.45921468684917e-07,TRUE,TRUE,"sig."
"RPL37A",7.56930711918908e-10,-0.980525501122063,1.80344846394615e-07,TRUE,TRUE,"sig."
"RPS16",8.50454281792325e-10,-0.850207719626924,1.96295478916191e-07,TRUE,TRUE,"sig."
"MT-ND5",9.41755988936143e-10,-1.21462369239573,2.10782113160071e-07,TRUE,TRUE,"sig."
"RPS18",1.09068814969425e-09,-0.611300209968208,2.36935960989463e-07,TRUE,TRUE,"sig."
"MT-RNR2",1.17989437411166e-09,-1.0025721870406,2.48991424205391e-07,TRUE,TRUE,"sig."
"MT-CO3",1.27115800989805e-09,-1.43424801825929,2.60799251697416e-07,TRUE,TRUE,"sig."
"MATR3.1",2.05387092203036e-09,0.458213042675671,4.09997044057196e-07,TRUE,TRUE,"sig."
"MT-CYB",2.12878199975577e-09,-1.07953001829567,4.13767996057793e-07,TRUE,TRUE,"sig."
"RPL27",2.40087019878822e-09,-0.661286657897104,4.54687879185892e-07,TRUE,TRUE,"sig."
"RPL27A",2.48291677362956e-09,-1.08831772219671,4.58470582250698e-07,TRUE,TRUE,"sig."
"RPL10A",2.90587025193822e-09,-0.608418859559801,5.23481894654042e-07,TRUE,TRUE,"sig."
"RPL4",3.17712597190565e-09,-0.639308623601962,5.5872029591655e-07,TRUE,TRUE,"sig."
"EEF1A1P6",3.41368748424057e-09,0.0767467045042752,5.8636036647909e-07,TRUE,FALSE,"sig."
"CAMK1D",5.35552192836471e-09,-0.0813229399091387,8.98997385520495e-07,TRUE,FALSE,"sig."
"RP11-371A22.1",5.89342663797749e-09,-0.811831086026584,9.67307758846706e-07,TRUE,TRUE,"sig."
"FAM159A",6.22141451482965e-09,-0.0799566143367482,9.98942774055039e-07,TRUE,FALSE,"sig."
"RPS23",6.37704104395948e-09,-0.169298826773076,1.00214521597201e-06,TRUE,FALSE,"sig."
"MYL12A",8.89154922799980e-09,0.51687719100614,1.36818713745847e-06,TRUE,TRUE,"sig."
"RPS2",9.32245219584371e-09,-0.862818342478154,1.4052169779286e-06,TRUE,TRUE,"sig."
"RPS29",1.4018607325454e-08,-0.801676783358007,2.07082867411607e-06,TRUE,TRUE,"sig."
"COTL1",1.96886995693042e-08,-0.485301825520368,2.85138696115453e-06,TRUE,TRUE,"sig."
"IFITM1",2.80773158350219e-08,0.729829642205881,3.98805874533599e-06,TRUE,TRUE,"sig."
"PRICKLE4",3.41074993903314e-08,0.129082613709392,4.75316963201863e-06,TRUE,FALSE,"sig."
"CTD-2192J16.15",3.85400289638186e-08,0.336640746927809,5.2714195171623e-06,TRUE,TRUE,"sig."
"RPL26P19",4.46010296166495e-08,-0.318108794293246,5.98951281361042e-06,TRUE,TRUE,"sig."
"RPS10",4.85143887463308e-08,1.33195932370962,6.39870134429284e-06,TRUE,TRUE,"sig."
"RP11-290D2.6",5.00212801792672e-08,-0.552749638271006,6.4817048316503e-06,TRUE,TRUE,"sig."
"MT-RNR1",6.6451493886018e-08,-1.22554982247959,8.46225403176084e-06,TRUE,TRUE,"sig."
"EIF3CL",8.70970745562269e-08,0.0455054725491885,1.09033727571575e-05,TRUE,FALSE,"sig."
"RPS23P8",8.87099733630549e-08,-0.0877770613058496,1.09201977209921e-05,TRUE,FALSE,"sig."
"HMGB1",9.87014157493217e-08,0.50012291041686,1.19509615856474e-05,TRUE,TRUE,"sig."
"C11orf98",1.06145582695253e-07,0.238568568891905,1.25136270309024e-05,TRUE,FALSE,"sig."
"RPS10P2",1.0673686744474e-07,NA,1.25136270309024e-05,TRUE,NA,"sig."
"RPL6P27",1.12365803079528e-07,0.174874340643301,1.29677159616468e-05,TRUE,FALSE,"sig."
"RPS3A",1.15718901917033e-07,-0.309686947507325,1.31492278393723e-05,TRUE,TRUE,"sig."
"RAC1",1.19284331132429e-07,-0.271881838484213,1.3349001056729e-05,TRUE,TRUE,"sig."
"RPS9",1.25122519735627e-07,-0.430383254123062,1.37933571756319e-05,TRUE,TRUE,"sig."
"CTD-3148I10.15",1.27410983563824e-07,0.0391324510053493,1.3839081244153e-05,TRUE,FALSE,"sig."
"RPS3AP26",1.46607205346202e-07,0.171924647276008,1.5693345198363e-05,TRUE,FALSE,"sig."
"WASH3P",1.70944553113659e-07,0.218422822577175,1.80370924185355e-05,TRUE,FALSE,"sig."
"RPL13A",1.75895673219779e-07,-1.02609245838169,1.82981048225534e-05,TRUE,TRUE,"sig."
"RPL9P9",1.78614183453279e-07,0.587712044010974,1.83228383192489e-05,TRUE,TRUE,"sig."
"RP11-543P15.1",2.05412838718787e-07,0.094567146043268,2.07832770791365e-05,TRUE,FALSE,"sig."
"RP11-144G6.12",2.17325611552852e-07,0.0974654871031705,2.16914454990455e-05,TRUE,FALSE,"sig."
"RPS25",2.32353868020923e-07,-0.288834285838901,2.28822089227005e-05,TRUE,TRUE,"sig."
"IL6ST",2.35926582150271e-07,0.114738415693556,2.29283386284461e-05,TRUE,FALSE,"sig."
"RP11-20O24.4",2.77847472906424e-07,-1.38940161753275,2.64652074111979e-05,TRUE,TRUE,"sig."
"RPL34",2.7948634959023e-07,-0.276478895617457,2.64652074111979e-05,TRUE,TRUE,"sig."
"STXBP2",2.88477136421225e-07,0.1602010565316,2.69707864507236e-05,TRUE,FALSE,"sig."
"LSM12",2.93752033260149e-07,0.0992446599177779,2.71206564707432e-05,TRUE,FALSE,"sig."
"RPS24",3.1813933211483e-07,-0.03371171182958,2.90095939135819e-05,TRUE,FALSE,"sig."
"HIST1H1E",3.25919714559672e-07,0.293784821677222,2.93566220943626e-05,TRUE,TRUE,"sig."
"AAED1",3.50313976821463e-07,-0.0555454247222087,3.11737232867871e-05,TRUE,FALSE,"sig."
"RPL17",3.56637772574677e-07,1.03347767895656,3.13586498599591e-05,TRUE,TRUE,"sig."
"SRSF10",3.85481472608151e-07,0.325915100350943,3.34960724315742e-05,TRUE,TRUE,"sig."
