"","p_val","avg_log2FC","p_val_adj","sig","fc_thresh","test_status"
"CD74",1.12601937485914e-17,-1.55826058569162,3.52331462393426e-14,TRUE,TRUE,"sig."
"S100A8",9.84237507503328e-18,2.82179390717488,3.52331462393426e-14,TRUE,TRUE,"sig."
"HMGB2",1.42931469628095e-16,0.7044047904644,2.98155045644205e-13,TRUE,TRUE,"sig."
"FKBP5",2.81409140532304e-16,0.689766447805506,4.4026460036279e-13,TRUE,TRUE,"sig."
"CD163",4.27819346443311e-16,0.936981930815559,5.35458694008448e-13,TRUE,TRUE,"sig."
"RNASEK",2.48380422809665e-15,0.885503419009218,2.59060780990481e-12,TRUE,TRUE,"sig."
"S100A9",3.00682705482805e-15,1.93872176905825,2.68810338701628e-12,TRUE,TRUE,"sig."
"HLA-DRB5",4.18587382835921e-15,-1.60613734223453,3.274399802234e-12,TRUE,TRUE,"sig."
"ACSL1",8.61443386021251e-15,0.488161093929296,5.9899030108011e-12,TRUE,TRUE,"sig."
"H2AFJ",3.4596173214067e-14,0.507841892690085,2.05720704145665e-11,TRUE,TRUE,"sig."
"HLA-DPB1",3.61605584148661e-14,-1.32623528773095,2.05720704145665e-11,TRUE,TRUE,"sig."
"RPL10",4.7920988115427e-14,-0.679934846725051,2.49907953021952e-11,TRUE,TRUE,"sig."
"NDUFB9",6.40402528941868e-14,0.548414185210382,2.96638797819525e-11,TRUE,TRUE,"sig."
"RPL41",6.63621471632046e-14,-1.78399983064249,2.96638797819525e-11,TRUE,TRUE,"sig."
"HLA-DRA",8.91018259346535e-14,-1.82218024543767,3.71732817799374e-11,TRUE,TRUE,"sig."
"HLA-DRB1",1.34086604992686e-13,-1.47982307128268,5.24446233777643e-11,TRUE,TRUE,"sig."
"ADAMTS2",1.46282693436137e-13,NA,5.38492409131379e-11,TRUE,NA,"sig."
"CSNK2B",1.70241655466462e-13,0.496210663483135,5.60722252583746e-11,TRUE,TRUE,"sig."
"CTSD",1.63249574134395e-13,1.0012729343904,5.60722252583746e-11,TRUE,TRUE,"sig."
"RNASE2",2.39777904467991e-13,0.738755228969035,7.50265063080345e-11,TRUE,TRUE,"sig."
"MARC1",4.93946243481187e-13,0.215976262081676,1.47195980557394e-10,TRUE,FALSE,"sig."
"MT-ND3",5.94359025489204e-13,-1.11355113518464,1.69068126432338e-10,TRUE,TRUE,"sig."
"UPP1",7.13463246012585e-13,0.362247176529926,1.94124043197685e-10,TRUE,TRUE,"sig."
"SAP30",1.11556894467459e-12,0.198456226562516,2.90884602323899e-10,TRUE,FALSE,"sig."
"AGFG1",1.24279435506988e-12,0.346561076682791,3.11096282961094e-10,TRUE,TRUE,"sig."
"PHC2",1.46270823316358e-12,0.380371179780208,3.52062620120679e-10,TRUE,TRUE,"sig."
"MXD3",1.5502846460608e-12,-0.0583187837705249,3.59321530186981e-10,TRUE,FALSE,"sig."
"S100A12",2.04496324729985e-12,1.4682882317785,4.57049285771517e-10,TRUE,TRUE,"sig."
"EEF1A1",2.33722330663719e-12,-1.03691828778995,5.04356670790881e-10,TRUE,TRUE,"sig."
"MT1F",2.5711746829209e-12,0.170403709041859,5.363470388573e-10,TRUE,FALSE,"sig."
"MCEMP1",4.04074314494811e-12,0.291103270525894,8.15708729067267e-10,TRUE,TRUE,"sig."
"PGD",4.57129832871048e-12,0.622335485262525,8.93974529408442e-10,TRUE,TRUE,"sig."
"CAMK1D",5.09304982203867e-12,-0.0854595751860665,9.65827448070243e-10,TRUE,FALSE,"sig."
"HLA-DPA1",5.54195699756418e-12,-1.50610153698554,1.02004608502225e-09,TRUE,TRUE,"sig."
"RN7SK",9.24112366827176e-12,0.748084200160495,1.65231291188699e-09,TRUE,TRUE,"sig."
"CD244",9.90857221927033e-12,-0.0627674637512831,1.72244013744983e-09,TRUE,FALSE,"sig."
"IFI27L2",1.1038894697717e-11,0.288518739805673,1.81793165837666e-09,TRUE,TRUE,"sig."
"LIMD2",1.09232647116392e-11,-0.684735419666967,1.81793165837666e-09,TRUE,TRUE,"sig."
"TPST1",1.72648460320674e-11,0.12692874530999,2.77034375560712e-09,TRUE,FALSE,"sig."
"CACNA2D3",1.8058797277919e-11,-0.0636576831421616,2.82529883413042e-09,TRUE,FALSE,"sig."
"H2AFY",1.94816244740633e-11,0.360749691809955,2.97356112094362e-09,TRUE,TRUE,"sig."
"JDP2",2.33330664149452e-11,0.270627787992526,3.47662689582684e-09,TRUE,TRUE,"sig."
"RPS23",2.54526602980861e-11,-0.681467679956664,3.7042499568703e-09,TRUE,TRUE,"sig."
"FCER1A",2.70411137462095e-11,-0.0611327462752029,3.83002805010467e-09,TRUE,FALSE,"sig."
"SAMSN1",2.75409495453356e-11,0.31263320344391,3.83002805010467e-09,TRUE,TRUE,"sig."
"AC090498.1",3.38858563835697e-11,2.85189642420926,4.51922477184098e-09,TRUE,TRUE,"sig."
"MT-ND5",3.53394976070416e-11,-0.880924122870372,4.51922477184098e-09,TRUE,TRUE,"sig."
"NACA",3.6107580471724e-11,-0.507401998972854,4.51922477184098e-09,TRUE,TRUE,"sig."
"PLBD1",3.50404831359236e-11,0.762551743271653,4.51922477184098e-09,TRUE,TRUE,"sig."
"RPL15",3.6106171996514e-11,-0.5354957616898,4.51922477184098e-09,TRUE,TRUE,"sig."
