"","p_val","avg_log2FC","p_val_adj","sig","fc_thresh","test_status"
"MT-ATP6",3.07594390783952e-19,-3.32795116950599,2.28757948426025e-15,TRUE,TRUE,"sig."
"PCBP1",1.32496500308331e-13,-1.36901447984015,4.9268823639653e-10,TRUE,TRUE,"sig."
"MT-ND1",4.77062591138729e-13,-1.34490632816489,1.18263816343291e-09,TRUE,TRUE,"sig."
"RPL41",6.94885473150012e-13,-2.30675757322564,1.29196581595416e-09,TRUE,TRUE,"sig."
"AC090498.1",8.42502158204677e-12,3.28847798831381,6.42017533391912e-09,TRUE,TRUE,"sig."
"CSNK2B",5.29050983039744e-12,0.393546452353036,6.42017533391912e-09,TRUE,TRUE,"sig."
"MT-ND5",7.51201180116874e-12,-1.28807563736195,6.42017533391912e-09,TRUE,TRUE,"sig."
"PTPRCAP",8.63274886905893e-12,0.975711273493046,6.42017533391912e-09,TRUE,TRUE,"sig."
"RNASEK",6.15521139832263e-12,0.690172737077186,6.42017533391912e-09,TRUE,TRUE,"sig."
"UBE2V1",8.23137026717913e-12,0.45958882994751,6.42017533391912e-09,TRUE,TRUE,"sig."
"RN7SK",1.18461704457866e-11,1.02842795925651,8.0090881459377e-09,TRUE,TRUE,"sig."
"MT-ND4",1.64313622711638e-11,-1.2548653351502,1.01833367675538e-08,TRUE,TRUE,"sig."
"MT-ND3",1.83447839427295e-10,-1.56263436654325,1.04946275524676e-07,TRUE,TRUE,"sig."
"RP11-641D5.1",2.12077103084182e-10,-0.102641287022718,1.12658386831219e-07,TRUE,FALSE,"sig."
"C11orf98",2.42344705092893e-10,0.290080942423137,1.20061372011848e-07,TRUE,TRUE,"sig."
"MT-ND2",2.58300652439097e-10,-0.914213368337901,1.20061372011848e-07,TRUE,TRUE,"sig."
"EEF1G",5.19798120693254e-10,0.735850748874493,2.27396389623278e-07,TRUE,TRUE,"sig."
"RPS10",6.07736659354648e-10,1.29378566494336,2.51096529756695e-07,TRUE,TRUE,"sig."
"TRDC",8.04449092163837e-10,-0.670501731204252,3.14878310443287e-07,TRUE,TRUE,"sig."
"RPL21",8.78354463304772e-10,-0.78257825022003,3.26616107179879e-07,TRUE,TRUE,"sig."
"RPL15",1.27505922133485e-09,-0.516293942871804,4.31027974048511e-07,TRUE,TRUE,"sig."
"TRAPPC5",1.2735318503423e-09,0.267312340485367,4.31027974048511e-07,TRUE,TRUE,"sig."
"PPIA",1.37933471839431e-09,-0.520848132561575,4.46004882639065e-07,TRUE,TRUE,"sig."
"RPL4",1.98426420473179e-09,-0.521738923141605,6.14873870441262e-07,TRUE,TRUE,"sig."
"RNF125",2.73892840636276e-09,0.212742875691328,8.14776422324794e-07,TRUE,FALSE,"sig."
"PRDM1",5.01584809806213e-09,0.383813875352018,1.43472547328031e-06,TRUE,TRUE,"sig."
"RPL9",8.63225041320113e-09,-0.540523806035914,2.37770541936951e-06,TRUE,TRUE,"sig."
"RPL26P19",9.82134628040599e-09,-0.214455026560597,2.60861972454926e-06,TRUE,FALSE,"sig."
"MTATP6P1",1.12828275537229e-08,-0.511929028066588,2.89346167300128e-06,TRUE,TRUE,"sig."
"MT-RNR2",1.45390139809903e-08,-1.14408713459051,3.48795635408467e-06,TRUE,TRUE,"sig."
"ZFP36L2",1.41758851020306e-08,0.838641196673378,3.48795635408467e-06,TRUE,TRUE,"sig."
"DDIT4",1.79360623688892e-08,0.872828905061386,3.69133378605391e-06,TRUE,TRUE,"sig."
"MT-CO3",1.75755389410062e-08,-1.52053812626843,3.69133378605391e-06,TRUE,TRUE,"sig."
