"","p_val","avg_log2FC","p_val_adj","sig","fc_thresh","test_status"
"FTL",1.61987702584494e-10,-1.57311138321047,1.9357530458847e-07,TRUE,TRUE,"sig."
"SYNE1",6.60746796386833e-09,0.274466025374448,3.94796210841133e-06,TRUE,TRUE,"sig."
"TYROBP",7.2698075872974e-08,-0.648110563790881,2.89580668894013e-05,TRUE,TRUE,"sig."
"IRAK3",9.86516536177637e-08,0.24323703402912,2.94721815183069e-05,TRUE,FALSE,"sig."
"MT-RNR2",2.52834793858498e-07,-1.31649695439962,6.04275157321811e-05,TRUE,TRUE,"sig."
"IL1R2",4.14975981976883e-07,0.515127950786689,8.26493830770625e-05,TRUE,TRUE,"sig."
"HLA-B",1.37985587603939e-06,-0.432297740747647,0.000235561110266724,TRUE,TRUE,"sig."
"LINC01272",2.23957803584362e-06,-0.190849570192723,0.000334536969104141,TRUE,FALSE,"sig."
"FKBP5",2.69269794736856e-06,0.221541916670719,0.000343568229066418,TRUE,FALSE,"sig."
"LINC01506",3.16255273617623e-06,-0.179968395851448,0.000343568229066418,TRUE,FALSE,"sig."
"MMP9",3.14086532093977e-06,0.267109400382102,0.000343568229066418,TRUE,TRUE,"sig."
"JAML",5.4648483199287e-06,-0.235914261970827,0.000544207811859567,TRUE,FALSE,"sig."
"SOD2",6.58140032500062e-06,-0.34139942740938,0.000604982568336595,TRUE,TRUE,"sig."
"H3F3B",7.62536183961741e-06,-0.671189316011786,0.000650879099881629,TRUE,TRUE,"sig."
"FTH1",8.44167916076419e-06,-1.40230951675327,0.000672520439807547,TRUE,TRUE,"sig."
"LST1",9.45723316972952e-06,-0.571536383158486,0.000706337102364173,TRUE,TRUE,"sig."
"ZDHHC20",1.09880322356686e-05,NA,0.000772394030683761,TRUE,NA,"sig."
"CXCR2",1.21070604229518e-05,-0.29913940035236,0.000803774289190408,TRUE,TRUE,"sig."
"B2M",1.37403293547221e-05,-0.750676670435574,0.000864194398889102,TRUE,TRUE,"sig."
"FCGRT",2.85639670413115e-05,-0.129548789016273,0.00170669703071836,TRUE,FALSE,"sig."
"IL18R1",3.07730132492534e-05,0.15084645998485,0.00175113099204085,TRUE,FALSE,"sig."
"TNFRSF1A",3.25221958818377e-05,-0.103398749688336,0.00176654654903619,TRUE,FALSE,"sig."
"RP11-44F14.1",6.23226338334214e-05,-0.0947246215955712,0.00323806727960603,TRUE,FALSE,"sig."
"FPR1",6.84702446346844e-05,-0.248841539145555,0.00340924759743533,TRUE,FALSE,"sig."
"RPS14",7.91694542171591e-05,-0.109540043989995,0.0037842999115802,TRUE,FALSE,"sig."
"ITM2B",0.000100813881983929,-0.585503173951435,0.00446194773965907,TRUE,TRUE,"sig."
"TNFAIP3",0.000100326575968537,0.171145072421513,0.00446194773965907,TRUE,FALSE,"sig."
"MT-RNR1",0.000114342273524319,-0.909625297579864,0.0048799648879129,TRUE,TRUE,"sig."
"REPS2",0.000121722417887849,0.0812456931917034,0.00501580308193031,TRUE,FALSE,"sig."
