"","p_val","avg_log2FC","p_val_adj","sig","fc_thresh","test_status"
"AC090498.1",1.9772034609492e-15,3.89387461308814,1.67548221280835e-11,TRUE,TRUE,"sig."
"NME2",7.9047986937117e-14,1.09898134535683,3.34926320652565e-10,TRUE,TRUE,"sig."
"RNASEK",2.01457922469385e-13,1.7490419068471,5.69051478335189e-10,TRUE,TRUE,"sig."
"RP11-371A22.1",8.87505571391717e-13,-1.01460198649352,1.88018055299335e-09,TRUE,TRUE,"sig."
"RPS10",1.39441347696668e-11,2.08197918824194,2.36325196076312e-08,TRUE,TRUE,"sig."
"COL6A3",9.23086023983929e-11,-0.467910119411656,1.11746156674855e-07,TRUE,TRUE,"sig."
"EEF1G",8.19885015250323e-11,2.37871968820699,1.11746156674855e-07,TRUE,TRUE,"sig."
"MT-ATP6",1.86487321779674e-10,-1.90234392284415,1.97536695595119e-07,TRUE,TRUE,"sig."
"RP11-425L10.1",3.06280844241839e-10,-1.73591547952005,2.88380430456149e-07,TRUE,TRUE,"sig."
"RP11-20O24.4",5.25702583743473e-10,-1.38121607807424,4.45480369464219e-07,TRUE,TRUE,"sig."
"CSNK2B",1.14782377267115e-09,1.58359104326152,8.84241695419578e-07,TRUE,TRUE,"sig."
"NDUFV2P1",2.83771506352052e-09,-0.646685077291898,1.98138645574243e-06,TRUE,TRUE,"sig."
"RP11-69L16.5",3.03965351954822e-09,-0.0959527835440482,1.98138645574243e-06,TRUE,FALSE,"sig."
"MT-RNR1",3.40808705683897e-09,-1.86777474267554,2.06286640854667e-06,TRUE,TRUE,"sig."
"NDUFV2",7.55105513799329e-09,2.19823765827179,4.26584274929034e-06,TRUE,TRUE,"sig."
"HLA-DRB5",1.94430634850547e-08,-1.96765970082486,9.69179529249139e-06,TRUE,TRUE,"sig."
"RPL41",1.90349910690554e-08,-2.08642035268944,9.69179529249139e-06,TRUE,TRUE,"sig."
"AC016739.2",2.71974591996912e-08,-0.189295288086466,1.15235634629092e-05,TRUE,FALSE,"sig."
"HSPA5",2.45122211866304e-08,1.66353711275724,1.15235634629092e-05,TRUE,TRUE,"sig."
"RPS10P2",2.71211632881857e-08,NA,1.15235634629092e-05,TRUE,NA,"sig."
"COX6A1",3.58845098347649e-08,1.08825224862734,1.44802541114189e-05,TRUE,TRUE,"sig."
"RPL17",4.94785613920193e-08,1.35120276472622,1.90582422379987e-05,TRUE,TRUE,"sig."
"PCBP1",5.39834248466081e-08,-1.4597614730588,1.98893713978329e-05,TRUE,TRUE,"sig."
"C11orf98",5.80010390802688e-08,0.797428777620987,1.99964071546292e-05,TRUE,TRUE,"sig."
"IFI6",5.89934126582168e-08,1.25856163103536,1.99964071546292e-05,TRUE,TRUE,"sig."
"RP11-65N13.6",7.22569024783657e-08,NA,2.35501919846797e-05,TRUE,NA,"sig."
"LYN",7.67520073807866e-08,-0.608568662165473,2.40887596498069e-05,TRUE,TRUE,"sig."
"HDLBP",8.07215552414576e-08,1.45122287959691,2.44298021112897e-05,TRUE,TRUE,"sig."
"PSMA3",1.16235475970595e-07,1.31043931458991,3.39648077025799e-05,TRUE,TRUE,"sig."
"FCER1G",1.3092625222357e-07,-0.556171296611266,3.46709081669541e-05,TRUE,TRUE,"sig."
"PSMA2",1.25864872041803e-07,0.880257867910515,3.46709081669541e-05,TRUE,TRUE,"sig."
"SAR1B",1.29161969654115e-07,1.05280695082294,3.46709081669541e-05,TRUE,TRUE,"sig."
"MT-RNR2",1.8959716561694e-07,-1.49850210569486,4.86862539829682e-05,TRUE,TRUE,"sig."
"NREP",2.02024742979999e-07,-0.110537416433755,5.03516962356622e-05,TRUE,FALSE,"sig."
"RP11-290D2.6",2.27080545065909e-07,-0.502413468704261,5.353408950043e-05,TRUE,TRUE,"sig."
"SLC38A5",2.27428277320684e-07,0.620986332307698,5.353408950043e-05,TRUE,TRUE,"sig."
"RP11-641D5.1",2.41475559188656e-07,-0.260431437044374,5.53044294206668e-05,TRUE,TRUE,"sig."
"GZMB",3.04986807649098e-07,-0.647209397433476,6.74312550779082e-05,TRUE,TRUE,"sig."
"RPN1",3.10339738970784e-07,1.19728895091865,6.74312550779082e-05,TRUE,TRUE,"sig."
"C1orf186",4.57220100898473e-07,-0.679973124652705,9.68620783753415e-05,TRUE,TRUE,"sig."
"IMPA2",4.88901192236362e-07,NA,0.00010104752934173,TRUE,NA,"sig."
"EEF1A1",5.21511422231484e-07,-1.16637817494183,0.000103732712126212,TRUE,TRUE,"sig."
"PPM1M",5.26375574867492e-07,-0.41712626431519,0.000103732712126212,TRUE,TRUE,"sig."
"LL22NC03-2H8.5",5.9944230666497e-07,-0.0428967068582872,0.000112930824994076,TRUE,FALSE,"sig."
"UBE2V1",5.99703460553859e-07,0.631743223969263,0.000112930824994076,TRUE,TRUE,"sig."
"NME1",6.40702599051654e-07,1.20770915967362,0.000118028561399211,TRUE,TRUE,"sig."
"MRPS24",6.75266717691023e-07,1.72403833851055,0.000121749152461994,TRUE,TRUE,"sig."
"ECH1",7.41820156112781e-07,0.970979537412713,0.000130962166727077,TRUE,TRUE,"sig."
"RPS2",8.48066335079928e-07,-1.10263141351435,0.000146663553540149,TRUE,TRUE,"sig."
"DNAJC3",1.00535408602167e-06,1.35769654509084,0.000167264487756379,TRUE,TRUE,"sig."
"PSMA6",1.00666614061545e-06,1.56743011193326,0.000167264487756379,TRUE,TRUE,"sig."
"SDC1",1.07513818266262e-06,NA,0.000175206172305444,TRUE,NA,"sig."
"FAM129C",1.17852860976749e-06,NA,0.000188431159229618,TRUE,NA,"sig."
"JAML",1.37014508301986e-06,NA,0.000215011285805747,TRUE,NA,"sig."
"IER3IP1",1.55879882131622e-06,1.24456104690012,0.000240168385669703,TRUE,TRUE,"sig."
"PRICKLE4",1.99006641768717e-06,0.3491164866083,0.000301139693276447,TRUE,TRUE,"sig."
"COX6A1P2",2.04895925210531e-06,NA,0.000304611942146323,TRUE,NA,"sig."
"RNF130",2.08851511017497e-06,-0.174638268180814,0.000305139259372806,TRUE,FALSE,"sig."
"SMIM3",2.18825876368513e-06,NA,0.000314293301075726,TRUE,NA,"sig."
"DRAP1",2.25505151532669e-06,1.01268920633902,0.000318488442347973,TRUE,TRUE,"sig."
"IFITM1",2.29304769635203e-06,1.25210573657443,0.000318545675063724,TRUE,TRUE,"sig."
"PSMD14",2.57927318514663e-06,0.499887212407915,0.000346932713824326,TRUE,TRUE,"sig."
"RPS6",2.57426700372872e-06,-0.652865988718733,0.000346932713824326,TRUE,TRUE,"sig."
"ETV6",3.0277428300311e-06,-0.316962131062439,0.000394724503718208,TRUE,TRUE,"sig."
"RPS25",2.98970970788787e-06,-0.66247761052507,0.000394724503718208,TRUE,TRUE,"sig."
"TPM2",3.25919966777962e-06,NA,0.000418461484617644,TRUE,NA,"sig."
"TYROBP",3.64613608937084e-06,-0.709633142822879,0.000461154585392963,TRUE,TRUE,"sig."
"CLEC4C",3.72264590967151e-06,NA,0.000463907374096418,TRUE,NA,"sig."
"TGFBI",4.32107711969383e-06,NA,0.000530678369743268,TRUE,NA,"sig."
"EWSR1",4.5358616926542e-06,1.1981126347698,0.000549098456907881,TRUE,TRUE,"sig."
"ETV2",5.50215280830288e-06,-0.0951092066948106,0.000656693561937446,TRUE,FALSE,"sig."
"NCF1B",6.06827991469716e-06,-0.543251944155356,0.000714202833293663,TRUE,TRUE,"sig."
"RPS3AP26",6.16309028789652e-06,NA,0.000715425028762125,TRUE,NA,"sig."
"RWDD1",6.67598934993515e-06,0.859136440237547,0.000764490996639871,TRUE,TRUE,"sig."
"ETFB",7.102087890246e-06,0.704906008146387,0.000779386114835134,TRUE,TRUE,"sig."
"NAA10",7.26593144583143e-06,0.770728600077994,0.000779386114835134,TRUE,TRUE,"sig."
"PRDX2",6.97730970463537e-06,1.35807453887549,0.000779386114835134,TRUE,TRUE,"sig."
"RP11-73G16.2",7.23707055051174e-06,NA,0.000779386114835134,TRUE,NA,"sig."
"STYXL1",7.11839854336916e-06,-0.133808034465305,0.000779386114835134,TRUE,FALSE,"sig."
"CAMK1D",8.00161922264108e-06,-0.077636595639096,0.000800765405092225,TRUE,FALSE,"sig."
"LILRA4",7.71671387603597e-06,NA,0.000800765405092225,TRUE,NA,"sig."
"LTBP4",7.81038023985904e-06,-0.0942384807620782,0.000800765405092225,TRUE,FALSE,"sig."
"MARCH1",7.99549033251467e-06,-0.111212413081913,0.000800765405092225,TRUE,FALSE,"sig."
"RPL10",8.07920524364916e-06,-0.787100004483948,0.000800765405092225,TRUE,TRUE,"sig."
"RPLP1",7.85030448523567e-06,-0.453151915284558,0.000800765405092225,TRUE,TRUE,"sig."
"SPNS3",8.12671994783235e-06,NA,0.000800765405092225,TRUE,NA,"sig."
"ERCC5",8.26129072969619e-06,-0.0958470244307058,0.00080466870854535,TRUE,FALSE,"sig."
"FAM50A",8.44139055932801e-06,-0.156028236658088,0.000809909414810913,TRUE,FALSE,"sig."
"PAICS",8.54749216807532e-06,0.599055910695045,0.000809909414810913,TRUE,TRUE,"sig."
"TMEM208",8.60182290924972e-06,1.09175859864128,0.000809909414810913,TRUE,TRUE,"sig."
"DAAM1",8.94136832468549e-06,-0.277188140685151,0.00081449165286151,TRUE,TRUE,"sig."
"ELL2",9.03495579053362e-06,1.40678787579713,0.00081449165286151,TRUE,TRUE,"sig."
"PGLS",9.01691251388539e-06,-0.595856842437643,0.00081449165286151,TRUE,TRUE,"sig."
"RP11-730G20.2",9.01138483584318e-06,NA,0.00081449165286151,TRUE,NA,"sig."
"CMTM3",9.18655387521835e-06,NA,0.000819440605669477,TRUE,NA,"sig."
"MRPL40",1.00584892898582e-05,0.867804071809364,0.000887871231690189,TRUE,TRUE,"sig."
"RPL21",1.03686845102997e-05,-0.782757873198081,0.000896573801431429,TRUE,TRUE,"sig."
"RRAGB",1.03589894876193e-05,-0.00974139219747509,0.000896573801431429,TRUE,FALSE,"sig."
"GLRX5",1.15073097920376e-05,-0.184535311105847,0.00098497922401744,TRUE,FALSE,"sig."
"RP11-117D22.2",1.17931837458975e-05,NA,0.000989459792700351,TRUE,NA,"sig."
"SULF2",1.17888088985768e-05,-0.184485504568828,0.000989459792700351,TRUE,FALSE,"sig."
"RPL26",1.19414940288506e-05,0.167811699703798,0.000990127369809047,TRUE,FALSE,"sig."
"YIF1B",1.20348264208558e-05,0.673323626056306,0.000990127369809047,TRUE,TRUE,"sig."
"COPB2",1.21722280451905e-05,0.832312135768219,0.000991802504374463,TRUE,TRUE,"sig."
"GAPT",1.26468636829595e-05,NA,0.00102066212237523,TRUE,NA,"sig."
"CCDC167",1.33849646750861e-05,0.711107544645201,0.00104968037396535,TRUE,TRUE,"sig."
"H3F3AP4",1.35125337099518e-05,-0.121584869331685,0.00104968037396535,TRUE,FALSE,"sig."
"NAPSB",1.33505973370992e-05,-0.403418004313325,0.00104968037396535,TRUE,TRUE,"sig."
"PA2G4",1.36257778069611e-05,1.0216265607892,0.00104968037396535,TRUE,TRUE,"sig."
"TMBIM4",1.33100932431293e-05,0.506096902231198,0.00104968037396535,TRUE,TRUE,"sig."
"PLD4",1.51961779384899e-05,NA,0.00114975367723896,TRUE,NA,"sig."
"PTCRA",1.51961779384899e-05,NA,0.00114975367723896,TRUE,NA,"sig."
"PRIMPOL",1.53715472716087e-05,0.00438265848286431,0.00115273001397887,TRUE,FALSE,"sig."
"RPS14",1.56889456966288e-05,-0.767121593272486,0.00116621163011608,TRUE,TRUE,"sig."
"AC009403.2",1.60540198047975e-05,-0.00185742064345686,0.00118051036879486,TRUE,FALSE,"sig."
"C1orf162",1.61863612490903e-05,-0.244800086500783,0.00118051036879486,TRUE,FALSE,"sig."
"CST3",1.67171635892593e-05,-0.604036124437951,0.00118051036879486,TRUE,TRUE,"sig."
"DNASE1L3",1.66301702324685e-05,NA,0.00118051036879486,TRUE,NA,"sig."
"LAP3",1.66887734098578e-05,0.813728836789091,0.00118051036879486,TRUE,TRUE,"sig."
"RP11-572P18.1",1.65638443621423e-05,NA,0.00118051036879486,TRUE,NA,"sig."
"MOB2",1.70234607850948e-05,-0.0758377909367907,0.00119220501399086,TRUE,FALSE,"sig."
"TMEM63B",1.71968733722625e-05,0.000781244840570812,0.00119447790947994,TRUE,FALSE,"sig."
"DNAJC15",1.80641747669695e-05,1.06316935072153,0.00122198539010971,TRUE,TRUE,"sig."
"GPI",1.82656379678914e-05,1.19958114051469,0.00122198539010971,TRUE,TRUE,"sig."
"RP11-16E12.2",1.83139184026354e-05,0.482056323476508,0.00122198539010971,TRUE,TRUE,"sig."
"SCT",1.79030656265175e-05,NA,0.00122198539010971,TRUE,NA,"sig."
"TNFSF13B",1.80419414209042e-05,NA,0.00122198539010971,TRUE,NA,"sig."
"BBC3",1.8716543772527e-05,-0.102978795127246,0.00123909368694057,TRUE,FALSE,"sig."
"TECR",1.9146423707898e-05,0.768058537933068,0.00125772708915293,TRUE,TRUE,"sig."
"LMAN1",1.94273118706064e-05,1.05702339050824,0.00126324864069969,TRUE,TRUE,"sig."
"MRPS34",1.95286254344653e-05,1.36641107154174,0.00126324864069969,TRUE,TRUE,"sig."
"TBC1D9",1.97992916030984e-05,-0.146482307068169,0.00127105452306558,TRUE,FALSE,"sig."
"EIF3A",2.02182496303229e-05,1.08253578498929,0.00127857796542803,TRUE,TRUE,"sig."
"HVCN1",2.01389962319065e-05,-0.114498156280136,0.00127857796542803,TRUE,FALSE,"sig."
"RP11-297D21.4",2.04341268470228e-05,-0.0461684631079375,0.00128265771038275,TRUE,FALSE,"sig."
"GRAMD1B",2.07773678650166e-05,-0.108997639533849,0.0012869115942407,TRUE,FALSE,"sig."
"NME2P1",2.0805627615173e-05,NA,0.0012869115942407,TRUE,NA,"sig."
"RPL6P27",2.11020117470905e-05,0.161666284485151,0.00129578585177424,TRUE,FALSE,"sig."
"CBWD5",2.22167940465916e-05,0.986468076023163,0.00135442527158861,TRUE,TRUE,"sig."
"HSP90B1",2.29611887768689e-05,1.10576222278247,0.0013546765743566,TRUE,TRUE,"sig."
"KIDINS220",2.27660938095964e-05,-0.128462078092547,0.0013546765743566,TRUE,FALSE,"sig."
"KYNU",2.26860234075649e-05,-0.097831912184167,0.0013546765743566,TRUE,FALSE,"sig."
"MRPL41",2.26658339627692e-05,0.938249628067469,0.0013546765743566,TRUE,TRUE,"sig."
"RP11-356I2.4",2.3180092433527e-05,-0.0351640985568993,0.0013546765743566,TRUE,FALSE,"sig."
"SIT1",2.31540460891657e-05,-0.380973319753157,0.0013546765743566,TRUE,TRUE,"sig."
"ABCE1",2.35142627916633e-05,0.309625347410207,0.00136479358148325,TRUE,TRUE,"sig."
"ERLEC1",2.39454200429766e-05,1.23765291176573,0.00138036387376996,TRUE,TRUE,"sig."
"SPCS3",2.53220595037547e-05,1.31299422309346,0.00144985900158661,TRUE,TRUE,"sig."
"ANKHD1",2.56414255293852e-05,0.384186999769416,0.0014582915431947,TRUE,TRUE,"sig."
"RPL26P19",2.60716451162819e-05,-0.432681489879129,0.00147287413810249,TRUE,TRUE,"sig."
"KRT10",2.65389028407133e-05,0.670182484160431,0.00148458215794784,TRUE,TRUE,"sig."
"RPL13A",2.66292763757461e-05,-0.95727868038476,0.00148458215794784,TRUE,TRUE,"sig."
"SLC7A5",2.74827314731385e-05,-0.262460173254181,0.00152214814708089,TRUE,TRUE,"sig."
"AC004967.7",2.79216931001777e-05,-0.158672195470988,0.0015364183592916,TRUE,FALSE,"sig."
"ODC1",2.85515267961177e-05,-0.595584531653624,0.00156093960045356,TRUE,TRUE,"sig."
"DPP7",2.94874038788737e-05,-0.75984397700451,0.001601770900446,TRUE,TRUE,"sig."
"PGAM1",2.98265640403281e-05,1.21839733865073,0.00160987454571809,TRUE,TRUE,"sig."
"MRPL38",3.04945843859508e-05,0.66877741963642,0.00163551334231992,TRUE,TRUE,"sig."
"USO1",3.1832084351e-05,0.537267794804013,0.00169650995465644,TRUE,TRUE,"sig."
"DOCK11",3.30630190340786e-05,-0.0315254884690032,0.00174022374717256,TRUE,FALSE,"sig."
"RBKS",3.28643951713541e-05,0.00594315158907554,0.00174022374717256,TRUE,FALSE,"sig."
"NIN",3.33075444591094e-05,-0.268415834253202,0.00174227241818823,TRUE,TRUE,"sig."
"SCN9A",3.44436663070733e-05,NA,0.00179064802629533,TRUE,NA,"sig."
"CTD-2192J16.15",3.53941061718282e-05,0.403693101992224,0.00180680515481971,TRUE,TRUE,"sig."
"RPL13",3.51795617349131e-05,-0.603923371608984,0.00180680515481971,TRUE,TRUE,"sig."
"TPD52",3.5281255746745e-05,0.743626634789366,0.00180680515481971,TRUE,TRUE,"sig."
"TUFM",3.56377061049322e-05,1.34179458795825,0.00180834683552811,TRUE,TRUE,"sig."
"PRDX4",3.65242287575058e-05,1.1983324948216,0.00184229949101847,TRUE,TRUE,"sig."
"RIN3",3.79020561112247e-05,-0.0707448146497116,0.00190048534607407,TRUE,FALSE,"sig."
"CBFA2T3",3.85243601890732e-05,-0.138615233774916,0.00192032604848357,TRUE,FALSE,"sig."
"APP",3.97559188102716e-05,-0.324731513862815,0.00192509517713281,TRUE,TRUE,"sig."
"ARHGAP31",3.90962560224441e-05,-0.102942411879635,0.00192509517713281,TRUE,FALSE,"sig."
"HLA-DOA",3.95892947605214e-05,-0.0956134896347629,0.00192509517713281,TRUE,FALSE,"sig."
"IFI27L1",3.94736550539363e-05,0.50676333985078,0.00192509517713281,TRUE,TRUE,"sig."
"SMPD3",3.92460370016688e-05,-0.267140348454131,0.00192509517713281,TRUE,TRUE,"sig."
"RPN2",4.05472970991721e-05,1.0996801391209,0.00195226020237719,TRUE,TRUE,"sig."
"FCGRT",4.22770398190087e-05,-0.465828221214497,0.00202233249522089,TRUE,TRUE,"sig."
"LRRC26",4.27186118296601e-05,NA,0.00202233249522089,TRUE,NA,"sig."
"TPT1",4.25986212374542e-05,-0.728853624112964,0.00202233249522089,TRUE,TRUE,"sig."
"MAGED1",4.44825099559954e-05,0.453937583261749,0.00209413771870614,TRUE,TRUE,"sig."
"NDUFA7",4.50825497505434e-05,0.67182818562539,0.00211066036787903,TRUE,TRUE,"sig."
"PTPRE",4.65073841045794e-05,-0.425507248451517,0.00216540424671542,TRUE,TRUE,"sig."
"ARID5A",4.72090251342915e-05,-0.18746005014093,0.00218606163381413,TRUE,FALSE,"sig."
"LY6E",4.81656375097789e-05,1.55066975284493,0.00219438501213907,TRUE,TRUE,"sig."
"NDUFC1",4.80470368363227e-05,0.949282813557423,0.00219438501213907,TRUE,TRUE,"sig."
"SCAMP5",4.79109081993352e-05,-0.211811045487249,0.00219438501213907,TRUE,FALSE,"sig."
"CCT8",4.88187836023467e-05,1.31811152554109,0.00221224797992666,TRUE,TRUE,"sig."
"TUBA1A",5.12761693486661e-05,-0.111538914377861,0.00231124605883296,TRUE,FALSE,"sig."
"C15orf61",5.21042937655262e-05,-0.176422921658953,0.00233614701253475,TRUE,FALSE,"sig."
"CCDC47",5.30051464305201e-05,0.565059830073638,0.0023640295308012,TRUE,TRUE,"sig."
"TRAPPC5",5.34223100976689e-05,0.826348274724958,0.00237016050140129,TRUE,TRUE,"sig."
"ZNF215",5.37434684963827e-05,0.0426551797743362,0.00237199037519973,TRUE,FALSE,"sig."
"FCER1A",5.45949488143355e-05,NA,0.00239708599094652,TRUE,NA,"sig."
"SRPRA",5.52652364524911e-05,0.975140289210961,0.00241400831803304,TRUE,TRUE,"sig."
"TCP1",5.76042604019356e-05,0.606502456225448,0.0025032743725436,TRUE,TRUE,"sig."
"C6orf48",5.99422544222956e-05,-0.199601491710272,0.00259158502027823,TRUE,FALSE,"sig."
