"","p_val","avg_log2FC","p_val_adj","sig","fc_thresh","test_status"
"MT-ATP6",1.01766518952104e-16,-1.07388870271798,1.48680884189024e-13,TRUE,TRUE,"sig."
"ODC1",1.89544855211185e-14,-0.814439352302287,1.38462516731771e-11,TRUE,TRUE,"sig."
"MAX",9.13102828983272e-13,-0.749543840181423,4.44681077714853e-10,TRUE,TRUE,"sig."
"HGD",6.11040465525179e-12,-0.227120757166368,2.05990904040721e-09,TRUE,FALSE,"sig."
"TIMP1",7.04965448462427e-12,0.729084529639603,2.05990904040721e-09,TRUE,TRUE,"sig."
"MT-ND3",9.3605907155368e-11,-0.466356205001209,2.27930383923321e-08,TRUE,TRUE,"sig."
"IFITM3",1.50607226093311e-10,1.36354786233785,3.14338796174754e-08,TRUE,TRUE,"sig."
"MT-RNR1",1.89384280092983e-10,-1.08292667676386,3.4586304151981e-08,TRUE,TRUE,"sig."
"TUBA4A",3.50330824594459e-10,-0.670742612721626,5.68703705258338e-08,TRUE,TRUE,"sig."
"PTCRA",4.36459064349119e-10,-0.63590186963907,6.37666693014063e-08,TRUE,TRUE,"sig."
"TRAPPC5",7.06661937762776e-10,0.23512436109023,9.3857553733765e-08,TRUE,FALSE,"sig."
"IFI27",1.04475216495128e-09,0.937319846473314,1.27198576082818e-07,TRUE,TRUE,"sig."
"AP001189.4",1.24308258032433e-09,-0.366628032315818,1.39703357681066e-07,TRUE,TRUE,"sig."
"SDPR",2.21063012160712e-09,-0.61192457975071,2.30695043404857e-07,TRUE,TRUE,"sig."
"GPX1P1",2.68722385881272e-09,2.22912245672559,2.61735603848359e-07,TRUE,TRUE,"sig."
"GRAP2",3.3277321753423e-09,-0.274914870945581,3.03863544260944e-07,TRUE,TRUE,"sig."
"IFI27L2",4.23399676862341e-09,0.322814096009633,3.63874663468165e-07,TRUE,TRUE,"sig."
"CD151",4.4844576373546e-09,0.310877479715933,3.63988478231949e-07,TRUE,TRUE,"sig."
"IFITM2",5.72038501057466e-09,0.449559867639684,4.39867500023662e-07,TRUE,TRUE,"sig."
"OST4",7.30051828450272e-09,0.499028326914079,5.33302860682924e-07,TRUE,TRUE,"sig."
"CD68",8.83606279196784e-09,0.372847129774372,6.14737511384048e-07,TRUE,TRUE,"sig."
"MT-ND4",1.60938923672245e-08,-0.581358438968731,1.06878076129614e-06,TRUE,TRUE,"sig."
"ACRBP",1.94885121658843e-08,-0.759909868851515,1.19460012574087e-06,TRUE,TRUE,"sig."
"EIF1",1.96238213674065e-08,0.591163492760583,1.19460012574087e-06,TRUE,TRUE,"sig."
"UBE2V1",2.2067449596606e-08,0.0888856384443792,1.28962175442566e-06,TRUE,FALSE,"sig."
"KIFAP3",2.52543079900181e-08,0.179802361865474,1.36653866568209e-06,TRUE,FALSE,"sig."
"MT-RNR2",2.46884197042418e-08,-0.92169971772742,1.36653866568209e-06,TRUE,TRUE,"sig."
"GTPBP2",2.68933529585353e-08,-0.115032663252124,1.40325673830072e-06,TRUE,FALSE,"sig."
"HIST2H2AA4",2.97575916472705e-08,0.821841144558122,1.49916694471249e-06,TRUE,TRUE,"sig."
"AC114752.3",3.49815038182669e-08,-0.267733544225289,1.7035992359496e-06,TRUE,TRUE,"sig."
"MT-ND1",5.37428858593079e-08,-0.407675213293234,2.5328502013048e-06,TRUE,TRUE,"sig."
"DAD1",6.4441847064e-08,0.169413327137854,2.86111993409786e-06,TRUE,FALSE,"sig."
"HIST2H4B",6.46248855751057e-08,0.103936157109063,2.86111993409786e-06,TRUE,FALSE,"sig."
"ITM2B",7.42399968837924e-08,0.53912022478894,3.13555574342931e-06,TRUE,TRUE,"sig."
