"","p_val","avg_log2FC","p_val_adj","sig","fc_thresh","test_status"
"MT-ATP6",3.92293077509102e-14,-2.63936773652496,3.23053349328745e-10,TRUE,TRUE,"sig."
"RPL26P19",3.51607583417671e-13,-0.412149177679727,1.44774422472226e-09,TRUE,TRUE,"sig."
"CSNK2B",6.51568892376117e-12,0.579456874478307,1.78855660957244e-08,TRUE,TRUE,"sig."
"RPL41",2.28718951745302e-11,-2.3800153817108,4.70875141905641e-08,TRUE,TRUE,"sig."
"AC090498.1",4.29457528135914e-11,3.45263299626623,7.07316548839851e-08,TRUE,TRUE,"sig."
"RNASEK",6.06618183017813e-11,0.747720480498434,8.32583456191949e-08,TRUE,TRUE,"sig."
"PCBP1",1.37912825925597e-10,-1.73909769740346,1.62244588785327e-07,TRUE,TRUE,"sig."
"CD37",2.83724991288411e-10,0.297559469225213,2.92059412907508e-07,TRUE,TRUE,"sig."
"PTPRCAP",4.09719606336905e-10,1.18931210407221,3.74893439798268e-07,TRUE,TRUE,"sig."
"EEF1G",6.72431739773438e-10,1.37240493131649,5.53747537703426e-07,TRUE,TRUE,"sig."
"NDUFV2P1",1.19341381626414e-09,-0.337603608708383,8.93432979721381e-07,TRUE,TRUE,"sig."
"MT-RNR1",1.32055293776586e-09,-1.19561482426091,9.0622945354182e-07,TRUE,TRUE,"sig."
"RP11-371A22.1",1.59978271092299e-09,-1.04928861226284,1.01340081726545e-06,TRUE,TRUE,"sig."
"IFITM2",2.8542763243918e-09,0.688200374565187,1.67892610938332e-06,TRUE,TRUE,"sig."
"RP11-425L10.1",4.21124551594091e-09,-2.05583843335067,2.31197378825156e-06,TRUE,TRUE,"sig."
"RP11-641D5.1",5.05905147864259e-09,-0.269959500800011,2.60383055791386e-06,TRUE,TRUE,"sig."
"RP11-410L14.2",6.02621782134832e-09,0.0200705619261948,2.91917080934138e-06,TRUE,FALSE,"sig."
"RPL21",1.01480067205995e-08,-0.926015269179576,4.64271307467427e-06,TRUE,TRUE,"sig."
"GIMAP1",1.1641919449414e-08,0.555905246448469,5.04585298241705e-06,TRUE,TRUE,"sig."
"RN7SK",1.44865851655402e-08,1.03333033383155,5.96485144191117e-06,TRUE,TRUE,"sig."
"OAZ1",2.26975993007991e-08,0.192732802480877,8.90070144009906e-06,TRUE,FALSE,"sig."
"MT-ND1",2.46450945855074e-08,-0.933965988146586,9.22510699598426e-06,TRUE,TRUE,"sig."
