"","p_val","avg_log2FC","p_val_adj","sig","fc_thresh","test_status"
"MT-ATP6",8.88334289011022e-16,-2.5681739512232,4.27466459872104e-12,TRUE,TRUE,"sig."
"RPL41",3.47101410155043e-13,-2.33314865649852,8.35125992833034e-10,TRUE,TRUE,"sig."
"EEF1G",1.63365074249334e-12,0.878135654961943,2.62037579095931e-09,TRUE,TRUE,"sig."
"MT-CO1",2.96237178898651e-12,-1.07140835866162,2.85098660972062e-09,TRUE,TRUE,"sig."
"RP11-641D5.1",2.9266809200549e-12,-0.19124720368022,2.85098660972062e-09,TRUE,FALSE,"sig."
"CTD-2192J16.15",7.25032148671691e-12,0.302224156372567,4.98407814201168e-09,TRUE,TRUE,"sig."
"MT-CYB",6.72128124930763e-12,-1.1507671730534,4.98407814201168e-09,TRUE,TRUE,"sig."
"RPL3",4.873487961013e-11,-0.81945845142363,2.93140300854932e-08,TRUE,TRUE,"sig."
"NDUFV2P1",5.56586405352299e-11,-0.0805094462934049,2.97588198061696e-08,TRUE,FALSE,"sig."
"MT-ND4L",1.12308008351932e-10,-1.08603215395951,5.40426136189496e-08,TRUE,TRUE,"sig."
"BCL11B",1.42735716857489e-10,-0.131211475719139,6.24403881380215e-08,TRUE,FALSE,"sig."
"MT-ND5",1.7242042253308e-10,-1.27888057460421,6.52091714105148e-08,TRUE,TRUE,"sig."
"MTATP6P1",1.76167753187176e-10,-0.622998572007716,6.52091714105148e-08,TRUE,TRUE,"sig."
"RPS6",1.99213135050385e-10,-0.877056767473852,6.84724004187465e-08,TRUE,TRUE,"sig."
"MT-CO3",2.69604126399147e-10,-1.10078715598516,8.64890037488464e-08,TRUE,TRUE,"sig."
"MT-ND3",3.7843038405672e-10,-1.20538192259947,1.0658744942343e-07,TRUE,TRUE,"sig."
"RN7SK",3.98706169913079e-10,0.476200556481333,1.0658744942343e-07,TRUE,TRUE,"sig."
"RPL5",3.83530206276956e-10,-0.414900618394765,1.0658744942343e-07,TRUE,TRUE,"sig."
