"","p_val","avg_log2FC","p_val_adj","sig","fc_thresh","test_status"
"S100A8",2.94885886956212e-09,-1.40096468961913,2.18982259653683e-05,TRUE,TRUE,"sig."
"S100A9",7.5925296633094e-09,-0.582530228068716,2.81910626398678e-05,TRUE,TRUE,"sig."
"MT-ATP6",1.61387802652209e-07,2.17518683961642,0.000399488607498435,TRUE,TRUE,"sig."
"AC090498.1",2.61104573809641e-07,-1.6707814459511,0.000484740641277599,TRUE,TRUE,"sig."
"SRP19",2.08139363611608e-06,0.0984759405876298,0.00309128582835961,TRUE,FALSE,"sig."
"ADAM28",2.92979892835242e-06,-0.342048428065468,0.00315112888729359,TRUE,TRUE,"sig."
"TIMP1",2.97036119190077e-06,-0.130815043031878,0.00315112888729359,TRUE,FALSE,"sig."
"PF4",4.00080358319184e-06,-0.196165544140523,0.00371374592609782,TRUE,FALSE,"sig."
"OPA1",5.84284044927294e-06,0.0555941908720907,0.00482099257514454,TRUE,FALSE,"sig."
"PTPRCAP",1.09427498032294e-05,-0.686228288071583,0.00812608600387813,TRUE,TRUE,"sig."
"PRKCB",1.51667602388547e-05,0.354802694693659,0.0102389419576123,TRUE,TRUE,"sig."
"PPBP",1.73026544246757e-05,-0.362699776467356,0.0107074593131368,TRUE,TRUE,"sig."
"TPT1",2.32349013128336e-05,0.58813686696115,0.0132724905499309,TRUE,TRUE,"sig."
"IKBIP",2.89620737221354e-05,-0.14653091256842,0.0148907952467602,TRUE,FALSE,"sig."
"S100A12",3.20835879273045e-05,-0.345230474163883,0.0148907952467602,TRUE,TRUE,"sig."
"SEC62",3.15615610424301e-05,-0.37759550052513,0.0148907952467602,TRUE,TRUE,"sig."
"GSPT1",3.98794361689492e-05,0.0566167138675462,0.0174202760582716,TRUE,FALSE,"sig."
"RPS2P5",5.38248211973031e-05,1.28988708470529,0.0222057290117318,TRUE,TRUE,"sig."
"BST2",6.99243473137694e-05,-0.302851282721037,0.0261415984052755,TRUE,TRUE,"sig."
"MT-ND2",7.04055976441571e-05,0.478314716913488,0.0261415984052755,TRUE,TRUE,"sig."
"ALPK1",0.00010290228072945,-0.0722722629098093,0.034734197122586,TRUE,FALSE,"sig."
"CD27",0.000102288176787301,0.161289145151983,0.034734197122586,TRUE,FALSE,"sig."
"RPL39P3",0.000113126717597395,-0.288604074758849,0.0349252507622314,TRUE,TRUE,"sig."
"STAG3",0.000113652115622606,-0.331890140483152,0.0349252507622314,TRUE,TRUE,"sig."
"TCEA1",0.000117577601542659,0.264753439298115,0.0349252507622314,TRUE,TRUE,"sig."
"ACTG1",0.000122910960928703,0.583934400017404,0.0351052613790979,TRUE,TRUE,"sig."
