"","p_val","avg_log2FC","p_val_adj","sig","fc_thresh","test_status"
"MT-ATP6",2.4991223865502e-10,3.31794509722743,1.9890515074553e-06,TRUE,TRUE,"sig."
"AC090498.1",3.17651171342618e-09,-1.82905518395455,1.26409283635795e-05,TRUE,TRUE,"sig."
"PTPRCAP",8.99404033975597e-09,-1.02880382843711,2.38611890213726e-05,TRUE,TRUE,"sig."
"PTGER2",4.49723503446058e-08,-0.466566664531356,8.94837340981794e-05,TRUE,TRUE,"sig."
"S100A8",1.42319754044988e-07,-1.37298959485715,0.000226544584488811,TRUE,TRUE,"sig."
"ATP6V0E1",7.17543827199916e-07,-0.559796751400819,0.000905007601039641,TRUE,TRUE,"sig."
"EIF5",7.95960950782446e-07,0.2310592700251,0.000905007601039641,TRUE,FALSE,"sig."
"CST3",1.3450177447493e-06,-0.332975876410222,0.00133812452880746,TRUE,TRUE,"sig."
"MYADM",2.57373194737245e-06,0.144595721523798,0.00204843325691374,TRUE,FALSE,"sig."
"SRP14",2.56330195835297e-06,-0.466827479879654,0.00204843325691374,TRUE,TRUE,"sig."
"PCED1B-AS1",3.37840317060452e-06,-0.507642507958931,0.00244442825771285,TRUE,TRUE,"sig."
"ATP5D",3.70290562991721e-06,-0.319816421419713,0.00245595215904259,TRUE,TRUE,"sig."
"KPNA6",4.39567051706356e-06,0.0234724931782347,0.00249893868895064,TRUE,FALSE,"sig."
"PSME1",4.34440660780008e-06,-0.351255308728583,0.00249893868895064,TRUE,TRUE,"sig."
"MYL12A",5.27910132240281e-06,-0.677301984248069,0.00280109116166693,TRUE,TRUE,"sig."
"ANXA2R",5.93600654108856e-06,0.150331665564432,0.00293533207204982,TRUE,FALSE,"sig."
"IFITM1",6.53171314937371e-06,-0.774963123502014,0.00293533207204982,TRUE,TRUE,"sig."
"RARS2",6.98364192550712e-06,0.0400538508067857,0.00293533207204982,TRUE,FALSE,"sig."
"VAMP2",7.00732621798549e-06,0.567057366485671,0.00293533207204982,TRUE,TRUE,"sig."
"GUK1",7.48449474411852e-06,-0.302627079757743,0.00293555780679928,TRUE,TRUE,"sig."
"MYO9A",7.74553511028835e-06,0.0419179515335172,0.00293555780679928,TRUE,FALSE,"sig."
"NDUFA3",8.18422398567464e-06,-0.281183413538986,0.00296082903190838,TRUE,TRUE,"sig."
"S100A9",8.70874275462033e-06,-0.651328918405249,0.00301360363408796,TRUE,TRUE,"sig."
"MRPL41",1.17849656870959e-05,-0.34175861732816,0.00390818924598319,TRUE,TRUE,"sig."
"CISH",1.31421749515622e-05,-0.294560076284532,0.00418394281757935,TRUE,TRUE,"sig."
"RP11-693N9.2",1.45912700022159e-05,-0.155428631806177,0.00446661222875524,TRUE,FALSE,"sig."
"GZMA",1.62507338939351e-05,-0.220804948950655,0.00469398822873926,TRUE,FALSE,"sig."
"RP11-290D2.6",1.65135909542278e-05,0.469186725553291,0.00469398822873926,TRUE,TRUE,"sig."
"DIAPH1",2.27575346855444e-05,0.140654164663914,0.00568951670915029,TRUE,FALSE,"sig."
"GPX1",2.2136004733623e-05,-0.26358411511923,0.00568951670915029,TRUE,TRUE,"sig."
"TMBIM6",2.28753027632629e-05,-0.564313631181643,0.00568951670915029,TRUE,TRUE,"sig."
"UQCR10",2.20328294182831e-05,-0.446932221895129,0.00568951670915029,TRUE,TRUE,"sig."
"EMP3",2.64764690212045e-05,-0.596092420923207,0.00603606167980653,TRUE,TRUE,"sig."
"RBM3",2.62928342071223e-05,0.554300179016708,0.00603606167980653,TRUE,TRUE,"sig."
"SRP19",2.65438068593075e-05,0.0617582225291682,0.00603606167980653,TRUE,FALSE,"sig."
"ARHGEF6",2.84684456505289e-05,0.0802032814065051,0.00629389885923776,TRUE,FALSE,"sig."
"CUL3",3.41196912847204e-05,-0.00162790822673881,0.00733942224148891,TRUE,FALSE,"sig."
"PDCD7",3.564886256581e-05,0.0233974409901573,0.00746656045161268,TRUE,FALSE,"sig."
"DYNLT1",3.8450461962066e-05,0.0650378800795315,0.00770087145328705,TRUE,FALSE,"sig."
"KMT5B",3.87027086482576e-05,0.0489516215375765,0.00770087145328705,TRUE,FALSE,"sig."
"PLAC8",4.21870813949759e-05,-0.319282173444437,0.0081894385566491,TRUE,TRUE,"sig."
"RHOA",4.37622606319533e-05,-0.54391952708132,0.00829294838975514,TRUE,TRUE,"sig."
"GABARAP",4.60114114526151e-05,-0.353277765945582,0.00833517178448628,TRUE,TRUE,"sig."
"PIM1",4.60796027789165e-05,-0.356997682304696,0.00833517178448628,TRUE,TRUE,"sig."
"NELFB",4.77675891360137e-05,-0.0413529290867838,0.00844849426518963,TRUE,FALSE,"sig."
"RP11-343H5.4",4.92629548991592e-05,-0.216022209060541,0.00852356213135669,TRUE,FALSE,"sig."
"KMT2B",5.15349156127452e-05,-0.00180102207548765,0.00861346077559146,TRUE,FALSE,"sig."
"TNFSF14",5.1946992992636e-05,-0.0475925762204234,0.00861346077559146,TRUE,FALSE,"sig."
"MT-ND5",5.30664782747891e-05,1.10127355760873,0.00861951225691932,TRUE,TRUE,"sig."
"APRT",5.4361708694304e-05,-0.0699183889148549,0.00865329678995931,TRUE,FALSE,"sig."
"TRMT112",5.61135057134209e-05,-0.398016352779486,0.0087570076857474,TRUE,TRUE,"sig."
"RGCC",6.20845808055122e-05,0.0921173761541534,0.00950252266598214,TRUE,FALSE,"sig."
"CCDC57",7.69590478948597e-05,0.0497278185713775,0.0113296999040762,TRUE,FALSE,"sig."
"KAT6B",7.67797735153144e-05,0.0827844810006286,0.0113296999040762,TRUE,FALSE,"sig."
"SMAD2",7.82929381485353e-05,0.07587136897426,0.0113296999040762,TRUE,FALSE,"sig."
"ARL6IP5",8.19869324961313e-05,-0.345165931405478,0.0113833501335016,TRUE,TRUE,"sig."
"BPGM",8.03955210705342e-05,0.00363843521348644,0.0113833501335016,TRUE,FALSE,"sig."
"MYO9B",8.30932927431269e-05,0.072790267967077,0.0113833501335016,TRUE,FALSE,"sig."
"USP3",8.43846787129783e-05,0.0792589245476839,0.0113833501335016,TRUE,FALSE,"sig."
