"","p_val","avg_log2FC","p_val_adj","sig","fc_thresh","test_status"
"S100A8",1.27840796046466e-16,-3.4097411792548,9.27101452928975e-13,TRUE,TRUE,"sig."
"RTN1",2.23949186840515e-15,0.0763916714132454,7.45704687682263e-12,TRUE,FALSE,"sig."
"S100A12",3.08482358390346e-15,-2.2960056562015,7.45704687682263e-12,TRUE,TRUE,"sig."
"TXN",1.4743735871644e-14,-0.941293777808957,2.67303931352905e-11,TRUE,TRUE,"sig."
"CAMK1D",7.91169571618078e-14,0.103775827510614,9.56260288895718e-11,TRUE,FALSE,"sig."
"MCEMP1",7.64626849819698e-14,-0.623380397679515,9.56260288895718e-11,TRUE,TRUE,"sig."
"PLD4",1.49010709175486e-13,0.0689241572073327,1.54375094705804e-10,TRUE,FALSE,"sig."
"NDUFB9",1.92901396865815e-13,-0.76255481316938,1.55435658896766e-10,TRUE,TRUE,"sig."
"SEC61B",1.86888922473732e-13,-0.607815374437752,1.55435658896766e-10,TRUE,TRUE,"sig."
"H2AFJ",1.53110260628484e-12,-0.551035111743415,1.11035561007777e-09,TRUE,TRUE,"sig."
"GLIPR2",9.67203198876779e-12,-0.552509312616611,6.376506907504e-09,TRUE,TRUE,"sig."
"COX8A",1.13393580235393e-11,-0.645366284165989,6.44255716619921e-09,TRUE,TRUE,"sig."
"GSTO1",1.15489855433797e-11,-0.54221800321811,6.44255716619921e-09,TRUE,TRUE,"sig."
"GNG5",1.56909119176183e-11,-0.8617503159332,8.12789237332629e-09,TRUE,TRUE,"sig."
"ATP6V0E1",2.13917105499834e-11,-0.771248011385543,1.03421789938986e-08,TRUE,TRUE,"sig."
"LY96",3.0185252007394e-11,-0.359875413876145,1.21613026420901e-08,TRUE,TRUE,"sig."
"SERPINB1",2.92795570008494e-11,-0.813573307428528,1.21613026420901e-08,TRUE,TRUE,"sig."
"TXNDC17",2.71892220922568e-11,-0.447323827674578,1.21613026420901e-08,TRUE,TRUE,"sig."
"PLIN3",7.46808730559968e-11,-0.26371753535696,2.85045100737941e-08,TRUE,TRUE,"sig."
"S100A9",7.95985005806723e-11,-1.76451111299788,2.88624163105518e-08,TRUE,TRUE,"sig."
"RPL4",1.24175779804586e-10,0.910014196455275,4.28820359591838e-08,TRUE,TRUE,"sig."
"EPB41L3",1.78450599455761e-10,0.0625553089216632,5.88238066933264e-08,TRUE,FALSE,"sig."
"NAT9",2.06255542909739e-10,0.0554289356470757,6.50332694426706e-08,TRUE,FALSE,"sig."
"CD63",2.36152908603519e-10,-0.965988096666067,6.85032357277087e-08,TRUE,TRUE,"sig."
"SLC16A3",2.28191210858879e-10,-0.251015170646421,6.85032357277087e-08,TRUE,TRUE,"sig."
"TIMP1",3.33245514039298e-10,-0.892708740635065,9.29498641466534e-08,TRUE,TRUE,"sig."
"CACNA2D3",4.16774024925759e-10,0.0771713857374049,1.0746294598474e-07,TRUE,FALSE,"sig."
"CD4",4.35830450055931e-10,0.485649818282781,1.0746294598474e-07,TRUE,TRUE,"sig."
"MAP4K1",4.03190245228956e-10,0.0545106134341802,1.0746294598474e-07,TRUE,FALSE,"sig."
"NDUFB1",4.44551624316355e-10,-0.627373743171693,1.0746294598474e-07,TRUE,TRUE,"sig."
"HLA-DPB1",5.94722896742469e-10,1.34391022636241,1.39126788618593e-07,TRUE,TRUE,"sig."
"EEF1A1",7.00668533391959e-10,1.06452339343703,1.58789006379953e-07,TRUE,TRUE,"sig."
"C14orf159",8.30834072777358e-10,0.0679931050909746,1.73541107235945e-07,TRUE,FALSE,"sig."
"CDK4",8.16278555789599e-10,0.0440756452703117,1.73541107235945e-07,TRUE,FALSE,"sig."
"IFI27L2",8.61483709389689e-10,-0.276282991707613,1.73541107235945e-07,TRUE,TRUE,"sig."
"RCC2",8.5212950452715e-10,0.0404155340865885,1.73541107235945e-07,TRUE,FALSE,"sig."
"DBI",9.36777002550828e-10,-0.623564421763443,1.83608292499962e-07,TRUE,TRUE,"sig."
"FAM46A",9.81642061728478e-10,0.07683396340463,1.87338637675129e-07,TRUE,FALSE,"sig."
"RNASE2",1.05907625060193e-09,-0.500676901299553,1.96933871009364e-07,TRUE,TRUE,"sig."
"ADA",1.13629099188208e-09,0.050266971512351,2.06009556828221e-07,TRUE,FALSE,"sig."
"C14orf2",1.31832729491559e-09,-0.531601220093497,2.33183159578728e-07,TRUE,TRUE,"sig."
"HLA-DPA1",1.75208684127774e-09,1.436379350829,2.95491483091772e-07,TRUE,TRUE,"sig."
"PABPC4",1.75028389217975e-09,0.15571347658459,2.95491483091772e-07,TRUE,FALSE,"sig."
"LMAN1",2.29635335651618e-09,0.0339621921213481,3.78480785033075e-07,TRUE,FALSE,"sig."
"CHMP2A",2.63930437559529e-09,-0.299550582954885,4.25338562929268e-07,TRUE,TRUE,"sig."
"DAPK1",3.055917724138e-09,0.111621295559493,4.61698236155182e-07,TRUE,FALSE,"sig."
"POMP",2.96226967758246e-09,-0.494722398148798,4.61698236155182e-07,TRUE,TRUE,"sig."
"TPT1",3.02928037627403e-09,0.979293572211994,4.61698236155182e-07,TRUE,TRUE,"sig."
"TSC22D2",3.94635809101424e-09,0.034724536171504,5.84060997470108e-07,TRUE,FALSE,"sig."
"UQCR10",4.03701323501254e-09,-0.650223155177728,5.85528399606219e-07,TRUE,TRUE,"sig."
"C20orf24",4.23190276410576e-09,-0.509908079135912,6.01759977358725e-07,TRUE,TRUE,"sig."
