"","p_val","avg_log2FC","p_val_adj","sig","fc_thresh","test_status"
"AC090498.1",1.1276112376984e-09,-1.4514598804607,4.56118745649003e-06,TRUE,TRUE,"sig."
"S100A8",9.57887854002297e-10,-1.24432367927397,4.56118745649003e-06,TRUE,TRUE,"sig."
"MT-ATP6",2.16113527028097e-09,3.04349889045511,5.82786144552434e-06,TRUE,TRUE,"sig."
"BST2",2.02128825676377e-06,-0.382417881766273,0.00327044439944379,TRUE,TRUE,"sig."
"MT-ND5",1.98988260669368e-06,1.12304016755375,0.00327044439944379,TRUE,TRUE,"sig."
"CISD3",3.74649857867335e-06,-0.101307032569325,0.00336768594460749,TRUE,FALSE,"sig."
"MT-CO1",3.35185481418728e-06,1.12070684688013,0.00336768594460749,TRUE,TRUE,"sig."
"S100A12",3.04275133702013e-06,-0.166174278097561,0.00336768594460749,TRUE,FALSE,"sig."
"VAMP2",2.85843411101624e-06,0.492700881881181,0.00336768594460749,TRUE,TRUE,"sig."
"ZBTB2",7.67126220054181e-06,0.010078162465542,0.00620605112023832,TRUE,FALSE,"sig."
"PLCB2",8.86806307750147e-06,0.0855072660499534,0.00652205729972608,TRUE,FALSE,"sig."
"MYL12A",1.19491685218323e-05,-0.437565203066618,0.00743605948781719,TRUE,TRUE,"sig."
"RPS10P2",1.12815334248768e-05,0.0570782235022786,0.00743605948781719,TRUE,FALSE,"sig."
"H3F3AP4",1.43170107277304e-05,0.12891651559296,0.00827318691338137,TRUE,FALSE,"sig."
"PTPRCAP",1.72864579586342e-05,-0.735268847390362,0.00932316299235672,TRUE,TRUE,"sig."
"RPS27L",2.50152138327187e-05,-0.500794385122612,0.0126483174941684,TRUE,TRUE,"sig."
"PSME1",2.83783384055664e-05,-0.4531174405844,0.0130725798786531,TRUE,TRUE,"sig."
"RP11-290D2.6",2.9086086256583e-05,0.338533165847808,0.0130725798786531,TRUE,TRUE,"sig."
"MT-ND2",3.16699095565991e-05,0.916625224024041,0.0134847141217309,TRUE,TRUE,"sig."
"PSMB9",3.34652891333174e-05,-0.450278484242104,0.0135367094544269,TRUE,TRUE,"sig."
"MT-ND1",4.15666342606375e-05,0.904058063209952,0.0160130510080265,TRUE,TRUE,"sig."
"S100A9",4.56268060674143e-05,-0.433871755185571,0.0167782209584265,TRUE,TRUE,"sig."
