"","p_val","avg_log2FC","p_val_adj","sig","fc_thresh","test_status"
"AMPD2",4.50299866848332e-08,0.150174738301755,2.97762695243421e-05,TRUE,FALSE,"sig."
"RPL41",4.97514946104295e-08,0.458205227847028,2.97762695243421e-05,TRUE,TRUE,"sig."
"SMAP2",1.14928518297328e-07,0.363347180958772,4.5856478800634e-05,TRUE,TRUE,"sig."
"S100A11",1.86380849493637e-07,-0.607024017824192,5.57744692109709e-05,TRUE,TRUE,"sig."
"TCF25",3.29845431516807e-07,0.144436241229635,7.89649963051237e-05,TRUE,FALSE,"sig."
"IFITM1",5.23275522704302e-07,-0.865439894493656,0.000104393466779508,TRUE,TRUE,"sig."
"C20orf24",7.14915899671283e-07,-0.0885499266183286,0.000109317047633921,TRUE,FALSE,"sig."
"MBNL1",9.04176365677792e-07,0.103432868719743,0.000109317047633921,TRUE,FALSE,"sig."
"SNX10",8.61511191036641e-07,-0.102849468655456,0.000109317047633921,TRUE,FALSE,"sig."
"WAS",9.13258543307609e-07,0.249149404262568,0.000109317047633921,TRUE,FALSE,"sig."
"CSF3R",1.071285471349e-06,0.941608749270614,0.000111263010934688,TRUE,TRUE,"sig."
"JAML",1.11541865598685e-06,0.397546916306667,0.000111263010934688,TRUE,TRUE,"sig."
"FUS",1.83858262735446e-06,0.100614826025944,0.000122265744719071,TRUE,FALSE,"sig."
"MMP25",1.46735497702026e-06,0.184199545632149,0.000122265744719071,TRUE,FALSE,"sig."
"MYO1F",1.74966174811419e-06,0.399792421180659,0.000122265744719071,TRUE,TRUE,"sig."
"SERPINB1",1.73147153707637e-06,-0.260814166586827,0.000122265744719071,TRUE,TRUE,"sig."
"SON",1.62916857581718e-06,0.146605197697195,0.000122265744719071,TRUE,FALSE,"sig."
"TSC22D3",1.71994728000573e-06,0.374278912458572,0.000122265744719071,TRUE,TRUE,"sig."
"DDX3X",1.99162505174814e-06,0.193521973702224,0.000125472378260133,TRUE,FALSE,"sig."
"EEF1A1",2.59378650844045e-06,0.237938982862057,0.000134989671765357,TRUE,FALSE,"sig."
"HCLS1",2.37448650980963e-06,0.259255030836908,0.000134989671765357,TRUE,TRUE,"sig."
"PECAM1",2.55669104348635e-06,0.243531375726476,0.000134989671765357,TRUE,FALSE,"sig."
"S100A6",2.53150395318666e-06,-0.754565278574674,0.000134989671765357,TRUE,TRUE,"sig."
"TPT1",2.71106039236354e-06,0.380165951412532,0.000135214137069131,TRUE,TRUE,"sig."
"GMIP",2.84359649894785e-06,0.0878714038428129,0.000136151400369623,TRUE,FALSE,"sig."
"ATHL1",3.37339168239147e-06,0.131193751905648,0.000155305763223946,TRUE,FALSE,"sig."
"UBC",4.18059062817378e-06,0.4824949109283,0.000185339517849037,TRUE,TRUE,"sig."
"ABTB1",4.81886530597306e-06,0.372875790670363,0.000206006491830348,TRUE,TRUE,"sig."
"AC074289.1",5.81889854704251e-06,0.1058710184586,0.000217663173775309,TRUE,FALSE,"sig."
"CTSS",5.50124014440578e-06,0.451633051875345,0.000217663173775309,TRUE,TRUE,"sig."
"TBC1D14",5.5376084257734e-06,0.0910941903924572,0.000217663173775309,TRUE,FALSE,"sig."
"TET2",5.81574755561465e-06,0.0847024173612478,0.000217663173775309,TRUE,FALSE,"sig."
"OGFRL1",6.31570986084549e-06,0.137054457794166,0.000229088021316123,TRUE,FALSE,"sig."
"FAM53C",6.67222750060045e-06,0.0855876474436304,0.000234901656418198,TRUE,FALSE,"sig."
"AIF1",7.3530595327157e-06,0.43508224951458,0.000246951332328726,TRUE,TRUE,"sig."
"LSP1",7.44805670475316e-06,0.368536814326198,0.000246951332328726,TRUE,TRUE,"sig."
"SRPK2",7.6334162875212e-06,0.106108336015204,0.000246951332328726,TRUE,FALSE,"sig."
"FCER1G",8.23423535973208e-06,-1.0133350605843,0.000255839597599436,TRUE,TRUE,"sig."
"LAPTM5",8.33562598694906e-06,0.384929814192659,0.000255839597599436,TRUE,TRUE,"sig."
"CCDC88B",1.11845341647185e-05,0.100354873209691,0.000331228621369698,TRUE,FALSE,"sig."
"S100A8",1.15338780017645e-05,-1.72849148399426,0.000331228621369698,TRUE,TRUE,"sig."
"UBA52",1.16220568901648e-05,0.266592882846773,0.000331228621369698,TRUE,TRUE,"sig."
"RAB11FIP1",1.21489095404036e-05,0.253455275774169,0.000338191737671235,TRUE,TRUE,"sig."
"LRP10",1.26247307260964e-05,0.21218243873024,0.000343450060889487,TRUE,FALSE,"sig."
"ATP2A3",1.40535757351068e-05,0.0824942082477302,0.000357171805017944,TRUE,FALSE,"sig."
"LYST",1.39297725190544e-05,0.18375958648956,0.000357171805017944,TRUE,FALSE,"sig."
"MBOAT7",1.37496434745418e-05,0.235752633635845,0.000357171805017944,TRUE,FALSE,"sig."
"RPL11",1.45540105159215e-05,0.238286431997656,0.000357171805017944,TRUE,FALSE,"sig."
"RPL18A",1.46210680416702e-05,0.066369102918012,0.000357171805017944,TRUE,FALSE,"sig."
"R3HDM4",1.50806794453476e-05,0.334462768653603,0.00036103146592162,TRUE,TRUE,"sig."
"ZDHHC18",1.60804389724217e-05,0.19567445932468,0.000377417361764486,TRUE,FALSE,"sig."
"FOXO3",1.77543135068791e-05,0.0960135505037732,0.000381837718637208,TRUE,FALSE,"sig."
"GNAI2",1.75294354282147e-05,0.345413714946396,0.000381837718637208,TRUE,TRUE,"sig."
"PBX2",1.77965365055766e-05,0.116413498468604,0.000381837718637208,TRUE,FALSE,"sig."
"PKM",1.74759880117774e-05,-0.060533756367971,0.000381837718637208,TRUE,FALSE,"sig."
"RNASEK",1.78637529186998e-05,-0.0918340262967382,0.000381837718637208,TRUE,FALSE,"sig."
"RPS11",1.99042158350915e-05,0.120940398469124,0.000417988532536921,TRUE,FALSE,"sig."
"POMP",2.10867393431696e-05,-0.0836670886851715,0.000430800317131226,TRUE,FALSE,"sig."
"RGS2",2.12341008443962e-05,0.682794039571406,0.000430800317131226,TRUE,TRUE,"sig."
"RPL3",2.24000544649392e-05,0.0791427287602577,0.000446881086575537,TRUE,FALSE,"sig."
"ICAM3",2.44906559356194e-05,0.304227223066506,0.000480578936966171,TRUE,TRUE,"sig."
"MCL1",2.50170531367272e-05,0.327531245559232,0.000482990525881653,TRUE,TRUE,"sig."
"ADGRE5",2.63073168551286e-05,0.2953254845189,0.000484459358085984,TRUE,TRUE,"sig."
"LRRFIP1",2.57624497143584e-05,0.283644896649017,0.000484459358085984,TRUE,TRUE,"sig."
"PHC2",2.5943931712707e-05,0.165550314150666,0.000484459358085984,TRUE,FALSE,"sig."
"ANPEP",2.81757152705643e-05,0.143838353948648,0.000499045861863232,TRUE,FALSE,"sig."
"HACD4",2.83501408577274e-05,-0.0615381842104108,0.000499045861863232,TRUE,FALSE,"sig."
"SFT2D1",2.81240138954592e-05,-0.062261931014845,0.000499045861863232,TRUE,FALSE,"sig."
"C15orf39",2.99673362343169e-05,0.13166655049506,0.000519868137282281,TRUE,FALSE,"sig."
"MME",3.06957777518443e-05,0.234558736783549,0.000524897799556537,TRUE,FALSE,"sig."
"IFITM3",3.27671708822373e-05,-1.44834076905225,0.000545524219305585,TRUE,TRUE,"sig."
"TLR2",3.28134868755239e-05,0.10254433911695,0.000545524219305585,TRUE,FALSE,"sig."
"CXCR2",3.33759841507522e-05,0.562615891300691,0.000547274699019868,TRUE,TRUE,"sig."
"ACTB",3.51451143662296e-05,-0.723763649863824,0.000548707407119007,TRUE,TRUE,"sig."
"C4orf3",3.62137720654984e-05,-0.249393123933687,0.000548707407119007,TRUE,FALSE,"sig."
"CLIC1",3.45138652841879e-05,-0.303995695131686,0.000548707407119007,TRUE,TRUE,"sig."
"CYP4F3",3.61211819551451e-05,0.228538021937898,0.000548707407119007,TRUE,FALSE,"sig."
"ENTPD1",3.60638374722564e-05,0.0830088692743883,0.000548707407119007,TRUE,FALSE,"sig."
"MT-ATP6",3.46183452992931e-05,0.580025940776573,0.000548707407119007,TRUE,TRUE,"sig."
"CPPED1",3.8858204055718e-05,0.202403650867995,0.000576946331683951,TRUE,FALSE,"sig."
"GNG5",4.1391816891966e-05,-0.373267013705633,0.000576946331683951,TRUE,TRUE,"sig."
"H3F3A",4.04540152280403e-05,-0.510492008338378,0.000576946331683951,TRUE,TRUE,"sig."
"OAZ2",4.13811042069159e-05,0.104999493968411,0.000576946331683951,TRUE,FALSE,"sig."
"RPL15",4.1697891853114e-05,0.0804051849580144,0.000576946331683951,TRUE,FALSE,"sig."
"SRPK1",4.19334426537207e-05,-0.0661266024551483,0.000576946331683951,TRUE,FALSE,"sig."
"TCIRG1",3.94176522332281e-05,0.181378006613926,0.000576946331683951,TRUE,FALSE,"sig."
"YPEL3",4.04695664794906e-05,0.232267785315079,0.000576946331683951,TRUE,FALSE,"sig."
"IDS",4.54988959508797e-05,0.153648300402556,0.000611934589361831,TRUE,FALSE,"sig."
"SELPLG",4.53120217721666e-05,0.221009404912027,0.000611934589361831,TRUE,FALSE,"sig."
"ATP6V0C",4.85982140111065e-05,-0.205210287914885,0.000639703320351581,TRUE,FALSE,"sig."
"CARD16",4.89972208669686e-05,-0.283348661989968,0.000639703320351581,TRUE,TRUE,"sig."
"RAB31",4.91668383227615e-05,-0.0673841558357011,0.000639703320351581,TRUE,FALSE,"sig."
"ANXA3",5.21928647711618e-05,-0.242184620965693,0.000670292633396877,TRUE,FALSE,"sig."
"ARPC5",5.29168601131467e-05,-0.158233781639255,0.000670292633396877,TRUE,FALSE,"sig."
"NCOA4",5.31978280473712e-05,0.239090936423548,0.000670292633396877,TRUE,FALSE,"sig."
"SLC11A1",5.38866183463185e-05,0.157202729493028,0.000671898772505658,TRUE,FALSE,"sig."
"CD164",5.90976886891408e-05,-0.0561856585673561,0.000687179780463501,TRUE,FALSE,"sig."
"CORO1A",5.70427676959868e-05,0.241645818604189,0.000687179780463501,TRUE,FALSE,"sig."
"CYTH4",5.91307580515794e-05,0.22365588258045,0.000687179780463501,TRUE,FALSE,"sig."
"GLRX",5.78497381629746e-05,-0.203845244285949,0.000687179780463501,TRUE,FALSE,"sig."
"GRK2",5.89707698077041e-05,0.129019293714634,0.000687179780463501,TRUE,FALSE,"sig."
"NCF1C",5.72165285176073e-05,0.351956338030611,0.000687179780463501,TRUE,TRUE,"sig."
"PTMA",5.63740331618172e-05,0.260820489820189,0.000687179780463501,TRUE,TRUE,"sig."
"ARPC4",6.17027276544241e-05,0.130790571985428,0.000691788160078521,TRUE,FALSE,"sig."
"GSTK1",6.11874309913847e-05,-0.0415985893254781,0.000691788160078521,TRUE,FALSE,"sig."
"LAMP2",6.14527698373198e-05,0.124107682795589,0.000691788160078521,TRUE,FALSE,"sig."
"MT-ND5",6.24169768491899e-05,0.191450773993466,0.000691788160078521,TRUE,FALSE,"sig."
"PKN2",6.19970490497706e-05,0.10971749691269,0.000691788160078521,TRUE,FALSE,"sig."
"RARA",6.52737743320265e-05,0.12690405841136,0.000716813833719594,TRUE,FALSE,"sig."
"VAMP2",6.87895099066917e-05,0.148798870182111,0.000748554939620999,TRUE,FALSE,"sig."
"PTPN6",6.96910952562634e-05,0.267643035178897,0.000751533702898624,TRUE,TRUE,"sig."
