"","p_val","avg_log2FC","p_val_adj","sig","fc_thresh","test_status"
"ODC1",5.00886000877191e-12,0.683811013245864,4.03623952372727e-09,TRUE,TRUE,"sig."
"PTCRA",6.7964806395025e-12,0.857201739953934,4.03623952372727e-09,TRUE,TRUE,"sig."
"PTPN18",7.5632220931804e-12,0.785511653150499,4.03623952372727e-09,TRUE,TRUE,"sig."
"TUBA4A",2.52416725631155e-11,0.795119546309218,1.0102979443387e-08,TRUE,TRUE,"sig."
"IFITM3",2.05996210610797e-10,-1.53468543397595,6.59599866375773e-08,TRUE,TRUE,"sig."
"RP11-501J20.5",6.93453759766949e-10,0.349521015606278,1.85036578231148e-07,TRUE,TRUE,"sig."
"TUBA1C",3.04405073763833e-09,0.490029396064117,6.96217890136996e-07,TRUE,TRUE,"sig."
"LIMS1",5.85500566121461e-09,0.851115703236628,1.17173300795057e-06,TRUE,TRUE,"sig."
"MT-ATP6",8.66002468159121e-09,0.899016088953355,1.54052216835861e-06,TRUE,TRUE,"sig."
"MAX",1.0503568426159e-08,0.691397339716324,1.68162130502805e-06,TRUE,TRUE,"sig."
"HGD",1.28496620490594e-08,0.251198603721533,1.87020990368583e-06,TRUE,TRUE,"sig."
"EIF1",1.93569500349484e-08,-0.493463740233056,2.58253975049603e-06,TRUE,TRUE,"sig."
"ITGA2B",4.41489004360881e-08,-0.606502744752288,5.43710689216746e-06,TRUE,TRUE,"sig."
"SDPR",4.86420928510886e-08,0.801016581351361,5.56257076104235e-06,TRUE,TRUE,"sig."
"GTF2A2",1.01627033604658e-07,-0.181011056890345,9.5708753412387e-06,TRUE,FALSE,"sig."
"MAP3K7CL",9.75138343545021e-08,1.0877443316009,9.5708753412387e-06,TRUE,TRUE,"sig."
"STX11",9.86149982612715e-08,0.165882323047132,9.5708753412387e-06,TRUE,FALSE,"sig."
"ENKUR",1.24561254647113e-07,0.376372846152886,1.10790315938905e-05,TRUE,TRUE,"sig."
"DDX11L10",1.31567676980979e-07,0.779823932384318,1.1086307939292e-05,TRUE,TRUE,"sig."
"PTMA",1.90253924985845e-07,0.597345846220584,1.52298266951169e-05,TRUE,TRUE,"sig."
"HPSE",2.31552075031799e-07,-0.164428611332581,1.76530891488529e-05,TRUE,FALSE,"sig."
"CLDN5",2.83588517873432e-07,0.425996574280169,1.89177173798068e-05,TRUE,TRUE,"sig."
"CXCR2P1",2.75363776181022e-07,0.509092571866346,1.89177173798068e-05,TRUE,TRUE,"sig."
"NRGN",2.8279155485196e-07,0.487668869692428,1.89177173798068e-05,TRUE,TRUE,"sig."
"VIM-AS1",3.78133464161775e-07,0.333979764073355,2.42156670449201e-05,TRUE,TRUE,"sig."
"MEPCE",4.64051013684558e-07,0.228694889531066,2.78790378088384e-05,TRUE,FALSE,"sig."
"WDR11-AS1",4.70164909955425e-07,0.135287398224857,2.78790378088384e-05,TRUE,FALSE,"sig."
"IFITM2",5.94290368963125e-07,-0.506881343007299,3.39806743110701e-05,TRUE,TRUE,"sig."
"C2orf88",6.74054254367538e-07,0.387894583126445,3.72059524039385e-05,TRUE,TRUE,"sig."
"PABPC1",6.97175872653438e-07,0.246561406129351,3.72059524039385e-05,TRUE,FALSE,"sig."
"TYROBP",8.11948332440031e-07,-0.0748512011247909,4.19332025882739e-05,TRUE,FALSE,"sig."
"CTD-3092A11.2",1.29185205315741e-06,0.269800386904518,6.26743980940913e-05,TRUE,TRUE,"sig."
"GRN",1.28107478831081e-06,-0.0383765377229323,6.26743980940913e-05,TRUE,FALSE,"sig."
"PLEKHO1",1.38367802272318e-06,0.163840743615977,6.51549563052883e-05,TRUE,FALSE,"sig."
"FYB",1.79064580606335e-06,0.242808826919901,7.96339982085398e-05,TRUE,FALSE,"sig."
"OST4",1.76732965518901e-06,-0.319775672608294,7.96339982085398e-05,TRUE,TRUE,"sig."
"HCST",2.21087796515699e-06,-0.236082296035936,9.56652870869282e-05,TRUE,FALSE,"sig."
"ELOVL7",2.33624274242833e-06,0.129944406183398,9.66490159039921e-05,TRUE,FALSE,"sig."
"SMOX",2.41471619997482e-06,0.257243318290165,9.66490159039921e-05,TRUE,TRUE,"sig."
"TUBB1",2.39922384450931e-06,0.704987784394546,9.66490159039921e-05,TRUE,TRUE,"sig."
"HIST1H2AC",2.57064922869349e-06,1.04351189247645,9.79907003604352e-05,TRUE,TRUE,"sig."
"MT-ND2",2.53672883114406e-06,0.448427242994877,9.79907003604352e-05,TRUE,TRUE,"sig."
"DAPP1",2.75904989395661e-06,0.317033000224541,0.000102726485586617,TRUE,TRUE,"sig."
"TSPAN18",3.15751059685611e-06,0.149304463455317,0.000114890328762878,TRUE,FALSE,"sig."
"HMGB1",4.49254904504982e-06,0.428995556483415,0.00015983491158055,TRUE,TRUE,"sig."
"HRAT92",5.16595479723303e-06,0.36639333176796,0.000179797687616741,TRUE,TRUE,"sig."
"GRAP2",5.52636202747431e-06,0.299663205966317,0.000188249055446518,TRUE,TRUE,"sig."
"SRP14",7.4716830167012e-06,-0.177262737792743,0.000249211760619555,TRUE,FALSE,"sig."
"CPQ",7.68496861116123e-06,-0.0629287700004098,0.000251094586662635,TRUE,FALSE,"sig."
"UBAC2",8.15484608324843e-06,0.139285621100164,0.000261118171585615,TRUE,FALSE,"sig."
"MBNL1",8.44022233914894e-06,0.329552778613367,0.000264956783627009,TRUE,TRUE,"sig."
"UBE2E3",9.1240270092472e-06,0.139423654303528,0.000280914754650092,TRUE,FALSE,"sig."
"ERV3-1",9.35647695237514e-06,0.269409677445872,0.000282636218882124,TRUE,TRUE,"sig."
"GTPBP2",9.59771425983835e-06,0.132442026735318,0.000284554454259281,TRUE,FALSE,"sig."
"PDZK1IP1",1.05655381809561e-05,0.338843424708628,0.000307553211412923,TRUE,TRUE,"sig."
"TMED10",1.1971305632127e-05,-0.0543539830068994,0.000342251077089915,TRUE,FALSE,"sig."
"PRKAR1B",1.32863784230247e-05,-0.32670191595826,0.000373184067636185,TRUE,TRUE,"sig."
"ATP6AP1",1.43690903752801e-05,-0.116671794900591,0.000396636442945231,TRUE,FALSE,"sig."
"NORAD",1.57552257222612e-05,0.337219795442714,0.0004275273962939,TRUE,TRUE,"sig."
"CALR",1.6356327383702e-05,-0.0710191980247326,0.000436441335688448,TRUE,FALSE,"sig."
"AP001189.4",1.68629917094732e-05,0.416237852224517,0.00044258442175191,TRUE,TRUE,"sig."
"TNNC2",1.87450749387937e-05,0.236455505736251,0.000484046209306593,TRUE,FALSE,"sig."
