"","p_val","avg_log2FC","p_val_adj","sig","fc_thresh","test_status"
"MT-ATP6",3.82373161004342e-08,2.40836124713804,0.000332626412757677,TRUE,TRUE,"sig."
"CISH",1.8816452431524e-07,-0.757058483773183,0.000818421598509135,TRUE,TRUE,"sig."
"TASP1",3.57465954848009e-07,-0.0292721360930533,0.00103653211374094,TRUE,FALSE,"sig."
"AC090498.1",1.17237312505922e-06,-1.63254543646418,0.00127480922686127,TRUE,TRUE,"sig."
"EP300",8.43513009514398e-07,0.139921474652404,0.00127480922686127,TRUE,FALSE,"sig."
"MIR223",9.05553808136578e-07,-0.0598802682890726,0.00127480922686127,TRUE,FALSE,"sig."
"PIM1",9.57575553659347e-07,-0.749732701877914,0.00127480922686127,TRUE,TRUE,"sig."
"SLC41A3",1.03575812160741e-06,0.097823419555435,0.00127480922686127,TRUE,FALSE,"sig."
"SRP19",1.89259979488473e-06,0.125280399335333,0.00182930284618914,TRUE,FALSE,"sig."
"RPS19P1",4.62342308614073e-06,-0.0579070854210649,0.00402191574263382,TRUE,FALSE,"sig."
"USP53",8.17460572801395e-06,-0.0108659478156837,0.00646462683890849,TRUE,FALSE,"sig."
"S100A8",9.59429658992038e-06,-0.751789214344313,0.00695506550297645,TRUE,TRUE,"sig."
"GLTSCR2",3.17776456598268e-05,-0.529994820020063,0.0212641338149872,TRUE,TRUE,"sig."
"TIMM8B",3.56259063855435e-05,0.109089554407667,0.0221364114034174,TRUE,FALSE,"sig."
"VAMP2",5.96590117724626e-05,0.54951171250471,0.0345982495605768,TRUE,TRUE,"sig."
"FAM200B",6.88177700862595e-05,0.142215708456884,0.0374153613737732,TRUE,FALSE,"sig."
"CD48",8.3263326704734e-05,-0.46796238521072,0.0426063340590871,TRUE,TRUE,"sig."
"RHNO1",0.000101167383967227,0.0496159109346863,0.0488919485072729,TRUE,FALSE,"sig."
"LSP1",0.000119637085986421,0.532065857213432,0.0547748953155722,FALSE,TRUE,"NS"
"YPEL3",0.000139470671111669,0.299543152029441,0.0606627684000205,FALSE,TRUE,"NS"
"MARK3",0.00014735950512494,0.106442813731452,0.0610419207181834,FALSE,FALSE,"NS"
"HNRNPUL1",0.000155301549733346,0.31624380372746,0.0614076445968352,FALSE,TRUE,"NS"
"BCL2",0.00018960793140991,-0.33734008588884,0.0659759758133922,FALSE,TRUE,"NS"
"ITPKB",0.000175365046039717,0.000440370276988317,0.0659759758133922,FALSE,FALSE,"NS"
"RAD51-AS1",0.00018481821202009,0.053790789133022,0.0659759758133922,FALSE,FALSE,"NS"
"TNFAIP3",0.0001975855965963,0.329957230886437,0.0661075809535083,FALSE,TRUE,"NS"
"CMTR1",0.000229146707863279,0.0219744585990118,0.0711909718465238,FALSE,FALSE,"NS"
"EEF1B2",0.000224672087770746,-0.456885775265711,0.0711909718465238,FALSE,TRUE,"NS"
"RP11-395B7.4",0.000253128525067201,0.0475756122466317,0.0759298289503305,FALSE,FALSE,"NS"
"BOD1L1",0.000288748907181064,0.116503869822096,0.0768129986906703,FALSE,FALSE,"NS"
"MT-CO1",0.000271962746463969,0.852046494054453,0.0768129986906703,FALSE,TRUE,"NS"
"RP11-290D2.6",0.000287202651564738,0.551677587354003,0.0768129986906703,FALSE,TRUE,"NS"
"TPT1",0.00029139314367078,0.520226458504199,0.0768129986906703,FALSE,TRUE,"NS"
"OMA1",0.000310336506158127,-0.102345514325752,0.0794005078549866,FALSE,FALSE,"NS"
"UBR4",0.00032800636685727,0.109860080696236,0.081523639579754,FALSE,FALSE,"NS"
"AC010468.1",0.000352440460820525,-0.0533381745332623,0.0824058716586988,FALSE,FALSE,"NS"
"S100A12",0.000359975068747046,-0.164429520144916,0.0824058716586988,FALSE,FALSE,"NS"
"SYCE1L",0.00034707831201017,NA,0.0824058716586988,FALSE,NA,"NS"
"MT-ND2",0.000413240574050428,0.619656071748299,0.0921738398375558,FALSE,TRUE,"NS"
"CD226",0.000425883769610557,-0.0352377752136316,0.092619072796056,FALSE,FALSE,"NS"
"FCMR",0.000480480622910951,0.544987673012917,0.0949932031523263,FALSE,TRUE,"NS"
"PTGS1",0.000473314763032928,-0.0834071348759256,0.0949932031523263,FALSE,FALSE,"NS"
"RP11-466H18.1",0.00045061567224039,-0.770886377785181,0.0949932031523263,FALSE,TRUE,"NS"
"UAP1L1",0.000460239741547539,-0.0605177987608597,0.0949932031523263,FALSE,FALSE,"NS"
"PF4V1",0.000559359723959731,-0.117263204016764,0.105981274394393,FALSE,FALSE,"NS"
"PPTC7",0.000560425177852867,0.0345418086460527,0.105981274394393,FALSE,FALSE,"NS"
"MAPRE2",0.000582729555814463,0.167668079956964,0.107854561830426,FALSE,FALSE,"NS"
"FAM65A",0.000649176886849608,-0.0761228368184239,0.116055674328457,FALSE,FALSE,"NS"
"RMND5A",0.00065372204185474,0.0612497581188386,0.116055674328457,FALSE,FALSE,"NS"
"CFL1",0.000697193436762261,0.00829888279909863,0.121297714127898,FALSE,FALSE,"NS"
"MDM4",0.000729938577135053,0.00220068282211294,0.124504621225448,FALSE,FALSE,"NS"
"DCTN6",0.000766158447195955,0.0420138061501555,0.125751176078446,FALSE,FALSE,"NS"
"MFSD6",0.000752309750355617,0.0563143955216371,0.125751176078446,FALSE,FALSE,"NS"
"AC006129.2",0.00113442819036058,-0.285469272139824,0.134688432986243,FALSE,TRUE,"NS"
"BIN2",0.00100838692132623,0.49566522351105,0.134688432986243,FALSE,TRUE,"NS"
"BLOC1S1",0.000852689705361742,0.420146023831969,0.134688432986243,FALSE,TRUE,"NS"
"CARHSP1",0.00126263177170274,0.167515182833951,0.134688432986243,FALSE,FALSE,"NS"
"CCDC66",0.000960149700999656,-0.104950705967601,0.134688432986243,FALSE,FALSE,"NS"
"CHCHD10",0.00127487169051343,-0.260522389545479,0.134688432986243,FALSE,TRUE,"NS"
"DUXAP9",0.00110004430648372,-0.0213244924728092,0.134688432986243,FALSE,FALSE,"NS"
"EBPL",0.00103333848993342,-0.218374397480972,0.134688432986243,FALSE,FALSE,"NS"
"FMNL1",0.00110128180627826,0.21863963224653,0.134688432986243,FALSE,FALSE,"NS"
"GSK3B",0.00129581016574777,0.0400840359284334,0.134688432986243,FALSE,FALSE,"NS"
"ITGB2-AS1",0.00113523039690365,0.188013624301661,0.134688432986243,FALSE,FALSE,"NS"
"LINC00891",0.00108950364771609,0.0928090988143678,0.134688432986243,FALSE,FALSE,"NS"
"LINC00957",0.000892332563062655,-0.144512393567668,0.134688432986243,FALSE,FALSE,"NS"
"LPAR6",0.000871599064193055,-0.385836109024063,0.134688432986243,FALSE,TRUE,"NS"
"MED1",0.0010100413549282,0.0836165361113002,0.134688432986243,FALSE,FALSE,"NS"
"MT-ND4",0.00113447542870072,0.794752304084194,0.134688432986243,FALSE,TRUE,"NS"
"MYO1G",0.00120872820744193,0.298291807079383,0.134688432986243,FALSE,TRUE,"NS"
"NCAPG",0.000981647670961788,0.00304313706460906,0.134688432986243,FALSE,FALSE,"NS"
"NDOR1",0.0009621865411752,-0.0611591773233089,0.134688432986243,FALSE,FALSE,"NS"
"OR2A1-AS1",0.00116459727047381,0.04810366729591,0.134688432986243,FALSE,FALSE,"NS"
"PMS1",0.00131607274443392,0.0113653475720356,0.134688432986243,FALSE,FALSE,"NS"
"PPM1M",0.00110829734202299,0.141833533848607,0.134688432986243,FALSE,FALSE,"NS"
"PREX1",0.00123727673533419,0.13948736816919,0.134688432986243,FALSE,FALSE,"NS"
"RHOH",0.000839949344034665,-0.435325495707654,0.134688432986243,FALSE,TRUE,"NS"
"SAMD3",0.00130410434839313,0.0662182994076693,0.134688432986243,FALSE,FALSE,"NS"
"SIL1",0.00100258411582778,-0.0112041761434286,0.134688432986243,FALSE,FALSE,"NS"
