"","p_val","avg_log2FC","p_val_adj","sig","fc_thresh","test_status"
"S100A8",7.63045403015053e-13,-4.51643778287909,4.17538444529837e-09,TRUE,TRUE,"sig."
"RPL19",2.55206604368687e-12,0.579193223690876,6.98245269552727e-09,TRUE,TRUE,"sig."
"RPS18",9.72683978472171e-12,0.984187751824728,1.77417557673324e-08,TRUE,TRUE,"sig."
"S100A9",1.31310433030901e-11,-2.32902700296696,1.79632672386273e-08,TRUE,TRUE,"sig."
"MT-ATP6",1.09802441316623e-10,2.12351253664136,1.0013982648076e-07,TRUE,TRUE,"sig."
"RPS6",1.01813902588952e-10,1.00888307573843,1.0013982648076e-07,TRUE,TRUE,"sig."
"RPL3",1.63840663128001e-10,1.02023985379371,1.2807658694806e-07,TRUE,TRUE,"sig."
"RPL10",2.90363348531496e-10,0.479987676436378,1.98608530395543e-07,TRUE,TRUE,"sig."
"MAPRE2",1.18076004840786e-09,0.098287876238265,7.17902109431977e-07,TRUE,FALSE,"sig."
"RPS25",1.74476826322385e-09,0.80651219810943,8.67942903305538e-07,TRUE,TRUE,"sig."
"TPT1",1.67337665799835e-09,1.23882209947157,8.67942903305538e-07,TRUE,TRUE,"sig."
"RPL10A",2.45511793080407e-09,1.03493210200962,1.11953377644666e-06,TRUE,TRUE,"sig."
"RPS2",2.69848756732041e-09,0.774785307549999,1.13585568987518e-06,TRUE,TRUE,"sig."
"MYL6",4.33942121132087e-09,-0.976795436953101,1.69609377631056e-06,TRUE,TRUE,"sig."
"RACK1",4.71210510213028e-09,0.540367835969567,1.71897594125713e-06,TRUE,TRUE,"sig."
"EEF1A1",5.68851792315459e-09,1.31628890512174,1.84988898062147e-06,TRUE,TRUE,"sig."
"RPL9",5.74709661377283e-09,0.85570865113902,1.84988898062147e-06,TRUE,TRUE,"sig."
"FAM175A",1.08833980802351e-08,0.0469678188781087,3.30855301639148e-06,TRUE,FALSE,"sig."
"RPL15",1.43866331249563e-08,0.666639846309866,4.08676646562428e-06,TRUE,TRUE,"sig."
"RPL4",1.49370119357613e-08,1.04405144719653,4.08676646562428e-06,TRUE,TRUE,"sig."
"RPL5",1.65567981388608e-08,0.354670196214176,4.31422854361174e-06,TRUE,TRUE,"sig."
"PRPF38B",1.88971504565907e-08,0.132987221159668,4.70023669538475e-06,TRUE,FALSE,"sig."
"RAB31",1.98084926488549e-08,-0.183164912782176,4.71269877280582e-06,TRUE,FALSE,"sig."
"RPS14",2.13690629136753e-08,0.693652962511645,4.87214634431798e-06,TRUE,TRUE,"sig."
"CHD6",2.48845703150049e-08,0.037434721756674,5.23724495245027e-06,TRUE,FALSE,"sig."
"RPS23",2.45843699612798e-08,0.832236041051337,5.23724495245027e-06,TRUE,TRUE,"sig."
"LGALS3",2.73350697155599e-08,-0.0898119765018874,5.34205362441228e-06,TRUE,FALSE,"sig."
"MARCKS",2.65779022689945e-08,-0.0810918304855806,5.34205362441228e-06,TRUE,FALSE,"sig."
"S100A6",3.69237586841572e-08,-1.41605107247719,6.96713129378305e-06,TRUE,TRUE,"sig."
"RPL13",4.45372349819492e-08,0.935053911659458,7.86154031681375e-06,TRUE,TRUE,"sig."
"TIMM10B",4.38905384631427e-08,0.0258219522276005,7.86154031681375e-06,TRUE,FALSE,"sig."
"RPL29",5.3392910303482e-08,0.662512224810159,9.08694873651466e-06,TRUE,TRUE,"sig."
"TSPO",5.48006776873143e-08,-0.973484173012166,9.08694873651466e-06,TRUE,TRUE,"sig."
"RPL18A",6.42395129773917e-08,0.653355859643424,1.0338782794479e-05,TRUE,TRUE,"sig."
"S100A11",7.64835881912106e-08,-1.30579719923024,1.19576627023515e-05,TRUE,TRUE,"sig."
"FOXO1",8.23685929053125e-08,0.0360069764770112,1.25200261216075e-05,TRUE,FALSE,"sig."
"CSTA",1.03899612311893e-07,-0.111259223126347,1.536591023164e-05,TRUE,FALSE,"sig."
"IFITM3",1.08249220171056e-07,-1.93819020842618,1.5587887704632e-05,TRUE,TRUE,"sig."
"ABHD14B",1.12061187972348e-07,0.122604126007145,1.57230466816586e-05,TRUE,FALSE,"sig."
"SRGN",1.21166020193118e-07,-0.817593044981995,1.65755115624185e-05,TRUE,TRUE,"sig."
"TMEM30A",1.26942212145201e-07,0.031789801736814,1.69421410941107e-05,TRUE,FALSE,"sig."
"RPS8",1.49214506213965e-07,0.387834901545179,1.94405185238766e-05,TRUE,TRUE,"sig."
"MT-CO1",1.74141012339313e-07,1.06074276025877,2.21604562679237e-05,TRUE,TRUE,"sig."
"PIM1",2.28648072227657e-07,-0.484139137989444,2.84355057097668e-05,TRUE,TRUE,"sig."
"RPS27A",2.38463145332933e-07,0.634896926874608,2.89971184724846e-05,TRUE,TRUE,"sig."
"MNDA",3.02109248131724e-07,-0.731538686668672,3.58355382448542e-05,TRUE,TRUE,"sig."
"RPS5",3.07797934486138e-07,0.558185220370558,3.58355382448542e-05,TRUE,TRUE,"sig."
"SLC25A39",3.6929243292823e-07,-0.292273547455104,4.20993373538182e-05,TRUE,TRUE,"sig."
"TYROBP",4.09565614124405e-07,-0.697181812525071,4.57376130711989e-05,TRUE,TRUE,"sig."
"RPL32",4.47336423829657e-07,0.597481187602058,4.89564982239177e-05,TRUE,TRUE,"sig."
"DEFA4",4.74995873755243e-07,NA,5.02511918108777e-05,TRUE,NA,"sig."
"EPB41L4A-AS1",4.8671658734951e-07,0.10780406340039,5.02511918108777e-05,TRUE,FALSE,"sig."
"S100A4",4.83329043773818e-07,-1.05727140864647,5.02511918108777e-05,TRUE,TRUE,"sig."
"RPSA",5.26215046349637e-07,0.575857384319358,5.33231246967632e-05,TRUE,TRUE,"sig."
"RETN",5.86179450777827e-07,-0.477848586561711,5.7711027668697e-05,TRUE,TRUE,"sig."
"RPL21",5.90609932281987e-07,0.980733823262546,5.7711027668697e-05,TRUE,TRUE,"sig."
"GABARAP",6.1932020831334e-07,-0.849130266219591,5.87537378138616e-05,TRUE,TRUE,"sig."
"MT-ND4L",6.31670855554566e-07,1.06119365647545,5.87537378138616e-05,TRUE,TRUE,"sig."
"TALDO1",6.33492421604136e-07,-0.575111228585601,5.87537378138616e-05,TRUE,TRUE,"sig."
"DEFA3",7.89434435824386e-07,NA,6.99123869765511e-05,TRUE,NA,"sig."
"EPHX2",7.81360265583992e-07,0.112690205501712,6.99123869765511e-05,TRUE,FALSE,"sig."
