"","p_val","avg_log2FC","p_val_adj","sig","fc_thresh","test_status"
"NAP1L1",1.06269687156092e-07,-0.630424183522381,0.000858552802534066,TRUE,TRUE,"sig."
"EID1",3.67085286103971e-06,-0.291220861133738,0.0118801213805696,TRUE,TRUE,"sig."
"HNRNPH1",7.15424038487724e-06,-0.353114193566321,0.0118801213805696,TRUE,TRUE,"sig."
"LAPTM5",8.82296426332686e-06,0.459235079057794,0.0118801213805696,TRUE,TRUE,"sig."
"MBD2",8.16149278903274e-06,-0.227521050270668,0.0118801213805696,TRUE,FALSE,"sig."
"MRPL41",8.59855723835939e-06,-0.348015550742451,0.0118801213805696,TRUE,TRUE,"sig."
"AQP3",2.02688277258352e-05,0.136623756612419,0.0130370429522044,TRUE,FALSE,"sig."
"ARPC5",2.30934397793816e-05,-0.310251710887737,0.0130370429522044,TRUE,TRUE,"sig."
"LGALS3",1.79099532633486e-05,-0.649367230531345,0.0130370429522044,TRUE,TRUE,"sig."
"MT1E",1.40238161700542e-05,-0.824778935838364,0.0130370429522044,TRUE,TRUE,"sig."
"MT1F",1.48561830364369e-05,-0.431397842494433,0.0130370429522044,TRUE,TRUE,"sig."
"MT1G",2.42054269443082e-05,-0.322057818956841,0.0130370429522044,TRUE,TRUE,"sig."
"MT1X",2.11669047441887e-05,-1.04808181161631,0.0130370429522044,TRUE,TRUE,"sig."
"SELENOM",1.93411320468098e-05,0.0524783449148997,0.0130370429522044,TRUE,FALSE,"sig."
"SLC1A4",1.6875316768909e-05,-0.158881353976188,0.0130370429522044,TRUE,FALSE,"sig."
"CBX3",2.61658110290073e-05,-0.387767027515035,0.0132120992064593,TRUE,TRUE,"sig."
"PRDX5",3.02043975888264e-05,-0.420330261876364,0.0143541957717723,TRUE,TRUE,"sig."
"ANP32B",3.63830250387733e-05,-0.361728587510963,0.0155516528773905,TRUE,TRUE,"sig."
"HINT2",3.65740072620893e-05,-0.270180913285726,0.0155516528773905,TRUE,TRUE,"sig."
