"","p_val","avg_log2FC","p_val_adj","sig","fc_thresh","test_status"
"AL096865.1",1.45250608514007e-05,-0.0100715656225122,0.0458121026897893,TRUE,FALSE,"sig."
"PRSS3",6.21791074715362e-06,-0.0663736508691407,0.0458121026897893,TRUE,FALSE,"sig."
"SESTD1",1.72398780819578e-05,-0.0571419019991664,0.0458121026897893,TRUE,FALSE,"sig."
"TBC1D23",2.9286445134522e-05,0.0108855336965908,0.0583678851531023,FALSE,FALSE,"NS"
"AC010226.1",0.000113517739068409,0.0899990254406562,0.0690577928300242,FALSE,FALSE,"NS"
"CDK5",5.23753870782702e-05,-0.00428305554246979,0.0690577928300242,FALSE,FALSE,"NS"
"DHX57",0.000135397298927178,-0.0288920561579402,0.0690577928300242,FALSE,FALSE,"NS"
"FAM122B",8.5986583821712e-05,-0.00524938711833643,0.0690577928300242,FALSE,FALSE,"NS"
"KIF20B",8.89752498489565e-05,-0.106156946715635,0.0690577928300242,FALSE,FALSE,"NS"
"NOD2",6.06562629564401e-05,-0.00220150995764281,0.0690577928300242,FALSE,FALSE,"NS"
"RASAL1",9.25280281528796e-05,-0.115901538684552,0.0690577928300242,FALSE,FALSE,"NS"
"SETD9",0.000132588456065768,-0.0705870085239434,0.0690577928300242,FALSE,FALSE,"NS"
"SLC35C1",0.000115546021895404,-0.039960614182617,0.0690577928300242,FALSE,FALSE,"NS"
"SNTB1",0.000101099684911346,-0.00682123711069606,0.0690577928300242,FALSE,FALSE,"NS"
"ZNF426",0.000104022815450379,0.00692733202492841,0.0690577928300242,FALSE,FALSE,"NS"
"ZNF43",0.000138600688068287,-0.0420401845817028,0.0690577928300242,FALSE,FALSE,"NS"
"MCM3",0.000158724618387199,-0.0115646147479056,0.0744325092813383,FALSE,FALSE,"NS"
"ACO2",0.000214406617666088,0.0975116475889584,0.0923955432020124,FALSE,FALSE,"NS"
"SLC9A9",0.000220210150631991,0.0253272706987337,0.0923955432020124,FALSE,FALSE,"NS"
"SURF6",0.00023350639101785,0.00036630507328924,0.0930756474597149,FALSE,FALSE,"NS"
"UAP1L1",0.000253714924070456,-0.00370245643564076,0.0963150178423656,FALSE,FALSE,"NS"
"ZNF235",0.000291711081896395,0.000541173163700743,0.105705488403548,FALSE,FALSE,"NS"
"FAM199X",0.000326937295930409,0.0144152420943257,0.108597671798218,FALSE,FALSE,"NS"
"VPS50",0.000323122759774142,0.0115724596082027,0.108597671798218,FALSE,FALSE,"NS"
"ENOPH1",0.000359762409478339,0.0589310960850228,0.114721037134453,FALSE,FALSE,"NS"
"TMED8",0.000375028559666561,0.0068154226817356,0.114989526063916,FALSE,FALSE,"NS"
"NNT-AS1",0.000392542949947216,4.68736252518392e-05,0.11590194062886,FALSE,FALSE,"NS"
"NHEJ1",0.000411063019396874,-0.0476883722089553,0.117035513951138,FALSE,FALSE,"NS"
"AC116407.2",0.000429093820506556,0.0461784497184149,0.117956411623388,FALSE,FALSE,"NS"
"CCDC88C",0.000470126152669034,-0.119761823831184,0.124928189635918,FALSE,FALSE,"NS"
"CLASP1",0.000502440884124539,0.0228550691406802,0.125917652294805,FALSE,FALSE,"NS"
"JADE2",0.000505439647947034,NA,0.125917652294805,FALSE,NA,"NS"
"DNAJB6",0.000551040126997939,0.385547967468478,0.129728231942996,FALSE,TRUE,"NS"
"SCO2",0.000553281470905906,-0.0279926332215585,0.129728231942996,FALSE,FALSE,"NS"
"VEZT",0.000588908190099798,0.0329850626650671,0.134136459756445,FALSE,FALSE,"NS"
"ARMC1",0.000606793138663337,-0.00235875394326061,0.134370969484004,FALSE,FALSE,"NS"
"RXYLT1",0.000631574014714136,0.0397031680792937,0.136078595818948,FALSE,FALSE,"NS"
"CDC27",0.000665714744756631,-0.0344336170191837,0.139326538839805,FALSE,FALSE,"NS"
"NCOR1",0.000681602485543451,0.166260548225524,0.139326538839805,FALSE,FALSE,"NS"
"AC004854.2",0.000750191480884099,0.00240618543289754,0.142393487752572,FALSE,FALSE,"NS"
"LIN52",0.000741251895952303,-0.0147404273914905,0.142393487752572,FALSE,FALSE,"NS"
"PTCD3",0.00073444614605985,0.0260356924291903,0.142393487752572,FALSE,FALSE,"NS"
"AP1G2",0.00104645594860406,NA,0.152786604499492,FALSE,NA,"NS"
"ARFGAP2",0.000979840570887513,0.113575004088335,0.152786604499492,FALSE,FALSE,"NS"
"CUL4A",0.00108141078551549,-0.116291258925005,0.152786604499492,FALSE,FALSE,"NS"
"CXorf40A",0.000964939343211113,-0.117118370019945,0.152786604499492,FALSE,FALSE,"NS"
"CYTH4",0.00111159345973037,0.00408785541996727,0.152786604499492,FALSE,FALSE,"NS"
"DCAF17",0.00110649978804595,-0.0432916385482887,0.152786604499492,FALSE,FALSE,"NS"
"DOK3",0.00107614882511871,0.0390483041573067,0.152786604499492,FALSE,FALSE,"NS"
"ERLIN1",0.000971965974096162,0.00831061385937559,0.152786604499492,FALSE,FALSE,"NS"
"LRRC23",0.00101771665117059,-0.13133076242558,0.152786604499492,FALSE,FALSE,"NS"
"MCFD2",0.00106033609430056,NA,0.152786604499492,FALSE,NA,"NS"
"MT1F",0.00101870566246054,-0.10420011200763,0.152786604499492,FALSE,FALSE,"NS"
"MTO1",0.000935610930174145,-0.0158242492488456,0.152786604499492,FALSE,FALSE,"NS"
"NEDD1",0.000889796192968048,0.0115574757286562,0.152786604499492,FALSE,FALSE,"NS"
"PLCB2",0.000877588634353311,0.0365008527621419,0.152786604499492,FALSE,FALSE,"NS"
"PRKAR2B",0.000989316706106145,0.0528406494705564,0.152786604499492,FALSE,FALSE,"NS"
"WDR7",0.00106627387602655,0.0304374534715177,0.152786604499492,FALSE,FALSE,"NS"
"TPP1",0.00114965011397013,-0.00485806415350321,0.155339164552032,FALSE,FALSE,"NS"
"GPR107",0.00121136178166945,0.084031652741194,0.158311083991292,FALSE,FALSE,"NS"
"VIRMA",0.00120694545633501,0.000529873668183404,0.158311083991292,FALSE,FALSE,"NS"
"IMMP2L",0.00133596635157327,0.0480940678868244,0.164423090438861,FALSE,FALSE,"NS"
"KDM5D",0.0013226706789655,-0.070483138155614,0.164423090438861,FALSE,FALSE,"NS"
"KLHDC3",0.00135400795083605,-0.0566045476179266,0.164423090438861,FALSE,FALSE,"NS"
"MAML1",0.00129054683657878,0.0195264406922811,0.164423090438861,FALSE,FALSE,"NS"
"PRR14L",0.00136714683586828,0.00319446563600753,0.164423090438861,FALSE,FALSE,"NS"
"TBPL1",0.00138187996229349,-0.0986158053054262,0.164423090438861,FALSE,FALSE,"NS"
"CHURC1",0.00148916347506608,-0.512255554599318,0.174361004843129,FALSE,TRUE,"NS"
"IL12RB1",0.00150914567664023,-0.0381606037835896,0.174361004843129,FALSE,FALSE,"NS"
"CDKAL1",0.00174204132312517,0.0301711173197099,0.182730966157287,FALSE,FALSE,"NS"
"CENPW",0.00167270873780934,-0.0506037514398128,0.182730966157287,FALSE,FALSE,"NS"
"FAM198B",0.00169984711494665,-0.103896393291804,0.182730966157287,FALSE,FALSE,"NS"
"FEM1C",0.00170442051959256,0.0825506129245891,0.182730966157287,FALSE,FALSE,"NS"
"MTIF2",0.00167490250381588,-0.0485350345901409,0.182730966157287,FALSE,FALSE,"NS"
"RNGTT",0.00173302789085064,0.0302026480603649,0.182730966157287,FALSE,FALSE,"NS"
"ZNF91",0.00173168940795527,0.020562084249068,0.182730966157287,FALSE,FALSE,"NS"
"NUP37",0.00178774878378726,-0.0135084177985802,0.183212283419303,FALSE,FALSE,"NS"
"RP9",0.00179259384178445,NA,0.183212283419303,FALSE,NA,"NS"
"WRNIP1",0.00182187701877392,-0.0383850736338034,0.183848146755262,FALSE,FALSE,"NS"
"SLC35E2B",0.00185211499828973,0.041022783606652,0.184563259579572,FALSE,FALSE,"NS"
"AC105446.1",0.00195246896312033,NA,0.189818080170674,FALSE,NA,"NS"
"IPO11",0.00193965154484155,NA,0.189818080170674,FALSE,NA,"NS"
"ZBTB48",0.0019914705112767,0.0561113083690209,0.191277143565035,FALSE,FALSE,"NS"
"CCS",0.00206322172518436,0.048586032238673,0.193505924625526,FALSE,FALSE,"NS"
"PGS1",0.00204671470049675,NA,0.193505924625526,FALSE,NA,"NS"
"RPS9",0.00209948989439432,0.646949512656805,0.194617830675716,FALSE,TRUE,"NS"
"RHNO1",0.00214985929132684,NA,0.196996301959282,FALSE,NA,"NS"
"IBTK",0.00220739712298135,NA,0.197723256903453,FALSE,NA,"NS"
"KLHL42",0.00219940995917239,-0.0799740333801247,0.197723256903453,FALSE,FALSE,"NS"
"SMG5",0.00229313631227475,-0.136091466065932,0.203120918682826,FALSE,FALSE,"NS"
"BRD1",0.00247564006835874,-0.0197609656638757,0.203346893813178,FALSE,FALSE,"NS"
"CENPJ",0.00257627148458743,0.01736357878271,0.203346893813178,FALSE,FALSE,"NS"
"CKAP2",0.00235038759434339,0.0146692131932139,0.203346893813178,FALSE,FALSE,"NS"
"COPG2",0.00247032515203912,-0.0374395792864615,0.203346893813178,FALSE,FALSE,"NS"
"FADS2",0.00255726583860554,-0.108793561764739,0.203346893813178,FALSE,FALSE,"NS"
"GBE1",0.00254092425830998,0.00312874530300578,0.203346893813178,FALSE,FALSE,"NS"
"KIAA1191",0.00250899835483797,NA,0.203346893813178,FALSE,NA,"NS"
"MRPL1",0.00253201888834004,-0.0559173473306575,0.203346893813178,FALSE,FALSE,"NS"
"PSMD2",0.00255306005849144,0.127053706921993,0.203346893813178,FALSE,FALSE,"NS"
"RBL2",0.00236578106946329,-0.079179622612558,0.203346893813178,FALSE,FALSE,"NS"
"ZC3H12A",0.00248235718160434,NA,0.203346893813178,FALSE,NA,"NS"
"ALCAM",0.00270317556879161,-0.538967343108802,0.211271721905948,FALSE,TRUE,"NS"
"DRG2",0.00291263594512081,0.00235962198749457,0.214193294912218,FALSE,FALSE,"NS"
"MINPP1",0.00284703483694216,-0.0470356694600406,0.214193294912218,FALSE,FALSE,"NS"
"MIR497HG",0.00292198338732248,0.0046630637837895,0.214193294912218,FALSE,FALSE,"NS"
"SLC41A3",0.00286010385141093,-0.00301813370905162,0.214193294912218,FALSE,FALSE,"NS"
"STAT4",0.0029286338616949,0.0237998243260232,0.214193294912218,FALSE,FALSE,"NS"
