"","p_val","avg_log2FC","p_val_adj","sig","fc_thresh","test_status"
"CRIP1",2.21610140400671e-05,-0.631783825154555,0.0490182963734376,TRUE,TRUE,"sig."
"DUSP2",1.99640335242917e-05,0.148959139769424,0.0490182963734376,TRUE,FALSE,"sig."
"GRINA",2.28071636028557e-05,0.408115150300961,0.0490182963734376,TRUE,TRUE,"sig."
"NCL",2.13666397528494e-05,-0.310219358572088,0.0490182963734376,TRUE,TRUE,"sig."
"SLC25A25",4.34932254719215e-05,0.086310836350774,0.0558528023822982,FALSE,FALSE,"NS"
"SUN1",4.54774475603219e-05,-0.0323020755669167,0.0558528023822982,FALSE,FALSE,"NS"
"SYNCRIP",4.16129008516971e-05,-0.172255523225488,0.0558528023822982,FALSE,FALSE,"NS"
"ARPC5",6.95041253513257e-05,-0.131432305839475,0.0597294959944632,FALSE,FALSE,"NS"
"ATP6V1F",9.20630240603679e-05,0.210315126497907,0.0597294959944632,FALSE,FALSE,"NS"
"CBX5",0.000118111135501439,-0.0214036904684257,0.0597294959944632,FALSE,FALSE,"NS"
"CEP83",0.000117828601335861,-0.0201788276797154,0.0597294959944632,FALSE,FALSE,"NS"
"GPX4",0.000112965395558978,0.472710934002715,0.0597294959944632,FALSE,TRUE,"NS"
"MAFB",0.000112623716839208,-0.451729259333158,0.0597294959944632,FALSE,TRUE,"NS"
"OSBPL5",7.63170091247943e-05,0.0118791230318254,0.0597294959944632,FALSE,FALSE,"NS"
"SELENOO",0.000117320606919212,0.107353254141681,0.0597294959944632,FALSE,FALSE,"NS"
"TMCO1",6.35158541716166e-05,-0.171878271049923,0.0597294959944632,FALSE,FALSE,"NS"
"TNK2",0.000105363801401981,0.0538776136865007,0.0597294959944632,FALSE,FALSE,"NS"
"PSMA3",0.000132556308980746,-0.243978741770982,0.0633103660170818,FALSE,FALSE,"NS"
"ANKRD50",0.000221753886158429,0.0126407414128343,0.0766605091733642,FALSE,FALSE,"NS"
"BICRA",0.000215990824314098,0.0177486782532897,0.0766605091733642,FALSE,FALSE,"NS"
"CALM2",0.000240762329612753,-0.697750845161793,0.0766605091733642,FALSE,TRUE,"NS"
"CCT2",0.000224714236511497,-0.144897880706588,0.0766605091733642,FALSE,FALSE,"NS"
"DEXI",0.00021287041053981,0.0316379214281605,0.0766605091733642,FALSE,FALSE,"NS"
"NIFK",0.000235333574427137,-0.108332614478953,0.0766605091733642,FALSE,FALSE,"NS"
"RAB1A",0.000234709377544193,-0.163823488948835,0.0766605091733642,FALSE,FALSE,"NS"
"RNMT",0.000190157969486486,-0.190199155583446,0.0766605091733642,FALSE,FALSE,"NS"
"RPA3",0.000219325869555904,-0.0849372354555201,0.0766605091733642,FALSE,FALSE,"NS"
"HMG20B",0.000265069243580847,0.0632521222943395,0.0785793202436048,FALSE,FALSE,"NS"
"PAK1IP1",0.000257668489476455,-0.0681821633891501,0.0785793202436048,FALSE,FALSE,"NS"
"NAA16",0.000284875792846379,0.0224328393614046,0.0816359063700105,FALSE,FALSE,"NS"
"TMEM255B",0.000305988488630359,0.0350336828676399,0.0848575173146837,FALSE,FALSE,"NS"
"HIST1H4C",0.000327245250443807,-0.170914508911691,0.0862259373489605,FALSE,FALSE,"NS"
"NENF",0.000330982427883645,0.145904969320622,0.0862259373489605,FALSE,FALSE,"NS"
"TERF1",0.000341465889583694,-0.0624246111488945,0.086340654492677,FALSE,FALSE,"NS"
"RPS4Y1",0.000362083976889974,-0.77257874846483,0.0889381699806601,FALSE,TRUE,"NS"
"ECE1",0.000426580372793163,-0.0764544408391819,0.0916827866225705,FALSE,FALSE,"NS"
"KIF22",0.000420711277532493,-0.0234253248323789,0.0916827866225705,FALSE,FALSE,"NS"
"MZT2A",0.000419649611937982,0.035846023422636,0.0916827866225705,FALSE,FALSE,"NS"
"RRP12",0.000410368405531087,-0.0670914945961128,0.0916827866225705,FALSE,FALSE,"NS"
"SPP1",0.00041638603226303,-0.852806755894344,0.0916827866225705,FALSE,TRUE,"NS"
"CDC42",0.000450598442044797,-0.157067049662046,0.0944828001526614,FALSE,FALSE,"NS"
"CA2",0.000464468305969681,0.109060608508213,0.0950722387243179,FALSE,FALSE,"NS"
"CETN2",0.000524446344957639,-0.0438045045311731,0.10059859184227,FALSE,FALSE,"NS"
"PSMB1",0.000537811331160388,-0.28992225978226,0.10059859184227,FALSE,TRUE,"NS"
"SIK2",0.000538273260991556,0.0159021106891094,0.10059859184227,FALSE,FALSE,"NS"
"TXN",0.000531100709903647,0.493176277762171,0.10059859184227,FALSE,TRUE,"NS"
"BMF",0.000647930557385819,0.0297886885148593,0.107480387808807,FALSE,FALSE,"NS"
"HAT1",0.000675112357994137,-0.0630926093749007,0.107480387808807,FALSE,FALSE,"NS"
"HPF1",0.000671755606078866,-0.0492231448591301,0.107480387808807,FALSE,FALSE,"NS"
"KIAA1522",0.000632894680297763,-0.0216122960860254,0.107480387808807,FALSE,FALSE,"NS"
"PA2G4",0.000594284859997748,-0.120256902873181,0.107480387808807,FALSE,FALSE,"NS"
"RNF5",0.000608656617709388,0.0509951561426472,0.107480387808807,FALSE,FALSE,"NS"
"SRI",0.00066380389331581,-0.24399893006235,0.107480387808807,FALSE,FALSE,"NS"
"UBLCP1",0.000669447916495239,-0.088437399578724,0.107480387808807,FALSE,FALSE,"NS"
"UBAP2",0.000690445402076955,-0.0397654223394088,0.107922893121011,FALSE,FALSE,"NS"
"ENGASE",0.000734566663238158,0.0388070020685084,0.11157352451789,FALSE,FALSE,"NS"
"MRPL30",0.000739756996338225,-0.0159603250700985,0.11157352451789,FALSE,FALSE,"NS"
"INPP1",0.000764063599642814,-0.0351086877660519,0.113252668381539,FALSE,FALSE,"NS"
"TRIM11",0.000784544579963798,0.0139619047060775,0.114317453456759,FALSE,FALSE,"NS"
"FTL",0.000839960294252126,0.736631959297038,0.116690358992158,FALSE,TRUE,"NS"
