"","p_val","avg_log2FC","p_val_adj","sig","fc_thresh","test_status"
"MIF",4.56255846369236e-07,-0.483543790884982,0.00154054786526572,TRUE,TRUE,"sig."
"RAB20",3.65877868110366e-07,0.40393706360844,0.00154054786526572,TRUE,TRUE,"sig."
"ATP5MD",2.11540444262219e-05,-0.404570109855053,0.0208091572050906,TRUE,TRUE,"sig."
"CDV3",2.35198602621257e-05,-0.251001507173336,0.0208091572050906,TRUE,TRUE,"sig."
"CIRBP",3.64952289798294e-05,-0.140875428434525,0.0208091572050906,TRUE,FALSE,"sig."
"COX16",1.34778651683834e-05,-0.153792098785159,0.0208091572050906,TRUE,FALSE,"sig."
"COX20",5.34896763006266e-05,-0.193862394899184,0.0208091572050906,TRUE,FALSE,"sig."
"COX7B",5.23471087471561e-05,-0.241296910132843,0.0208091572050906,TRUE,FALSE,"sig."
"EIF3E",5.00282647691629e-05,-0.119060883351602,0.0208091572050906,TRUE,FALSE,"sig."
"GSPT1",4.51932462648578e-05,-0.108703851855118,0.0208091572050906,TRUE,FALSE,"sig."
"LARS",2.76707020370642e-05,-0.063606760972382,0.0208091572050906,TRUE,FALSE,"sig."
"LMAN1",4.46232157521577e-05,-0.0979462879018242,0.0208091572050906,TRUE,FALSE,"sig."
"MRPL3",1.13251102914681e-05,-0.0474090173960397,0.0208091572050906,TRUE,FALSE,"sig."
"NCL",4.10160618055278e-05,-0.305888134902997,0.0208091572050906,TRUE,TRUE,"sig."
"OTUD5",5.49324599406494e-05,0.0129022046554033,0.0208091572050906,TRUE,FALSE,"sig."
"RPL18",6.16293712574873e-05,-0.205435422274213,0.0208091572050906,TRUE,FALSE,"sig."
"RSL24D1",2.63910874484145e-05,-0.1378745241041,0.0208091572050906,TRUE,FALSE,"sig."
"SMARCE1",6.07115532560576e-05,-0.044104915720868,0.0208091572050906,TRUE,FALSE,"sig."
"SRSF3",5.01466058543049e-05,-0.258215513065041,0.0208091572050906,TRUE,TRUE,"sig."
"TNK2",5.78274503597474e-05,0.0406128072962033,0.0208091572050906,TRUE,FALSE,"sig."
"PHAX",6.58976440356878e-05,-0.0537476398665479,0.0211907995320476,TRUE,FALSE,"sig."
"RAP1B",6.94778574407749e-05,-0.15880699735332,0.0213265441498888,TRUE,FALSE,"sig."
"C1D",9.41363884884793e-05,-0.104561800935699,0.0218985256624348,TRUE,FALSE,"sig."
"CORO1C",0.000103769113164211,-0.202502768967356,0.0218985256624348,TRUE,FALSE,"sig."
"DCPS",9.84841721131855e-05,-0.0343621242121256,0.0218985256624348,TRUE,FALSE,"sig."
"GAB2",8.55692668766061e-05,0.0296268338386749,0.0218985256624348,TRUE,FALSE,"sig."
"GLRX2",0.000102225740246238,-0.0811573867478797,0.0218985256624348,TRUE,FALSE,"sig."
"NFATC1",0.00010018788398942,0.020420464806644,0.0218985256624348,TRUE,FALSE,"sig."
"RRP15",7.88687293890163e-05,-0.0765380229436819,0.0218985256624348,TRUE,FALSE,"sig."
"TOPBP1",8.16527373722437e-05,-0.0363631485139701,0.0218985256624348,TRUE,FALSE,"sig."
"TRPC4AP",8.5221222070516e-05,0.0706674410546493,0.0218985256624348,TRUE,FALSE,"sig."
