"","p_val","avg_log2FC","p_val_adj","sig","fc_thresh","test_status"
"C1D",3.29660701513197e-05,-0.235620922629394,0.0467382321955185,TRUE,FALSE,"sig."
"CALM2",0.000110352168523195,-0.438532320700375,0.0467382321955185,TRUE,TRUE,"sig."
"CKLF",9.13563780127002e-05,-0.475167708383887,0.0467382321955185,TRUE,TRUE,"sig."
"DENND4B",5.93850901180064e-05,0.0348994680941613,0.0467382321955185,TRUE,FALSE,"sig."
"DPYD",0.000104534408070308,0.0535717578414541,0.0467382321955185,TRUE,FALSE,"sig."
"FKBP11",3.24698705400508e-05,0.0543065177455277,0.0467382321955185,TRUE,FALSE,"sig."
"GFM1",7.00372408527059e-05,0.0498531567343194,0.0467382321955185,TRUE,FALSE,"sig."
"HLA-B",6.30684905368794e-05,0.629091802676056,0.0467382321955185,TRUE,TRUE,"sig."
"HMGN2",4.3440141493587e-05,-0.688122878324934,0.0467382321955185,TRUE,TRUE,"sig."
"IRF2BPL",0.000114367615486587,0.100465531572154,0.0467382321955185,TRUE,FALSE,"sig."
"LRP10",1.83293808622232e-05,0.23803117121935,0.0467382321955185,TRUE,FALSE,"sig."
"MINOS1",2.08842904264826e-05,-0.376938014619781,0.0467382321955185,TRUE,TRUE,"sig."
"PRKD2",7.0057088469885e-05,0.154718000304445,0.0467382321955185,TRUE,FALSE,"sig."
"PTP4A2",8.57026684094273e-05,-0.31749200884521,0.0467382321955185,TRUE,TRUE,"sig."
"SEC24D",8.62140880733857e-05,0.0947729261577433,0.0467382321955185,TRUE,FALSE,"sig."
"SOCS3",0.000103469878681672,0.0444946676791673,0.0467382321955185,TRUE,FALSE,"sig."
"TOR1A",8.66871424289098e-05,0.0757360897963602,0.0467382321955185,TRUE,FALSE,"sig."
"ZNF274",7.27546787662032e-05,0.00831575280636093,0.0467382321955185,TRUE,FALSE,"sig."
"NUCKS1",0.000123159965747401,-0.341395143731939,0.0476823530546252,TRUE,TRUE,"sig."
"CHIC2",0.000142861571958464,0.0399374241403652,0.0477677146966574,TRUE,FALSE,"sig."
"MRPS16",0.000142853152345364,0.00239498033009311,0.0477677146966574,TRUE,FALSE,"sig."
"SNRPE",0.000131002293158374,-0.305235867352112,0.0477677146966574,TRUE,TRUE,"sig."
"AAED1",0.000332262857540264,0.0985518461279754,0.0480553118730815,TRUE,FALSE,"sig."
"ABCD3",0.000299462529753604,0.00896933334566249,0.0480553118730815,TRUE,FALSE,"sig."
"ANKRD49",0.000345722141181518,-0.149391019484213,0.0480553118730815,TRUE,FALSE,"sig."
"ATP5F1B",0.000307150629789361,0.0284660303452385,0.0480553118730815,TRUE,FALSE,"sig."
"CKAP2",0.000360538087067197,-0.147337202977453,0.0480553118730815,TRUE,FALSE,"sig."
"CTSL",0.000204502234807708,-0.564732118705811,0.0480553118730815,TRUE,TRUE,"sig."
"DCK",0.000234667630755554,-0.00594769052580324,0.0480553118730815,TRUE,FALSE,"sig."
"DMTF1",0.000216683867403352,-0.0307634887936748,0.0480553118730815,TRUE,FALSE,"sig."
"ETS2",0.000311575582195283,0.0703479460933905,0.0480553118730815,TRUE,FALSE,"sig."
"EXOSC10",0.000317101467952257,0.0423723228796298,0.0480553118730815,TRUE,FALSE,"sig."
"FASTK",0.000347866236879072,0.0609167391219365,0.0480553118730815,TRUE,FALSE,"sig."
"GON7",0.000309101996262862,-0.137109900372005,0.0480553118730815,TRUE,FALSE,"sig."
