"","p_val","avg_log2FC","p_val_adj","sig","fc_thresh","test_status"
"AC007384.1",0.00165453491961333,0.284896768466326,0.131506366977491,FALSE,TRUE,"NS"
"AC015912.3",0.000553261861462601,0.387334568625816,0.131506366977491,FALSE,TRUE,"NS"
"AC087623.3",0.00160367157006915,0.203820583543801,0.131506366977491,FALSE,FALSE,"NS"
"AC245014.3",0.0016907952419347,0.457541898676941,0.131506366977491,FALSE,TRUE,"NS"
"ALYREF",0.00026497358631676,-0.449883886607358,0.131506366977491,FALSE,TRUE,"NS"
"ANP32E",0.00112700626804784,-0.502046537197175,0.131506366977491,FALSE,TRUE,"NS"
"ANXA2",0.00120517691762346,-0.552589128636618,0.131506366977491,FALSE,TRUE,"NS"
"ARHGDIA",0.000393938343798186,-0.760731451979613,0.131506366977491,FALSE,TRUE,"NS"
"ARL1",0.000862158361438549,-0.364716625661479,0.131506366977491,FALSE,TRUE,"NS"
"ASNS",0.000269576568594339,-0.402356974311745,0.131506366977491,FALSE,TRUE,"NS"
"ATP2B1-AS1",0.00102495248586503,0.234371274389738,0.131506366977491,FALSE,FALSE,"NS"
"ATP5MPL",0.000725061126665161,-0.523658950915212,0.131506366977491,FALSE,TRUE,"NS"
"BZW1",0.000820296122235361,-0.475999067396957,0.131506366977491,FALSE,TRUE,"NS"
"CALM2",0.00116428460474131,-0.486726199765587,0.131506366977491,FALSE,TRUE,"NS"
"CAPNS1",0.000975558161889823,-0.496045394962726,0.131506366977491,FALSE,TRUE,"NS"
"CCT2",0.00160475690116036,-0.432997505879428,0.131506366977491,FALSE,TRUE,"NS"
"CD27",0.00147931078032409,-0.567840199376874,0.131506366977491,FALSE,TRUE,"NS"
"CDKN1A",0.00139356853649301,0.741253066773866,0.131506366977491,FALSE,TRUE,"NS"
"CDV3",0.000259796598752382,-0.606340520268957,0.131506366977491,FALSE,TRUE,"NS"
"CHCHD10",0.000917106408835782,-0.686487336488725,0.131506366977491,FALSE,TRUE,"NS"
"CHMP4B",0.00153983109275461,-0.526729074119776,0.131506366977491,FALSE,TRUE,"NS"
"CKLF",0.00122699300859051,-0.532448866281545,0.131506366977491,FALSE,TRUE,"NS"
"CLPTM1L",0.00112958584860354,-0.57425531245109,0.131506366977491,FALSE,TRUE,"NS"
"CMTM7",0.00152780387174597,0.519038526611241,0.131506366977491,FALSE,TRUE,"NS"
"CSRNP1",0.00077090530997886,0.497690807147101,0.131506366977491,FALSE,TRUE,"NS"
"CYTIP",0.000573948676021234,1.08097900254313,0.131506366977491,FALSE,TRUE,"NS"
"DDRGK1",0.00101763037806254,-0.377817815417244,0.131506366977491,FALSE,TRUE,"NS"
"DNAJB9",0.00102311705439541,0.358761575703506,0.131506366977491,FALSE,TRUE,"NS"
"DTX3L",0.000424860024401072,0.491842109836595,0.131506366977491,FALSE,TRUE,"NS"
"EIF2AK3",0.000832170835214795,0.382461901770889,0.131506366977491,FALSE,TRUE,"NS"
"EIF3B",0.000673978448691469,-0.300361470710697,0.131506366977491,FALSE,TRUE,"NS"
"EIF4A1",0.000597674424973409,-0.695659896635326,0.131506366977491,FALSE,TRUE,"NS"
"ERP29",0.00139481560911822,-0.556537889600221,0.131506366977491,FALSE,TRUE,"NS"
"FBL",0.000538584488113212,-0.541346498451427,0.131506366977491,FALSE,TRUE,"NS"
