"","p_val","avg_log2FC","p_val_adj","sig","fc_thresh","test_status"
"C9orf16",0.000238064869401458,-0.407216477500206,0.128917678798628,FALSE,TRUE,"NS"
"CHSY1",0.000211645931831206,0.0941712033794449,0.128917678798628,FALSE,FALSE,"NS"
"DBR1",0.000253276382708504,-0.00768606708688902,0.128917678798628,FALSE,FALSE,"NS"
"DDX6",0.000232633239827558,-0.342080491953391,0.128917678798628,FALSE,TRUE,"NS"
"GATD3B",0.000154131921890515,0.0467895060405069,0.128917678798628,FALSE,FALSE,"NS"
"HCFC2",0.000228714962452203,-0.0594993657729198,0.128917678798628,FALSE,FALSE,"NS"
"HERC3",0.00010926548004338,0.0238431509437336,0.128917678798628,FALSE,FALSE,"NS"
"HIST1H2AM",0.00016673167686098,-0.295387861641919,0.128917678798628,FALSE,TRUE,"NS"
"HLTF",5.36518558140484e-05,-0.308882063793505,0.128917678798628,FALSE,TRUE,"NS"
"NIPSNAP2",0.000224441393659147,0.0562996722208127,0.128917678798628,FALSE,FALSE,"NS"
"NUP50",0.000119023717863316,0.00851245110870047,0.128917678798628,FALSE,FALSE,"NS"
"OSM",9.19622329585579e-05,0.194127638887707,0.128917678798628,FALSE,FALSE,"NS"
"P3H1",0.000224284393318375,0.0271965751020097,0.128917678798628,FALSE,FALSE,"NS"
"SMIM10L1",0.000245396509638914,0.0614241407745464,0.128917678798628,FALSE,FALSE,"NS"
"SOCS1",0.000192068252778659,0.86712430650441,0.128917678798628,FALSE,TRUE,"NS"
"ZNF622",6.42831981539376e-05,0.0970939041247841,0.128917678798628,FALSE,FALSE,"NS"
"ZNF75D",0.000177647533159183,0.0291040278611624,0.128917678798628,FALSE,FALSE,"NS"
"ATP5MF",0.00030760900545684,-0.374377373042384,0.14787448467878,FALSE,TRUE,"NS"
"AC020659.1",0.00034143759297273,0.0322461804226283,0.155024708884629,FALSE,FALSE,"NS"
"ANP32E",0.000364039398146266,-0.598786701997221,0.155024708884629,FALSE,TRUE,"NS"
"CCP110",0.000397646930353788,-0.229612959150778,0.155024708884629,FALSE,FALSE,"NS"
"GRAMD2B",0.000422166869906353,-0.000229507144623969,0.155024708884629,FALSE,FALSE,"NS"
"PRDX5",0.000447892952977664,-0.557867325525919,0.155024708884629,FALSE,TRUE,"NS"
"RNF213",0.000446514831849498,0.655360174794315,0.155024708884629,FALSE,TRUE,"NS"
"UBALD2",0.000411988181329771,-0.673790103739013,0.155024708884629,FALSE,TRUE,"NS"
"MT1X",0.000526984253509085,-0.779943078646602,0.157241198124625,FALSE,TRUE,"NS"
"NSD2",0.000476609494182824,-0.270454071208589,0.157241198124625,FALSE,TRUE,"NS"
"TBC1D10B",0.000523081041588271,0.0559594717837652,0.157241198124625,FALSE,FALSE,"NS"
"ZNFX1",0.000498517899214468,0.716807913594057,0.157241198124625,FALSE,TRUE,"NS"
"DGKE",0.000658732769429794,-0.0967772536700019,0.161814922692987,FALSE,FALSE,"NS"
"FTO",0.000595170460822464,0.0102831248293505,0.161814922692987,FALSE,FALSE,"NS"
"IFNLR1",0.000673215903957878,0.00804834756568516,0.161814922692987,FALSE,FALSE,"NS"
"LTBP3",0.000575853394948194,-0.167935989822645,0.161814922692987,FALSE,FALSE,"NS"
"SKIV2L",0.000648749428449181,0.0680125824427625,0.161814922692987,FALSE,FALSE,"NS"
"USP19",0.000619594452263045,0.0109577149396904,0.161814922692987,FALSE,FALSE,"NS"
"WDR73",0.000665637389762183,-0.0175594087326255,0.161814922692987,FALSE,FALSE,"NS"
"FLYWCH2",0.000710337221849878,0.0903852384019458,0.166122918396405,FALSE,FALSE,"NS"
"YTHDF3",0.000739332910385468,-0.00455205040598616,0.168353886146459,FALSE,FALSE,"NS"
"KIF13B",0.000778004282949684,0.0704899456566938,0.169684906665652,FALSE,FALSE,"NS"
"WDR45B",0.000784398043063226,0.0528543603597116,0.169684906665652,FALSE,FALSE,"NS"
"ATP13A3",0.000892961918965877,-0.315934138802203,0.171706655218038,FALSE,TRUE,"NS"
"HNRNPF",0.00088713426494614,-0.0740791805868564,0.171706655218038,FALSE,FALSE,"NS"
"HSPA1A",0.000861509364497141,0.711835771366537,0.171706655218038,FALSE,TRUE,"NS"
"NCKAP1L",0.000831891251939839,0.255740922211162,0.171706655218038,FALSE,TRUE,"NS"
"TMEM203",0.000868559628918571,NA,0.171706655218038,FALSE,NA,"NS"
"CRIP1",0.000964226374379294,-0.928705865920073,0.17752023015966,FALSE,TRUE,"NS"
"WDR7",0.000952921358294075,0.0575922249432359,0.17752023015966,FALSE,FALSE,"NS"
"MMP24OS",0.000986580713388117,-0.332399430269949,0.17785172735307,FALSE,TRUE,"NS"
"CAPN10",0.00105986957708663,-0.0968586310468842,0.181560627330943,FALSE,FALSE,"NS"
"RPA3",0.001070101929259,-0.506826745515636,0.181560627330943,FALSE,TRUE,"NS"
"USPL1",0.00103954732615792,0.146633044528812,0.181560627330943,FALSE,FALSE,"NS"
"ALDH6A1",0.00112461857482442,-0.193626818080941,0.183609896753882,FALSE,FALSE,"NS"
"CEP104",0.00112346850083866,-0.0190662341934583,0.183609896753882,FALSE,FALSE,"NS"
"MIS18A",0.0011513153020436,-0.175043601654721,0.184487616825616,FALSE,FALSE,"NS"
"AC087239.1",0.00124616150907726,0.0650554387049645,0.185703431640056,FALSE,FALSE,"NS"
"APOL3",0.00126446588035699,0.0708127920737599,0.185703431640056,FALSE,FALSE,"NS"
"CD47",0.00128084835479815,0.610236247676875,0.185703431640056,FALSE,TRUE,"NS"
"CD59",0.00146775273741837,-0.521862321174218,0.185703431640056,FALSE,TRUE,"NS"
"CITED2",0.00165694616866562,0.52462740489673,0.185703431640056,FALSE,TRUE,"NS"
"DDX58",0.00161118087016759,0.352827655693268,0.185703431640056,FALSE,TRUE,"NS"
"DGKH",0.00148304098543036,NA,0.185703431640056,FALSE,NA,"NS"
"ECE1",0.00148238298985539,0.153417107492266,0.185703431640056,FALSE,FALSE,"NS"
"ECI1",0.00170074790165696,-0.153291572267246,0.185703431640056,FALSE,FALSE,"NS"
"EIF3M",0.00154241246355612,0.0241049323676841,0.185703431640056,FALSE,FALSE,"NS"
"FAM107B",0.00141225188270878,-0.406775163907882,0.185703431640056,FALSE,TRUE,"NS"
"GPATCH8",0.00123195667198664,-0.0322277011329237,0.185703431640056,FALSE,FALSE,"NS"
"HNRNPA2B1",0.00137670534013717,-0.29960340383141,0.185703431640056,FALSE,TRUE,"NS"
"LGALS1",0.00150305209810855,-1.23145116143327,0.185703431640056,FALSE,TRUE,"NS"
"MSMO1",0.00172163085742223,-0.0797011512389489,0.185703431640056,FALSE,FALSE,"NS"
"PGM2",0.00160942201708859,-0.0210781465264638,0.185703431640056,FALSE,FALSE,"NS"
"PLK3",0.00128903964349073,0.141686212079756,0.185703431640056,FALSE,FALSE,"NS"
"PNRC1",0.00134077469471884,0.718083637691467,0.185703431640056,FALSE,TRUE,"NS"
"POU2F2",0.00157927878160668,-0.232784317134518,0.185703431640056,FALSE,FALSE,"NS"
"RBM5",0.00164259469942216,0.0107738365380421,0.185703431640056,FALSE,FALSE,"NS"
"SLC17A5",0.00149742432624674,0.0217926416028629,0.185703431640056,FALSE,FALSE,"NS"
"SLC22A18",0.00173835409255108,NA,0.185703431640056,FALSE,NA,"NS"
"SLC39A6",0.00173703787505087,-0.00528483152301423,0.185703431640056,FALSE,FALSE,"NS"
"SPON2",0.00146913506363301,NA,0.185703431640056,FALSE,NA,"NS"
"TMEM42",0.00160337423134039,0.0431291123855613,0.185703431640056,FALSE,FALSE,"NS"
"UTP15",0.00156455378519366,-0.00667152718149934,0.185703431640056,FALSE,FALSE,"NS"
"ZC3HAV1",0.00148527598631345,0.633789965539385,0.185703431640056,FALSE,TRUE,"NS"
"PASK",0.00184574317823738,0.321379119531521,0.190642262314308,FALSE,TRUE,"NS"
"RGS10",0.00181174239211319,-0.460948501901236,0.190642262314308,FALSE,TRUE,"NS"
"ROCK2",0.00185068184842273,0.0623220619206107,0.190642262314308,FALSE,FALSE,"NS"
"ACTR6",0.00231520224939167,-0.263499927629,0.19652643885859,FALSE,TRUE,"NS"
"CENPM",0.00217291961140799,-0.831893521832138,0.19652643885859,FALSE,TRUE,"NS"
"H6PD",0.00225085600276368,0.0318070652873382,0.19652643885859,FALSE,FALSE,"NS"
"KIFAP3",0.00203198097825441,0.0398229862752056,0.19652643885859,FALSE,FALSE,"NS"
"MT1G",0.00214044053873813,-0.215076682810818,0.19652643885859,FALSE,FALSE,"NS"
"MYADM",0.00235073537704866,-0.395206155270985,0.19652643885859,FALSE,TRUE,"NS"
"NAA35",0.00236043578949403,-0.08209352356341,0.19652643885859,FALSE,FALSE,"NS"
"ORC6",0.00224735340801047,-0.210697159479004,0.19652643885859,FALSE,FALSE,"NS"
"P2RY8",0.00229894114604384,0.178019524235825,0.19652643885859,FALSE,FALSE,"NS"
"PML",0.00206456335154148,0.314955491087339,0.19652643885859,FALSE,TRUE,"NS"
"SGPP2",0.00197317818564942,NA,0.19652643885859,FALSE,NA,"NS"
"SMG9",0.00227623931826027,0.0378055291849037,0.19652643885859,FALSE,FALSE,"NS"
"TAGLN2",0.00230316625207124,-0.72940662411967,0.19652643885859,FALSE,TRUE,"NS"
"TCAIM",0.00197680975022602,0.0162382290555447,0.19652643885859,FALSE,FALSE,"NS"
"TCEA1",0.00236204202488077,-0.433561464048289,0.19652643885859,FALSE,TRUE,"NS"
"TYW1",0.00199487159453224,-0.162082966961679,0.19652643885859,FALSE,FALSE,"NS"
"UNC93B1",0.00204343507540366,0.132999917176117,0.19652643885859,FALSE,FALSE,"NS"
"UQCR10",0.00233652328491612,-0.366490080239169,0.19652643885859,FALSE,TRUE,"NS"
"ZER1",0.0023393890016949,-0.103386584783314,0.19652643885859,FALSE,FALSE,"NS"
"ZNF318",0.00232154203396816,-0.133986606154324,0.19652643885859,FALSE,FALSE,"NS"
"DECR1",0.00253990251078985,-0.34468607150443,0.200133787910885,FALSE,TRUE,"NS"
"MT1E",0.00261355807626603,-0.603862305424663,0.200133787910885,FALSE,TRUE,"NS"
"PARG",0.00246454904562666,-0.074586122532437,0.200133787910885,FALSE,FALSE,"NS"
"PPM1M",0.00261010572574824,0.156981476531703,0.200133787910885,FALSE,FALSE,"NS"
"PRADC1",0.00257078749794559,-0.0304343486495113,0.200133787910885,FALSE,FALSE,"NS"
"RRM2",0.00259357976001304,-0.420920192872334,0.200133787910885,FALSE,TRUE,"NS"
"SOS2",0.00248365361731441,0.0409650889485521,0.200133787910885,FALSE,FALSE,"NS"
"TRERF1",0.00255850277151373,0.0660069058751164,0.200133787910885,FALSE,FALSE,"NS"
"XPR1",0.00248141842415054,-0.0122325254293892,0.200133787910885,FALSE,FALSE,"NS"
"JPT1",0.00265335621032351,-0.564466825223279,0.201399046385345,FALSE,TRUE,"NS"
