"","p_val","avg_log2FC","p_val_adj","sig","fc_thresh","test_status"
"EFNA5",4.02899289548098e-05,-0.0533510558010625,0.0829140133862033,FALSE,FALSE,"NS"
"HSPB11",3.77671341173034e-05,-0.577036810701277,0.0829140133862033,FALSE,TRUE,"NS"
"IRF7",1.88722585165405e-05,1.06630506747326,0.0829140133862033,FALSE,TRUE,"NS"
"JUNB",4.35587146762297e-05,1.46132283022606,0.0829140133862033,FALSE,TRUE,"NS"
"NOP53",2.5306108209778e-05,0.481626268304551,0.0829140133862033,FALSE,TRUE,"NS"
"ZFP36",2.17995233985134e-05,1.15652798743113,0.0829140133862033,FALSE,TRUE,"NS"
"ZFP36L2",5.2341830620469e-05,1.08347025198518,0.0853994353594823,FALSE,TRUE,"NS"
"ATP9A",6.95412849524387e-05,-0.236831400577881,0.0873199918715493,FALSE,FALSE,"NS"
"IER2",8.80157425590278e-05,1.08481152057499,0.0873199918715493,FALSE,TRUE,"NS"
"MS4A8",7.96241326490069e-05,-0.820529006180602,0.0873199918715493,FALSE,TRUE,"NS"
"RHOB",9.17467737027048e-05,0.756297434787895,0.0873199918715493,FALSE,TRUE,"NS"
"TKT",8.43517144306573e-05,0.467001774269438,0.0873199918715493,FALSE,TRUE,"NS"
"CD59",0.000112115820814939,-0.963187260959683,0.0984980607328783,FALSE,TRUE,"NS"
"KLF6",0.000216309616917716,0.735828516865418,0.176462295344088,FALSE,TRUE,"NS"
"ATP2B1-AS1",0.000264785525409864,0.140078843504446,0.20160769904707,FALSE,FALSE,"NS"
"LGALS7B",0.000293426950319584,0.387695149238228,0.209451824974998,FALSE,TRUE,"NS"
"UFL1",0.000336141580914977,-0.18729816197919,0.22582782327235,FALSE,FALSE,"NS"
"ADRB2",0.000376906849600432,0.322418313093353,0.239147396071474,FALSE,TRUE,"NS"
"TMEM128",0.000405739714677395,-0.161933423875447,0.243892277964765,FALSE,FALSE,"NS"
"FKBP8",0.00044660221244516,0.380457442252803,0.255032193416809,FALSE,TRUE,"NS"
"ANKEF1",0.000956366096113778,-0.0588861444736834,0.257987878830137,FALSE,FALSE,"NS"
"C2orf76",0.000999000660723532,-0.0751948545698821,0.257987878830137,FALSE,FALSE,"NS"
"C5orf38",0.000543393097338419,0.0756643127373058,0.257987878830137,FALSE,FALSE,"NS"
"DDX58",0.000906521010803153,0.309891345799015,0.257987878830137,FALSE,TRUE,"NS"
"DERL3",0.000757623434498987,-0.179547551522811,0.257987878830137,FALSE,FALSE,"NS"
"DSTN",0.000693508845620492,-0.348989774040247,0.257987878830137,FALSE,TRUE,"NS"
"EEF2",0.000991902393608423,0.474427013017012,0.257987878830137,FALSE,TRUE,"NS"
"EIF3G",0.000936651976584295,0.484132051576005,0.257987878830137,FALSE,TRUE,"NS"
"ERLIN2",0.00112944522734496,-0.223544273733939,0.257987878830137,FALSE,FALSE,"NS"
"ETS2",0.000835488501487146,0.664074997467461,0.257987878830137,FALSE,TRUE,"NS"
"FABP6",0.00111428647893717,0.126762175470702,0.257987878830137,FALSE,FALSE,"NS"
"FLOT1",0.000719647218608104,0.423893488554962,0.257987878830137,FALSE,TRUE,"NS"
"HNRNPDL",0.000582559278039504,0.443670548476049,0.257987878830137,FALSE,TRUE,"NS"
"HPS1",0.000744582173450749,0.211256175040958,0.257987878830137,FALSE,FALSE,"NS"
