"","p_val","avg_log2FC","p_val_adj","sig","fc_thresh","test_status"
"HNRNPH1",1.95228476167737e-07,-0.946985902940182,0.00134785739946206,TRUE,TRUE,"sig."
"NME2",1.09044491555467e-06,NA,0.00254585981402355,TRUE,NA,"sig."
"RPL13A",1.10625426449459e-06,-1.93312208016741,0.00254585981402355,TRUE,TRUE,"sig."
"ISG15",2.01775765357495e-06,1.73484567409708,0.00278611976805629,TRUE,TRUE,"sig."
"RPS20",1.96154961878462e-06,-1.00029926334644,0.00278611976805629,TRUE,TRUE,"sig."
"ISG20",2.64299955254313e-06,1.79863446585364,0.00294454643775771,TRUE,TRUE,"sig."
"SARAF",2.9854903047949e-06,1.26318764855558,0.00294454643775771,TRUE,TRUE,"sig."
"ARPC4",3.90425473479766e-06,-0.697409678924658,0.00299499718767145,TRUE,TRUE,"sig."
"IFITM1",3.71310659260955e-06,3.05186200696772,0.00299499718767145,TRUE,TRUE,"sig."
"MX1",4.521134359846e-06,1.77457917455551,0.00312139116203768,TRUE,TRUE,"sig."
"PTPRCAP",6.59846095209925e-06,NA,0.00414143403757211,TRUE,NA,"sig."
"EMP3",9.84812054581281e-06,-0.679380217639538,0.00458972300039928,TRUE,TRUE,"sig."
"RPL23",8.04903140159096e-06,-0.732297995124038,0.00458972300039928,TRUE,TRUE,"sig."
"RPS10",1.06366697575881e-05,-2.32386044877179,0.00458972300039928,TRUE,TRUE,"sig."
"TRAC",1.00087992019618e-05,-0.95377855705379,0.00458972300039928,TRUE,TRUE,"sig."
"USP18",9.90255676195328e-06,NA,0.00458972300039928,TRUE,NA,"sig."
"ATP5PO",1.24130282867002e-05,-0.468486461756963,0.00489855603065717,TRUE,TRUE,"sig."
"PSMA2",1.27714380868814e-05,-0.60834106473866,0.00489855603065717,TRUE,TRUE,"sig."
"ID2",1.59284499115162e-05,-0.535455963878993,0.00549850090945538,TRUE,TRUE,"sig."
"SLC16A1-AS1",1.519539971175e-05,-0.314430641779769,0.00549850090945538,TRUE,TRUE,"sig."
"TRBC1",1.7248163844335e-05,-0.942687354048592,0.00567053919910899,TRUE,TRUE,"sig."
"CMPK2",2.21960413920245e-05,NA,0.00632757526068852,TRUE,NA,"sig."
"GNAI2",2.28611442110314e-05,-0.46403646107029,0.00632757526068852,TRUE,TRUE,"sig."
"IRF7",2.29127145882406e-05,1.32969437085157,0.00632757526068852,TRUE,TRUE,"sig."
"LAMP3",2.14287607491108e-05,NA,0.00632757526068852,TRUE,NA,"sig."
"PSMA3-AS1",2.47525505865677e-05,-0.522706293687922,0.0063689900976582,TRUE,TRUE,"sig."
"RPL38",2.49076959207375e-05,-0.79191238888886,0.0063689900976582,TRUE,TRUE,"sig."
"CHMP4A",2.83195991961282e-05,-0.377542580802293,0.00698280403035961,TRUE,TRUE,"sig."
