"","p_val","avg_log2FC","p_val_adj","sig","fc_thresh","test_status"
"RPL13A",2.5251768655442e-08,-2.10961058704046,0.000197443579116901,TRUE,TRUE,"sig."
"RPL27A",5.51942468385749e-07,-2.41362005987016,0.0011998194964647,TRUE,TRUE,"sig."
"RPL38",7.17141396193145e-07,-1.44997215026211,0.0011998194964647,TRUE,TRUE,"sig."
"RPS29",6.1640683717928e-07,-1.83832839768895,0.0011998194964647,TRUE,TRUE,"sig."
"TMBIM4",7.67246128958114e-07,-1.31454999392889,0.0011998194964647,TRUE,TRUE,"sig."
"CD1E",2.19562485486407e-06,-1.81203181351089,0.00154991507392762,TRUE,TRUE,"sig."
"IFITM1",2.17789115481271e-06,2.74169630959903,0.00154991507392762,TRUE,TRUE,"sig."
"RPL27",1.79609943187634e-06,-1.2918818913925,0.00154991507392762,TRUE,TRUE,"sig."
"RPS10",1.52339559598017e-06,-2.78701961080538,0.00154991507392762,TRUE,TRUE,"sig."
"RPS18",2.37869048307091e-06,-1.61550494395848,0.00154991507392762,TRUE,TRUE,"sig."
"TMEM136",1.75937179689297e-06,0.00780679147166931,0.00154991507392762,TRUE,FALSE,"sig."
"ZNF7",1.56197258406791e-06,-0.000724876389720817,0.00154991507392762,TRUE,FALSE,"sig."
"ISG15",2.79507829000166e-06,2.35668612320368,0.00168113208842485,TRUE,TRUE,"sig."
"HLA-DRA",3.5302320620576e-06,-1.63603315433011,0.00179258133999527,TRUE,TRUE,"sig."
"IFITM3",3.87252793394277e-06,2.25596400563984,0.00179258133999527,TRUE,TRUE,"sig."
"PPP1CB",3.79863838320199e-06,-1.09315744996869,0.00179258133999527,TRUE,TRUE,"sig."
"RPL37A",3.89741434709293e-06,-1.30598914216628,0.00179258133999527,TRUE,TRUE,"sig."
"N4BP2L2",4.60491882468174e-06,-0.993519190052471,0.00200032557167703,TRUE,TRUE,"sig."
"LST1",4.99517807611175e-06,-1.52340172295483,0.00205564723037462,TRUE,TRUE,"sig."
"AC023157.3",6.61173210226681e-06,-0.0499843232875821,0.00213703490359865,TRUE,FALSE,"sig."
"EVI2B",5.51170786996959e-06,-0.955521512495406,0.00213703490359865,TRUE,TRUE,"sig."
"IFT43",6.83282677963504e-06,0.0181697167352271,0.00213703490359865,TRUE,FALSE,"sig."
"MTURN",6.37830519677263e-06,0.0176726691702824,0.00213703490359865,TRUE,FALSE,"sig."
"RPL7",5.87002101845023e-06,-1.26544673082869,0.00213703490359865,TRUE,TRUE,"sig."
"RPS16",6.24312192777844e-06,-0.920235831048676,0.00213703490359865,TRUE,TRUE,"sig."
"TP53BP2",8.17445170338314e-06,0.163175832149817,0.00245830914879818,TRUE,FALSE,"sig."
"FBRS",9.22166564801452e-06,0.178073750864994,0.00257515013220805,TRUE,FALSE,"sig."
"LYZ",9.06260976360314e-06,-2.45780784284131,0.00257515013220805,TRUE,TRUE,"sig."
"NAPA",1.49453232397456e-05,1.17789675860056,0.00402956835901969,TRUE,TRUE,"sig."
"FCER1A",1.6869847708147e-05,NA,0.00425501094290327,TRUE,NA,"sig."
"HLA-DMB",1.66801013694513e-05,-1.62839511941848,0.00425501094290327,TRUE,TRUE,"sig."
"CSRNP1",2.33803572800343e-05,NA,0.00571284417414339,TRUE,NA,"sig."
"RPLP2",2.78085315171683e-05,-1.02552204858813,0.0065889366040224,TRUE,TRUE,"sig."
"CD1C",2.94115790938818e-05,-1.32596973309408,0.00676379814514888,TRUE,TRUE,"sig."
"ATP5MPL",3.67142126033511e-05,-1.01058786782992,0.00820195509558863,TRUE,TRUE,"sig."
"PPP1R15A",4.09241267820401e-05,1.35198316185907,0.0086482634407776,TRUE,TRUE,"sig."
"RPS2",4.05184347731863e-05,-0.958526960998414,0.0086482634407776,TRUE,TRUE,"sig."
"ISG20",4.20482652229981e-05,2.22621601597281,0.00865198383627952,TRUE,TRUE,"sig."
"D2HGDH",4.77158282686896e-05,0.00371716795790293,0.00956641182648421,TRUE,FALSE,"sig."
"VAMP8",5.50037743856586e-05,-0.879597017958434,0.0107518627980366,TRUE,TRUE,"sig."
"CDC42",6.45272552901659e-05,-0.961749890002769,0.0111315711952208,TRUE,TRUE,"sig."
"GPN2",6.52262276609924e-05,-0.000633337786094455,0.0111315711952208,TRUE,FALSE,"sig."
"MRC1",5.90748511049057e-05,-0.969553157314834,0.0111315711952208,TRUE,TRUE,"sig."
"RPL34",6.54882050108908e-05,-1.14475639049388,0.0111315711952208,TRUE,TRUE,"sig."
"TAOK1",6.02606808264711e-05,1.89320692205582,0.0111315711952208,TRUE,TRUE,"sig."
"UEVLD",6.21399593255331e-05,0.0216510815308068,0.0111315711952208,TRUE,FALSE,"sig."
"EIF3E",6.87998191139918e-05,-0.939846357794975,0.0114456550138788,TRUE,TRUE,"sig."
"CKLF",8.46170551100733e-05,-1.31401819711583,0.0119246969183124,TRUE,TRUE,"sig."
"CLCN6",7.9049508486454e-05,-0.000376272376954947,0.0119246969183124,TRUE,FALSE,"sig."
"MT-ND2",7.99894445197367e-05,-0.825452209905868,0.0119246969183124,TRUE,TRUE,"sig."
"MT-ND4L",7.61928695639396e-05,2.29991287024799,0.0119246969183124,TRUE,TRUE,"sig."
"PPIL3",8.32814541078576e-05,-0.218039486202392,0.0119246969183124,TRUE,FALSE,"sig."
"RPL23",7.80166525268413e-05,-1.50348775710988,0.0119246969183124,TRUE,TRUE,"sig."
"TRIM21",8.54051704086829e-05,NA,0.0119246969183124,TRUE,NA,"sig."
"UBE2V1",7.32166099332525e-05,NA,0.0119246969183124,TRUE,NA,"sig."
"USP18",8.40382368415047e-05,NA,0.0119246969183124,TRUE,NA,"sig."
"NDRG2",8.81821355142071e-05,-0.415451263343789,0.0120964231155366,TRUE,TRUE,"sig."
"LGALS2",9.19765611987616e-05,-1.38167919814184,0.0121225890340735,TRUE,TRUE,"sig."
"MX1",9.27603783684366e-05,1.81187269259202,0.0121225890340735,TRUE,TRUE,"sig."
"RPL13",9.30240877406839e-05,-0.931121966705329,0.0121225890340735,TRUE,TRUE,"sig."
"HLA-DPB1",9.55143014263276e-05,-1.47122023699059,0.0122430544729911,TRUE,TRUE,"sig."
