"","p_val","avg_log2FC","p_val_adj","sig","fc_thresh","test_status"
"ALDH2",4.51973453129597e-13,-1.97955548981703,4.00493676818136e-09,TRUE,TRUE,"sig."
"SPP1",1.49942640389238e-11,1.93307338984519,6.64320868244517e-08,TRUE,TRUE,"sig."
"ALOX5AP",5.59450088362442e-11,-2.86907908898011,1.2393218082449e-07,TRUE,TRUE,"sig."
"GMFG",5.26268795187079e-11,-1.24133641250442,1.2393218082449e-07,TRUE,TRUE,"sig."
"CALM2",2.30001480427148e-10,-1.69016963304809,2.91149016866423e-07,TRUE,TRUE,"sig."
"LDHB",2.24477570959462e-10,-1.14822852824405,2.91149016866423e-07,TRUE,TRUE,"sig."
"MAFB",2.25506493928705e-10,1.65940647872904,2.91149016866423e-07,TRUE,TRUE,"sig."
"HES4",4.34856386429606e-10,0.751693292609512,4.81657805019092e-07,TRUE,TRUE,"sig."
"SVIL",5.96224541621026e-10,-0.594764543116435,5.87016184811546e-07,TRUE,TRUE,"sig."
"LCP2",8.08438431682089e-10,0.980711117118942,7.16357294313499e-07,TRUE,TRUE,"sig."
"MX1",9.66166416699189e-10,2.26979723948377,7.78290965306501e-07,TRUE,TRUE,"sig."
"ATP6V1F",1.2235823886093e-09,0.842361629179916,8.241401274449e-07,TRUE,TRUE,"sig."
"IFITM3",1.30210605848421e-09,3.96027169796474,8.241401274449e-07,TRUE,TRUE,"sig."
"IRF7",1.21328129338106e-09,1.46318541040648,8.241401274449e-07,TRUE,TRUE,"sig."
"CTSB",1.79717222665901e-09,2.44771209607676,9.45482207277215e-07,TRUE,TRUE,"sig."
"EIF3E",2.40040069642108e-09,-1.39154404987021,9.45482207277215e-07,TRUE,TRUE,"sig."
"HLA-DMA",2.06231016710526e-09,-1.54170634817915,9.45482207277215e-07,TRUE,TRUE,"sig."
"MCEMP1",2.19060294339231e-09,-1.87801635920446,9.45482207277215e-07,TRUE,TRUE,"sig."
"MGST3",2.65028305392648e-09,-1.30205675494272,9.45482207277215e-07,TRUE,TRUE,"sig."
"NDUFB8",2.40712956565255e-09,-0.967582294500219,9.45482207277215e-07,TRUE,TRUE,"sig."
"OAS3",2.5833127010842e-09,0.930810903562224,9.45482207277215e-07,TRUE,TRUE,"sig."
"RPL23",2.5303235914709e-09,-1.91552075704222,9.45482207277215e-07,TRUE,TRUE,"sig."
"RPS10",2.77423963313481e-09,-2.59279757581296,9.45482207277215e-07,TRUE,TRUE,"sig."
"RSAD2",2.10556782908752e-09,2.49038342800935,9.45482207277215e-07,TRUE,TRUE,"sig."
"RSL24D1",1.69720681610555e-09,-0.760868163425951,9.45482207277215e-07,TRUE,TRUE,"sig."
"SDS",2.70610363551075e-09,1.31772425003115,9.45482207277215e-07,TRUE,TRUE,"sig."
"LHFPL2",3.5654630993669e-09,1.12656524184184,1.17013216753667e-06,TRUE,TRUE,"sig."
