"","p_val","avg_log2FC","p_val_adj","sig","fc_thresh","test_status"
"IFITM1",6.02277243767987e-07,4.00075564423067,0.00129489607410117,TRUE,TRUE,"sig."
"MT-ND4L",1.82183347769251e-07,3.32915020469669,0.00129489607410117,TRUE,TRUE,"sig."
"RPL27A",5.14923746813141e-07,-1.80879400642139,0.00129489607410117,TRUE,TRUE,"sig."
"RPS10",4.23081502623867e-07,-2.71547343920324,0.00129489607410117,TRUE,TRUE,"sig."
"RPL13A",8.70791968998105e-07,-2.01895296554648,0.00149776218667674,TRUE,TRUE,"sig."
"ARPC4",1.37598253098298e-06,-0.92599847804528,0.00197224162774227,TRUE,TRUE,"sig."
"ISG15",1.80194588285806e-06,2.16999497829021,0.00221381922751133,TRUE,TRUE,"sig."
"PTPRCAP",2.09122322394526e-06,NA,0.00224806496574115,TRUE,NA,"sig."
"CDK2AP1",4.86571888336694e-06,-0.322019873920924,0.00261532389980973,TRUE,TRUE,"sig."
"HLTF",3.17273059594161e-06,-0.441471125606278,0.00261532389980973,TRUE,TRUE,"sig."
"HNRNPH1",3.71029493399983e-06,-1.23931265398494,0.00261532389980973,TRUE,TRUE,"sig."
"MX1",4.17001998161445e-06,1.80638769409229,0.00261532389980973,TRUE,TRUE,"sig."
"RPL23",3.00749555105344e-06,-1.10642421000901,0.00261532389980973,TRUE,TRUE,"sig."
"RPS20",4.698500409827e-06,-1.34414864477582,0.00261532389980973,TRUE,TRUE,"sig."
"TRAC",4.4955848741087e-06,-1.57760255438938,0.00261532389980973,TRUE,TRUE,"sig."
"ZKSCAN8",3.73098802400737e-06,-0.375963049834341,0.00261532389980973,TRUE,TRUE,"sig."
"UBE2L6",5.89347424499449e-06,1.34064511123848,0.00298140461805604,TRUE,TRUE,"sig."
"HNRNPA1P48",7.5051108392214e-06,-0.376544791192382,0.00323780974377531,TRUE,TRUE,"sig."
"ISG20",7.52979010180304e-06,1.73508997646126,0.00323780974377531,TRUE,TRUE,"sig."
"SAT1",7.4667116566963e-06,1.57992443045195,0.00323780974377531,TRUE,TRUE,"sig."
"IFI44L",8.03029360033247e-06,1.56303158149609,0.00328859642680282,TRUE,TRUE,"sig."
"RNF213",8.73910320918298e-06,0.925698656660334,0.00341619489086244,TRUE,TRUE,"sig."
"AC058791.1",9.49891345815207e-06,-0.923247424867552,0.00355176764087425,TRUE,TRUE,"sig."
"VMP1",1.0507541460411e-05,-0.931746610353481,0.00376520235664729,TRUE,TRUE,"sig."
"GIMAP6",1.20100648356797e-05,NA,0.00382542805877205,TRUE,NA,"sig."
"PSMA2",1.15028421844794e-05,-1.17157134768541,0.00382542805877205,TRUE,TRUE,"sig."
"RPL3",1.17276504202189e-05,-0.942987838331235,0.00382542805877205,TRUE,TRUE,"sig."
"COMMD7",1.42474089579803e-05,-0.471946586035722,0.0043759898942368,TRUE,TRUE,"sig."
"TMEM120B",1.5054803788362e-05,-0.736650376201144,0.00446452801999702,TRUE,TRUE,"sig."
"ALDOA",1.750650545026e-05,1.84953017031008,0.0048510847205065,TRUE,TRUE,"sig."
"OAS3",1.80505477972335e-05,1.40573150216387,0.0048510847205065,TRUE,TRUE,"sig."
"RPL21",1.74831914484352e-05,-1.75150803249412,0.0048510847205065,TRUE,TRUE,"sig."
"POLR2J3.1",2.05929066472688e-05,-1.2628142214422,0.00528495244846927,TRUE,TRUE,"sig."
"USP18",2.08939980520878e-05,1.44217062282447,0.00528495244846927,TRUE,TRUE,"sig."
"PELI1",2.27425613543773e-05,0.215424524017885,0.00558817221850414,TRUE,FALSE,"sig."
"CDC73",2.54716744710149e-05,NA,0.00576464211712442,TRUE,NA,"sig."
"MED21",2.51226535754914e-05,-0.446735267287426,0.00576464211712442,TRUE,TRUE,"sig."
"UBR4",2.43820316874461e-05,0.362650566884291,0.00576464211712442,TRUE,TRUE,"sig."
"PSMG3",2.73482613474352e-05,-0.547064062614324,0.00603064224584469,TRUE,TRUE,"sig."
"IFITM2",3.03691084531817e-05,1.44043030531535,0.00637792804730094,TRUE,TRUE,"sig."
"PHKG1",3.0406401155737e-05,-0.121137904447328,0.00637792804730094,TRUE,FALSE,"sig."
"COA6",3.45788305837479e-05,0.236720020863326,0.00691576611674958,TRUE,FALSE,"sig."
"MRPS24",3.38333936762197e-05,NA,0.00691576611674958,TRUE,NA,"sig."
"AC008105.3",3.7956961773159e-05,-0.40603846992697,0.00704353963226504,TRUE,TRUE,"sig."
"ATP6V0C",3.77032204110304e-05,1.08183858548652,0.00704353963226504,TRUE,TRUE,"sig."
"FAM89B",3.84937631065648e-05,-0.554677444147497,0.00704353963226504,TRUE,TRUE,"sig."
"PLSCR1",3.82590219498242e-05,1.79849868494475,0.00704353963226504,TRUE,TRUE,"sig."
"CCNI",3.9952288594965e-05,-1.04593461766329,0.00715811837326456,TRUE,TRUE,"sig."
"PASK",4.24373707776432e-05,NA,0.00744819160587207,TRUE,NA,"sig."
"RPL35",4.56859336780904e-05,-1.06256421655813,0.00770390254179564,TRUE,TRUE,"sig."
"TMBIM4",4.50942582129257e-05,-0.83268337144415,0.00770390254179564,TRUE,TRUE,"sig."
"SNHG25",4.74139653213958e-05,-0.821351969186845,0.00784154041853853,TRUE,TRUE,"sig."
