"","p_val","avg_log2FC","p_val_adj","sig","fc_thresh","test_status"
"RPS10",2.54598896712539e-08,2.38743101307292,0.000203297219024963,TRUE,TRUE,"sig."
"TRAC",9.86974856770753e-08,1.20450812574552,0.000394049711565723,TRUE,TRUE,"sig."
"S100A4",8.31786071546423e-07,0.843436293688253,0.00221393726043273,TRUE,TRUE,"sig."
"CDC42",5.69768236254088e-06,0.812887277728086,0.00649942766641271,TRUE,TRUE,"sig."
"RARRES3",5.19945884926259e-06,-0.758419061916245,0.00649942766641271,TRUE,TRUE,"sig."
"RPS21",4.90950136937994e-06,-0.773384323785218,0.00649942766641271,TRUE,TRUE,"sig."
"TNRC6B",5.38802631567846e-06,0.507699705701767,0.00649942766641271,TRUE,TRUE,"sig."
"CD52",9.3435421836201e-06,0.578836897517685,0.00932602304202582,TRUE,TRUE,"sig."
"MDM4",1.0601719170757e-05,0.656305433220457,0.00940608084205494,TRUE,TRUE,"sig."
"CCNI",1.31871940751333e-05,0.588269403576857,0.0105299744689939,TRUE,TRUE,"sig."
"ATP2A1-AS1",1.59680145148241e-05,-0.0421083435231027,0.0112335978944094,TRUE,FALSE,"sig."
"CNPY2",2.20421573098351e-05,0.295989613210095,0.0112335978944094,TRUE,TRUE,"sig."
"MIF",2.21772041928158e-05,-1.16486965346341,0.0112335978944094,TRUE,TRUE,"sig."
"MT-ATP8",2.10184057226508e-05,-2.02074527103738,0.0112335978944094,TRUE,TRUE,"sig."
"PPP1CB",2.22841966614072e-05,0.648746682497099,0.0112335978944094,TRUE,TRUE,"sig."
"SEM1",2.25094009155354e-05,-0.710802844234583,0.0112335978944094,TRUE,TRUE,"sig."
"CLIC1",2.61575128728416e-05,-0.495807916723956,0.0114661136876118,TRUE,TRUE,"sig."
"NKG7",2.72831759630086e-05,-0.957727535888547,0.0114661136876118,TRUE,TRUE,"sig."
"RPL7A",2.49003501821498e-05,-0.571476179825556,0.0114661136876118,TRUE,TRUE,"sig."
"OVCA2",3.49335504814706e-05,NA,0.0139472200297272,TRUE,NA,"sig."
"CTSD",4.2261626401829e-05,0.808455342089849,0.0147807193857183,TRUE,TRUE,"sig."
"GZMK",3.99244559545988e-05,-0.810340227184476,0.0147807193857183,TRUE,TRUE,"sig."
"PKMYT1",4.2574395224987e-05,-0.0750562007798802,0.0147807193857183,TRUE,FALSE,"sig."
"TMBIM4",4.49319268597517e-05,0.788311341191943,0.0149492264989632,TRUE,TRUE,"sig."
"AL133415.1",5.74273529704602e-05,NA,0.0163770504810402,TRUE,NA,"sig."
"CD63",5.25996872401231e-05,0.823251251932621,0.0163770504810402,TRUE,TRUE,"sig."
"FABP4",5.68353946239926e-05,0.594080224681355,0.0163770504810402,TRUE,TRUE,"sig."
"HNRNPH1",5.73008626634309e-05,0.787645852046311,0.0163770504810402,TRUE,TRUE,"sig."
"C1orf56",0.000101322470703004,0.880965316195872,0.0276686365759872,TRUE,TRUE,"sig."
"GPM6B",0.000107411819454752,0.0690730951945853,0.0276686365759872,TRUE,FALSE,"sig."
"PRF1",0.000107417374308779,-0.74851385908469,0.0276686365759872,TRUE,TRUE,"sig."
"ILF3-DT",0.000114850781514406,0.22538838355704,0.0285740706693073,TRUE,FALSE,"sig."
"RAC2",0.000118089459246981,-0.519706696335394,0.0285740706693073,TRUE,TRUE,"sig."
"CLIC3",0.000129888796103653,-0.423119345068332,0.0289944115601524,TRUE,TRUE,"sig."
"RPL9",0.000130719951930556,0.57867197356141,0.0289944115601524,TRUE,TRUE,"sig."
"TRBV6-5",0.000123964657865372,NA,0.0289944115601524,TRUE,NA,"sig."
"ARF5",0.000147226740616278,-0.549196000559915,0.0295716367926633,TRUE,TRUE,"sig."
"HIST1H1E",0.000138581069802557,-0.492394247440664,0.0295716367926633,TRUE,TRUE,"sig."
"SELENOM",0.000148135938848658,0.168523254798265,0.0295716367926633,TRUE,FALSE,"sig."
"VIM",0.000145589405211374,-0.946095831856895,0.0295716367926633,TRUE,TRUE,"sig."
"CD38",0.000168264233799002,-1.04419125149542,0.0306613010711352,TRUE,TRUE,"sig."
"PSME2",0.000157908348667793,-0.541122377864599,0.0306613010711352,TRUE,TRUE,"sig."
"RAB38",0.000168953944537251,NA,0.0306613010711352,TRUE,NA,"sig."
"SEPT11",0.000163570798961623,0.25676810376191,0.0306613010711352,TRUE,TRUE,"sig."
"GTF2E1",0.000175216435492297,0.110525332966915,0.0310911830534664,TRUE,FALSE,"sig."
"TMEM35B",0.000187715563169906,NA,0.0325849733024282,TRUE,NA,"sig."
"CENPP",0.000204307360817216,-0.0224265466673586,0.0347105165133078,TRUE,FALSE,"sig."
"CD8B",0.000215256064288699,-0.474351732115456,0.0358087431946929,TRUE,TRUE,"sig."
"KLRB1",0.000232958171308787,1.24062789970426,0.0372034199580132,TRUE,TRUE,"sig."
"SLC25A5",0.000229327536172378,-0.597215857899532,0.0372034199580132,TRUE,TRUE,"sig."
"CEPT1",0.00024008513026986,0.167244681885522,0.037259378240653,TRUE,FALSE,"sig."
"RPS11",0.000242640910271003,0.764179839292284,0.037259378240653,TRUE,TRUE,"sig."
"COX6A1",0.000253878041522568,-0.600335491409366,0.0382493615388246,TRUE,TRUE,"sig."
"ATP6V0C",0.000281374417771839,NA,0.0386145575758901,TRUE,NA,"sig."
"GDF11",0.000281839035343102,0.139211972229481,0.0386145575758901,TRUE,FALSE,"sig."
"NDUFA11",0.000274277849797775,0.633191404860181,0.0386145575758901,TRUE,TRUE,"sig."
"RFX1",0.000290153219104998,0.156751400185578,0.0386145575758901,TRUE,FALSE,"sig."
"RGS10",0.000281945981516466,-0.597379832548058,0.0386145575758901,TRUE,TRUE,"sig."
"RPL13A",0.000271047880319913,1.6680183486282,0.0386145575758901,TRUE,TRUE,"sig."
"SCGB3A1",0.000287881667749302,NA,0.0386145575758901,TRUE,NA,"sig."
"ALDOA",0.00031224608306925,-0.850847124926865,0.0387775013675519,TRUE,TRUE,"sig."
"BORCS8",0.000317729831920791,0.0904913664875095,0.0387775013675519,TRUE,FALSE,"sig."
"BSCL2",0.000300747416288965,NA,0.0387775013675519,TRUE,NA,"sig."
"CD3D",0.000325845841410054,0.495358636016177,0.0387775013675519,TRUE,TRUE,"sig."
"FBXO6",0.000313460201877455,-0.224820275915563,0.0387775013675519,TRUE,FALSE,"sig."
"MTHFD2",0.000325078270576793,-0.684655126023739,0.0387775013675519,TRUE,TRUE,"sig."
"SLC39A3",0.000330227939009835,0.117364927863997,0.0387775013675519,TRUE,FALSE,"sig."
"ZBTB44",0.000311527073145372,0.182775715614775,0.0387775013675519,TRUE,FALSE,"sig."
"CLECL1",0.000354422054208127,NA,0.0398600014486183,TRUE,NA,"sig."
"LSM12",0.000350513073547974,0.193378932060205,0.0398600014486183,TRUE,FALSE,"sig."
"RMI2",0.00034918569636129,NA,0.0398600014486183,TRUE,NA,"sig."
"PFDN5",0.000364413809506602,0.217694290413035,0.0404145037348641,TRUE,FALSE,"sig."
"BTBD11",0.000373300430253666,-0.0367552371039824,0.0408329306243222,TRUE,FALSE,"sig."
"AC008549.2",0.00049150406350031,0.11356074007834,0.0421868183477029,TRUE,FALSE,"sig."
"CD70",0.000404125388370022,-0.364638851517083,0.0421868183477029,TRUE,TRUE,"sig."
"EIF3E",0.000477930352569728,0.390935900959569,0.0421868183477029,TRUE,TRUE,"sig."
"FADD",0.000474935092323106,-0.0434562705934553,0.0421868183477029,TRUE,FALSE,"sig."
"FUS",0.00049486064282786,0.459395521638216,0.0421868183477029,TRUE,TRUE,"sig."
"HIGD1A",0.000423514137648147,0.158305307090591,0.0421868183477029,TRUE,FALSE,"sig."
"HSH2D",0.000455289189105556,-0.407620150942196,0.0421868183477029,TRUE,TRUE,"sig."
"JAML",0.000430353810905231,0.576950849196366,0.0421868183477029,TRUE,TRUE,"sig."
"LINC01116",0.000420116241135058,0.103890673042119,0.0421868183477029,TRUE,FALSE,"sig."
"LINC02195",0.000485002817678917,-0.287234823422699,0.0421868183477029,TRUE,TRUE,"sig."
"MALAT1",0.000491987214129645,2.15070612808072,0.0421868183477029,TRUE,TRUE,"sig."
"MED6",0.000496626289879033,0.246280273073859,0.0421868183477029,TRUE,FALSE,"sig."
"MT2A",0.000427942558748283,-2.65782636724854,0.0421868183477029,TRUE,TRUE,"sig."
"NME7",0.000424831180338532,0.128966779520707,0.0421868183477029,TRUE,FALSE,"sig."
"NUDT2",0.000462078601369307,-0.117616815501279,0.0421868183477029,TRUE,FALSE,"sig."
"PLOD1",0.0004875423752972,NA,0.0421868183477029,TRUE,NA,"sig."
"RPL21",0.00044691475469555,1.51676937985638,0.0421868183477029,TRUE,TRUE,"sig."
"RPL28",0.0004761004969336,-0.665527357186406,0.0421868183477029,TRUE,TRUE,"sig."
"SLPI",0.000392411911032555,NA,0.0421868183477029,TRUE,NA,"sig."
"ZFX",0.000405239018582586,0.150415785268991,0.0421868183477029,TRUE,FALSE,"sig."
"ZNF407",0.000476238535043761,0.109876107585543,0.0421868183477029,TRUE,FALSE,"sig."
