"","p_val","avg_log2FC","p_val_adj","sig","fc_thresh","test_status"
"RPL13A",1.65677001305664e-07,2.09504919463522,0.00118525326734072,TRUE,TRUE,"sig."
"RPL26",1.43575776045463e-06,1.48405985073585,0.0028466490793699,TRUE,TRUE,"sig."
"RPL27",1.2883357541677e-06,1.59101922441108,0.0028466490793699,TRUE,TRUE,"sig."
"RPL27A",1.59164052522779e-06,2.61387079124718,0.0028466490793699,TRUE,TRUE,"sig."
"RPL38",2.16685598985053e-06,1.45898162715433,0.00310033755027814,TRUE,TRUE,"sig."
"RPL7",6.0280362225223e-06,1.03646779858428,0.00718742852265408,TRUE,TRUE,"sig."
"RPS18",7.9341454421929e-06,1.81250718541112,0.00810869664192114,TRUE,TRUE,"sig."
"RPS10",1.00047443007145e-05,2.52293275066346,0.00894674259091398,TRUE,TRUE,"sig."
"RPS2",1.23357367759859e-05,1.20451558173211,0.0098055400994892,TRUE,TRUE,"sig."
"RPS9",1.99149423463669e-05,1.30781092694572,0.0142471497545909,TRUE,TRUE,"sig."
"HLA-DMA",2.52521017072028e-05,1.11073142127499,0.0150544613011107,TRUE,TRUE,"sig."
"RPL37A",2.34312473799583e-05,1.44012021873305,0.0150544613011107,TRUE,TRUE,"sig."
"RPS20",3.27822611073997e-05,2.10540272031811,0.0160312284962614,TRUE,TRUE,"sig."
"RPS29",2.9600700756526e-05,1.80433492405792,0.0160312284962614,TRUE,TRUE,"sig."
"SCAF4",3.36131433385408e-05,-0.0885798018052374,0.0160312284962614,TRUE,FALSE,"sig."
"HLA-DPB1",4.97255882071869e-05,1.31700380608545,0.0187229925281166,TRUE,TRUE,"sig."
"HLA-DRA",4.90850514180339e-05,1.00102470323401,0.0187229925281166,TRUE,TRUE,"sig."
"LST1",4.66447664745316e-05,1.15426557825243,0.0187229925281166,TRUE,TRUE,"sig."
"MT-ATP8",4.24306164698297e-05,-1.65432887170628,0.0187229925281166,TRUE,TRUE,"sig."
"TMEM8A",6.44146719305092e-05,0.000717621461638461,0.0230411281495431,TRUE,FALSE,"sig."
"RPL15",7.41422342299622e-05,1.092724064148,0.0252577877943405,TRUE,TRUE,"sig."
"RPL23",7.96949849466856e-05,1.52493114406197,0.0259153601049358,TRUE,TRUE,"sig."
"TAOK1",8.6569582668604e-05,-2.21131051208581,0.0269269041048345,TRUE,TRUE,"sig."
"CD1E",9.94114886001445e-05,1.20365265673726,0.0274741534593606,TRUE,TRUE,"sig."
"GRAMD1B",9.3210687562501e-05,0.0430169844981116,0.0274741534593606,TRUE,FALSE,"sig."
"IFITM1",0.000107530933304738,-2.15302945073017,0.0274741534593606,TRUE,TRUE,"sig."
"IFITM3",0.000104612708639316,-2.34652021834543,0.0274741534593606,TRUE,TRUE,"sig."
"SHC1",0.000106239276861976,-0.0290991677523287,0.0274741534593606,TRUE,FALSE,"sig."
"H3F3B",0.000115870088613175,-1.23092122677631,0.0285839522047811,TRUE,TRUE,"sig."
"FCER1A",0.000131074096788419,NA,0.0303114353868219,TRUE,NA,"sig."
"HIST1H3H",0.000131346728682063,-0.0201157443067829,0.0303114353868219,TRUE,FALSE,"sig."
"CLDN7",0.000142581210318249,0.0380630993496191,0.0313345810475148,TRUE,FALSE,"sig."
"HK2",0.000183960358400282,0.00615830843643221,0.0313345810475148,TRUE,FALSE,"sig."
"HNMT",0.000178356789340475,NA,0.0313345810475148,TRUE,NA,"sig."
"MT-ND4L",0.000165559164990156,-2.25796530558599,0.0313345810475148,TRUE,TRUE,"sig."
"MT2A",0.000165846295075537,-1.4346182149179,0.0313345810475148,TRUE,TRUE,"sig."
"RPL18A",0.000149973265351086,0.945711165162831,0.0313345810475148,TRUE,TRUE,"sig."
"RPL34",0.000183645591142624,0.911953579278395,0.0313345810475148,TRUE,TRUE,"sig."
"RPLP2",0.000146077674414262,0.881011199648879,0.0313345810475148,TRUE,TRUE,"sig."
"RPS11",0.000173039096089677,1.12085252866656,0.0313345810475148,TRUE,TRUE,"sig."
"RPS6",0.000168607497093654,1.45333018221338,0.0313345810475148,TRUE,TRUE,"sig."
"TMEM268",0.000157893443683263,-0.00686980258391364,0.0313345810475148,TRUE,FALSE,"sig."
"ATP6V0C",0.000211727627378855,-1.15657508881894,0.0344249874151893,TRUE,TRUE,"sig."
"ZNF426",0.000207415635853551,0.0157100998214883,0.0344249874151893,TRUE,FALSE,"sig."
"FABP4",0.000219798016131385,NA,0.0349430001645317,TRUE,NA,"sig."
"RPL23A",0.000249075209192927,1.28920639079238,0.0387366097079609,TRUE,TRUE,"sig."
"LYZ",0.000271088226472,2.07672872892204,0.0412630887698019,TRUE,TRUE,"sig."
"RPL10",0.000285491815408839,0.932427234469054,0.0425501759882257,TRUE,TRUE,"sig."
"CD52",0.000314232874028309,1.14409748731247,0.0458779996081331,TRUE,TRUE,"sig."
"AXL",0.00036906613447655,0.601439961067986,0.0521250697884142,FALSE,TRUE,"NS"
"IFI30",0.000371593312721432,-1.87091935561332,0.0521250697884142,FALSE,TRUE,"NS"
