"","p_val","avg_log2FC","p_val_adj","sig","fc_thresh","test_status"
"CTSB",3.16860009534405e-10,-1.90957707095089,2.35078441073575e-06,TRUE,TRUE,"sig."
"ALOX5AP",8.01285748375582e-09,2.30898368648989,1.84231178448115e-05,TRUE,TRUE,"sig."
"CCL2",8.30596319736463e-09,-5.0818962701585,1.84231178448115e-05,TRUE,TRUE,"sig."
"CCL7",1.48994078809636e-08,-1.90997024864574,1.84231178448115e-05,TRUE,TRUE,"sig."
"EMP1",1.32720014337833e-08,-1.4830370968858,1.84231178448115e-05,TRUE,TRUE,"sig."
"EMP3",1.35130686745705e-08,-1.53974903885078,1.84231178448115e-05,TRUE,TRUE,"sig."
"SPP1",2.1862923550935e-08,-2.64980414671069,2.31715756891981e-05,TRUE,TRUE,"sig."
"P2RX7",4.16075506674595e-08,-0.474632151937709,3.85858023002353e-05,TRUE,TRUE,"sig."
"MAFB",5.44722611410591e-08,-1.82651928584327,4.4903300600613e-05,TRUE,TRUE,"sig."
"SPN",6.58899879083592e-08,0.568231259726819,4.88837820292117e-05,TRUE,TRUE,"sig."
"CCL8",8.2761556264522e-08,-2.50643586502936,5.23252489086729e-05,TRUE,TRUE,"sig."
"VAMP5",8.46344503173035e-08,-1.63223267472998,5.23252489086729e-05,TRUE,TRUE,"sig."
"AL034397.3",9.39774013596616e-08,0.192710854531715,5.36321800528715e-05,TRUE,FALSE,"sig."
"EIF3L",1.02886254940174e-07,0.483337544831657,5.45223661000823e-05,TRUE,TRUE,"sig."
"ALDH2",1.16975958284018e-07,1.69075015307616,5.75480563969624e-05,TRUE,TRUE,"sig."
"UBR4",1.24109570339857e-07,-0.335934875596983,5.75480563969624e-05,TRUE,TRUE,"sig."
"ADGRE2",1.62376544479271e-07,-0.203913667204634,6.36342293206852e-05,TRUE,FALSE,"sig."
"TPM4",1.51714423834954e-07,-1.49501185191011,6.36342293206852e-05,TRUE,TRUE,"sig."
"TRPC6",1.62966755235614e-07,NA,6.36342293206852e-05,TRUE,NA,"sig."
"CCL18",1.99950616066489e-07,-0.455739213793728,7.4171681029864e-05,TRUE,TRUE,"sig."
