"","p_val","avg_log2FC","p_val_adj","sig","fc_thresh","test_status"
"AC246785.3",1.84566099956836e-07,0.066046417073556,0.0013824000886767,TRUE,FALSE,"sig."
"ABI2",2.42819896273359e-06,0.114133468650894,0.00606240341029153,TRUE,FALSE,"sig."
"PDLIM1",2.21518312729427e-06,0.0546597817518659,0.00606240341029153,TRUE,FALSE,"sig."
"IFITM1",9.64033412661426e-06,-3.0227058889318,0.0180515256520852,TRUE,TRUE,"sig."
"DPY19L3",2.20389423980928e-05,0.0190643463932662,0.0275119464269525,TRUE,FALSE,"sig."
"GNPNAT1",1.8522210885353e-05,0.0406955104477342,0.0275119464269525,TRUE,FALSE,"sig."
"CGRRF1",2.62894606840897e-05,0.0523111677765722,0.028129722931976,TRUE,FALSE,"sig."
"RNF31",4.10375216481023e-05,0.0192009787261798,0.0309793238431689,TRUE,FALSE,"sig."
"RPL13A",3.32774722905013e-05,1.80155563855039,0.0309793238431689,TRUE,TRUE,"sig."
"RPS10",4.54970043090598e-05,2.26083328982615,0.0309793238431689,TRUE,TRUE,"sig."
"TAOK1",4.30226650496237e-05,-2.86720380675689,0.0309793238431689,TRUE,TRUE,"sig."
"HIST1H2BG",5.22096264597658e-05,0.121733970215594,0.0316075538843602,TRUE,FALSE,"sig."
"RPL3",5.48595728299976e-05,1.50962070319385,0.0316075538843602,TRUE,TRUE,"sig."
"FAM98B",6.36794066903696e-05,0.0201256799893158,0.0326248962442062,TRUE,FALSE,"sig."
"KIDINS220",6.53369083662341e-05,0.0538649440747255,0.0326248962442062,TRUE,FALSE,"sig."
"RPL27A",7.17744380318508e-05,1.81808892139218,0.0335994088036602,TRUE,TRUE,"sig."
"SETD1A",8.47843866655568e-05,0.0830382590383176,0.0373550033014718,TRUE,FALSE,"sig."
"RPL21",0.000133518576501467,1.57860632403362,0.0537803320350852,FALSE,TRUE,"NS"
"TRAC",0.000136425408366705,1.15931374369564,0.0537803320350852,FALSE,TRUE,"NS"
