"","p_val","avg_log2FC","p_val_adj","sig","fc_thresh","test_status"
"DOCK2",8.72195375080364e-06,0.140657767634417,0.0331216193686768,TRUE,FALSE,"sig."
"HLA-DRB5",5.95964563847689e-06,-1.77362901996219,0.0331216193686768,TRUE,TRUE,"sig."
"AC025164.1",1.78816597677312e-05,0.326823661206749,0.0350634728968351,TRUE,TRUE,"sig."
"HLA-DOB",1.84666085039289e-05,-0.266095830496805,0.0350634728968351,TRUE,TRUE,"sig."
"HDAC9",2.93882428617526e-05,0.201916796086367,0.0372006174225018,TRUE,FALSE,"sig."
"NORAD",2.75625107754972e-05,0.155404848844836,0.0372006174225018,TRUE,FALSE,"sig."
"MT-ATP8",3.83758275041191e-05,0.40881943202924,0.0416377728419692,TRUE,TRUE,"sig."
"OSBPL8",4.71266421238751e-05,0.145892910812464,0.0447408558663539,TRUE,FALSE,"sig."
"RPS29",5.32293215257967e-05,0.491630390103508,0.044919632998714,TRUE,TRUE,"sig."
"HIST2H2AC",6.09991347774332e-05,0.236189838803196,0.0463288428634605,TRUE,FALSE,"sig."
"COPZ1",8.52074432531805e-05,-0.0895099626628462,0.0588318665007187,FALSE,FALSE,"NS"
"ATXN7L3B",0.000105881142907761,0.107846090313671,0.0630759361394996,FALSE,FALSE,"NS"
"TAGLN2",0.00010796407765813,-0.208813904507613,0.0630759361394996,FALSE,FALSE,"NS"
"ATP9B",0.000143286874070566,0.0376344074451357,0.0738962288943218,FALSE,FALSE,"NS"
"FAM107B",0.000176548456002256,0.193572009339147,0.0738962288943218,FALSE,FALSE,"NS"
"HIST1H4C",0.000194591781156871,0.548907256976922,0.0738962288943218,FALSE,TRUE,"NS"
"HLA-DMA",0.000193147450180361,-0.295046210759853,0.0738962288943218,FALSE,TRUE,"NS"
"KPNA1",0.000174876526584373,0.0629154465009393,0.0738962288943218,FALSE,FALSE,"NS"
"MEF2A",0.000165638560530354,0.184036618002526,0.0738962288943218,FALSE,FALSE,"NS"
"RFC3",0.000146148983641977,0.0346104979922925,0.0738962288943218,FALSE,FALSE,"NS"
"CHD8",0.000212167553946663,0.0789234426041679,0.0767339320107097,FALSE,FALSE,"NS"
"CEP350",0.000236870176954405,0.116246896731358,0.0782186519116827,FALSE,FALSE,"NS"
"SHOC2",0.00023148617677767,0.124952929025498,0.0782186519116827,FALSE,FALSE,"NS"
"AFG3L2",0.000318734734568863,0.0688067245109903,0.0983025728928442,FALSE,FALSE,"NS"
"BORCS5",0.00033710025815463,0.110070901900756,0.0983025728928442,FALSE,FALSE,"NS"
"CASC4",0.00035480893274687,0.0651589034803887,0.0983025728928442,FALSE,FALSE,"NS"
"GZMB",0.000362405798683297,-0.0428835365231657,0.0983025728928442,FALSE,FALSE,"NS"
"TFAM",0.000348127551524427,0.098055385482962,0.0983025728928442,FALSE,FALSE,"NS"
"NCL",0.000380709554274351,0.178362002149922,0.0997065194728859,FALSE,FALSE,"NS"
"MYL12B",0.000406889194836339,-0.135362603027356,0.1030107811594,FALSE,FALSE,"NS"
"RPL35",0.000438032713435602,0.19656273450142,0.107318014791722,FALSE,FALSE,"NS"
"MACF1",0.000467755737134808,0.110389420169551,0.11101890073559,FALSE,FALSE,"NS"
"ALOX5AP",0.000534913464732021,-0.203534300601317,0.112794006086538,FALSE,FALSE,"NS"
"CCNDBP1",0.00066636034993006,-0.126064545623743,0.112794006086538,FALSE,FALSE,"NS"
"CHD4",0.000668298916905096,0.106438991992618,0.112794006086538,FALSE,FALSE,"NS"
"HIST1H1E",0.000644018696944332,0.288440553626153,0.112794006086538,FALSE,TRUE,"NS"
"NEDD8",0.000551489488874748,-0.0907074749625515,0.112794006086538,FALSE,FALSE,"NS"
"PLCG2",0.000648098236547937,0.760407894650108,0.112794006086538,FALSE,TRUE,"NS"
"RMDN1",0.0005340409435455,0.0564682691484484,0.112794006086538,FALSE,FALSE,"NS"
"SERF2",0.000596088047183088,-0.25273813449134,0.112794006086538,FALSE,TRUE,"NS"
"SETX",0.000662731933132212,0.102968634645893,0.112794006086538,FALSE,FALSE,"NS"
"SMC5",0.00058870502344976,0.107286975721365,0.112794006086538,FALSE,FALSE,"NS"
"TAOK3",0.000541893437293875,0.115354816333925,0.112794006086538,FALSE,FALSE,"NS"
"TRBC1",0.000628987133849317,-0.0651730119882677,0.112794006086538,FALSE,FALSE,"NS"
"TSTA3",0.000492166294771042,-0.049511544380291,0.112794006086538,FALSE,FALSE,"NS"
"HLA-DRA",0.000707040499778914,-0.387189868357897,0.114254736081295,FALSE,TRUE,"NS"
"KMT2E-AS1",0.000694992837682033,0.0634259179025058,0.114254736081295,FALSE,FALSE,"NS"
"RBM3",0.000754134113836091,0.307043584488294,0.11932601238719,FALSE,TRUE,"NS"
"DYNLL1",0.000771034457744987,-0.147419587841687,0.119510340950473,FALSE,FALSE,"NS"
"ASCC1",0.000830114490251706,0.0366683342291841,0.121843569535747,FALSE,FALSE,"NS"
"CIB1",0.000866300560227827,-0.185171915721345,0.121843569535747,FALSE,FALSE,"NS"
"MTMR1",0.000825992397944558,0.0386939240506474,0.121843569535747,FALSE,FALSE,"NS"
"SOCS4",0.000861703816966779,0.0382497939148616,0.121843569535747,FALSE,FALSE,"NS"
"VPS13C",0.000850378317831291,0.152767254893071,0.121843569535747,FALSE,FALSE,"NS"
"DDX50",0.000889619123234637,0.0927517189937695,0.122848313472129,FALSE,FALSE,"NS"
"RPL38",0.000955081877697075,0.240692065197266,0.129532979662666,FALSE,FALSE,"NS"
"AL592183.1",0.00103307503810172,-0.124545834453718,0.137652717796185,FALSE,FALSE,"NS"
"CDV3",0.00109620891672106,0.155588919242459,0.143546667629249,FALSE,FALSE,"NS"
"PIK3R1",0.00112736994969434,0.0712780949169639,0.145124996066585,FALSE,FALSE,"NS"
"CASC3",0.00125547457651685,0.0479723293999327,0.153795635623314,FALSE,FALSE,"NS"
"HPRT1",0.00123921143567546,-0.041198543515532,0.153795635623314,FALSE,FALSE,"NS"
"SRRM1",0.00121534869631473,0.152342572480845,0.153795635623314,FALSE,FALSE,"NS"
"PLEKHG1",0.00128904542131751,0.0628898291510733,0.155401586903277,FALSE,FALSE,"NS"
"EIF2AK1",0.00146250165578448,0.0563066840484089,0.160981160517147,FALSE,FALSE,"NS"
"POLE3",0.00140937540278722,0.0744027767043091,0.160981160517147,FALSE,FALSE,"NS"
"PTPRA",0.00143789592118611,0.0996631612358687,0.160981160517147,FALSE,FALSE,"NS"
"RABEP1",0.00136091133422477,0.0786514655827176,0.160981160517147,FALSE,FALSE,"NS"
"TMPO",0.00142181919802767,0.115727769413796,0.160981160517147,FALSE,FALSE,"NS"
"WDR43",0.00144274955625733,0.084178396351504,0.160981160517147,FALSE,FALSE,"NS"
"IL2RG",0.00148790294033823,-0.149896177963737,0.161437469026698,FALSE,FALSE,"NS"
"ATG13",0.00151683287733151,0.0330654241761551,0.162258390187787,FALSE,FALSE,"NS"
"AC027097.1",0.00167623087141938,-0.0485637277700974,0.170646537684032,FALSE,FALSE,"NS"
"ARHGDIB",0.00173005706407774,-0.131871713173707,0.170646537684032,FALSE,FALSE,"NS"
"C6orf120",0.00171890265532391,0.0374572283038591,0.170646537684032,FALSE,FALSE,"NS"
"CD74",0.00162290976687189,-0.231838730635983,0.170646537684032,FALSE,FALSE,"NS"
"CDKN1B",0.00164968440782989,0.0819105114731732,0.170646537684032,FALSE,FALSE,"NS"
"CTNNB1",0.0016888948088094,-0.06919089277332,0.170646537684032,FALSE,FALSE,"NS"
"MT-ND4L",0.00178412697556082,0.52424225494362,0.173723645889544,FALSE,TRUE,"NS"
"RPL31",0.00180861969620634,0.202333372976443,0.173879323958065,FALSE,FALSE,"NS"
"PPWD1",0.0019260120607864,0.0702460579085118,0.182202036779382,FALSE,FALSE,"NS"
"ZNF532",0.00194316852918103,-0.0277596431041727,0.182202036779382,FALSE,FALSE,"NS"
"NCOA7",0.00197995045013598,0.0942252937615428,0.182285607610533,FALSE,FALSE,"NS"
"PGS1",0.00201606201965566,-0.0337193556140875,0.182285607610533,FALSE,FALSE,"NS"
"SELL",0.00199494449715177,-0.259848257849588,0.182285607610533,FALSE,TRUE,"NS"
"RPL37A",0.00209524636236091,0.289487026859071,0.187216424966248,FALSE,TRUE,"NS"
"LRRK2",0.00219633365538103,-0.0432631698515065,0.192864933124897,FALSE,FALSE,"NS"
"MTPAP",0.00220924939853404,0.029161435911816,0.192864933124897,FALSE,FALSE,"NS"
"AC004687.1",0.00229777230789789,-0.110760447843704,0.197046854782128,FALSE,FALSE,"NS"
"LRRC37B",0.00236656651488741,-0.0176294591190498,0.197046854782128,FALSE,FALSE,"NS"
"ORC3",0.00233541979838192,0.0512317010588013,0.197046854782128,FALSE,FALSE,"NS"
"RPS27",0.00238687434364132,0.332539715163242,0.197046854782128,FALSE,TRUE,"NS"
"THEM6",0.00233109918873265,-0.0134196218637379,0.197046854782128,FALSE,FALSE,"NS"
"CD52",0.00247606909089692,-0.0672411926587264,0.202181636097557,FALSE,FALSE,"NS"
"MANBA",0.00250231386348523,0.0455773106080936,0.202181636097557,FALSE,FALSE,"NS"
"ATP6V0E1",0.00258428086471131,-0.135921603938253,0.202465223821946,FALSE,FALSE,"NS"
"CEBPB",0.00265420425290866,-0.102321308921836,0.202465223821946,FALSE,FALSE,"NS"
