"","p_val","avg_log2FC","p_val_adj","sig","fc_thresh","test_status"
"CPSF2",2.59031113945625e-06,0.0737507392602322,0.015688054999474,TRUE,FALSE,"sig."
"KAT6B",3.87886141660872e-06,0.124748662604119,0.015688054999474,TRUE,FALSE,"sig."
"CBX5",6.73721902166535e-06,0.136420771064675,0.0175718058962343,TRUE,FALSE,"sig."
"USP34",8.68923520644546e-06,0.225097645276639,0.0175718058962343,TRUE,FALSE,"sig."
"METTL16",1.60874533253108e-05,0.087812944384368,0.0216885683247399,TRUE,FALSE,"sig."
"ZNF160",1.58377483148305e-05,0.081729349662723,0.0216885683247399,TRUE,FALSE,"sig."
"CDV3",5.06936838400496e-05,0.269338091740246,0.0528989952299641,FALSE,TRUE,"NS"
"QDPR",5.2316968950391e-05,-0.041040656021231,0.0528989952299641,FALSE,FALSE,"NS"
"PHF3",6.08041649465462e-05,0.177799609775176,0.0546494322502903,FALSE,FALSE,"NS"
"CAPN7",7.84279899593564e-05,0.130319255003209,0.0576730918892031,FALSE,FALSE,"NS"
"MTOR",7.36647885468803e-05,0.0432711719842036,0.0576730918892031,FALSE,FALSE,"NS"
"ACIN1",8.95890014016431e-05,0.108725452201539,0.0603904526948242,FALSE,FALSE,"NS"
"MYO9A",0.000105662336105772,0.0479328293621849,0.0657463566738145,FALSE,FALSE,"NS"
"WWC3",0.000114113801025023,-0.0336253205447647,0.0659333240351009,FALSE,FALSE,"NS"
"AC004556.1",0.000226953321685947,-0.0233575517017495,0.069808679463634,FALSE,FALSE,"NS"
"AC040162.1",0.000274237467698484,-0.0212366010755163,0.069808679463634,FALSE,FALSE,"NS"
"ATAD5",0.000218721282267162,0.0353367957153819,0.069808679463634,FALSE,FALSE,"NS"
"ATE1",0.000345491680119567,0.072042635018415,0.069808679463634,FALSE,FALSE,"NS"
"ATP9B",0.000303890823046675,0.0775892674585487,0.069808679463634,FALSE,FALSE,"NS"
"BACH1",0.000351070968694311,0.0499043257824404,0.069808679463634,FALSE,FALSE,"NS"
"CAMKMT",0.0004991048908039,0.0390956261812471,0.069808679463634,FALSE,FALSE,"NS"
"CBLB",0.000404072065629999,0.0912538793834085,0.069808679463634,FALSE,FALSE,"NS"
"CCDC6",0.000356796543892686,0.060024758051443,0.069808679463634,FALSE,FALSE,"NS"
"CTDSPL2",0.000192596186450425,0.119797105278242,0.069808679463634,FALSE,FALSE,"NS"
"EPB41",0.000403401677547625,0.272440212779386,0.069808679463634,FALSE,TRUE,"NS"
"FOXJ3",0.000379336682778855,0.0988812994576972,0.069808679463634,FALSE,FALSE,"NS"
"HIST1H1D",0.000298273792865045,0.393352974441385,0.069808679463634,FALSE,TRUE,"NS"
"HIST1H4C",0.0004290705119969,0.575685148196196,0.069808679463634,FALSE,TRUE,"NS"
"HLA-DRB5",0.000494067068848466,-0.038796762966253,0.069808679463634,FALSE,FALSE,"NS"
"HMGB1",0.000303469841532342,0.285230339308016,0.069808679463634,FALSE,TRUE,"NS"
"ITPR2",0.000312886578296332,0.0640357390024776,0.069808679463634,FALSE,FALSE,"NS"
"KIAA1109",0.000362853866709435,0.137818147456939,0.069808679463634,FALSE,FALSE,"NS"
"KMT2C",0.000259586489059834,0.125640065029847,0.069808679463634,FALSE,FALSE,"NS"
"KPNA5",0.000397094412764331,0.0800339938957864,0.069808679463634,FALSE,FALSE,"NS"
"LPAR2",0.00050054436999515,-0.0277744129009149,0.069808679463634,FALSE,FALSE,"NS"
