"","p_val","avg_log2FC","p_val_adj","sig","fc_thresh","test_status"
"HBEGF",2.46833094313182e-05,0.0125691522794128,0.0689322554718614,FALSE,FALSE,"NS"
"IL1R2",1.34788197486654e-05,1.85008069314073,0.0689322554718614,FALSE,TRUE,"NS"
"SIN3B",1.83677204298319e-05,-0.0443670453396118,0.0689322554718614,FALSE,FALSE,"NS"
"AL592183.1",0.000111066318348127,-0.0553050550963155,0.0775428012600504,FALSE,FALSE,"NS"
"C6orf120",6.3433512427567e-05,0.0182768403649793,0.0775428012600504,FALSE,FALSE,"NS"
"CD163",9.34547102751863e-05,1.20030243593835,0.0775428012600504,FALSE,TRUE,"NS"
"HIST1H1D",6.65273629286313e-05,0.341243223513766,0.0775428012600504,FALSE,TRUE,"NS"
"IFI27L2",0.000104150180802724,0.456067565049932,0.0775428012600504,FALSE,TRUE,"NS"
"MMADHC",0.000107296206192496,-0.160618059891426,0.0775428012600504,FALSE,FALSE,"NS"
"PGGHG",0.000110031168667513,-0.120158751308148,0.0775428012600504,FALSE,FALSE,"NS"
"RARA-AS1",8.59583702116164e-05,-0.0488206886905365,0.0775428012600504,FALSE,FALSE,"NS"
"VCP",8.78363589217451e-05,0.27304469200934,0.0775428012600504,FALSE,TRUE,"NS"
"HSPA6",0.00014989796771222,-0.217777863645733,0.0787347378510793,FALSE,FALSE,"NS"
"NEK3",0.000145030530662758,0.0690940537345523,0.0787347378510793,FALSE,FALSE,"NS"
"PPARGC1B",0.000150364741658781,0.0551206745203754,0.0787347378510793,FALSE,FALSE,"NS"
"SLIRP",0.000122640872272881,0.42220923498438,0.0787347378510793,FALSE,TRUE,"NS"
"ACTR2",0.000472646975525961,0.396500204203522,0.0852581647247858,FALSE,TRUE,"NS"
"ALOX12-AS1",0.000400189990353206,-0.00896069174961164,0.0852581647247858,FALSE,FALSE,"NS"
"ATP5F1B",0.00048654979352765,0.398993191706174,0.0852581647247858,FALSE,TRUE,"NS"
"BMP2K",0.000341995473321362,-0.111887759458267,0.0852581647247858,FALSE,FALSE,"NS"
"BTBD7",0.000448210252229086,0.0663426292314348,0.0852581647247858,FALSE,FALSE,"NS"
"C18orf21",0.000320188949774599,-0.0777266535703833,0.0852581647247858,FALSE,FALSE,"NS"
"CR1",0.000364424063143181,-0.300111454150685,0.0852581647247858,FALSE,TRUE,"NS"
"DBR1",0.000290041715646091,-0.00440505975172777,0.0852581647247858,FALSE,FALSE,"NS"
"DKC1",0.00035579313841695,0.0574851744597644,0.0852581647247858,FALSE,FALSE,"NS"
"DYNC1H1",0.000185651057038301,0.322364585236085,0.0852581647247858,FALSE,TRUE,"NS"
"EIF3J",0.000289685387576755,0.282211970550271,0.0852581647247858,FALSE,TRUE,"NS"
"ENO1",0.00026828884089363,0.592663146671069,0.0852581647247858,FALSE,TRUE,"NS"
"EXOG",0.000433192118431595,0.0243119215023863,0.0852581647247858,FALSE,FALSE,"NS"
"FAF1",0.00038319673307062,0.0347843640779664,0.0852581647247858,FALSE,FALSE,"NS"
"GNL3",0.000271368746302373,0.145535715652247,0.0852581647247858,FALSE,FALSE,"NS"
"GTPBP4",0.000488468835854586,0.112079610902953,0.0852581647247858,FALSE,FALSE,"NS"
"HIST2H2AC",0.000440374266679634,0.326818657112216,0.0852581647247858,FALSE,TRUE,"NS"
"HLA-DRB5",0.00017326419160507,-0.99334292869801,0.0852581647247858,FALSE,TRUE,"NS"
"KLRD1",0.000446407459903279,-0.0388916774641428,0.0852581647247858,FALSE,FALSE,"NS"
"LHFPL2",0.000423345391841741,0.0605229303198805,0.0852581647247858,FALSE,FALSE,"NS"
"MARCH6",0.000314798313749177,-0.090662979524116,0.0852581647247858,FALSE,FALSE,"NS"
"MED7",0.000480196664520025,-0.0453026368698998,0.0852581647247858,FALSE,FALSE,"NS"
"NDUFS5",0.000265497901531103,0.421021146661406,0.0852581647247858,FALSE,TRUE,"NS"
"PLXDC2",0.000413100364331417,0.218908074229364,0.0852581647247858,FALSE,FALSE,"NS"
"PRRC2C",0.000260450224788887,0.414533347491572,0.0852581647247858,FALSE,TRUE,"NS"
"RNASE1",0.000404768934544031,0.0883406112433708,0.0852581647247858,FALSE,FALSE,"NS"
"RPL31",0.000335028890862514,0.534924548889672,0.0852581647247858,FALSE,TRUE,"NS"
"SH3TC1",0.000417088692117749,0.0196642093281426,0.0852581647247858,FALSE,FALSE,"NS"
"SOX4",0.000306279531699739,0.183334099143202,0.0852581647247858,FALSE,FALSE,"NS"
"ST20",0.000237953957373298,-0.142751922563897,0.0852581647247858,FALSE,FALSE,"NS"
"TTC32",0.000377534104870037,-0.0764260372785145,0.0852581647247858,FALSE,FALSE,"NS"
"ZNF397",0.000480674793502225,-0.0469150217713735,0.0852581647247858,FALSE,FALSE,"NS"
"KANSL1L",0.000506920942490481,-0.0227804275937628,0.0866731358405153,FALSE,FALSE,"NS"
"LRP10",0.000545614573953146,-0.107582083870752,0.0914231780115891,FALSE,FALSE,"NS"
"AFG3L2",0.000564809864500544,0.125173068981214,0.0927838636232462,FALSE,FALSE,"NS"
"AC009061.2",0.00118496121475394,-0.0288162431714877,0.0941265673553322,FALSE,FALSE,"NS"
"AC118549.1",0.00128202782447804,0.0539138654624806,0.0941265673553322,FALSE,FALSE,"NS"
"AL627171.1",0.0014957386621254,-0.0294348266347632,0.0941265673553322,FALSE,FALSE,"NS"
"ANKIB1",0.00126165535530808,0.0973022095405888,0.0941265673553322,FALSE,FALSE,"NS"
"AP2A2",0.000749927587201413,0.0941959494505193,0.0941265673553322,FALSE,FALSE,"NS"
"AREG",0.0014663050696447,0.255149356147294,0.0941265673553322,FALSE,TRUE,"NS"
"ARL6IP6",0.00156166064244344,-0.100236169011164,0.0941265673553322,FALSE,FALSE,"NS"
"ASPSCR1",0.00139567000559662,-0.0415616265257084,0.0941265673553322,FALSE,FALSE,"NS"
"BBIP1",0.00148781054329764,-0.0447219642830233,0.0941265673553322,FALSE,FALSE,"NS"
"C19orf12",0.00128092906546609,-0.0164673164551328,0.0941265673553322,FALSE,FALSE,"NS"
"CASP6",0.000842787488081158,-0.0138768692227557,0.0941265673553322,FALSE,FALSE,"NS"
"CAST",0.000948349876912444,0.369824247060165,0.0941265673553322,FALSE,TRUE,"NS"
"CEP19",0.00129310718112606,-0.0467019666836791,0.0941265673553322,FALSE,FALSE,"NS"
"CTSW",0.00116082365549175,-0.136650615922278,0.0941265673553322,FALSE,FALSE,"NS"
"CUEDC2",0.00119899764798267,-0.129041463069546,0.0941265673553322,FALSE,FALSE,"NS"
"DCP2",0.00140252542924814,-0.0270688333675431,0.0941265673553322,FALSE,FALSE,"NS"
"DLEU2",0.00118206367371793,0.168535311711518,0.0941265673553322,FALSE,FALSE,"NS"
"EPC2",0.00146592036391549,0.0352341164239651,0.0941265673553322,FALSE,FALSE,"NS"
"FAM208B",0.000640381264818334,0.0953811420115147,0.0941265673553322,FALSE,FALSE,"NS"
"FASTKD3",0.0014445749962697,-0.0353802593355255,0.0941265673553322,FALSE,FALSE,"NS"
"FCGR2B",0.00153660708620131,-0.0442719846985339,0.0941265673553322,FALSE,FALSE,"NS"
"GALNT11",0.00151345410567112,-0.0024630870448285,0.0941265673553322,FALSE,FALSE,"NS"
"GALNT3",0.00122438575844799,-0.0349378768021168,0.0941265673553322,FALSE,FALSE,"NS"
"GCLC",0.000970313954570091,0.0361024172930338,0.0941265673553322,FALSE,FALSE,"NS"
"GCNT1",0.000871756493800419,0.0964731103112172,0.0941265673553322,FALSE,FALSE,"NS"
"GLMP",0.00148343288112301,-0.0671549031498968,0.0941265673553322,FALSE,FALSE,"NS"
"GYPC",0.00113386509597565,-0.205891108449364,0.0941265673553322,FALSE,FALSE,"NS"
"H1F0",0.00155057590131172,0.0988240826906327,0.0941265673553322,FALSE,FALSE,"NS"
"HBP1",0.000726090234458121,-0.0835383253895546,0.0941265673553322,FALSE,FALSE,"NS"
"HIST1H1E",0.000772239519179153,0.263738509749469,0.0941265673553322,FALSE,TRUE,"NS"
"HNRNPAB",0.00101573778121324,0.287624298563781,0.0941265673553322,FALSE,TRUE,"NS"
"IGFBP7",0.00102649436612675,0.174558902968644,0.0941265673553322,FALSE,FALSE,"NS"
"IL18",0.00076035142381092,0.0742550466594847,0.0941265673553322,FALSE,FALSE,"NS"
"JPT1",0.00120394556338689,-0.325258820629442,0.0941265673553322,FALSE,TRUE,"NS"
"KIF13B",0.00148101448509947,0.117960671724191,0.0941265673553322,FALSE,FALSE,"NS"
"KRI1",0.000957313735790847,0.0574963580637296,0.0941265673553322,FALSE,FALSE,"NS"
"LCK",0.00125997715300781,-0.130241768333235,0.0941265673553322,FALSE,FALSE,"NS"
"LINC01089",0.00136130039966067,-0.0607346135505454,0.0941265673553322,FALSE,FALSE,"NS"
"LINC01588",0.000761821672410172,-0.033861124214537,0.0941265673553322,FALSE,FALSE,"NS"
"LRPPRC",0.000698151154944168,0.108725377730657,0.0941265673553322,FALSE,FALSE,"NS"
"LTB",0.00151603787364159,-0.394042745037434,0.0941265673553322,FALSE,TRUE,"NS"
"MAP4K3",0.000681732196784697,0.0457605021696,0.0941265673553322,FALSE,FALSE,"NS"
"MED19",0.00135453801255782,-0.0268299637553724,0.0941265673553322,FALSE,FALSE,"NS"
"METAP2",0.00144743678701909,0.218523304304826,0.0941265673553322,FALSE,FALSE,"NS"
"MID1IP1",0.00129384021258646,-0.100678144940575,0.0941265673553322,FALSE,FALSE,"NS"
"MME",0.000626105962966892,-0.0389865834514371,0.0941265673553322,FALSE,FALSE,"NS"
"MNAT1",0.0013303249642104,0.0503316679455782,0.0941265673553322,FALSE,FALSE,"NS"
"MT-ATP8",0.00141107369140469,0.512603419301451,0.0941265673553322,FALSE,TRUE,"NS"
"MT-ND4L",0.00118142870066585,0.781915267562393,0.0941265673553322,FALSE,TRUE,"NS"
"MTMR11",0.00151715099399671,-0.0809345222358715,0.0941265673553322,FALSE,FALSE,"NS"
"MXD3",0.000683016903449174,-0.0552325055410707,0.0941265673553322,FALSE,FALSE,"NS"
"NDUFA8",0.00135652934544982,-0.0876077717437881,0.0941265673553322,FALSE,FALSE,"NS"
"PAXX",0.000690812412857511,-0.15640345389186,0.0941265673553322,FALSE,FALSE,"NS"
"PDK3",0.0012275606835465,-0.0345574827368876,0.0941265673553322,FALSE,FALSE,"NS"
"PDS5A",0.000832343001279783,0.139735784041367,0.0941265673553322,FALSE,FALSE,"NS"
"PER1",0.00102609286169218,0.0589576857491833,0.0941265673553322,FALSE,FALSE,"NS"
"PHKG2",0.00132608799169048,-0.0594215554324116,0.0941265673553322,FALSE,FALSE,"NS"
"PROK2",0.00138451236794061,-0.239675944608938,0.0941265673553322,FALSE,FALSE,"NS"
"PRRC2A",0.00135215783467999,0.11893549977843,0.0941265673553322,FALSE,FALSE,"NS"
"RAD9A",0.00118868097592141,-0.0472975305045108,0.0941265673553322,FALSE,FALSE,"NS"
"RBM3",0.00121309706342629,0.538828791030715,0.0941265673553322,FALSE,TRUE,"NS"
"REV1",0.0014844565540832,0.0586897356791898,0.0941265673553322,FALSE,FALSE,"NS"
"RHOF",0.000925801760073861,-0.0489980640707009,0.0941265673553322,FALSE,FALSE,"NS"
"RPL38",0.00138515892656483,0.597755001876731,0.0941265673553322,FALSE,TRUE,"NS"
"RPN2",0.00132731836037787,0.319513693423498,0.0941265673553322,FALSE,TRUE,"NS"
"RPS4Y1",0.00126301516723398,-0.0449551182427723,0.0941265673553322,FALSE,FALSE,"NS"
