"","p_val","avg_log2FC","p_val_adj","sig","fc_thresh","test_status"
"CASP8AP2",2.43335224796712e-07,0.101653674092477,0.000569963490739192,TRUE,FALSE,"sig."
"TMEM102",1.18665698875427e-07,-0.0120011681873715,0.000569963490739192,TRUE,FALSE,"sig."
"TRIP12",2.73659100102841e-07,0.217752558307286,0.000569963490739192,TRUE,FALSE,"sig."
"UBE4A",2.42804248276732e-07,0.105273952534202,0.000569963490739192,TRUE,FALSE,"sig."
"EIF2AK1",4.12136644489313e-07,0.171070928248317,0.000665742192758375,TRUE,FALSE,"sig."
"PTPN11",4.79468630002431e-07,0.110296825091385,0.000665742192758375,TRUE,FALSE,"sig."
"BCLAF1",9.17213755330836e-07,0.161726473334839,0.000762874105635023,TRUE,FALSE,"sig."
"MED1",7.33079892547337e-07,0.110380968014685,0.000762874105635023,TRUE,FALSE,"sig."
"MOB4",6.79863578785311e-07,-0.0483258815186683,0.000762874105635023,TRUE,FALSE,"sig."
"RSBN1",1.03277762684762e-06,0.100796168058546,0.000762874105635023,TRUE,FALSE,"sig."
"SLC25A36",9.72443268458756e-07,0.107170455631273,0.000762874105635023,TRUE,FALSE,"sig."
"USP34",1.09884638910338e-06,0.214335538338208,0.000762874105635023,TRUE,FALSE,"sig."
"CNPY3",1.44889313818602e-06,-0.137654751825861,0.000825746641370353,TRUE,FALSE,"sig."
"KIF13B",1.48676024733589e-06,0.11681322752796,0.000825746641370353,TRUE,FALSE,"sig."
"MBNL1",1.35294150957704e-06,0.393253906516102,0.000825746641370353,TRUE,TRUE,"sig."
"NRDC",1.91347128671327e-06,0.16276186083318,0.000996320580600515,TRUE,FALSE,"sig."
"EMB",2.25911867435724e-06,0.433264684638225,0.00104758458074702,TRUE,TRUE,"sig."
"MYSM1",2.26341645101984e-06,0.117719665829114,0.00104758458074702,TRUE,FALSE,"sig."
"ANKRD17",2.89811963512264e-06,0.0813310969340784,0.00106758611187623,TRUE,FALSE,"sig."
"DENND1C",2.81531959126524e-06,0.00967453010721619,0.00106758611187623,TRUE,FALSE,"sig."
"PPM1L",2.58768596950928e-06,0.0983423002506456,0.00106758611187623,TRUE,FALSE,"sig."
"VOPP1",2.94736293039891e-06,-0.0357054524409517,0.00106758611187623,TRUE,FALSE,"sig."
"WDR43",2.86502444674132e-06,0.13393206337553,0.00106758611187623,TRUE,FALSE,"sig."
"EMC6",3.08968560471887e-06,-0.0585075074340782,0.00107250711553804,TRUE,FALSE,"sig."
"MKLN1",3.33444695687013e-06,0.113922731439258,0.0011111711039074,TRUE,FALSE,"sig."
"HIST1H1E",3.86963330699968e-06,0.450313636379632,0.00115135411002194,TRUE,TRUE,"sig."
"KHDRBS1",3.59747068001995e-06,0.23799541879314,0.00115135411002194,TRUE,FALSE,"sig."
"SZRD1",3.79982724922859e-06,-0.00514208450571524,0.00115135411002194,TRUE,FALSE,"sig."
"AHNAK",5.5296333958492e-06,0.28870631323883,0.00139355281836367,TRUE,TRUE,"sig."
"ARFGEF1",6.49636116268937e-06,0.0815432782834785,0.00139355281836367,TRUE,FALSE,"sig."
"ATP5PD",5.54226499253947e-06,0.142252141731709,0.00139355281836367,TRUE,FALSE,"sig."
"DCAF11",6.22674076130223e-06,-0.0579675637481121,0.00139355281836367,TRUE,FALSE,"sig."
"FAM45A",5.86667489153298e-06,0.00825954449933824,0.00139355281836367,TRUE,FALSE,"sig."
