"","p_val","avg_log2FC","p_val_adj","sig","fc_thresh","test_status"
"IL1R2",1.66802425432302e-05,1.30845832918734,0.0414837632050134,TRUE,TRUE,"sig."
"CSF2RA",8.65385444551408e-05,0.0609004152551345,0.0791224166667342,FALSE,FALSE,"NS"
"IL13RA1",0.000116668633190057,0.070353525569631,0.0791224166667342,FALSE,FALSE,"NS"
"PROK2",0.000159072007773893,-0.43828988373955,0.0791224166667342,FALSE,TRUE,"NS"
"SON",0.000148227626347398,0.105974981111924,0.0791224166667342,FALSE,FALSE,"NS"
"IRAK3",0.000241661801501797,0.208500845360361,0.100168816722495,FALSE,FALSE,"NS"
"SELENOK",0.000314049253470317,0.0505799252759916,0.111577213340097,FALSE,FALSE,"NS"
"AAK1",0.000411759827351237,0.05371392800047,0.119201234617765,FALSE,FALSE,"NS"
"CD52",0.000431367555914712,-0.0470471192233287,0.119201234617765,FALSE,FALSE,"NS"
"FCGR3B",0.000947330032242701,-0.548582065934236,0.124000515273031,FALSE,TRUE,"NS"
"OTULIN",0.000856698611593696,0.0456197800756282,0.124000515273031,FALSE,FALSE,"NS"
"PTPRE",0.000888667571823974,0.210055955041818,0.124000515273031,FALSE,FALSE,"NS"
"RILPL2",0.000712002576787375,0.071858476856358,0.124000515273031,FALSE,FALSE,"NS"
"RIPOR2",0.000502001434480772,0.38768859794197,0.124000515273031,FALSE,TRUE,"NS"
"RNF144B",0.000911896475846165,0.0821137439179944,0.124000515273031,FALSE,FALSE,"NS"
"SHOC2",0.000848223620074556,0.0870121195261723,0.124000515273031,FALSE,FALSE,"NS"
"TOR1AIP2",0.000810210304223163,0.0285517706706818,0.124000515273031,FALSE,FALSE,"NS"
"USF3",0.000856550335203838,0.0247447123262578,0.124000515273031,FALSE,FALSE,"NS"
"WARS",0.00088018924591688,0.0745361276639504,0.124000515273031,FALSE,FALSE,"NS"
"ANKRD12",0.00105802708933831,0.0846069999269087,0.125300636723066,FALSE,FALSE,"NS"
"MED13",0.00105154073967324,0.0336945297438689,0.125300636723066,FALSE,FALSE,"NS"
"MARCKS",0.00122463863906952,-0.385616457210367,0.129986896090642,FALSE,TRUE,"NS"
"SELL",0.00115234919127868,-0.458325339205769,0.129986896090642,FALSE,TRUE,"NS"
"TMEM33",0.00130666361168719,0.0348610903806091,0.129986896090642,FALSE,FALSE,"NS"
"ZC3H13",0.00128004731197207,0.0237214078478086,0.129986896090642,FALSE,FALSE,"NS"
"NCBP3",0.00139780228005134,0.0293954170564061,0.133705164249526,FALSE,FALSE,"NS"
"HERC1",0.00149390640568478,0.0190014633432639,0.137605378923632,FALSE,FALSE,"NS"
"SLC11A1",0.00169405762566987,0.210367918272942,0.140437377168032,FALSE,FALSE,"NS"
"SMAP2",0.00166041851944574,0.52009782786812,0.140437377168032,FALSE,TRUE,"NS"
"TMSB4X",0.00161731719911196,-0.58847681299857,0.140437377168032,FALSE,TRUE,"NS"
"CCNK",0.00194362206775397,0.0207457594025809,0.15048629563263,FALSE,FALSE,"NS"
"SMNDC1",0.00198804770212626,0.028043180700762,0.15048629563263,FALSE,FALSE,"NS"
"SSH2",0.00199680247522187,0.129168130271017,0.15048629563263,FALSE,FALSE,"NS"
