"","p_val","avg_log2FC","p_val_adj","sig","fc_thresh","test_status"
"TBC1D25",4.96627437205771e-07,-0.0449440203306653,0.00507652566311739,TRUE,FALSE,"sig."
"AFG3L2",2.16535660407314e-06,0.419114777160499,0.00737809173561187,TRUE,TRUE,"sig."
"TWSG1",1.49950207322339e-06,-0.0520283011527549,0.00737809173561187,TRUE,FALSE,"sig."
"PRPF8",1.08183638964324e-05,0.371834961679931,0.027646328937333,TRUE,TRUE,"sig."
"ANXA1",6.33631556764497e-05,-0.127667897140532,0.029468572009557,TRUE,FALSE,"sig."
"ARID5A",2.91472578396626e-05,-0.0536361981745154,0.029468572009557,TRUE,FALSE,"sig."
"BCLAF1",5.02532395672394e-05,0.630876798221029,0.029468572009557,TRUE,TRUE,"sig."
"CCDC50",3.09938175856959e-05,0.455822503609513,0.029468572009557,TRUE,TRUE,"sig."
"CCDC6",4.12277436621852e-05,0.165427654087272,0.029468572009557,TRUE,FALSE,"sig."
"CD247",1.68688387309318e-05,-0.0984904156725612,0.029468572009557,TRUE,FALSE,"sig."
"FUS",6.3064483084565e-05,0.72788899516744,0.029468572009557,TRUE,TRUE,"sig."
"G3BP2",3.98880271451418e-05,0.518354075674015,0.029468572009557,TRUE,TRUE,"sig."
"GSPT1",5.2993796290549e-05,0.559934335105948,0.029468572009557,TRUE,TRUE,"sig."
"HIST1H4E",3.73706343829398e-05,0.0958971751056993,0.029468572009557,TRUE,FALSE,"sig."
"LTB",5.53342373665194e-05,-0.447454370360041,0.029468572009557,TRUE,TRUE,"sig."
"MTHFD1L",6.63057284503826e-05,0.136860625766779,0.029468572009557,TRUE,FALSE,"sig."
"PSMD1",2.99854073607786e-05,0.64220647047312,0.029468572009557,TRUE,TRUE,"sig."
"RBFA",5.56007145164494e-05,0.255299852770849,0.029468572009557,TRUE,TRUE,"sig."
"RGL4",2.39299584024928e-05,-0.0345390394804838,0.029468572009557,TRUE,FALSE,"sig."
"RRP15",5.08081501951792e-05,0.295419888595017,0.029468572009557,TRUE,TRUE,"sig."
"SLC16A1",4.62569536498557e-05,0.194239179417055,0.029468572009557,TRUE,FALSE,"sig."
"SLC38A1",6.36799484750637e-05,0.603711264495173,0.029468572009557,TRUE,TRUE,"sig."
"USP16",2.89000976199997e-05,0.562429494750052,0.029468572009557,TRUE,TRUE,"sig."
"ASPM",0.000126166689604737,0.496169653079243,0.0296295053255888,TRUE,TRUE,"sig."
"CCDC69",9.71527324020256e-05,0.475274517050044,0.0296295053255888,TRUE,TRUE,"sig."
"CRCP",7.56395039892542e-05,0.160741456071672,0.0296295053255888,TRUE,FALSE,"sig."
"DOK2",7.18773224767651e-05,0.00387101459798361,0.0296295053255888,TRUE,FALSE,"sig."
