"","p_val","avg_log2FC","p_val_adj","sig","fc_thresh","test_status"
"TMEM50A",5.78305133119908e-05,0.268964037369977,0.135554723203306,FALSE,TRUE,"NS"
"FKBP1A",0.000513743475617873,-0.248817616601074,0.150526838356037,FALSE,FALSE,"NS"
"HBG2",0.000154857702667138,-0.789689853075719,0.150526838356037,FALSE,TRUE,"NS"
"HERC6",0.000335590643746076,0.0601462658529658,0.150526838356037,FALSE,FALSE,"NS"
"PDLIM1",0.000418583237167814,-0.384565978987653,0.150526838356037,FALSE,TRUE,"NS"
"PLIN3",0.000465279958887853,-0.0754558371375983,0.150526838356037,FALSE,FALSE,"NS"
"RNF167",0.000242319260033151,-0.0624907883825431,0.150526838356037,FALSE,FALSE,"NS"
"VAMP5",0.000291697834520532,-0.0161639204542624,0.150526838356037,FALSE,FALSE,"NS"
"VPS13A",0.00129416333814744,0.0432655405593113,0.337057651624179,FALSE,FALSE,"NS"
"ATOX1",0.00253888499585013,-0.0668113046917764,0.371946651892044,FALSE,FALSE,"NS"
"C11orf68",0.00249441359924083,-0.0319289944644021,0.371946651892044,FALSE,FALSE,"NS"
"HIST1H4C",0.00243913464248714,0.0839147212856164,0.371946651892044,FALSE,FALSE,"NS"
"NEXN",0.00225066652910845,0.22221516933433,0.371946651892044,FALSE,FALSE,"NS"
"PSMA5",0.00227864059012805,0.0274696122417347,0.371946651892044,FALSE,FALSE,"NS"
"SEC61G",0.00176210864967323,-0.0946183573751291,0.371946651892044,FALSE,FALSE,"NS"
"YWHAH",0.00209447556624156,0.433377183092227,0.371946651892044,FALSE,TRUE,"NS"
"CHD4",0.0032307176720444,0.05134883979104,0.445458954310122,FALSE,FALSE,"NS"
"AGTRAP",0.012341940002121,-0.0175092191651156,0.468780293196712,FALSE,FALSE,"NS"
"ARPC4",0.0128286001103571,-0.153259696430669,0.468780293196712,FALSE,FALSE,"NS"
"ARPC5",0.00481649348771854,0.186527323189819,0.468780293196712,FALSE,FALSE,"NS"
"ASAH1",0.00754170638502476,0.18562445432852,0.468780293196712,FALSE,FALSE,"NS"
"ATF4",0.00649294527328816,0.14804028619674,0.468780293196712,FALSE,FALSE,"NS"
"C5orf30",0.00397941155545575,0.0575641041807924,0.468780293196712,FALSE,FALSE,"NS"
"CAMTA1",0.00661574645823964,-0.169776163121633,0.468780293196712,FALSE,FALSE,"NS"
"CCNDBP1",0.0119029374079188,-0.0903225547156248,0.468780293196712,FALSE,FALSE,"NS"
"CLTC",0.0119079232031539,0.0491600739618968,0.468780293196712,FALSE,FALSE,"NS"
"CNBP",0.00439218403429236,0.06758729606859,0.468780293196712,FALSE,FALSE,"NS"
"DCP2",0.0101722087479669,0.050661127914046,0.468780293196712,FALSE,FALSE,"NS"
"DCTN2",0.00977114390384018,-0.0736642848860433,0.468780293196712,FALSE,FALSE,"NS"
"DGKZ",0.0137304434705934,0.0278181473318634,0.468780293196712,FALSE,FALSE,"NS"
"EIF5A",0.00449398240384657,-0.0724415043330032,0.468780293196712,FALSE,FALSE,"NS"
"ELOC",0.0124326396996186,-0.0681990315390188,0.468780293196712,FALSE,FALSE,"NS"
"FRMD3",0.0103678405656339,-0.154032377166846,0.468780293196712,FALSE,FALSE,"NS"
"FYB1",0.00931486482900867,0.219352135389069,0.468780293196712,FALSE,FALSE,"NS"
"GAS2L1",0.00694147388154123,0.301926629976167,0.468780293196712,FALSE,TRUE,"NS"
"GMPR",0.0114570430906338,-0.214475617699628,0.468780293196712,FALSE,FALSE,"NS"
"GNG11",0.00606427118676829,-0.411099488800253,0.468780293196712,FALSE,TRUE,"NS"
"HDAC1",0.0102781004887197,0.0442165529304906,0.468780293196712,FALSE,FALSE,"NS"
"INF2",0.00681463753950244,0.110379073948334,0.468780293196712,FALSE,FALSE,"NS"
"LMO2",0.0121940539583053,-0.0595990670180474,0.468780293196712,FALSE,FALSE,"NS"
"MAPRE1",0.00829547340830314,0.15441195264377,0.468780293196712,FALSE,FALSE,"NS"
"MINOS1",0.00976030706314208,-0.0366544916653821,0.468780293196712,FALSE,FALSE,"NS"
"MORF4L1",0.0109060470562576,-0.129179832492042,0.468780293196712,FALSE,FALSE,"NS"
"MTRNR2L8",0.0109287609062486,-0.388101982574512,0.468780293196712,FALSE,TRUE,"NS"
"MYZAP",0.0137370264790161,-0.17819328766549,0.468780293196712,FALSE,FALSE,"NS"
"NCK2",0.0132761658841285,-0.198976317934215,0.468780293196712,FALSE,FALSE,"NS"
"NMNAT3",0.0129234754753796,0.0598566031878023,0.468780293196712,FALSE,FALSE,"NS"
"NRBP1",0.0105556202438337,-0.0390662843207489,0.468780293196712,FALSE,FALSE,"NS"
"ORMDL1",0.00958933521049976,-0.0284241211143007,0.468780293196712,FALSE,FALSE,"NS"
"PHF20",0.0137421970822969,-0.0219401209597958,0.468780293196712,FALSE,FALSE,"NS"
"PIP4P2",0.00981700399135586,-0.121932171919824,0.468780293196712,FALSE,FALSE,"NS"
"PKHD1L1",0.00775680653832408,0.0794111092432309,0.468780293196712,FALSE,FALSE,"NS"
"PTCRA",0.00545723058900533,0.233286705741936,0.468780293196712,FALSE,FALSE,"NS"
