"","p_val","avg_log2FC","p_val_adj","sig","fc_thresh","test_status"
"AC004556.1",8.64457828853288e-08,-0.0359912672768528,0.000372930952882646,TRUE,FALSE,"sig."
"LCP1",8.98087785388673e-08,0.528355621718666,0.000372930952882646,TRUE,TRUE,"sig."
"GCNT4",1.76473114044605e-06,-0.123796507085132,0.00340834037996201,TRUE,FALSE,"sig."
"HIST1H1D",2.05198096325226e-06,0.663834947210586,0.00340834037996201,TRUE,TRUE,"sig."
"LAPTM4A",1.77331301937599e-06,-0.167606036065736,0.00340834037996201,TRUE,FALSE,"sig."
"EIF3A",3.2695453269785e-06,0.468409351252836,0.00387908199150806,TRUE,TRUE,"sig."
"RNF19A",2.90607643033416e-06,0.199340955464968,0.00387908199150806,TRUE,FALSE,"sig."
"CBLB",5.5887837350003e-06,0.120559027823351,0.00505814307006697,TRUE,FALSE,"sig."
"MCRS1",5.98283613766521e-06,-0.0245347312411024,0.00505814307006697,TRUE,FALSE,"sig."
"MCUR1",6.09047931374711e-06,0.128335550815661,0.00505814307006697,TRUE,FALSE,"sig."
"ACIN1",1.21842226430045e-05,0.231867253360537,0.00517324473248619,TRUE,FALSE,"sig."
"ATAD3A",1.18438768312173e-05,-0.0119997682675797,0.00517324473248619,TRUE,FALSE,"sig."
"ATP5F1A",9.99800429327947e-06,0.239588744700329,0.00517324473248619,TRUE,FALSE,"sig."
"EIF4A2",1.29546308868092e-05,-0.407249105889445,0.00517324473248619,TRUE,TRUE,"sig."
"FBL",1.30810523036978e-05,-0.0218741342943435,0.00517324473248619,TRUE,FALSE,"sig."
"HNRNPU",1.2812104191189e-05,0.390329254725729,0.00517324473248619,TRUE,TRUE,"sig."
"LBR",1.08430484145616e-05,0.26953556022319,0.00517324473248619,TRUE,TRUE,"sig."
"LST1",1.21166228013577e-05,-0.130006568675378,0.00517324473248619,TRUE,FALSE,"sig."
"MIS18BP1",8.02564491424815e-06,0.240135467699181,0.00517324473248619,TRUE,FALSE,"sig."
"MT-ND6",1.25647776928399e-05,0.417970387850132,0.00517324473248619,TRUE,TRUE,"sig."
"PPAN",9.90059563756665e-06,-0.055105099731856,0.00517324473248619,TRUE,FALSE,"sig."
"ARGLU1",1.48197084588559e-05,0.346369643052723,0.00531959388634929,TRUE,TRUE,"sig."
"CD101",1.6653755694772e-05,-0.0181563333526168,0.00531959388634929,TRUE,FALSE,"sig."
"HIST1H1C",1.56708896110931e-05,0.450199840192777,0.00531959388634929,TRUE,TRUE,"sig."
"HIST2H2AC",1.49167712620006e-05,0.350757814176713,0.00531959388634929,TRUE,TRUE,"sig."
"RELL2",1.64028913609402e-05,-0.0506621623883132,0.00531959388634929,TRUE,FALSE,"sig."
"FKBP5",1.78511312745673e-05,0.433482967832571,0.00549087574945488,TRUE,TRUE,"sig."
"HNRNPD",1.90267962464951e-05,0.345066184508628,0.00564348367239792,TRUE,TRUE,"sig."
"GGA1",1.98492925008026e-05,0.00950463822202019,0.00568442669721262,TRUE,FALSE,"sig."
"SLC38A9",2.05387159892399e-05,-0.00158623141640345,0.00568580120968792,TRUE,FALSE,"sig."
"FAM111A",2.12237526825e-05,0.203787909059551,0.00568591180736009,TRUE,FALSE,"sig."
"CEP128",2.30262129556655e-05,0.116714746651531,0.00593879763722396,TRUE,FALSE,"sig."
"CTNNB1",2.43129584184966e-05,-0.03746106895132,0.00593879763722396,TRUE,FALSE,"sig."
"IQGAP1",2.36625214231183e-05,0.414415046359446,0.00593879763722396,TRUE,TRUE,"sig."
"ACTR2",3.12725589315029e-05,0.343257607900458,0.00669171147317487,TRUE,TRUE,"sig."
"HIST1H4C",3.14240514694545e-05,0.871006538777344,0.00669171147317487,TRUE,TRUE,"sig."
"RARA",2.92799798680873e-05,-0.0426853382202467,0.00669171147317487,TRUE,FALSE,"sig."
"SERGEF",3.0605216127465e-05,-0.0734292008621664,0.00669171147317487,TRUE,FALSE,"sig."
"TIMM44",3.08871057388365e-05,0.140526183030091,0.00669171147317487,TRUE,FALSE,"sig."
"PACS2",3.27567371629382e-05,-0.0170479463639835,0.00680111755345504,TRUE,FALSE,"sig."
"SIRT5",3.3787174110378e-05,-0.0348837552214638,0.00684396295089486,TRUE,FALSE,"sig."
"ATM",3.52730237611521e-05,-0.0889189933855113,0.00697482053181829,TRUE,FALSE,"sig."
"MT-ATP8",3.6768664603892e-05,0.388493931884895,0.00710148277989124,TRUE,TRUE,"sig."
"ABTB1",4.19583776897807e-05,-0.130616643388936,0.00732182937380612,TRUE,FALSE,"sig."
"CUTA",4.61657626369226e-05,-0.0636636684747016,0.00732182937380612,TRUE,FALSE,"sig."
"GNB1",4.58379148458603e-05,0.0887924939990534,0.00732182937380612,TRUE,FALSE,"sig."
"HIST1H1E",4.54476334494961e-05,0.392179739271904,0.00732182937380612,TRUE,TRUE,"sig."
"HIST1H2AG",4.73156987701936e-05,0.0611329327614268,0.00732182937380612,TRUE,FALSE,"sig."
"IQGAP2",4.46835148760635e-05,0.328041460337993,0.00732182937380612,TRUE,TRUE,"sig."
"PQLC3",4.1442329128854e-05,-0.0610386266138244,0.00732182937380612,TRUE,FALSE,"sig."
"SELL",4.76073192276377e-05,-0.375873775757612,0.00732182937380612,TRUE,TRUE,"sig."
"SGF29",4.23829196499542e-05,-0.102763477149926,0.00732182937380612,TRUE,FALSE,"sig."
"UCHL5",4.3002054877871e-05,0.126542189726522,0.00732182937380612,TRUE,FALSE,"sig."
"UPF3A",4.35257792727461e-05,0.240827925686147,0.00732182937380612,TRUE,FALSE,"sig."
"ANAPC5",4.99644139162398e-05,0.140817968260008,0.00740990102811377,TRUE,FALSE,"sig."
"ZNF420",4.92784176554931e-05,-0.0512319467269104,0.00740990102811377,TRUE,FALSE,"sig."
"CITED4",5.83362347394125e-05,-0.100871508507661,0.00849969174580388,TRUE,FALSE,"sig."
"AL139246.5",6.40105037952448e-05,-0.0886966977782155,0.00901029210202556,TRUE,FALSE,"sig."
"GLS",6.3659989943425e-05,0.257670819193817,0.00901029210202556,TRUE,TRUE,"sig."
