"","p_val","avg_log2FC","p_val_adj","sig","fc_thresh","test_status"
"MT-ATP8",3.78578821489184e-07,0.42143607880488,0.00247325544078884,TRUE,TRUE,"sig."
"RCC2",2.09542548534736e-06,0.070469908733484,0.00684470734788714,TRUE,FALSE,"sig."
"EIF3J",3.8490459698092e-06,0.281689117156645,0.00838193910692117,TRUE,TRUE,"sig."
"SNX10",7.43187205716966e-06,-0.060267911004873,0.0121381050373724,TRUE,FALSE,"sig."
"ABTB1",2.79397362247297e-05,-0.138992581657743,0.0154606380985346,TRUE,FALSE,"sig."
"ADK",2.58096980722547e-05,0.100171045382114,0.0154606380985346,TRUE,FALSE,"sig."
"CDK6",2.39477647728944e-05,0.0696762677941229,0.0154606380985346,TRUE,FALSE,"sig."
"F8A1",2.70874751661658e-05,-0.0688162293850791,0.0154606380985346,TRUE,FALSE,"sig."
"GOLGA4",2.98882111813633e-05,0.185704639435872,0.0154606380985346,TRUE,FALSE,"sig."
"SMARCC2",2.58707666897132e-05,0.0523983417177158,0.0154606380985346,TRUE,FALSE,"sig."
"TIMP2",2.0854148168106e-05,-0.0609551283697288,0.0154606380985346,TRUE,FALSE,"sig."
"URI1",2.73648537620591e-05,0.155267984050107,0.0154606380985346,TRUE,FALSE,"sig."
"YWHAE",3.07650842309734e-05,0.299427048016013,0.0154606380985346,TRUE,TRUE,"sig."
"XRCC6",4.12897743732745e-05,0.234340676984262,0.0192675782843287,TRUE,FALSE,"sig."
"DDX46",4.62421007517926e-05,0.246910398339912,0.0201399762807641,TRUE,FALSE,"sig."
"AL592183.1",0.000121959309983123,-0.0454962070498329,0.0210272183707445,TRUE,FALSE,"sig."
"AQP9",0.000104324284779857,-0.0741337914181884,0.0210272183707445,TRUE,FALSE,"sig."
"ARSA",0.000119281092334175,-0.0191673412232579,0.0210272183707445,TRUE,FALSE,"sig."
"BAG4",8.09882211085763e-05,0.0492803409813767,0.0210272183707445,TRUE,FALSE,"sig."
"DDX1",0.000101737352834006,0.0985032198325574,0.0210272183707445,TRUE,FALSE,"sig."
"EAF2",7.46282147708872e-05,0.0992514724914836,0.0210272183707445,TRUE,FALSE,"sig."
"FAM8A1",9.67166279952123e-05,0.00425621653488832,0.0210272183707445,TRUE,FALSE,"sig."
"HLA-DRB1",7.65406786463624e-05,0.197348709918888,0.0210272183707445,TRUE,FALSE,"sig."
"ITM2C",9.62454181481597e-05,0.141849567823254,0.0210272183707445,TRUE,FALSE,"sig."
"MAZ",8.43048633575855e-05,0.124980554710333,0.0210272183707445,TRUE,FALSE,"sig."
"MT-ND4L",5.55823156946475e-05,0.816145906231274,0.0210272183707445,TRUE,TRUE,"sig."
"MYB",5.51012403668913e-05,0.075160624138384,0.0210272183707445,TRUE,FALSE,"sig."
"OSBPL9",9.97571669207345e-05,0.0786463693291205,0.0210272183707445,TRUE,FALSE,"sig."
"POLR2M",6.49630644800226e-05,-0.0152415923995646,0.0210272183707445,TRUE,FALSE,"sig."
"PRRC2A",0.000108077486270648,0.0711877157890744,0.0210272183707445,TRUE,FALSE,"sig."
"RABEP1",8.37165229241889e-05,0.0697866329735182,0.0210272183707445,TRUE,FALSE,"sig."
"RMDN1",9.19807697222173e-05,0.0666823225107662,0.0210272183707445,TRUE,FALSE,"sig."
"RNF219",0.00011146665907628,0.0524830177370251,0.0210272183707445,TRUE,FALSE,"sig."
"SENP2",0.000122307408248629,0.0427282674405194,0.0210272183707445,TRUE,FALSE,"sig."
"SFPQ",0.000112296510880846,0.26962690714672,0.0210272183707445,TRUE,TRUE,"sig."
"TMA16",0.000122292603572709,0.109633255458588,0.0210272183707445,TRUE,FALSE,"sig."
"UQCR11",0.000120684763414003,-0.169066041002917,0.0210272183707445,TRUE,FALSE,"sig."
"ZNF280D",6.18805206899663e-05,0.0789222073372313,0.0210272183707445,TRUE,FALSE,"sig."
"YPEL2",0.000132729585262595,0.0521051987511511,0.0222339071928343,TRUE,FALSE,"sig."
"TATDN1",0.000136894841416252,-0.0228078456817088,0.0223583499743094,TRUE,FALSE,"sig."
"FNIP1",0.000142422744164901,0.0351026772421009,0.0226938484787634,TRUE,FALSE,"sig."
"ARAP2",0.00015036924165468,-0.0357530007016046,0.0228456338541866,TRUE,FALSE,"sig."
"SYNCRIP",0.000149534741924393,0.190086373339075,0.0228456338541866,TRUE,FALSE,"sig."
"ATP2C1",0.000154521517891248,0.0360508920324927,0.022942933554171,TRUE,FALSE,"sig."
"MSH6",0.00016217485533274,0.0910586007199345,0.0235441851086398,TRUE,FALSE,"sig."
"ABCE1",0.000172548221257788,0.107061858227944,0.0235666945613589,TRUE,FALSE,"sig."
"AL354733.3",0.000230724438654933,0.0813833368982237,0.0235666945613589,TRUE,FALSE,"sig."
"AP3M1",0.000236067025851788,0.0226979773022646,0.0235666945613589,TRUE,FALSE,"sig."
"C2orf49",0.000194688280396152,0.0824121772030444,0.0235666945613589,TRUE,FALSE,"sig."
"CENPC",0.000184937521254863,0.083267040814766,0.0235666945613589,TRUE,FALSE,"sig."
"CLTB",0.000211447015904262,-0.0502470299351826,0.0235666945613589,TRUE,FALSE,"sig."
"CNST",0.000238049740626933,0.0369369857409428,0.0235666945613589,TRUE,FALSE,"sig."
"EIF5B",0.000190282421597322,0.351494021520911,0.0235666945613589,TRUE,TRUE,"sig."
"ELOA",0.000192368568904397,0.0348271462868741,0.0235666945613589,TRUE,FALSE,"sig."
"ERO1B",0.000215480650637804,0.0734017956288392,0.0235666945613589,TRUE,FALSE,"sig."
"HMGB1",0.000238209273066925,0.721898669560928,0.0235666945613589,TRUE,TRUE,"sig."
"HNRNPR",0.000190747629368686,0.315168954234457,0.0235666945613589,TRUE,TRUE,"sig."
"JUND",0.000167338168814361,-0.320708993204933,0.0235666945613589,TRUE,TRUE,"sig."
"LARP4",0.000214737468423616,0.044043929690452,0.0235666945613589,TRUE,FALSE,"sig."
"LRRFIP2",0.000241691188674583,0.0815748831477008,0.0235666945613589,TRUE,FALSE,"sig."
"MFSD14C",0.000235197830127995,-0.0039537566606338,0.0235666945613589,TRUE,FALSE,"sig."
"MIIP",0.000234849393608109,-0.0158597142599868,0.0235666945613589,TRUE,FALSE,"sig."
"NUCKS1",0.000208853385224987,0.322076060328961,0.0235666945613589,TRUE,TRUE,"sig."
"RNFT1",0.000224954428896388,0.0233917127837305,0.0235666945613589,TRUE,FALSE,"sig."
"THAP12",0.000211327193737391,0.0885335448687561,0.0235666945613589,TRUE,FALSE,"sig."
"WDR70",0.000189698803231085,0.069595077358983,0.0235666945613589,TRUE,FALSE,"sig."
"WDR83OS",0.000226088812061313,-0.109375197834223,0.0235666945613589,TRUE,FALSE,"sig."
"AHI1",0.000257513813724081,0.0405645101571045,0.0236948978177383,TRUE,FALSE,"sig."
"AMD1",0.000254164991294965,0.138081801251258,0.0236948978177383,TRUE,FALSE,"sig."
"C16orf87",0.000253740387437712,0.0591619388947765,0.0236948978177383,TRUE,FALSE,"sig."
"ENOSF1",0.000252423105729493,0.0606273237203346,0.0236948978177383,TRUE,FALSE,"sig."
"BCL6",0.000279039112228378,-0.0464831119563527,0.0243061669358399,TRUE,FALSE,"sig."
"PTPRA",0.000279014785800452,0.13987318896844,0.0243061669358399,TRUE,FALSE,"sig."
"WDR11",0.000274044252098629,0.0657435758880661,0.0243061669358399,TRUE,FALSE,"sig."
"ZNF644",0.000270263982975923,0.110560030795797,0.0243061669358399,TRUE,FALSE,"sig."
"SUZ12",0.000284189068811126,0.14257992612412,0.0244290419281985,TRUE,FALSE,"sig."
"AC004951.1",0.0003070910374712,-0.0276562867976093,0.0254045656956176,TRUE,FALSE,"sig."
"DARS",0.00030667076768139,0.139740946755615,0.0254045656956176,TRUE,FALSE,"sig."
"MT-ND5",0.000307203534356925,1.04949697948294,0.0254045656956176,TRUE,TRUE,"sig."
"ELMO1",0.000324742788101379,0.0563026631470533,0.0265193079333288,TRUE,FALSE,"sig."
"RAB5C",0.000333733164081121,-0.0497525047364425,0.0269170217400242,TRUE,FALSE,"sig."
"ZBED5-AS1",0.000337953028099146,-0.0113919053310492,0.0269249650313624,TRUE,FALSE,"sig."
"AP3M2",0.000379583244808909,-0.0365482446540939,0.0272507399817209,TRUE,FALSE,"sig."
"COPA",0.000362620560409141,0.0435947514046825,0.0272507399817209,TRUE,FALSE,"sig."
"DHX36",0.000378349676435003,0.165569865965036,0.0272507399817209,TRUE,FALSE,"sig."
"HPF1",0.000370035513174486,-0.0182100941579701,0.0272507399817209,TRUE,FALSE,"sig."
"NME2",0.000361700513682388,0.185358164848431,0.0272507399817209,TRUE,FALSE,"sig."
"P2RY13",0.000379049328924635,-0.0187932046593188,0.0272507399817209,TRUE,FALSE,"sig."
"PHF14",0.000367190454567265,0.065419789064481,0.0272507399817209,TRUE,FALSE,"sig."
"SYNC",0.000376689246014211,0.0759383779274337,0.0272507399817209,TRUE,FALSE,"sig."
"UBA3",0.000372422930166967,-0.0116173523481112,0.0272507399817209,TRUE,FALSE,"sig."
"DUSP11",0.000391531488360135,-0.0462676626921056,0.0275040345532985,TRUE,FALSE,"sig."
"ILF3",0.000389353602491173,0.171725734777239,0.0275040345532985,TRUE,FALSE,"sig."
"NARS",0.000402602007683912,0.137585243497708,0.0279808395340319,TRUE,FALSE,"sig."
"C5orf24",0.000408486115958682,0.0447778835446348,0.0279965081702542,TRUE,FALSE,"sig."
"SLC9A3",0.00041568365108138,-0.00755398225962391,0.0279965081702542,TRUE,FALSE,"sig."
"TRA2B",0.000413961319487533,0.206692132731195,0.0279965081702542,TRUE,FALSE,"sig."
"IPO9",0.000425167371262162,0.0283894468834037,0.0283430452699561,TRUE,FALSE,"sig."
"CBX5",0.000436644138512633,0.166995308907665,0.0283521685079844,TRUE,FALSE,"sig."
"FOS",0.000438323743962411,-0.0692733629252871,0.0283521685079844,TRUE,FALSE,"sig."
"SRRM1",0.000432568283635127,0.335390442245114,0.0283521685079844,TRUE,TRUE,"sig."
"ADPRM",0.000497591384947069,0.0513959422061721,0.0294663049594847,TRUE,FALSE,"sig."
"CCDC93",0.000475967335724093,0.0208262942773109,0.0294663049594847,TRUE,FALSE,"sig."
"CHD4",0.000500019884678665,0.159812707287939,0.0294663049594847,TRUE,FALSE,"sig."
"HMGA1",0.000508536139835068,0.235715948240661,0.0294663049594847,TRUE,FALSE,"sig."
"IDH2",0.000473931321556371,0.115936088919667,0.0294663049594847,TRUE,FALSE,"sig."
"MED16",0.000525635505431749,-0.0158126228539913,0.0294663049594847,TRUE,FALSE,"sig."
"MTREX",0.000527714324239968,0.101513945942028,0.0294663049594847,TRUE,FALSE,"sig."
"PARP1",0.000499985844793357,0.226418696153224,0.0294663049594847,TRUE,FALSE,"sig."
"PIBF1",0.000477473168744967,0.0675387553246332,0.0294663049594847,TRUE,FALSE,"sig."
"PRRC2B",0.000511658925236267,0.0874668123598377,0.0294663049594847,TRUE,FALSE,"sig."
"RERE",0.000521933823990112,0.0847270456575062,0.0294663049594847,TRUE,FALSE,"sig."
"RNASEL",0.000517015166435756,-0.00111323911172474,0.0294663049594847,TRUE,FALSE,"sig."
"RPAP3",0.000463684881544402,0.0914504391242916,0.0294663049594847,TRUE,FALSE,"sig."
"SPTY2D1",0.000516787727792822,0.0819070158595567,0.0294663049594847,TRUE,FALSE,"sig."
"TANK",0.000527686756579354,-0.0620462543132771,0.0294663049594847,TRUE,FALSE,"sig."
"USP11",0.000517903212387217,0.0469920961086155,0.0294663049594847,TRUE,FALSE,"sig."
"ESF1",0.000535313371012243,0.0532895398659338,0.0296373072273134,TRUE,FALSE,"sig."
"AP5Z1",0.000550281364232409,0.00349112583360955,0.0300200761897886,TRUE,FALSE,"sig."
"NAA35",0.000555582541720312,0.0215503359066004,0.0300200761897886,TRUE,FALSE,"sig."
